'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLoses','MarketChange'
'DENT-USDT','5m','DENT-USDT','2021-08-05','2021-11-19','44','22.9','0.0',102,'100','nan','9.48','inf','44','0',57,0,'44','0','129.62'
'HOT-USDT','5m','HOT-USDT','2021-08-05','2021-11-19','66','36.24','0.0',187,'100','nan','11.85','inf','66','0',64,0,'66','0','82.59'
'BTT-USDT','5m','BTT-USDT','2021-08-05','2021-11-19','64','34.97','0.0',178,'100','nan','12.07','inf','64','0',63,0,'64','0','2.83'
'ETH-USDT','5m','ETH-USDT','2021-08-05','2021-11-19','41','15.93','-1.95',66,'95','15.0','6.79','33.66','34','1',54,-195,'39','2','46.53'
'LINK-USDT','5m','LINK-USDT','2021-08-05','2021-11-19','47','15.34','-2.3',63,'94','8.79','5.56','27.28','21','1',54,-265,'44','3','9.61'
'SC-USDT','5m','SC-USDT','2021-08-05','2021-11-19','45','16.05','-2.43',66,'96','6.24','5.53','27.27','26','1',54,-329,'43','2','18.34'
'1000SHIB-USDT','5m','1000SHIB-USDT','2021-08-05','2021-11-19','48','19.81','-3.42',85,'98','5.46','5.93','24.91','39','1',56,-465,'47','1','580.75'
'ETC-USDT','5m','ETC-USDT','2021-08-05','2021-11-19','44','11.47','-1.95',45,'89','5.42','4.16','23.04','13','1',52,-265,'39','5','-6.27'
'THETA-USDT','5m','THETA-USDT','2021-08-05','2021-11-19','43','12.56','-2.2',50,'93','3.83','4.31','22.6','18','1',53,-277,'40','3','-1.87'
'XEM-USDT','5m','XEM-USDT','2021-08-05','2021-11-19','37','12.4','-2.32',49,'92','7.37','5.02','21.08','24','1',53,-161,'34','3','2.16'
'BNB-USDT','5m','BNB-USDT','2021-08-05','2021-11-19','38','8.17','-2.02',31,'87','3.71','3.34','15.19','14','1',51,-205,'33','5','58.71'
'YFI-USDT','5m','YFI-USDT','2021-08-05','2021-11-19','43','11.02','-2.93',43,'88','4.61','3.98','14.61','15','1',51,-210,'38','5','-1.77'
'XLM-USDT','5m','XLM-USDT','2021-08-05','2021-11-19','31','8.89','-2.47',34,'90','2.75','4.54','13.65','12','2',51,-172,'28','3','16.56'
'RLC-USDT','5m','RLC-USDT','2021-08-05','2021-11-19','52','13.25','-4.15',53,'90','2.87','3.63','12.73','30','1',54,-306,'47','5','13.74'
'1INCH-USDT','5m','1INCH-USDT','2021-08-05','2021-11-19','45','9.05','-3.78',34,'87','3.23','2.12','9.1','13','1',51,-272,'39','6','50.76'
'RSR-USDT','5m','RSR-USDT','2021-08-05','2021-11-19','54','8.67','-3.89',33,'87','1.56','2.15','8.44','19','2',51,-360,'47','7','-10.38'
'TOMO-USDT','5m','TOMO-USDT','2021-08-05','2021-11-19','46','5.0','-3.87',18,'87','0.59','1.51','4.68','12','1',50,-296,'40','6','9.37'
'BAT-USDT','5m','BAT-USDT','2021-08-05','2021-11-19','44','5.12','-5.42',19,'89','0.67','1.41','3.43','12','1',49,-618,'39','5','45.82'
'XMR-USDT','5m','XMR-USDT','2021-08-05','2021-11-19','33','3.53','-4.23',13,'85','0.23','1.27','2.97','12','2',48,-275,'28','5','-7.43'
'HBAR-USDT','5m','HBAR-USDT','2021-08-05','2021-11-19','48','3.57','-6.05',13,'85','0.42','0.98','2.1','17','1',51,-336,'41','7','64.29'
'LINA-USDT','5m','LINA-USDT','2021-08-05','2021-11-19','49','6.74','-12.26',25,'88','0.36','1.03','2.03','27','2',50,-297,'43','6','7.51'
'FIL-USDT','5m','FIL-USDT','2021-08-05','2021-11-19','40','4.72','-8.59',17,'85','0.11','1.37','1.98','22','2',52,-269,'34','6','-8.59'
'RUNE-USDT','5m','RUNE-USDT','2021-08-05','2021-11-19','62','4.88','-9.6',18,'87','0.11','1.08','1.84','19','2',50,-399,'54','8','23.44'
'VET-USDT','5m','VET-USDT','2021-08-05','2021-11-19','48','2.27','-4.97',8,'83','0.16','0.66','1.6','14','2',49,-347,'40','8','45.36'
'CVC-USDT','5m','CVC-USDT','2021-08-05','2021-11-19','41','1.64','-3.92',6,'83','0.12','0.59','1.45','12','2',48,-353,'34','7','65.01'
'YFII-USDT','5m','YFII-USDT','2021-08-05','2021-11-19','51','1.67','-5.03',6,'80','0.13','0.5','1.16','13','3',49,-363,'41','10','-16.31'
'DGB-USDT','5m','DGB-USDT','2021-08-05','2021-11-19','58','1.03','-4.49',4,'79','0.07','0.34','0.8','13','2',48,-257,'46','12','-7.03'
