Pair	 TF	 Dna	 Start Date	 End Date	 Total Trades	 Longs %	 Short %	 Total Net Profit	 Max.DD	 Annual Profit	 Winrate	 Serenity	 Sharpe	 Calmar	 Winning Strike	 Losing Strike	 Largest Winning	 Largest Losing	 Num. of Wins	 Num. of Losses	 Paid Fees	 Market Change
XLM-USDT	5m	''	2021-10-23	2021-11-02	17	0	100	12.64	0.0	5091.74	100	nan	12.75	inf	17	0	78.2	0.0	17	0	214.46	6.27
XLM-USDT	5m	''	2021-10-20	2021-10-30	17	0	100	12.64	0.0	5096.23	100	nan	12.28	inf	17	0	78.19	0.0	17	0	214.51	8.13
XLM-USDT	5m	''	2021-08-07	2021-08-17	22	0	100	16.09	-0.06	14006.44	100	62509.56	10.95	236720.48	22	0	81.03	0.0	22	0	282.35	21.64
XLM-USDT	5m	''	2021-10-01	2021-10-11	24	0	100	9.66	-0.38	2031.39	88	307.18	9.76	5338.21	13	1	76.61	-242.29	21	3	303.07	11.23
XLM-USDT	5m	''	2021-08-11	2021-08-21	19	0	100	10.57	-0.73	2708.7	95	233.64	8.52	3725.63	15	1	77.35	-279.68	18	1	240.28	17.48
XLM-USDT	5m	''	2021-10-22	2021-11-01	17	0	100	12.65	0.0	5103.51	100	nan	12.75	inf	17	0	78.26	0.0	17	0	214.59	4.2
XLM-USDT	5m	''	2021-08-23	2021-09-02	17	0	100	10.1	-1.56	2331.92	94	27.42	10.75	1491.57	11	1	77.02	-168.83	16	1	212.93	5.96
XLM-USDT	5m	''	2021-08-21	2021-08-31	22	0	100	9.73	-1.56	2077.3	86	26.49	10.35	1328.7	11	1	76.89	-228.7	19	3	274.44	-7.89
XLM-USDT	5m	''	2021-11-08	2021-11-18	18	0	100	10.9	-1.55	2996.65	94	24.93	9.23	1933.54	17	1	77.56	-154.98	17	1	223.27	-7.61
XLM-USDT	5m	''	2021-10-05	2021-10-15	26	0	100	6.46	-1.56	697.7	85	20.05	7.19	447.44	8	1	74.6	-384.49	22	4	322.15	9.2
XLM-USDT	5m	''	2021-11-06	2021-11-16	15	0	100	8.61	-1.55	1448.39	93	17.66	8.22	934.27	12	1	75.98	-157.22	14	1	184.93	2.49
XLM-USDT	5m	''	2021-08-20	2021-08-30	18	0	100	7.62	-1.56	1044.51	89	16.3	8.44	668.1	11	1	75.93	-228.7	16	2	222.4	-0.75
XLM-USDT	5m	''	2021-08-03	2021-08-13	19	0	100	10.12	-2.22	2350.62	95	14.23	7.03	1057.19	17	1	75.94	-294.81	18	1	233.91	15.45
XLM-USDT	5m	''	2021-10-11	2021-10-21	16	0	100	4.09	-1.56	277.65	88	9.76	6.76	178.06	11	1	73.26	-363.09	14	2	193.51	15.49
XLM-USDT	5m	''	2021-08-01	2021-08-11	18	0	100	6.55	-2.22	720.06	89	7.19	5.89	324.17	9	1	74.52	-301.41	16	2	220.76	13.55
XLM-USDT	5m	''	2021-09-01	2021-09-11	18	0	100	6.45	-2.13	696.44	89	6.07	6.11	327.0	14	1	74.47	-274.86	16	2	216.23	-7.68
XLM-USDT	5m	''	2021-07-30	2021-08-09	24	0	100	5.68	-2.23	525.5	83	5.21	5.04	236.15	9	1	73.93	-299.38	20	4	291.8	14.57
XLM-USDT	5m	''	2021-09-30	2021-10-10	19	0	100	6.12	-2.02	618.74	84	3.86	5.66	306.38	13	1	75.06	-234.23	16	3	233.53	23.05
XLM-USDT	5m	''	2021-09-15	2021-09-25	23	0	100	9.37	-5.53	1853.24	91	3.84	5.17	335.1	21	2	75.46	-317.25	21	2	276.62	-17.11
XLM-USDT	5m	''	2021-09-03	2021-09-13	21	0	100	4.72	-2.13	361.92	86	3.18	4.35	169.93	16	1	75.52	-323.86	18	3	254.83	-9.6
XLM-USDT	5m	''	2021-08-25	2021-09-04	12	0	100	3.33	-2.13	196.44	83	2.42	3.67	92.24	5	1	73.86	-224.85	10	2	147.31	12.66
XLM-USDT	5m	''	2021-10-27	2021-11-06	19	0	100	5.59	-5.6	507.33	89	1.18	3.78	90.56	14	2	77.16	-377.57	17	2	238.58	6.04
XLM-USDT	5m	''	2021-10-25	2021-11-04	17	0	100	4.12	-5.6	282.07	88	0.95	2.91	50.35	15	2	77.71	-380.23	15	2	214.75	8.64
XLM-USDT	5m	''	2021-08-31	2021-09-10	11	0	100	1.36	-2.13	56.59	82	0.69	2.48	26.57	7	1	70.91	-274.86	9	2	129.83	1.29
XLM-USDT	5m	''	2021-10-28	2021-11-07	14	0	100	1.96	-5.6	90.2	86	0.36	1.72	16.1	7	2	73.47	-359.5	12	2	170.1	16.81
XLM-USDT	5m	''	2021-10-31	2021-11-10	14	0	100	-0.33	-5.6	-10.26	79	-0.04	-0.07	-1.83	6	2	72.96	-356.99	11	3	169.25	14.55
XLM-USDT	5m	''	2021-07-22	2021-08-01	22	0	100	-12.12	-12.12	-98.62	68	-0.14	-13.81	-8.14	7	2	71.44	-468.05	15	7	249.32	26.8
XLM-USDT	5m	''	2021-07-21	2021-07-31	22	0	100	-12.12	-12.12	-98.62	68	-0.17	-13.81	-8.14	7	2	71.44	-468.05	15	7	249.32	36.8
XLM-USDT	5m	''	2021-07-27	2021-08-06	19	0	100	-7.61	-8.53	-92.75	68	-0.2	-6.62	-10.88	6	2	70.38	-417.56	13	6	215.35	17.6
XLM-USDT	5m	''	2021-07-18	2021-07-28	21	0	100	-7.82	-10.37	-93.3	76	-0.24	-6.95	-9.0	7	2	71.88	-466.44	16	5	245.48	17.18
