Pair	 TF	 Dna	 Start Date	 End Date	 Total Trades	 Longs %	 Short %	 Total Net Profit	 Max.DD	 Annual Profit	 Winrate	 Serenity	 Sharpe	 Calmar	 Winning Strike	 Losing Strike	 Largest Winning	 Largest Losing	 Num. of Wins	 Num. of Losses	 Paid Fees	 Market Change
ETH-USDT	5m	'9`,1Mk'	2021-04-15	2021-08-15	28	0	100	27.16	-2.04	103.99	89	24.19	6.63	50.94	18	1	143.54	-218.73	25	3	255.91	33.53
ETH-USDT	5m	'Ii()[Z'	2021-04-15	2021-08-15	60	0	100	19.74	-2.09	70.67	92	12.54	5.62	33.89	22	1	56.22	-234.93	55	5	521.86	33.53
ETH-USDT	5m	'Ei4)lT'	2021-04-15	2021-08-15	51	0	100	32.32	-4.48	129.56	82	9.92	5.42	28.93	16	2	140.19	-319.72	42	9	481.71	33.53
ETH-USDT	5m	'i=*0hg'	2021-04-15	2021-08-15	8	0	100	7.61	0.0	24.33	100	nan	5.0	inf	8	0	98.21	0.0	8	0	65.63	33.53
ETH-USDT	5m	'gn2(Ug'	2021-04-15	2021-08-15	22	0	100	17.13	-2.12	59.85	95	4.22	4.9	28.28	21	1	101.93	-253.28	21	1	191.59	33.53
ETH-USDT	5m	'@m4(L.'	2021-04-15	2021-08-15	86	0	100	36.77	-5.29	153.24	81	5.76	4.88	28.99	15	2	133.39	-409.97	70	16	833.17	33.53
ETH-USDT	5m	'Ei:)WZ'	2021-04-15	2021-08-15	48	0	100	37.2	-7.24	155.6	79	4.05	4.81	21.48	13	4	191.48	-419.3	38	10	471.06	33.53
ETH-USDT	5m	'^B:)WZ'	2021-04-15	2021-08-15	57	0	100	37.43	-4.87	156.92	81	8.61	4.75	32.22	13	2	192.14	-650.49	46	11	567.19	33.53
ETH-USDT	5m	'ms45j\\'	2021-04-15	2021-08-15	27	0	100	40.38	-4.06	173.58	81	12.41	4.73	42.76	8	1	302.94	-441.76	22	5	255.26	33.53
ETH-USDT	5m	'rw3.?v'	2021-04-15	2021-08-15	17	0	100	19.48	-4.39	69.56	94	4.55	4.71	15.84	15	1	170.44	-541.05	16	1	150.64	33.53
ETH-USDT	5m	'Ji()[Z'	2021-04-15	2021-08-15	57	0	100	16.27	-2.4	56.41	91	5.69	4.66	23.52	22	1	55.63	-261.42	52	5	491.45	33.53
ETH-USDT	5m	'hm2(Tg'	2021-04-15	2021-08-15	20	0	100	15.08	-2.17	51.7	95	3.31	4.64	23.81	19	1	100.13	-255.37	19	1	172.66	33.53
ETH-USDT	5m	'hm2(ea'	2021-04-15	2021-08-15	19	0	100	14.1	-2.17	47.91	95	3.06	4.41	22.06	18	1	99.31	-253.32	18	1	163.36	33.53
ETH-USDT	5m	'hm2(bb'	2021-04-15	2021-08-15	19	0	100	14.1	-2.17	47.91	95	3.06	4.41	22.06	18	1	99.31	-253.32	18	1	163.36	33.53
ETH-USDT	5m	'hm2(Ze'	2021-04-15	2021-08-15	19	0	100	14.1	-2.17	47.91	95	3.06	4.41	22.06	18	1	99.31	-253.32	18	1	163.36	33.53
ETH-USDT	5m	'hm2(Vg'	2021-04-15	2021-08-15	19	0	100	14.1	-2.17	47.89	95	3.06	4.41	22.05	18	1	99.31	-253.32	18	1	163.31	33.53
ETH-USDT	5m	'hm2(Ug'	2021-04-15	2021-08-15	19	0	100	14.1	-2.17	47.89	95	3.06	4.41	22.05	18	1	99.31	-253.32	18	1	163.31	33.53
ETH-USDT	5m	'Al/2PC'	2021-04-15	2021-08-15	83	0	100	43.88	-7.08	194.35	72	7.46	4.38	27.45	14	2	207.47	-581.44	60	23	837.24	33.53
ETH-USDT	5m	'gn2(Pg'	2021-04-15	2021-08-15	27	0	100	17.65	-2.93	62.01	93	3.2	4.32	21.17	19	1	102.26	-344.56	25	2	238.0	33.53
ETH-USDT	5m	'Ci:)WZ'	2021-04-15	2021-08-15	48	0	100	32.57	-4.44	130.88	77	6.48	4.27	29.45	9	3	178.73	-495.54	37	11	460.82	33.53
ETH-USDT	5m	'@i:)sZ'	2021-04-15	2021-08-15	33	0	100	25.39	-4.85	95.7	79	4.09	4.24	19.71	11	2	168.61	-273.75	26	7	301.73	33.53
ETH-USDT	5m	'hm2(Xg'	2021-04-15	2021-08-15	17	0	100	12.17	-2.17	40.61	94	2.59	3.92	18.71	16	1	97.67	-248.82	16	1	144.91	33.53
ETH-USDT	5m	'hm2(Wg'	2021-04-15	2021-08-15	17	0	100	12.17	-2.17	40.61	94	2.59	3.92	18.71	16	1	97.67	-248.82	16	1	144.91	33.53
ETH-USDT	5m	'hm2(Zg'	2021-04-15	2021-08-15	17	0	100	12.17	-2.17	40.61	94	2.59	3.92	18.71	16	1	97.67	-248.82	16	1	144.91	33.53
ETH-USDT	5m	'im2(Zg'	2021-04-15	2021-08-15	17	0	100	12.17	-2.17	40.61	94	2.59	3.92	18.71	16	1	97.67	-248.82	16	1	144.91	33.53
ETH-USDT	5m	'gn2(]g'	2021-04-15	2021-08-15	17	0	100	12.23	-2.12	40.85	94	2.81	3.85	19.31	16	1	97.67	-242.51	16	1	144.91	33.53
ETH-USDT	5m	'hm1(Zg'	2021-04-15	2021-08-15	17	0	100	11.5	-2.13	38.14	94	2.47	3.83	17.91	16	1	92.51	-242.58	16	1	144.39	33.53
ETH-USDT	5m	';9(VKr'	2021-04-15	2021-08-15	8	0	100	14.0	-0.79	47.53	75	40.83	3.77	60.5	5	1	276.74	-90.28	6	2	68.5	33.53
ETH-USDT	5m	'hm2(eb'	2021-04-15	2021-08-15	16	0	100	11.21	-2.17	37.07	94	2.36	3.68	17.08	15	1	96.85	-246.77	15	1	135.77	33.53
