Pair	 TF	 Dna	 Start Date	 End Date	 Total Trades	 Longs %	 Short %	 Total Net Profit	 Max.DD	 Annual Profit	 Winrate	 Serenity	 Sharpe	 Calmar	 Winning Strike	 Losing Strike	 Largest Winning	 Largest Losing	 Num. of Wins	 Num. of Losses	 Paid Fees	 Market Change
XLM-USDT	5m	'Ii()[Z'	2021-01-15	2021-11-15	650	0	100	184.33	-32.08	249.22	87	1.16	2.88	7.77	46	3	198.84	-1069.75	567	83	9881.86	490.06
XLM-USDT	5m	'@i:)WZ'	2021-01-15	2021-11-15	602	0	100	489.54	-35.64	735.78	72	4.9	2.73	20.64	33	5	1576.06	-9978.59	431	171	22685.41	490.06
XLM-USDT	5m	'Ji()[Z'	2021-01-15	2021-11-15	669	0	100	141.21	-35.67	186.83	87	0.97	2.38	5.24	43	3	170.32	-1077.69	583	86	9568.67	490.06
XLM-USDT	5m	'Ei:)WZ'	2021-01-15	2021-11-15	591	0	100	303.21	-36.54	430.46	72	3.86	2.21	11.78	18	7	809.46	-5659.12	428	163	14295.26	490.06
XLM-USDT	5m	'?i()[Z'	2021-01-15	2021-11-15	689	0	100	111.95	-29.16	145.71	85	0.9	2.13	5.0	27	4	150.55	-815.14	586	103	9525.61	490.06
XLM-USDT	5m	'Ei4)lT'	2021-01-15	2021-11-15	605	0	100	166.93	-32.56	223.8	76	2.48	1.93	6.87	24	4	440.72	-4031.41	458	147	9953.09	490.06
XLM-USDT	5m	'Ji()[M'	2021-01-15	2021-11-15	1073	0	100	126.03	-34.12	165.36	84	2.49	1.82	4.85	46	4	164.77	-1831.89	905	168	17417.14	490.06
XLM-USDT	5m	'Ji()[N'	2021-01-15	2021-11-15	1051	0	100	124.64	-34.12	163.41	84	2.56	1.82	4.79	45	4	163.76	-1872.97	888	163	17137.52	490.06
XLM-USDT	5m	'Ci:)WZ'	2021-01-15	2021-11-15	596	0	100	189.61	-45.18	257.0	71	1.55	1.79	5.69	26	5	602.14	-4383.63	423	173	10709.0	490.06
XLM-USDT	5m	'Ji()OZ'	2021-01-15	2021-11-15	807	0	100	102.05	-31.16	132.03	86	1.25	1.72	4.24	37	4	142.67	-1547.66	694	113	11301.29	490.06
XLM-USDT	5m	'Ji()sZ'	2021-01-15	2021-11-15	362	0	100	60.62	-31.52	76.31	87	0.23	1.7	2.42	23	3	113.4	-937.03	316	46	4545.45	490.06
XLM-USDT	5m	'9`,1Mk'	2021-01-15	2021-11-15	296	0	100	92.09	-38.53	118.41	70	0.45	1.68	3.07	35	6	345.6	-2581.6	208	88	4420.93	490.06
XLM-USDT	5m	'rw3.?v'	2021-01-15	2021-11-15	167	0	100	94.34	-27.94	121.47	81	0.99	1.67	4.35	21	5	459.98	-2205.19	136	31	3010.81	490.06
XLM-USDT	5m	'@i()[Z'	2021-01-15	2021-11-15	666	0	100	72.9	-31.53	92.57	85	0.47	1.64	2.94	24	3	123.11	-801.19	564	102	8448.89	490.06
XLM-USDT	5m	'Ai()[Z'	2021-01-15	2021-11-15	666	0	100	72.9	-31.53	92.57	85	0.47	1.64	2.94	24	3	123.11	-801.19	564	102	8448.89	490.06
XLM-USDT	5m	'Ji()AZ'	2021-01-15	2021-11-15	961	0	100	82.41	-35.12	105.3	85	1.26	1.45	3.0	40	4	130.5	-1586.71	815	146	13332.71	490.06
XLM-USDT	5m	'@i:)sZ'	2021-01-15	2021-11-15	313	0	100	81.12	-26.55	103.57	70	1.01	1.39	3.9	27	7	438.11	-3056.03	219	94	4740.89	490.06
XLM-USDT	5m	'Ji()lZ'	2021-01-15	2021-11-15	443	0	100	48.16	-32.05	60.08	87	0.17	1.37	1.87	30	4	104.61	-897.07	384	59	5076.18	490.06
XLM-USDT	5m	'rw3..v'	2021-01-15	2021-11-15	301	0	100	82.75	-40.82	105.76	76	0.43	1.36	2.59	20	6	523.97	-2187.56	228	73	5567.58	490.06
XLM-USDT	5m	'Ji()7Z'	2021-01-15	2021-11-15	1043	0	100	76.36	-34.66	97.19	84	1.36	1.36	2.8	44	4	125.69	-1454.54	880	163	13933.98	490.06
XLM-USDT	5m	'Ji()9Z'	2021-01-15	2021-11-15	1032	0	100	67.55	-34.67	85.46	84	1.13	1.27	2.47	42	4	119.41	-1444.38	870	162	13487.88	490.06
XLM-USDT	5m	'Ji()[C'	2021-01-15	2021-11-15	1211	0	100	59.79	-31.67	75.23	82	1.17	1.17	2.38	29	4	115.67	-1462.15	997	214	15760.97	490.06
XLM-USDT	5m	'Ji()/Z'	2021-01-15	2021-11-15	1052	0	100	56.71	-37.53	71.19	84	0.74	1.15	1.9	41	4	111.69	-1336.05	881	171	12904.3	490.06
XLM-USDT	5m	'0-t5Nj'	2021-01-15	2021-11-15	43	0	100	58.94	-22.63	74.11	42	1.17	1.14	3.28	11	12	2084.53	-753.97	18	25	792.84	490.06
XLM-USDT	5m	'Ji()[)'	2021-01-15	2021-11-15	1239	0	100	48.31	-37.37	60.26	82	0.67	1.04	1.61	29	5	107.36	-1312.51	1015	224	15052.61	490.06
XLM-USDT	5m	'Ji()[*'	2021-01-15	2021-11-15	1239	0	100	48.31	-37.37	60.26	82	0.67	1.04	1.61	29	5	107.36	-1312.51	1015	224	15052.61	490.06
XLM-USDT	5m	'Ji()[:'	2021-01-15	2021-11-15	1236	0	100	45.2	-37.82	56.26	82	0.6	1.0	1.49	29	5	105.11	-1303.26	1012	224	14877.41	490.06
XLM-USDT	5m	'oGd,\\v'	2021-01-15	2021-11-15	19	0	100	23.5	-21.51	28.74	63	0.71	0.77	1.34	6	3	895.33	-2120.92	12	7	251.29	490.06
XLM-USDT	5m	'@m4(L.'	2021-01-15	2021-11-15	1177	0	100	11.07	-64.51	13.39	72	0.04	0.67	0.21	32	6	285.16	-2128.33	846	331	12616.44	490.06
XLM-USDT	5m	'iH*0kg'	2021-01-15	2021-11-15	81	0	100	13.74	-17.46	16.66	81	0.32	0.67	0.95	13	2	167.2	-1752.36	66	15	1056.19	490.06
XLM-USDT	5m	'iH*0hg'	2021-01-15	2021-11-15	101	0	100	8.0	-16.6	9.65	79	0.17	0.45	0.58	14	3	158.38	-1664.22	80	21	1252.52	490.06
XLM-USDT	5m	'Al/2PC'	2021-01-15	2021-11-15	1100	0	100	-20.62	-78.06	-24.14	61	-0.05	0.44	-0.31	19	13	366.95	-1694.82	673	427	10323.67	490.06
XLM-USDT	5m	'^BB)WZ'	2021-01-15	2021-11-15	647	0	100	-22.44	-77.26	-26.23	66	-0.05	0.43	-0.34	15	10	700.46	-1728.3	425	222	8204.86	490.06
XLM-USDT	5m	'.:DSXq'	2021-01-15	2021-11-15	5	0	100	5.71	-4.89	6.87	40	0.5	0.43	1.41	2	2	1178.52	-532.75	2	3	59.5	490.06
XLM-USDT	5m	'Iw?.[v'	2021-01-15	2021-11-15	45	0	100	7.62	-26.37	9.19	71	0.07	0.42	0.35	8	3	472.94	-2162.82	32	13	567.4	490.06
XLM-USDT	5m	'su69Ct'	2021-01-15	2021-11-15	149	0	100	-7.69	-54.34	-9.13	66	-0.03	0.4	-0.17	14	6	505.28	-2586.65	99	50	1678.63	490.06
XLM-USDT	5m	'Pi:)WZ'	2021-01-15	2021-11-15	555	0	100	-14.15	-45.04	-16.69	71	-0.06	0.37	-0.37	23	8	273.55	-1632.09	392	163	5507.05	490.06
XLM-USDT	5m	'Pi:-WZ'	2021-01-15	2021-11-15	542	0	100	-24.08	-50.88	-28.08	65	-0.11	0.34	-0.55	22	8	282.59	-1414.19	351	191	4784.21	490.06
XLM-USDT	5m	'Jm4(L.'	2021-01-15	2021-11-15	1005	0	100	-17.33	-62.97	-20.37	73	-0.04	0.32	-0.32	28	7	177.26	-1410.97	738	267	7714.14	490.06
XLM-USDT	5m	'i=*0hg'	2021-01-15	2021-11-15	76	0	100	2.2	-25.41	2.64	76	0.02	0.24	0.1	12	3	175.41	-799.66	58	18	1037.1	490.06
XLM-USDT	5m	'^A:)WZ'	2021-01-15	2021-11-15	652	0	100	-25.13	-69.31	-29.27	69	-0.06	0.23	-0.42	19	8	364.3	-1429.38	452	200	7690.53	490.06
XLM-USDT	5m	';9(VKr'	2021-01-15	2021-11-15	77	0	100	-0.15	-43.48	-0.17	47	-0.0	0.2	-0.0	11	10	598.73	-1219.77	36	41	1157.94	490.06
XLM-USDT	5m	'Ui3)lZ'	2021-01-15	2021-11-15	387	0	100	-7.87	-43.97	-9.35	76	-0.03	0.19	-0.21	19	3	158.37	-1508.45	296	91	3621.18	490.06
XLM-USDT	5m	'^B:)WZ'	2021-01-15	2021-11-15	662	0	100	-31.73	-66.68	-36.67	70	-0.07	0.13	-0.55	19	7	341.84	-1123.25	466	196	6712.07	490.06
XLM-USDT	5m	'bwi.tc'	2021-01-15	2021-11-15	115	0	100	-34.67	-68.01	-39.91	49	-0.07	0.09	-0.59	6	12	692.34	-1817.75	56	59	860.08	490.06
XLM-USDT	5m	'8r6-OF'	2021-01-15	2021-11-15	1212	0	100	-48.34	-71.72	-54.63	60	-0.11	0.06	-0.76	20	12	353.76	-1156.64	725	487	11533.58	490.06
XLM-USDT	5m	'3:<TPr'	2021-01-15	2021-11-15	16	0	100	-2.09	-22.18	-2.49	38	-0.03	0.05	-0.11	3	7	1050.05	-676.47	6	10	207.94	490.06
