['Pair', 'TF', 'Dna', 'Start Date', 'End Date', 'Total Trades', 'Total Net Profit', 'Max.DD', 'Annual Profit', 'Winrate', 'Sharpe', 'Calmar', 'Serenity', 'Winning Strike', 'Losing Strike', 'Largest Winning', 'Largest Losing', 'Num. of Wins', 'Num. of Loses', 'Market Change']
['BTC-USDT', '5m', 'BTC-USDT', '2021-08-01', '2021-11-15', '27', '-34.13', '-51.02', -76, '67', '-0.26', '-1.38', '-1.49', '6', '2', 242, -2610, '18', '9', '58.26']
['ETH-USDT', '5m', 'ETH-USDT', '2021-08-01', '2021-11-15', '43', '116.12', '-9.75', 1286, '95', '21.19', '7.09', '131.87', '33', '1', 495, -1045, '41', '2', '82.91']
['SOL-USDT', '5m', 'SOL-USDT', '2021-08-01', '2021-11-15', '39', '-26.26', '-47.1', -65, '82', '-0.09', '-0.95', '-1.37', '10', '1', 291, -2291, '32', '7', '550.31']
['DYDX-USDT', '5m', 'DYDX-USDT', '2021-08-01', '2021-11-15', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['FTM-USDT', '5m', 'FTM-USDT', '2021-08-01', '2021-11-15', '51', '-9.74', '-55.01', -29, '90', '-0.02', '0.26', '-0.54', '26', '1', 420, -7147, '46', '5', '911.87']
['AVAX-USDT', '5m', 'AVAX-USDT', '2021-08-01', '2021-11-15', '50', '-75.55', '-77.59', -99, '70', '-0.07', '-4.01', '-1.28', '8', '2', 235, -1877, '35', '15', '602.96']
['LUNA-USDT', '5m', 'LUNA-USDT', '2021-08-01', '2021-11-15', '52', '-34.56', '-51.97', -76, '81', '-0.1', '-1.09', '-1.47', '27', '2', 206, -1909, '42', '10', '383.85']
['FIL-USDT', '5m', 'FIL-USDT', '2021-08-01', '2021-11-15', '40', '30.66', '-37.83', 149, '88', '0.18', '1.81', '3.94', '25', '2', 410, -2120, '35', '5', '20.6']
['ADA-USDT', '5m', 'ADA-USDT', '2021-08-01', '2021-11-15', '46', '-55.85', '-74.87', -94, '83', '-0.19', '-1.27', '-1.25', '15', '4', 359, -9292, '38', '8', '54.79']
['COTI-USDT', '5m', 'COTI-USDT', '2021-08-01', '2021-11-15', '41', '-63.2', '-63.2', -97, '71', '-0.17', '-1.73', '-1.53', '15', '3', 216, -1627, '29', '12', '280.91']
