Pair	 TF	 Dna	 Start Date	 End Date	 Total Trades	 Longs %	 Short %	 Total Net Profit	 Max.DD	 Annual Profit	 Winrate	 Serenity	 Sharpe	 Calmar	 Winning Strike	 Losing Strike	 Largest Winning	 Largest Losing	 Num. of Wins	 Num. of Losses	 Paid Fees	 Market Change
XLM-USDT	5m	''	2021-08-08	2021-08-28	42	0	100	26.07	-0.73	5508.75	95	1064.35	11.03	7582.36	22	1	88.19	-293.75	40	2	565.74	14.25
XLM-USDT	5m	''	2021-10-08	2021-10-28	43	0	100	20.02	-1.56	2284.47	91	127.19	11.96	1465.2	19	1	83.31	-371.68	39	4	546.5	0.95
XLM-USDT	5m	''	2021-08-11	2021-08-31	41	0	100	21.33	-1.56	2780.53	90	111.34	9.94	1778.52	15	1	85.02	-279.68	37	4	543.73	7.98
XLM-USDT	5m	''	2021-10-04	2021-10-24	46	0	100	19.04	-1.56	1967.16	89	107.94	11.22	1261.69	13	1	83.27	-398.16	41	5	598.35	14.79
XLM-USDT	5m	''	2021-10-03	2021-10-23	46	0	100	19.04	-1.56	1967.16	89	107.94	11.22	1261.69	13	1	83.27	-398.16	41	5	598.35	11.19
XLM-USDT	5m	''	2021-10-05	2021-10-25	44	0	100	17.38	-1.56	1521.0	89	90.8	11.19	975.43	11	1	81.55	-384.49	39	5	560.84	13.71
XLM-USDT	5m	''	2021-08-10	2021-08-30	37	0	100	19.0	-1.56	1956.76	92	81.56	9.0	1251.61	15	1	83.98	-279.68	34	3	486.2	13.44
XLM-USDT	5m	''	2021-08-09	2021-08-29	36	0	100	18.17	-1.56	1720.55	92	65.48	8.6	1100.52	15	1	83.98	-279.68	33	3	472.08	18.79
XLM-USDT	5m	''	2021-08-14	2021-09-03	33	0	100	15.74	-1.56	1169.06	91	63.99	9.63	747.77	11	1	80.97	-264.51	30	3	421.93	9.02
XLM-USDT	5m	''	2021-09-17	2021-10-07	44	0	100	32.31	-2.02	12880.21	98	42.22	12.58	6377.99	32	1	91.18	-252.53	43	1	606.08	-0.97
XLM-USDT	5m	''	2021-09-21	2021-10-11	50	0	100	27.93	-2.02	7137.09	92	35.86	11.44	3534.12	25	1	89.38	-282.67	46	4	691.51	11.93
XLM-USDT	5m	''	2021-09-20	2021-10-10	44	0	100	26.36	-2.02	5737.81	93	33.82	10.79	2841.23	25	1	89.38	-278.9	41	3	601.63	4.78
XLM-USDT	5m	''	2021-08-03	2021-08-23	35	0	100	15.77	-2.22	1174.24	91	32.03	7.12	528.12	24	1	81.64	-294.81	32	3	452.05	29.49
XLM-USDT	5m	''	2021-07-29	2021-08-18	42	0	100	16.04	-2.23	1227.05	88	26.13	6.95	551.42	24	1	81.54	-299.38	37	5	531.89	30.03
XLM-USDT	5m	''	2021-08-25	2021-09-14	36	0	100	13.69	-2.13	830.64	89	14.79	6.98	390.02	16	1	79.73	-341.92	32	4	456.78	-5.69
XLM-USDT	5m	''	2021-09-08	2021-09-28	48	0	100	24.66	-5.53	4511.34	94	14.69	8.1	815.74	30	2	87.19	-341.82	45	3	627.66	-19.71
