Pair	 TF	 Dna	 Start Date	 End Date	 Total Trades	 Longs %	 Short %	 Total Net Profit	 Max.DD	 Annual Profit	 Winrate	 Serenity	 Sharpe	 Calmar	 Winning Strike	 Losing Strike	 Largest Winning	 Largest Losing	 Num. of Wins	 Num. of Losses	 Paid Fees	 Market Change
ETH-USDT	5m	'0-t5Nj'	2018-02-15	2021-11-15	72	0	100	70.74	-4.8	15.32	47	13.87	1.5	3.19	3	4	1007.6	-410.14	34	38	552.0	404.37
ETH-USDT	5m	'rw3.?v'	2018-02-15	2021-11-15	157	0	100	55.15	-13.37	12.41	78	0.79	1.13	0.93	18	3	171.95	-566.96	122	35	1162.49	404.37
ETH-USDT	5m	'rw3..v'	2018-02-15	2021-11-15	215	0	100	45.75	-17.51	10.56	73	0.41	0.86	0.6	22	4	172.66	-700.31	158	57	1577.44	404.37
ETH-USDT	5m	'9`,1Mk'	2018-02-15	2021-11-15	311	0	100	27.82	-15.96	6.76	65	0.17	0.68	0.42	20	5	108.54	-387.06	202	109	1833.09	404.37
ETH-USDT	5m	'Ci:)WZ'	2018-02-15	2021-11-15	471	0	100	21.03	-34.16	5.22	62	0.02	0.4	0.15	11	9	120.96	-501.69	294	177	2614.55	404.37
ETH-USDT	5m	'@i:)WZ'	2018-02-15	2021-11-15	471	0	100	15.64	-31.45	3.95	62	0.02	0.33	0.13	12	8	116.05	-453.45	290	181	2485.28	404.37
ETH-USDT	5m	'@i:)sZ'	2018-02-15	2021-11-15	321	0	100	13.22	-25.49	3.36	63	0.02	0.32	0.13	16	7	113.87	-409.04	201	120	1781.28	404.37
ETH-USDT	5m	'Ei:)WZ'	2018-02-15	2021-11-15	457	0	100	4.77	-35.04	1.25	63	0.01	0.16	0.04	15	7	111.73	-629.42	287	170	2562.28	404.37
ETH-USDT	5m	'Ii()[Z'	2018-02-15	2021-11-15	519	0	100	-2.68	-37.6	-0.72	80	-0.0	-0.03	-0.02	29	5	36.27	-467.48	414	105	2653.95	404.37
ETH-USDT	5m	'Ei4)lT'	2018-02-15	2021-11-15	468	0	100	-5.89	-34.13	-1.6	65	-0.01	-0.05	-0.05	22	8	83.1	-425.23	306	162	2409.79	404.37
ETH-USDT	5m	'Ji()lZ'	2018-02-15	2021-11-15	404	0	100	-3.36	-31.19	-0.91	80	-0.0	-0.07	-0.03	26	5	35.21	-355.32	322	82	2017.57	404.37
ETH-USDT	5m	'Ji()[Z'	2018-02-15	2021-11-15	515	0	100	-13.47	-44.15	-3.78	79	-0.01	-0.35	-0.09	28	5	35.21	-400.48	405	110	2389.37	404.37
ETH-USDT	5m	'Ji()sZ'	2018-02-15	2021-11-15	372	0	100	-10.81	-32.59	-3.0	78	-0.01	-0.35	-0.09	24	6	35.21	-338.32	292	80	1793.15	404.37
ETH-USDT	5m	'@i()[Z'	2018-02-15	2021-11-15	528	0	100	-15.45	-35.41	-4.37	78	-0.01	-0.43	-0.12	36	4	35.21	-400.68	410	118	2509.41	404.37
ETH-USDT	5m	'Ai()[Z'	2018-02-15	2021-11-15	528	0	100	-15.45	-35.41	-4.37	78	-0.01	-0.43	-0.12	36	4	35.21	-400.68	410	118	2509.41	404.37
ETH-USDT	5m	'Ji()[C'	2018-02-15	2021-11-15	747	0	100	-20.37	-40.26	-5.89	77	-0.01	-0.48	-0.15	30	4	35.21	-418.26	573	174	3446.05	404.37
ETH-USDT	5m	'Ji()[M'	2018-02-15	2021-11-15	686	0	100	-20.54	-41.33	-5.94	78	-0.01	-0.5	-0.14	35	4	35.21	-412.2	533	153	3156.07	404.37
ETH-USDT	5m	'Ji()[N'	2018-02-15	2021-11-15	675	0	100	-20.49	-40.88	-5.93	78	-0.01	-0.5	-0.14	35	4	35.21	-415.35	525	150	3116.37	404.37
ETH-USDT	5m	'Ji()[:'	2018-02-15	2021-11-15	770	0	100	-23.3	-41.35	-6.82	76	-0.01	-0.56	-0.17	30	4	35.21	-409.15	585	185	3482.23	404.37
ETH-USDT	5m	'Ji()[)'	2018-02-15	2021-11-15	772	0	100	-24.4	-41.8	-7.18	76	-0.01	-0.59	-0.17	30	4	35.21	-406.0	585	187	3474.78	404.37
ETH-USDT	5m	'Ji()[*'	2018-02-15	2021-11-15	772	0	100	-24.4	-41.8	-7.18	76	-0.01	-0.59	-0.17	30	4	35.21	-406.0	585	187	3474.78	404.37
ETH-USDT	5m	'Ji()9Z'	2018-02-15	2021-11-15	668	0	100	-23.75	-41.65	-6.97	77	-0.01	-0.6	-0.17	29	4	35.21	-412.84	517	151	3058.49	404.37
ETH-USDT	5m	'?i()[Z'	2018-02-15	2021-11-15	540	0	100	-21.68	-33.05	-6.3	77	-0.01	-0.62	-0.19	24	4	35.21	-374.69	414	126	2596.64	404.37
ETH-USDT	5m	'Ji()AZ'	2018-02-15	2021-11-15	640	0	100	-24.23	-42.4	-7.12	78	-0.01	-0.62	-0.17	34	4	35.21	-407.52	497	143	2919.0	404.37
ETH-USDT	5m	'Ji()7Z'	2018-02-15	2021-11-15	677	0	100	-24.45	-42.06	-7.2	77	-0.01	-0.62	-0.17	29	4	35.21	-409.98	522	155	3105.28	404.37
ETH-USDT	5m	'Ji()OZ'	2018-02-15	2021-11-15	574	0	100	-24.34	-42.43	-7.16	78	-0.01	-0.64	-0.17	32	5	35.21	-408.46	447	127	2644.81	404.37
ETH-USDT	5m	'Ji()/Z'	2018-02-15	2021-11-15	690	0	100	-27.35	-43.36	-8.16	77	-0.01	-0.71	-0.19	29	5	35.21	-399.35	529	161	3090.01	404.37
