iteration,dna,fitness,training_log.win-rate,training_log.total,training_log.PNL,testing_log.win-rate,testing_log.total,testing_log.PNL,parameters.ott_len,parameters.ott_percent,parameters.stop_loss,parameters.risk_reward,parameters.chop_rsi_len,parameters.chop_bandwidth
60,0-t5Nj,0.2909360288976585,53,15,23.94,66,3,3.67,7,97,387,22,27,252
60,1*e0^R,0.22947312022503186,33,258,78.82,29,71,-24.61,7,69,320,17,36,164
60,"<q,4O?",0.19172253966634653,62,255,75.82,60,69,1.97,14,743,68,21,27,94
60,"oGd,\v",0.18791757937089168,80,15,37.49,100,1,4.34,45,344,316,14,35,296
60,Bq6+ej,0.15921633428832102,83,43,32.82,66,3,1.67,18,743,112,13,40,252
60,;9(VKr,0.14455809830647467,50,53,29.06,66,6,8.58,14,211,50,51,25,282
60,Y=.Faj,0.11039680228501418,57,40,27.71,42,7,-8.21,32,249,77,37,37,252
60,Eql+he,0.1083890983494565,50,51,47.08,37,8,2.21,20,743,351,13,41,234
60,.:DSXq,0.10179284899632556,44,18,15.0,100,1,2.9,6,221,174,48,32,278
60,Ou+?Rw,0.09864987532719639,72,37,23.5,75,4,4.11,26,781,63,30,29,300
60,8r6-OF,0.09714143809700475,56,272,27.55,57,68,-10.17,12,753,112,14,27,120
60,su69Ct,0.09066163399329555,64,45,30.31,76,13,2.86,48,781,112,25,20,289
60,_u0G[G,0.08518702105657083,46,145,14.88,47,46,-0.84,35,781,85,37,34,124
60,ms45j\,0.08341175872545334,69,69,30.1,78,23,28.76,44,762,103,22,43,201
60,=)W54n,0.08008981804532016,33,420,14.92,39,98,36.59,15,59,258,22,12,267
60,Kw+.3v,0.07442196814208511,78,110,15.0,78,32,3.2,23,800,63,15,11,296
60,@u+GPG,0.07439676917162069,47,205,19.53,42,63,-18.13,17,781,63,37,28,124
60,Pi)4Iw,0.07283867551725648,82,45,13.56,66,6,0.28,26,667,54,21,24,300
60,>cX0lZ,0.06128994085289646,39,110,14.57,48,29,18.64,15,610,263,17,44,194
60,79llcf,0.05831206487555071,40,25,10.61,100,3,5.63,11,211,351,70,39,238
60,"9`,1Mk",0.05815245093813471,67,93,10.34,90,21,20.06,12,582,68,18,26,256
60,<_)A8(,0.05708372918768283,49,324,8.29,62,78,28.74,14,572,54,32,14,10
60,rw3.?v,0.05661255153008226,78,51,27.64,93,15,16.19,47,800,99,15,18,296
60,rw3.?v,0.05661255153008226,78,51,27.64,93,15,16.19,47,800,99,15,18,296
60,hwb(bZ,0.0556807880447517,56,87,16.46,64,25,-5.55,41,800,307,10,38,194
60,rw3..v,0.05173938700371418,77,67,24.35,79,24,10.84,47,800,99,15,8,296
60,Nu@4Qq,0.05083764563955858,56,48,12.39,80,5,12.12,25,781,156,21,28,278
60,_u?9[G,0.05060979942825031,39,145,-28.62,43,46,-22.93,35,781,152,25,34,124
60,_u?9[G,0.05060979942825031,39,145,-28.62,43,46,-22.93,35,781,152,25,34,124
60,JmR5Ct,0.0500316184554062,41,65,12.4,50,14,10.6,23,705,236,22,20,289
60,0-t5Nj,0.2909360288976585,53,15,23.94,66,3,3.67,7,97,387,22,27,252
60,1*e0^R,0.22947312022503186,33,258,78.82,29,71,-24.61,7,69,320,17,36,164
60,"<q,4O?",0.19172253966634653,62,255,75.82,60,69,1.97,14,743,68,21,27,94
60,"oGd,\v",0.18791757937089168,80,15,37.49,100,1,4.34,45,344,316,14,35,296
60,Bq6+ej,0.15921633428832102,83,43,32.82,66,3,1.67,18,743,112,13,40,252
60,;9(VKr,0.14455809830647467,50,53,29.06,66,6,8.58,14,211,50,51,25,282
60,Y=.Faj,0.11039680228501418,57,40,27.71,42,7,-8.21,32,249,77,37,37,252
60,Eql+he,0.1083890983494565,50,51,47.08,37,8,2.21,20,743,351,13,41,234
60,.:DSXq,0.10179284899632556,44,18,15.0,100,1,2.9,6,221,174,48,32,278
60,Ou+?Rw,0.09864987532719639,72,37,23.5,75,4,4.11,26,781,63,30,29,300
60,8r6-OF,0.09714143809700475,56,272,27.55,57,68,-10.17,12,753,112,14,27,120
60,su69Ct,0.09066163399329555,64,45,30.31,76,13,2.86,48,781,112,25,20,289
60,_u0G[G,0.08518702105657083,46,145,14.88,47,46,-0.84,35,781,85,37,34,124
60,ms45j\,0.08341175872545334,69,69,30.1,78,23,28.76,44,762,103,22,43,201
60,=)W54n,0.08008981804532016,33,420,14.92,39,98,36.59,15,59,258,22,12,267
60,Kw+.3v,0.07442196814208511,78,110,15.0,78,32,3.2,23,800,63,15,11,296
60,@u+GPG,0.07439676917162069,47,205,19.53,42,63,-18.13,17,781,63,37,28,124
60,Pi)4Iw,0.07283867551725648,82,45,13.56,66,6,0.28,26,667,54,21,24,300
60,>cX0lZ,0.06128994085289646,39,110,14.57,48,29,18.64,15,610,263,17,44,194
60,79llcf,0.05831206487555071,40,25,10.61,100,3,5.63,11,211,351,70,39,238
60,"9`,1Mk",0.05815245093813471,67,93,10.34,90,21,20.06,12,582,68,18,26,256
60,<_)A8(,0.05708372918768283,49,324,8.29,62,78,28.74,14,572,54,32,14,10
60,rw3.?v,0.05661255153008226,78,51,27.64,93,15,16.19,47,800,99,15,18,296
60,rw3.?v,0.05661255153008226,78,51,27.64,93,15,16.19,47,800,99,15,18,296
60,hwb(bZ,0.0556807880447517,56,87,16.46,64,25,-5.55,41,800,307,10,38,194
60,rw3..v,0.05173938700371418,77,67,24.35,79,24,10.84,47,800,99,15,8,296
60,Nu@4Qq,0.05083764563955858,56,48,12.39,80,5,12.12,25,781,156,21,28,278
60,_u?9[G,0.05060979942825031,39,145,-28.62,43,46,-22.93,35,781,152,25,34,124
60,_u?9[G,0.05060979942825031,39,145,-28.62,43,46,-22.93,35,781,152,25,34,124
60,JmR5Ct,0.0500316184554062,41,65,12.4,50,14,10.6,23,705,236,22,20,289
120,0-t5Nj,0.2909360288976585,53,15,23.94,66,3,3.67,7,97,387,22,27,252
120,1*e0^R,0.22947312022503186,33,258,78.82,29,71,-24.61,7,69,320,17,36,164
120,"<q,4O?",0.19172253966634653,62,255,75.82,60,69,1.97,14,743,68,21,27,94
120,"oGd,\v",0.18791757937089168,80,15,37.49,100,1,4.34,45,344,316,14,35,296
120,Bq6+ej,0.15921633428832102,83,43,32.82,66,3,1.67,18,743,112,13,40,252
120,;9(VKr,0.14455809830647467,50,53,29.06,66,6,8.58,14,211,50,51,25,282
120,Eql+he,0.1083890983494565,50,51,47.08,37,8,2.21,20,743,351,13,41,234
120,Ou+?Rw,0.09864987532719639,72,37,23.5,75,4,4.11,26,781,63,30,29,300
120,8r6-OF,0.09714143809700475,56,272,27.55,57,68,-10.17,12,753,112,14,27,120
120,su69Ct,0.09066163399329555,64,45,30.31,76,13,2.86,48,781,112,25,20,289
120,_u0G[G,0.08518702105657083,46,145,14.88,47,46,-0.84,35,781,85,37,34,124
120,ms45j\,0.08341175872545334,69,69,30.1,78,23,28.76,44,762,103,22,43,201
120,=)W54n,0.08008981804532016,33,420,14.92,39,98,36.59,15,59,258,22,12,267
120,@u+GPG,0.07439676917162069,47,205,19.53,42,63,-18.13,17,781,63,37,28,124
120,Pi)4Iw,0.07283867551725648,82,45,13.56,66,6,0.28,26,667,54,21,24,300
120,>cX0lZ,0.06128994085289646,39,110,14.57,48,29,18.64,15,610,263,17,44,194
120,hw?.[v,0.05932158090278767,90,20,39.81,50,2,-2.98,41,800,152,15,34,296
120,79llcf,0.05831206487555071,40,25,10.61,100,3,5.63,11,211,351,70,39,238
120,"9`,1Mk",0.05815245093813471,67,93,10.34,90,21,20.06,12,582,68,18,26,256
120,_w?.[(,0.057724975800474795,58,146,22.27,53,45,-12.36,35,800,152,15,34,10
120,_w?.[*,0.057724975800474795,58,146,22.27,53,45,-12.36,35,800,152,15,34,17
120,<_)A8(,0.05708372918768283,49,324,8.29,62,78,28.74,14,572,54,32,14,10
120,rw3.?v,0.05661255153008226,78,51,27.64,93,15,16.19,47,800,99,15,18,296
120,rw3.?v,0.05661255153008226,78,51,27.64,93,15,16.19,47,800,99,15,18,296
120,hwb(bZ,0.0556807880447517,56,87,16.46,64,25,-5.55,41,800,307,10,38,194
120,_w?.[a,0.054574500092650004,66,71,25.98,58,24,-5.07,35,800,152,15,34,219
120,rw3..v,0.05173938700371418,77,67,24.35,79,24,10.84,47,800,99,15,8,296
120,Nu@4Qq,0.05083764563955858,56,48,12.39,80,5,12.12,25,781,156,21,28,278
120,_w?.7v,0.05064219731226455,68,58,22.44,65,20,-0.27,35,800,152,15,14,296
120,_u?9[G,0.05060979942825031,39,145,-28.62,43,46,-22.93,35,781,152,25,34,124
180,0-t5Nj,0.2909360288976585,53,15,23.94,66,3,3.67,7,97,387,22,27,252
180,"<q,4O?",0.19172253966634653,62,255,75.82,60,69,1.97,14,743,68,21,27,94
180,"oGd,\v",0.18791757937089168,80,15,37.49,100,1,4.34,45,344,316,14,35,296
180,;9(VKr,0.14455809830647467,50,53,29.06,66,6,8.58,14,211,50,51,25,282
180,Eql+he,0.1083890983494565,50,51,47.08,37,8,2.21,20,743,351,13,41,234
180,Ou+?Rw,0.09864987532719639,72,37,23.5,75,4,4.11,26,781,63,30,29,300
180,8r6-OF,0.09714143809700475,56,272,27.55,57,68,-10.17,12,753,112,14,27,120
180,su69Ct,0.09066163399329555,64,45,30.31,76,13,2.86,48,781,112,25,20,289
180,_u0G[G,0.08518702105657083,46,145,14.88,47,46,-0.84,35,781,85,37,34,124
180,ms45j\,0.08341175872545334,69,69,30.1,78,23,28.76,44,762,103,22,43,201
180,=)W54n,0.08008981804532016,33,420,14.92,39,98,36.59,15,59,258,22,12,267
180,Pi)4Iw,0.07283867551725648,82,45,13.56,66,6,0.28,26,667,54,21,24,300
180,>cX0lZ,0.06128994085289646,39,110,14.57,48,29,18.64,15,610,263,17,44,194
180,hw?.[v,0.05932158090278767,90,20,39.81,50,2,-2.98,41,800,152,15,34,296
180,gc?0[Z,0.0592716999973256,61,109,42.23,65,29,4.21,40,610,152,17,34,194
180,79llcf,0.05831206487555071,40,25,10.61,100,3,5.63,11,211,351,70,39,238
180,"9`,1Mk",0.05815245093813471,67,93,10.34,90,21,20.06,12,582,68,18,26,256
180,_w?.[(,0.057724975800474795,58,146,22.27,53,45,-12.36,35,800,152,15,34,10
180,_w?.[*,0.057724975800474795,58,146,22.27,53,45,-12.36,35,800,152,15,34,17
180,<_)A8(,0.05708372918768283,49,324,8.29,62,78,28.74,14,572,54,32,14,10
180,rw3.?v,0.05661255153008226,78,51,27.64,93,15,16.19,47,800,99,15,18,296
180,hwb(bZ,0.0556807880447517,56,87,16.46,64,25,-5.55,41,800,307,10,38,194
180,_w?.[a,0.054574500092650004,66,71,25.98,58,24,-5.07,35,800,152,15,34,219
180,mc?0[Z,0.0537151048368649,61,111,31.34,68,32,11.79,44,610,152,17,34,194
180,rw3..v,0.05173938700371418,77,67,24.35,79,24,10.84,47,800,99,15,8,296
180,Nu@4Qq,0.05083764563955858,56,48,12.39,80,5,12.12,25,781,156,21,28,278
180,_w?.7v,0.05064219731226455,68,58,22.44,65,20,-0.27,35,800,152,15,14,296
180,_u?9[G,0.05060979942825031,39,145,-28.62,43,46,-22.93,35,781,152,25,34,124
180,_u?9[G,0.05060979942825031,39,145,-28.62,43,46,-22.93,35,781,152,25,34,124
180,JmR5Ct,0.0500316184554062,41,65,12.4,50,14,10.6,23,705,236,22,20,289
240,0-t5Nj,0.2909360288976585,53,15,23.94,66,3,3.67,7,97,387,22,27,252
240,"<q,4O?",0.19172253966634653,62,255,75.82,60,69,1.97,14,743,68,21,27,94
240,"oGd,\v",0.18791757937089168,80,15,37.49,100,1,4.34,45,344,316,14,35,296
240,;9(VKr,0.14455809830647467,50,53,29.06,66,6,8.58,14,211,50,51,25,282
240,Eql+he,0.1083890983494565,50,51,47.08,37,8,2.21,20,743,351,13,41,234
240,Ou+?Rw,0.09864987532719639,72,37,23.5,75,4,4.11,26,781,63,30,29,300
240,8r6-OF,0.09714143809700475,56,272,27.55,57,68,-10.17,12,753,112,14,27,120
240,su69Ct,0.09066163399329555,64,45,30.31,76,13,2.86,48,781,112,25,20,289
240,_u0G[G,0.08518702105657083,46,145,14.88,47,46,-0.84,35,781,85,37,34,124
240,ms45j\,0.08341175872545334,69,69,30.1,78,23,28.76,44,762,103,22,43,201
240,=)W54n,0.08008981804532016,33,420,14.92,39,98,36.59,15,59,258,22,12,267
240,;9?l[f,0.07609016495730757,39,56,34.13,66,6,8.02,14,211,152,70,34,238
240,=9?l[f,0.07374372102280681,37,56,32.14,57,7,6.15,15,211,152,70,34,238
240,Pi)4Iw,0.07283867551725648,82,45,13.56,66,6,0.28,26,667,54,21,24,300
240,>cX0lZ,0.06128994085289646,39,110,14.57,48,29,18.64,15,610,263,17,44,194
240,hw?.[v,0.05932158090278767,90,20,39.81,50,2,-2.98,41,800,152,15,34,296
