['Pair', 'TF', 'Dna', 'Start Date', 'End Date', 'Total Trades', 'Total Net Profit', 'Max.DD', 'Annual Profit', 'Winrate', 'Serenity', 'Sharpe', 'Calmar', 'Winning Strike', 'Losing Strike', 'Largest Winning', 'Largest Losing', 'Num. of Wins', 'Num. of Loses', 'Market Change']
['BTC-USDT', '5m', 'BTC-USDT', '2021-04-01', '2021-12-19', '31', '25.3', '-7.27', 49, '74', '2.35', '2.68', '6.76', '7', '1', 405, -459, '23', '8', '-20.49']
['ETH-USDT', '5m', 'ETH-USDT', '2021-04-01', '2021-12-19', '52', '28.51', '-9.91', 70, '62', '2.52', '2.77', '7.09', '6', '5', 535, -826, '32', '20', '104.54']
['SOL-USDT', '5m', 'SOL-USDT', '2021-04-01', '2021-12-19', '69', '-1.95', '-29.25', 16, '57', '0.04', '0.65', '0.55', '6', '4', 385, -1008, '39', '30', '839.61']
['DYDX-USDT', '5m', 'DYDX-USDT', '2021-04-01', '2021-12-19', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['FTM-USDT', '5m', 'FTM-USDT', '2021-04-01', '2021-12-19', '93', '7.53', '-18.85', 48, '57', '0.61', '1.32', '2.53', '9', '5', 457, -672, '53', '40', '233.77']
['AVAX-USDT', '5m', 'AVAX-USDT', '2021-04-01', '2021-12-19', '79', '-48.88', '-40.73', -36, '48', '-0.04', '-1.15', '-0.9', '3', '3', 397, -1145, '38', '41', '301.79']
['LUNA-USDT', '5m', 'LUNA-USDT', '2021-04-01', '2021-12-19', '89', '-37.97', '-18.93', 18, '48', '0.19', '0.64', '0.95', '3', '5', 417, -709, '43', '46', '295.94']
['FIL-USDT', '5m', 'FIL-USDT', '2021-04-01', '2021-12-19', '55', '26.3', '-6.92', 73, '56', '4.68', '2.34', '10.59', '4', '3', 522, -666, '31', '24', '-81.13']
['ADA-USDT', '5m', 'ADA-USDT', '2021-04-01', '2021-12-19', '60', '-14.63', '-13.36', 10, '52', '0.13', '0.5', '0.74', '5', '4', 398, -624, '31', '29', '3.81']
['COTI-USDT', '5m', 'COTI-USDT', '2021-04-01', '2021-12-19', '83', '-39.4', '-24.59', 19, '53', '0.11', '0.71', '0.78', '7', '5', 469, -1117, '44', '39', '-30.9']
['XRP-USDT', '5m', 'XRP-USDT', '2021-04-01', '2021-12-19', '53', '-27.72', '-24.07', 2, '49', '0.0', '0.19', '0.07', '4', '4', 434, -724, '26', '27', '44.3']
['UNI-USDT', '5m', 'UNI-USDT', '2021-04-01', '2021-12-19', '78', '-22.59', '-16.61', -12, '47', '-0.1', '-0.28', '-0.71', '7', '5', 355, -667, '37', '41', '-45.0']
['DOT-USDT', '5m', 'DOT-USDT', '2021-04-01', '2021-12-19', '62', '23.82', '-13.66', 66, '65', '1.09', '2.17', '4.83', '10', '5', 546, -1183, '40', '22', '-31.32']
['BNB-USDT', '5m', 'BNB-USDT', '2021-04-01', '2021-12-19', '50', '15.03', '-7.07', 53, '52', '2.49', '2.02', '7.46', '5', '3', 473, -549, '26', '24', '75.73']
['ATOM-USDT', '5m', 'ATOM-USDT', '2021-04-01', '2021-12-19', '72', '-15.86', '-18.45', 17, '51', '0.14', '0.68', '0.91', '5', '5', 434, -947, '37', '35', '20.75']
['CELR-USDT', '5m', 'CELR-USDT', '2021-04-01', '2021-12-19', '86', '-47.08', '-22.39', -8, '48', '-0.04', '-0.17', '-0.37', '7', '5', 379, -655, '41', '45', '-17.09']
['XTZ-USDT', '5m', 'XTZ-USDT', '2021-04-01', '2021-12-19', '70', '-12.18', '-23.67', 9, '53', '0.03', '0.46', '0.4', '5', '5', 397, -668, '37', '33', '-12.87']
