['Pair', 'TF', 'Dna', 'Start Date', 'End Date', 'Total Trades', 'Total Net Profit', 'Max.DD', 'Annual Profit', 'Winrate', 'Sharpe', 'Calmar', 'Serenity', 'Winning Strike', 'Losing Strike', 'Largest Winning', 'Largest Losing', 'Num. of Wins', 'Num. of Loses', 'Market Change']
['BTC-USDT', '5m', 'BTC-USDT', '2021-10-01', '2021-12-19', '7', '7.08', '-4.14', 55, '71', '5.51', '3.27', '13.19', '4', '1', 315, -309, '5', '2', '6.87']
['ETH-USDT', '5m', 'ETH-USDT', '2021-10-01', '2021-12-19', '10', '6.78', '-5.35', 65, '60', '2.13', '3.51', '12.12', '3', '2', 406, -628, '6', '4', '32.03']
['SOL-USDT', '5m', 'SOL-USDT', '2021-10-01', '2021-12-19', '14', '3.61', '-5.02', 39, '50', '0.61', '1.63', '7.68', '3', '4', 380, -435, '7', '7', '29.08']
['DYDX-USDT', '5m', 'DYDX-USDT', '2021-10-01', '2021-12-19', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['FTM-USDT', '5m', 'FTM-USDT', '2021-10-01', '2021-12-19', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['AVAX-USDT', '5m', 'AVAX-USDT', '2021-10-01', '2021-12-19', '21', '-7.25', '-7.38', -5, '48', '-0.07', '-0.07', '-0.69', '2', '3', 368, -525, '10', '11', '74.13']
['LUNA-USDT', '5m', 'LUNA-USDT', '2021-10-01', '2021-12-19', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['FIL-USDT', '5m', 'FIL-USDT', '2021-10-01', '2021-12-19', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['ADA-USDT', '5m', 'ADA-USDT', '2021-10-01', '2021-12-19', '18', '-4.05', '-6.93', -1, '50', '-0.01', '0.08', '-0.12', '3', '3', 371, -475, '9', '9', '-41.29']
['COTI-USDT', '5m', 'COTI-USDT', '2021-10-01', '2021-12-19', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['XRP-USDT', '5m', 'XRP-USDT', '2021-10-01', '2021-12-19', '12', '-6.28', '-12.37', -15, '50', '-0.04', '-0.82', '-1.23', '2', '2', 369, -486, '6', '6', '-13.36']
['UNI-USDT', '5m', 'UNI-USDT', '2021-10-01', '2021-12-19', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['DOT-USDT', '5m', 'DOT-USDT', '2021-10-01', '2021-12-19', '16', '-4.38', '-10.28', 24, '50', '0.29', '1.1', '2.35', '4', '4', 397, -610, '8', '8', '-10.91']
['BNB-USDT', '5m', 'BNB-USDT', '2021-10-01', '2021-12-19', '7', '12.96', '-2.93', 82, '71', '4.71', '4.38', '27.87', '4', '2', 397, -306, '5', '2', '37.84']
['ATOM-USDT', '5m', 'ATOM-USDT', '2021-10-01', '2021-12-19', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['CELR-USDT', '5m', 'CELR-USDT', '2021-10-01', '2021-12-19', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['XTZ-USDT', '5m', 'XTZ-USDT', '2021-10-01', '2021-12-19', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['LINK-USDT', '5m', 'LINK-USDT', '2021-10-01', '2021-12-19', '15', '-2.05', '-10.45', 8, '40', '0.03', '0.48', '0.72', '2', '5', 371, -361, '6', '9', '-18.53']
['SUSHI-USDT', '5m', 'SUSHI-USDT', '2021-10-01', '2021-12-19', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['LTC-USDT', '5m', 'LTC-USDT', '2021-10-01', '2021-12-19', '18', '-0.13', '-10.43', 27, '50', '0.19', '1.3', '2.61', '2', '2', 388, -504, '9', '9', '-2.95']
['EOS-USDT', '5m', 'EOS-USDT', '2021-10-01', '2021-12-19', '10', '8.23', '-2.96', 64, '70', '2.25', '3.39', '21.53', '3', '1', 322, -358, '7', '3', '-17.75']
['ALGO-USDT', '5m', 'ALGO-USDT', '2021-10-01', '2021-12-19', '18', '-11.68', '-18.77', -20, '44', '-0.04', '-0.65', '-1.06', '4', '4', 331, -583, '8', '10', '-15.08']
['DOGE-USDT', '5m', 'DOGE-USDT', '2021-10-01', '2021-12-19', '6', '-0.84', '-12.21', -3, '67', '-0.01', '0.06', '-0.24', '3', '2', 316, -664, '4', '2', '-15.7']
['CRV-USDT', '5m', 'CRV-USDT', '2021-10-01', '2021-12-19', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['MATIC-USDT', '5m', 'MATIC-USDT', '2021-10-01', '2021-12-19', '16', '-6.52', '-10.65', -2, '44', '-0.01', '0.05', '-0.15', '2', '3', 350, -448, '7', '9', '98.15']
