'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Serenity','Sharpe','Calmar','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLoses','MarketChange'
'BTC-USDT','5m','BTC-USDT','2021-01-01','2021-12-19','34','63.93','-4.74',70,'79','5.36','3.55','14.87','12','2',540,-583,'27','7','61.48'
'ETH-USDT','5m','ETH-USDT','2021-01-01','2021-12-19','47','69.58','-8.08',82,'66','6.34','3.29','10.12','5','3',608,-565,'31','16','436.48'
'BNB-USDT','5m','BNB-USDT','2021-01-01','2021-12-19','58','68.56','-12.1',83,'59','2.95','2.25','6.89','6','4',628,-695,'34','24','1326.27'
'AAVE-USDT','5m','AAVE-USDT','2021-01-01','2021-12-19','71','51.8','-10.49',61,'59','2.31','1.87','5.8','6','4',556,-641,'42','29','117.88'
'SUSHI-USDT','5m','SUSHI-USDT','2021-01-01','2021-12-19','76','32.27','-10.12',59,'57','3.66','1.93','5.79','5','4',546,-727,'43','33','94.77'
'LINK-USDT','5m','LINK-USDT','2021-01-01','2021-12-19','68','48.04','-9.79',56,'62','2.15','2.01','5.73','8','4',581,-716,'42','26','73.87'
'XLM-USDT','5m','XLM-USDT','2021-01-01','2021-12-19','55','49.61','-12.82',58,'62','1.63','2.38','4.49','7','5',560,-798,'34','21','99.69'
'DOT-USDT','5m','DOT-USDT','2021-01-01','2021-12-19','59','31.09','-11.17',50,'59','2.68','1.96','4.44','5','3',562,-733,'35','24','173.3'
'CVC-USDT','5m','CVC-USDT','2021-01-01','2021-12-19','70','25.52','-12.47',50,'56','2.05','1.75','4.03','11','5',537,-537,'39','31','294.31'
'HNT-USDT','5m','HNT-USDT','2021-01-01','2021-12-19','95','41.24','-15.5',57,'57','0.93','1.69','3.65','6','6',597,-842,'54','41','2424.25'
'EOS-USDT','5m','EOS-USDT','2021-01-01','2021-12-19','62','33.31','-13.81',50,'60','1.0','1.86','3.59','6','4',472,-640,'37','25','24.71'
'SOL-USDT','5m','SOL-USDT','2021-01-01','2021-12-19','89','49.47','-19.05',65,'56','0.78','1.99','3.4','7','4',573,-732,'50','39','12033.37'
'LRC-USDT','5m','LRC-USDT','2021-01-01','2021-12-19','78','28.65','-13.55',43,'56','0.87','1.43','3.21','7','4',536,-1055,'44','34','1118.95'
'THETA-USDT','5m','THETA-USDT','2021-01-01','2021-12-19','72','24.53','-13.66',39,'56','1.03','1.4','2.86','6','4',536,-703,'40','32','119.82'
'FLM-USDT','5m','FLM-USDT','2021-01-01','2021-12-19','66','21.96','-15.15',39,'56','0.65','1.52','2.59','7','5',469,-636,'37','29','181.21'
'FIL-USDT','5m','FIL-USDT','2021-01-01','2021-12-19','54','24.96','-17.52',42,'52','1.27','1.62','2.4','5','7',524,-609,'28','26','48.0'
'TRX-USDT','5m','TRX-USDT','2021-01-01','2021-12-19','53','22.6','-14.8',35,'57','0.6','1.57','2.37','7','5',500,-648,'30','23','200.15'
'ADA-USDT','5m','ADA-USDT','2021-01-01','2021-12-19','53','20.23','-12.09',27,'58','0.5','1.28','2.26','5','3',499,-622,'31','22','583.94'
'MKR-USDT','5m','MKR-USDT','2021-01-01','2021-12-19','78','21.62','-15.67',29,'51','0.31','0.97','1.83','8','4',517,-1317,'40','38','321.16'
'IOST-USDT','5m','IOST-USDT','2021-01-01','2021-12-19','70','14.56','-18.77',33,'54','0.32','1.2','1.78','7','6',477,-673,'38','32','416.66'
'BLZ-USDT','5m','BLZ-USDT','2021-01-01','2021-12-19','93','-0.33','-16.01',27,'49','0.31','0.98','1.69','5','4',514,-710,'46','47','291.64'
'YFII-USDT','5m','YFII-USDT','2021-01-01','2021-12-19','45','9.05','-12.42',20,'53','0.38','0.99','1.62','5','3',427,-532,'24','21','108.47'
'LTC-USDT','5m','LTC-USDT','2021-01-01','2021-12-19','59','13.71','-14.9',24,'56','0.73','1.04','1.58','5','4',506,-651,'33','26','19.18'
'BAT-USDT','5m','BAT-USDT','2021-01-01','2021-12-19','72','6.6','-19.6',28,'53','0.3','1.08','1.42','7','4',462,-674,'38','34','488.98'
'KAVA-USDT','5m','KAVA-USDT','2021-01-01','2021-12-19','68','-1.41','-17.88',23,'47','0.23','0.94','1.29','5','6',444,-641,'32','36','189.74'
'BAL-USDT','5m','BAL-USDT','2021-01-01','2021-12-19','76','3.47','-15.13',18,'50','0.33','0.78','1.21','5','4',434,-576,'38','38','30.33'
'ZEC-USDT','5m','ZEC-USDT','2021-01-01','2021-12-19','67','15.38','-20.68',24,'54','0.24','1.0','1.15','5','4',420,-540,'36','31','145.84'
'OMG-USDT','5m','OMG-USDT','2021-01-01','2021-12-19','73','19.33','-22.52',26,'55','0.28','0.97','1.14','6','8',499,-711,'40','33','143.73'
'RUNE-USDT','5m','RUNE-USDT','2021-01-01','2021-12-19','94','3.71','-27.94',30,'52','0.16','1.01','1.09','5','6',497,-733,'49','45','450.54'
'REN-USDT','5m','REN-USDT','2021-01-01','2021-12-19','69','23.63','-27.42',29,'61','0.11','0.99','1.05','17','7',533,-727,'42','27','59.11'
'DEFI-USDT','5m','DEFI-USDT','2021-01-01','2021-12-19','54','9.33','-14.63',15,'52','0.19','0.76','1.04','3','4',413,-499,'28','26','255.92'
'XTZ-USDT','5m','XTZ-USDT','2021-01-01','2021-12-19','69','0.28','-16.85',14,'52','0.21','0.65','0.85','4','6',404,-559,'36','33','110.69'
'VET-USDT','5m','VET-USDT','2021-01-01','2021-12-19','57','-3.3','-9.74',8,'49','0.21','0.46','0.85','3','3',371,-479,'28','29','347.77'
'WAVES-USDT','5m','WAVES-USDT','2021-01-01','2021-12-19','47','6.18','-16.96',11,'57','0.14','0.59','0.64','4','3',405,-520,'27','20','178.44'
'EGLD-USDT','5m','EGLD-USDT','2021-01-01','2021-12-19','65','9.63','-19.21',12,'55','0.17','0.55','0.6','7','4',460,-598,'36','29','926.31'
'1INCH-USDT','5m','1INCH-USDT','2021-01-01','2021-12-19','62','-2.42','-16.94',10,'50','0.09','0.53','0.59','5','3',399,-575,'31','31','80.18'
'KNC-USDT','5m','KNC-USDT','2021-01-01','2021-12-19','61','6.46','-16.23',9,'59','0.17','0.48','0.58','6','5',382,-558,'36','25','64.34'
'SXP-USDT','5m','SXP-USDT','2021-01-01','2021-12-19','54','-0.46','-26.16',12,'50','0.07','0.64','0.46','7','9',488,-682,'27','27','97.62'
'ETC-USDT','5m','ETC-USDT','2021-01-01','2021-12-19','54','-4.03','-16.81',7,'50','0.07','0.4','0.41','3','4',416,-545,'27','27','518.08'
'ZIL-USDT','5m','ZIL-USDT','2021-01-01','2021-12-19','68','-4.04','-26.78',9,'47','0.05','0.46','0.33','4','5',494,-713,'32','36','-23.74'
'STORJ-USDT','5m','STORJ-USDT','2021-01-01','2021-12-19','65','-13.24','-21.91',7,'48','0.03','0.38','0.31','8','5',427,-540,'31','34','510.35'
'ALPHA-USDT','5m','ALPHA-USDT','2021-01-01','2021-12-19','78','-1.05','-18.57',6,'53','0.05','0.34','0.3','6','4',383,-537,'41','37','267.19'
'ALGO-USDT','5m','ALGO-USDT','2021-01-01','2021-12-19','59','-8.77','-24.45',4,'53','0.03','0.29','0.18','6','5',460,-635,'31','28','308.66'
'RSR-USDT','5m','RSR-USDT','2021-01-01','2021-12-19','77','-7.39','-23.99',3,'52','0.02','0.26','0.14','5','5',381,-598,'40','37','54.96'
'DASH-USDT','5m','DASH-USDT','2021-01-01','2021-12-19','48','-7.32','-19.33',2,'50','0.01','0.21','0.12','6','6',376,-529,'24','24','29.95'
