'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLoses','MarketChange'
'ALPHA-USDT','5m','ALPHA-USDT','2021-10-01','2021-12-19','10','16.71','-0.9',118,'90','59.72','5.06','130.93','5','1',443,-289,'9','1','-21.58'
'IOST-USDT','5m','IOST-USDT','2021-10-01','2021-12-19','12','5.22','-1.63',94,'58','10.26','4.64','57.56','4','3',396,-365,'7','5','-45.96'
'FTM-USDT','5m','FTM-USDT','2021-10-01','2021-12-19','24','31.97','-6.05',302,'71','6.21','4.91','50.0','5','2',461,-621,'17','7','17.71'
'VET-USDT','5m','VET-USDT','2021-10-01','2021-12-19','14','16.81','-3.0',149,'71','28.97','5.11','49.66','5','2',395,-293,'10','4','-12.6'
'ZEC-USDT','5m','ZEC-USDT','2021-10-01','2021-12-19','22','19.66','-4.09',193,'64','9.83','4.65','47.2','3','2',394,-452,'14','8','47.14'
'XMR-USDT','5m','XMR-USDT','2021-10-01','2021-12-19','8','3.8','-0.91',42,'62','16.16','4.34','46.23','2','1',254,-167,'5','3','-27.9'
'KNC-USDT','5m','KNC-USDT','2021-10-01','2021-12-19','10','6.42','-1.66',76,'70','14.41','4.2','45.82','6','2',262,-158,'7','3','-11.54'
'SC-USDT','5m','SC-USDT','2021-10-01','2021-12-19','17','25.71','-4.47',204,'76','8.28','4.67','45.74','5','1',424,-583,'13','4','5.55'
'YFII-USDT','5m','YFII-USDT','2021-10-01','2021-12-19','10','12.84','-3.31',118,'60','5.17','4.35','35.85','4','3',425,-145,'6','4','-16.01'
'STORJ-USDT','5m','STORJ-USDT','2021-10-01','2021-12-19','19','10.65','-5.09',166,'58','3.4','3.98','32.53','4','2',444,-509,'11','8','63.41'
'NEAR-USDT','5m','NEAR-USDT','2021-10-01','2021-12-19','17','26.87','-6.74',213,'82','2.93','4.07','31.59','7','2',412,-611,'14','3','21.61'
'BTS-USDT','5m','BTS-USDT','2021-10-01','2021-12-19','17','6.9','-3.92',119,'47','2.48','4.29','30.42','2','4',386,-419,'8','9','-17.2'
'BNB-USDT','5m','BNB-USDT','2021-10-01','2021-12-19','7','12.96','-2.93',82,'71','4.71','4.38','27.87','4','2',397,-306,'5','2','37.84'
'ALICE-USDT','5m','ALICE-USDT','2021-10-01','2021-12-19','18','15.43','-6.5',168,'72','5.38','4.58','25.8','4','1',415,-890,'13','5','5.57'
'DENT-USDT','5m','DENT-USDT','2021-10-01','2021-12-19','17','17.43','-4.93',120,'76','3.27','3.02','24.42','6','1',409,-467,'13','4','-25.58'
'RSR-USDT','5m','RSR-USDT','2021-10-01','2021-12-19','18','8.17','-4.08',96,'56','5.36','2.54','23.58','4','3',405,-479,'10','8','3.53'
'BTT-USDT','5m','BTT-USDT','2021-10-01','2021-12-19','18','8.72','-3.92',91,'56','4.83','3.47','23.09','4','2',487,-473,'10','8','-15.62'
'EOS-USDT','5m','EOS-USDT','2021-10-01','2021-12-19','10','8.23','-2.96',64,'70','2.25','3.39','21.53','3','1',322,-358,'7','3','-17.75'
'DEFI-USDT','5m','DEFI-USDT','2021-10-01','2021-12-19','6','5.77','-2.29',45,'67','4.09','3.1','19.56','2','1',371,-257,'4','2','4.74'
