Pair	 TF	 Dna	 Start Date	 End Date	 Total Trades	 Longs %	 Short %	 Total Net Profit	 Max.DD	 Annual Profit	 Winrate	 Serenity	 Sharpe	 Calmar	 Winning Strike	 Losing Strike	 Largest Winning	 Largest Losing	 Num. of Wins	 Num. of Losses	 Paid Fees	 Market Change
ETH-USDT	5m	''	2021-03-07	2021-06-15	137	85	15	67.19	-12.75	1106.89	57	15.1	3.9	86.83	8	5	666.14	-773.4	78	59	1641.69	34.02
ETH-USDT	5m	''	2021-05-01	2021-08-09	143	77	23	95.7	-12.25	1291.09	59	13.97	3.86	105.41	8	5	713.7	-774.79	84	59	1593.53	-20.03
ETH-USDT	5m	''	2021-05-22	2021-08-30	124	78	22	89.6	-9.94	1066.55	60	13.77	4.37	107.32	10	5	692.5	-796.51	74	50	1382.9	36.69
ETH-USDT	5m	''	2018-09-17	2018-12-26	88	74	26	48.05	-9.18	542.77	57	13.24	3.81	59.13	8	5	619.96	-1086.44	50	38	941.99	-43.31
ETH-USDT	5m	''	2021-04-12	2021-07-21	139	77	23	71.93	-10.21	893.26	58	12.19	3.67	87.5	7	5	588.77	-727.72	81	58	1528.29	-39.16
ETH-USDT	5m	''	2021-02-26	2021-06-06	124	85	15	51.54	-10.2	567.47	58	9.4	3.21	55.63	8	5	569.74	-689.33	72	52	1281.59	40.32
ETH-USDT	5m	''	2021-06-27	2021-10-05	83	82	18	79.73	-8.19	772.03	67	8.67	4.34	94.22	10	3	624.45	-678.78	56	27	913.87	63.4
ETH-USDT	5m	''	2018-07-31	2018-11-08	70	67	33	38.36	-9.28	330.64	54	5.62	3.7	35.62	7	8	503.17	-475.64	38	32	683.94	-32.12
ETH-USDT	5m	''	2020-10-17	2021-01-25	78	88	12	51.35	-9.48	485.42	60	4.92	4.74	51.2	7	6	551.4	-815.24	47	31	783.66	168.52
ETH-USDT	5m	''	2018-08-05	2018-11-13	64	67	33	23.21	-9.29	186.86	50	3.43	2.91	20.12	5	8	441.67	-451.32	32	32	588.67	-29.1
ETH-USDT	5m	''	2018-06-10	2018-09-18	91	66	34	44.6	-11.89	401.08	55	3.42	3.98	33.73	8	8	522.11	-552.4	50	41	881.21	-41.58
ETH-USDT	5m	''	2018-06-11	2018-09-19	88	68	32	38.85	-11.88	370.07	55	3.21	3.88	31.14	8	8	499.58	-547.14	48	40	851.68	-32.77
ETH-USDT	5m	''	2018-10-15	2019-01-23	97	73	27	36.49	-14.08	459.57	59	2.95	3.3	32.63	8	6	628.73	-1110.35	57	40	1170.41	-38.68
ETH-USDT	5m	''	2020-06-12	2020-09-20	45	84	16	25.16	-8.32	167.55	58	2.77	3.06	20.14	5	6	427.44	-650.33	26	19	411.03	51.58
ETH-USDT	5m	''	2018-06-18	2018-09-26	89	69	31	32.07	-11.89	293.26	53	2.73	3.46	24.67	8	8	502.26	-522.68	47	42	846.19	-32.15
ETH-USDT	5m	''	2018-06-02	2018-09-10	89	67	33	22.25	-11.89	183.63	52	1.97	2.71	15.45	8	8	455.03	-527.55	46	43	809.42	-38.84
ETH-USDT	5m	''	2018-10-16	2019-01-24	93	72	28	24.76	-14.08	290.24	58	1.96	2.8	20.61	8	6	569.01	-1004.97	54	39	1029.06	-43.8
ETH-USDT	5m	''	2018-05-15	2018-08-23	89	72	28	20.8	-11.89	157.59	51	1.72	2.54	13.25	8	4	451.8	-522.62	45	44	766.3	-38.32
ETH-USDT	5m	''	2018-05-07	2018-08-15	80	70	30	21.31	-11.89	162.11	51	1.58	2.63	13.63	8	4	366.84	-473.89	41	39	672.54	-44.65
ETH-USDT	5m	''	2020-12-25	2021-04-04	138	88	12	88.68	-27.11	1188.23	61	1.33	3.93	43.82	14	6	810.26	-2205.76	84	54	1789.69	419.11
ETH-USDT	5m	''	2019-09-01	2019-12-10	46	78	22	12.85	-11.19	83.86	59	1.03	1.91	7.5	6	3	440.58	-539.42	27	19	435.54	-21.55
ETH-USDT	5m	''	2020-09-16	2020-12-25	52	77	23	13.64	-10.93	147.19	50	1.01	2.77	13.47	6	6	402.01	-424.54	26	26	454.94	69.14
ETH-USDT	5m	''	2020-09-15	2020-12-24	52	77	23	13.64	-10.93	147.19	50	1.01	2.77	13.47	6	6	402.01	-424.54	26	26	454.94	57.81
ETH-USDT	5m	''	2020-08-30	2020-12-08	60	75	25	19.55	-12.48	150.0	53	1.01	2.5	12.02	6	5	453.63	-574.79	32	28	549.29	47.75
ETH-USDT	5m	''	2021-02-05	2021-05-16	127	88	12	55.49	-27.14	572.69	57	0.96	2.91	21.1	14	6	614.66	-1595.66	73	54	1529.33	351.58
ETH-USDT	5m	''	2020-09-20	2020-12-29	59	80	20	14.08	-12.47	148.75	47	0.94	2.66	11.93	6	6	436.26	-421.58	28	31	516.19	88.93
ETH-USDT	5m	''	2021-01-25	2021-05-05	125	88	12	50.21	-27.09	512.78	58	0.84	2.94	18.93	13	6	563.13	-1548.73	72	53	1410.01	517.95
ETH-USDT	5m	''	2018-11-19	2019-02-27	112	78	22	29.0	-20.02	339.39	57	0.83	2.84	16.96	8	6	515.38	-899.96	64	48	1151.04	-13.28
ETH-USDT	5m	''	2018-04-19	2018-07-28	82	80	20	6.13	-11.89	69.27	46	0.79	1.42	5.83	4	4	389.0	-571.02	38	44	707.27	1.16
ETH-USDT	5m	''	2018-03-14	2018-06-22	109	76	24	4.55	-14.56	60.14	53	0.79	1.19	4.13	7	5	397.72	-596.79	58	51	905.15	5.24
ETH-USDT	5m	''	2019-01-17	2019-04-27	71	92	8	9.73	-12.23	94.19	52	0.68	1.62	7.7	4	5	451.56	-495.62	37	34	643.81	118.49
ETH-USDT	5m	''	2019-01-19	2019-04-29	71	92	8	9.73	-12.23	94.19	52	0.66	1.62	7.7	4	5	451.56	-495.62	37	34	643.81	111.15
ETH-USDT	5m	''	2019-01-10	2019-04-20	74	86	14	15.98	-17.51	137.13	54	0.53	1.98	7.83	5	6	431.12	-503.39	40	34	638.01	107.46
ETH-USDT	5m	''	2018-02-18	2018-05-29	111	74	26	4.49	-18.64	62.41	58	0.46	1.14	3.35	7	5	397.65	-787.58	64	47	903.88	-26.81
ETH-USDT	5m	''	2021-02-03	2021-05-14	118	89	11	29.94	-27.43	282.66	55	0.44	2.37	10.3	11	6	544.23	-1407.93	65	53	1259.49	402.7
ETH-USDT	5m	''	2019-01-07	2019-04-17	74	86	14	10.38	-17.51	108.83	51	0.43	1.73	6.21	5	6	442.02	-518.46	38	36	662.45	83.47
