Pair	 TF	 Dna	 Start Date	 End Date	 Total Trades	 Longs %	 Short %	 Total Net Profit	 Max.DD	 Annual Profit	 Winrate	 Serenity	 Sharpe	 Calmar	 Winning Strike	 Losing Strike	 Largest Winning	 Largest Losing	 Num. of Wins	 Num. of Losses	 Paid Fees	 Market Change
ETH-USDT	5m	'0350781380640523'	2020-09-01	2021-12-07	46	100	0	98.53	-4.24	74.7	74	26.91	3.59	17.64	8	1	726.68	-588.11	34	12	522.42	1223.8
ETH-USDT	5m	'0330781490640663'	2020-09-01	2021-12-07	60	100	0	140.14	-5.12	103.4	70	40.86	3.48	20.21	7	3	881.21	-717.52	42	18	741.2	1223.8
ETH-USDT	5m	'0310941471100523'	2020-09-01	2021-12-07	57	100	0	77.1	-4.1	59.64	81	29.83	3.48	14.53	18	2	461.31	-534.32	46	11	605.4	1223.8
ETH-USDT	5m	'0310781471100523'	2020-09-01	2021-12-07	43	100	0	56.36	-4.02	44.77	79	55.97	3.46	11.13	12	3	356.28	-337.95	34	9	425.82	1223.8
ETH-USDT	5m	'0330941470920553'	2020-09-01	2021-12-07	57	100	0	121.66	-5.61	90.2	75	22.85	3.46	16.08	10	2	892.97	-644.51	43	14	696.58	1223.8
ETH-USDT	5m	'0331291121060523'	2020-09-01	2021-12-07	385	100	0	399.26	-22.28	296.32	61	22.72	3.46	13.3	11	5	1471.77	-1544.01	236	149	8674.15	1223.8
ETH-USDT	5m	'0330781490890673'	2020-09-01	2021-12-07	62	100	0	99.48	-4.96	77.24	79	26.22	3.4	15.57	9	3	565.93	-644.28	49	13	671.4	1223.8
ETH-USDT	5m	'0340861470860523'	2020-09-01	2021-12-07	42	100	0	65.77	-4.19	51.08	79	24.33	3.39	12.2	10	1	478.07	-518.89	33	9	433.54	1223.8
ETH-USDT	5m	'0331031471100493'	2020-09-01	2021-12-07	56	100	0	75.73	-5.06	59.94	77	18.64	3.36	11.86	12	2	462.45	-533.11	43	13	575.81	1223.8
ETH-USDT	5m	'0330781490840673'	2020-09-01	2021-12-07	62	100	0	110.15	-5.01	83.72	77	31.26	3.36	16.71	9	3	714.16	-655.0	48	14	688.74	1223.8
ETH-USDT	5m	'0331291110410523'	2020-09-01	2021-12-07	409	100	0	615.47	-27.18	394.63	60	19.15	3.35	14.52	11	5	2621.18	-2063.12	245	164	11250.43	1223.8
ETH-USDT	5m	'0331031491100493'	2020-09-01	2021-12-07	55	100	0	74.57	-5.06	58.74	78	18.66	3.35	11.62	12	2	458.04	-533.11	43	12	559.98	1223.8
ETH-USDT	5m	'70788869522'	2020-09-01	2021-12-07	114	100	0	150.73	-9.47	118.58	67	11.97	3.33	12.53	12	4	794.0	-841.62	76	38	1547.32	1223.8
ETH-USDT	5m	'0331031471040493'	2020-09-01	2021-12-07	56	100	0	88.6	-5.04	68.38	75	25.33	3.31	13.57	12	2	621.2	-565.92	42	14	601.06	1223.8
ETH-USDT	5m	'0321031491100503'	2020-09-01	2021-12-07	50	100	0	66.43	-4.96	51.53	78	17.22	3.29	10.38	11	1	431.85	-558.43	39	11	501.34	1223.8
ETH-USDT	5m	'0331031470500493'	2020-09-01	2021-12-07	56	100	0	93.62	-5.56	72.22	75	23.3	3.29	12.99	12	2	620.66	-554.24	42	14	603.81	1223.8
ETH-USDT	5m	'0321031481100913'	2020-09-01	2021-12-07	96	100	0	130.3	-10.29	105.77	75	11.66	3.27	10.28	11	2	636.58	-635.03	72	24	1135.94	1223.8
ETH-USDT	5m	'57788842712'	2020-09-01	2021-12-07	202	100	0	310.31	-15.85	216.35	68	13.08	3.26	13.65	11	3	1333.39	-1248.15	137	65	3302.89	1223.8
ETH-USDT	5m	'0701701340690523'	2020-09-01	2021-12-07	118	100	0	218.3	-12.24	159.53	68	20.39	3.26	13.03	10	3	1074.64	-1030.21	80	38	1692.93	1223.8
ETH-USDT	5m	'0330781470840673'	2020-09-01	2021-12-07	67	100	0	116.86	-5.01	88.22	76	28.63	3.25	17.61	10	3	736.35	-643.09	51	16	749.69	1223.8
ETH-USDT	5m	'0321031491060503'	2020-09-01	2021-12-07	51	100	0	75.63	-4.59	58.14	76	24.93	3.25	12.67	11	1	489.73	-581.25	39	12	526.29	1223.8
ETH-USDT	5m	'0331031490680493'	2020-09-01	2021-12-07	55	100	0	96.31	-5.33	73.35	71	29.04	3.25	13.77	9	2	700.88	-577.83	39	16	600.85	1223.8
ETH-USDT	5m	'0310781291100523'	2020-09-01	2021-12-07	86	100	0	101.06	-5.73	78.17	76	17.25	3.25	13.64	12	2	471.83	-640.39	65	21	1009.63	1223.8
ETH-USDT	5m	'0330781470770673'	2020-09-01	2021-12-07	69	100	0	133.68	-5.06	99.48	72	35.83	3.22	19.65	10	3	792.7	-682.98	50	19	808.8	1223.8
ETH-USDT	5m	'57788850852'	2020-09-01	2021-12-07	214	100	0	264.68	-26.52	201.49	68	12.16	3.2	7.6	11	4	1151.9	-1515.26	146	68	3429.71	1223.8
ETH-USDT	5m	'0701701380840573'	2020-09-01	2021-12-07	102	100	0	148.98	-11.39	117.51	70	7.43	3.2	10.31	11	3	864.06	-881.13	71	31	1299.78	1223.8
ETH-USDT	5m	'0351291110650853'	2020-09-01	2021-12-07	402	100	0	620.8	-33.08	406.63	59	15.9	3.19	12.29	11	6	2708.78	-2494.38	236	166	9868.59	1223.8
ETH-USDT	5m	'0310781471100493'	2020-09-01	2021-12-07	40	100	0	47.46	-4.02	38.35	78	42.14	3.17	9.53	12	3	346.65	-333.79	31	9	382.35	1223.8
ETH-USDT	5m	'0331291110650813'	2020-09-01	2021-12-07	430	100	0	706.42	-34.68	446.64	58	21.04	3.16	12.88	11	6	3208.31	-2405.6	251	179	12520.31	1223.8
ETH-USDT	5m	'0691050980650663'	2020-09-01	2021-12-07	165	100	0	234.66	-17.1	168.8	64	9.11	3.15	9.87	6	6	1285.07	-1133.55	106	59	2475.47	1223.8
ETH-USDT	5m	'0331291710790653'	2020-09-01	2021-12-07	63	100	0	109.19	-5.18	82.92	76	23.13	3.14	16.01	9	2	669.95	-841.18	48	15	727.0	1223.8
ETH-USDT	5m	'0310941471100553'	2020-09-01	2021-12-07	58	100	0	69.31	-9.41	54.23	81	4.18	3.13	5.76	18	2	441.58	-718.81	47	11	599.68	1223.8
ETH-USDT	5m	'0331291110610813'	2020-09-01	2021-12-07	445	100	0	999.37	-35.75	592.2	58	30.49	3.11	16.56	11	6	4878.21	-3181.2	257	188	15980.43	1223.8
