['Pair', 'TF', 'Dna', 'Start Date', 'End Date', 'Total Trades', 'Total Net Profit', 'Max.DD', 'Annual Profit', 'Winrate', 'Sharpe', 'Calmar', 'Serenity', 'Winning Strike', 'Losing Strike', 'Largest Winning', 'Largest Losing', 'Num. of Wins', 'Num. of Losses', 'Market Change']
['ETH-USD', '5m', '^<IY^<', '2021-04-01', '2021-10-01', '212', '56.61', '-13.0', 145, '37', '3.33', '2.16', '10.72', '4', '6', 785, -507, '78', '134', '54.76']
['ETH-USD', '5m', 'c3QlIM', '2021-04-01', '2021-10-01', '182', '34.23', '-13.0', 80, '41', '1.67', '1.52', '6.21', '5', '5', 1009, -621, '74', '108', '54.76']
['ETH-USD', '5m', 'b2VH5i', '2021-04-01', '2021-10-01', '80', '69.88', '-7.0', 188, '49', '11.2', '3.59', '27.17', '6', '5', 809, -418, '39', '41', '54.76']
['ETH-USD', '5m', '`:7r6G', '2021-04-01', '2021-10-01', '194', '74.21', '-16.0', 203, '45', '3.03', '2.67', '12.45', '5', '6', 731, -463, '87', '107', '54.76']
['ETH-USD', '5m', 'SI_]gC', '2021-04-01', '2021-10-01', '177', '24.1', '-17.0', 54, '34', '0.7', '1.13', '3.14', '3', '11', 982, -497, '61', '116', '54.76']
['ETH-USD', '5m', 'b3al.i', '2021-04-01', '2021-10-01', '110', '44.01', '-9.0', 107, '44', '3.66', '2.02', '12.12', '4', '6', 1145, -611, '48', '62', '54.76']
['ETH-USD', '5m', '^<IY^-', '2021-04-01', '2021-10-01', '214', '61.82', '-13.0', 161, '37', '3.76', '2.27', '11.95', '4', '6', 826, -534, '79', '135', '54.76']
['ETH-USD', '5m', '^<IY^7', '2021-04-01', '2021-10-01', '214', '61.82', '-13.0', 161, '37', '3.76', '2.27', '11.95', '4', '6', 826, -534, '79', '135', '54.76']
['ETH-USD', '5m', 'bFa7.c', '2021-04-01', '2021-10-01', '110', '34.16', '-15.0', 80, '40', '0.85', '1.87', '5.26', '4', '7', 452, -905, '44', '66', '54.76']
['ETH-USD', '5m', 'b3`l.o', '2021-04-01', '2021-10-01', '87', '70.5', '-9.0', 190, '51', '10.6', '2.91', '21.67', '6', '4', 1606, -643, '44', '43', '54.76']
['ETH-USD', '5m', 'b3aj.o', '2021-04-01', '2021-10-01', '87', '69.15', '-9.0', 185, '51', '10.24', '2.89', '20.97', '6', '4', 1571, -644, '44', '43', '54.76']
['ETH-USD', '5m', 'b3a].o', '2021-04-01', '2021-10-01', '87', '62.38', '-9.0', 163, '51', '8.64', '2.84', '18.46', '6', '4', 1282, -634, '44', '43', '54.76']
['ETH-USD', '5m', 'p3<H5i', '2021-04-01', '2021-10-01', '61', '51.31', '-5.0', 128, '56', '10.28', '3.83', '26.35', '6', '2', 383, -501, '34', '27', '54.76']
['ETH-USD', '5m', 'c3QlI[', '2021-04-01', '2021-10-01', '62', '58.23', '-8.0', 150, '53', '6.93', '3.12', '18.8', '4', '4', 1188, -672, '33', '29', '54.76']
['ETH-USD', '5m', 'TJ[i<S', '2021-04-01', '2021-10-01', '152', '27.94', '-15.0', 63, '33', '0.7', '1.25', '4.17', '3', '6', 1059, -476, '50', '102', '54.76']
['ETH-USD', '5m', 'q3kl7o', '2021-04-01', '2021-10-01', '42', '35.48', '-10.0', 83, '57', '2.14', '2.0', '8.04', '6', '2', 1210, -772, '24', '18', '54.76']
['ETH-USD', '5m', 'c?Qt=K', '2021-04-01', '2021-10-01', '175', '30.36', '-20.0', 70, '39', '0.81', '1.34', '3.57', '5', '8', 1091, -961, '68', '107', '54.76']
['ETH-USD', '5m', 'b3kl7o', '2021-04-01', '2021-10-01', '46', '58.71', '-4.0', 151, '61', '16.24', '3.32', '37.03', '4', '3', 1307, -330, '28', '18', '54.76']
['ETH-USD', '5m', 'l3al.o', '2021-04-01', '2021-10-01', '68', '37.81', '-11.0', 90, '47', '2.38', '1.84', '8.06', '5', '5', 1044, -698, '32', '36', '54.76']
['ETH-USD', '5m', 'b3al6o', '2021-04-01', '2021-10-01', '48', '64.06', '-4.0', 168, '62', '20.57', '3.73', '44.65', '5', '3', 1161, -333, '30', '18', '54.76']
['ETH-USD', '5m', '`;BQR=', '2021-04-01', '2021-10-01', '207', '46.08', '-17.0', 113, '40', '1.91', '1.98', '6.51', '4', '6', 543, -476, '82', '125', '54.76']
['ETH-USD', '5m', 'r3<I5i', '2021-04-01', '2021-10-01', '61', '43.17', '-5.0', 105, '54', '6.76', '3.25', '21.06', '5', '3', 372, -497, '33', '28', '54.76']
['ETH-USD', '5m', '93<I5i', '2021-04-01', '2021-10-01', '146', '29.41', '-7.0', 67, '45', '2.95', '2.14', '9.5', '5', '7', 334, -538, '66', '80', '54.76']
['ETH-USD', '5m', 'N<vT1>', '2021-04-01', '2021-10-01', '247', '31.91', '-24.0', 74, '38', '1.18', '1.22', '3.13', '4', '7', 1126, -417, '93', '154', '54.76']
['ETH-USD', '5m', 'b3aN.o', '2021-04-01', '2021-10-01', '87', '80.57', '-9.0', 225, '51', '11.63', '3.48', '25.51', '6', '4', 1119, -697, '44', '43', '54.76']
['ETH-USD', '5m', 't3GlFA', '2021-04-01', '2021-10-01', '201', '34.28', '-13.0', 80, '40', '1.5', '1.48', '6.33', '5', '5', 837, -600, '81', '120', '54.76']
['ETH-USD', '5m', 'b3al4o', '2021-04-01', '2021-10-01', '55', '55.52', '-5.0', 141, '56', '7.46', '3.22', '25.69', '6', '3', 1126, -378, '31', '24', '54.76']
['ETH-USD', '5m', 'a3<H5i', '2021-04-01', '2021-10-01', '80', '44.65', '-9.0', 109, '50', '4.38', '3.13', '11.77', '6', '5', 371, -351, '40', '40', '54.76']
['ETH-USD', '5m', ':2VH5O', '2021-04-01', '2021-10-01', '431', '24.09', '-18.0', 54, '33', '0.56', '1.18', '3.02', '4', '11', 573, -326, '143', '288', '54.76']
['ETH-USD', '5m', ':2u?5Z', '2021-04-01', '2021-10-01', '330', '32.69', '-18.0', 76, '36', '0.87', '1.51', '4.27', '6', '10', 719, -455, '119', '211', '54.76']
['ETH-USD', '5m', 'b3aM.o', '2021-04-01', '2021-10-01', '87', '77.79', '-9.0', 215, '51', '11.22', '3.39', '24.34', '6', '4', 1078, -694, '44', '43', '54.76']
['ETH-USD', '5m', '@KstuK', '2021-04-01', '2021-10-01', '79', '39.36', '-10.0', 94, '42', '2.37', '2.2', '8.96', '3', '6', 989, -424, '33', '46', '54.76']
['ETH-USD', '5m', '_3kl7o', '2021-04-01', '2021-10-01', '56', '65.52', '-5.0', 173, '57', '17.09', '3.41', '33.62', '6', '4', 1250, -405, '32', '24', '54.76']
