['Pair', 'TF', 'Dna', 'Start Date', 'End Date', 'Total Trades', 'Total Net Profit', 'Max.DD', 'Annual Profit', 'Winrate', 'Sharpe', 'Calmar', 'Serenity', 'Winning Strike', 'Losing Strike', 'Largest Winning', 'Largest Losing', 'Num. of Wins', 'Num. of Loses', 'Market Change']
['BTC-USDT', '5m', 'BTC-USDT', '2021-09-27', '2021-10-28', '9', '1.4', '-0.4', 17, '44', '3.32', '3.72', '43.07', '2', '2', 86, -30, '4', '5', '35.58']
['ETH-USDT', '5m', 'ETH-USDT', '2021-09-27', '2021-10-28', '9', '-1.41', '-1.41', -15, '44', '-0.19', '-5.22', '-10.6', '1', '2', 11, -50, '4', '5', '28.45']
['SOL-USDT', '5m', 'SOL-USDT', '2021-09-27', '2021-10-28', '10', '0.42', '-1.25', 5, '50', '0.32', '1.01', '3.95', '2', '2', 87, -70, '5', '5', '36.23']
['DYDX-USDT', '5m', 'DYDX-USDT', '2021-09-27', '2021-10-28', '12', '0.29', '-1.88', 3, '50', '0.2', '0.38', '1.82', '3', '3', 88, -102, '6', '6', '-21.49']
['FTM-USDT', '5m', 'FTM-USDT', '2021-09-27', '2021-10-28', '15', '0.78', '-1.09', 9, '27', '0.45', '1.61', '8.48', '1', '4', 87, -50, '4', '11', '164.21']
['AVAX-USDT', '5m', 'AVAX-USDT', '2021-09-27', '2021-10-28', '13', '-1.86', '-2.27', -19, '23', '-0.15', '-3.37', '-8.49', '1', '6', 85, -76, '3', '10', '-7.44']
['LUNA-USDT', '5m', 'LUNA-USDT', '2021-09-27', '2021-10-28', '13', '-0.1', '-1.44', -1, '31', '-0.02', '-0.16', '-0.8', '2', '4', 87, -51, '4', '9', '15.35']
['FIL-USDT', '5m', 'FIL-USDT', '2021-09-27', '2021-10-28', '6', '1.07', '-0.93', 13, '33', '0.76', '2.29', '13.87', '2', '3', 88, -39, '2', '4', '-0.42']
['ADA-USDT', '5m', 'ADA-USDT', '2021-09-27', '2021-10-28', '16', '-1.9', '-1.94', -20, '12', '-0.13', '-4.81', '-10.16', '1', '6', 43, -44, '2', '14', '-13.15']
['COTI-USDT', '5m', 'COTI-USDT', '2021-09-27', '2021-10-28', '13', '-1.07', '-2.53', -12, '23', '-0.15', '-1.68', '-4.55', '2', '6', 86, -55, '3', '10', '-10.04']
['XRP-USDT', '5m', 'XRP-USDT', '2021-09-27', '2021-10-28', '11', '-0.84', '-0.93', -9, '36', '-0.2', '-3.04', '-9.91', '2', '3', 29, -49, '4', '7', '5.58']
['UNI-USDT', '5m', 'UNI-USDT', '2021-09-27', '2021-10-28', '18', '-2.37', '-2.8', -24, '17', '-0.19', '-4.33', '-8.56', '1', '8', 87, -43, '3', '15', '0.94']
['DOT-USDT', '5m', 'DOT-USDT', '2021-09-27', '2021-10-28', '11', '0.88', '-1.29', 10, '45', '0.39', '1.69', '8.11', '2', '3', 87, -63, '5', '6', '40.68']
['BNB-USDT', '5m', 'BNB-USDT', '2021-09-27', '2021-10-28', '12', '0.43', '-0.7', 5, '33', '0.48', '0.99', '7.14', '1', '3', 87, -46, '4', '8', '30.57']
['ATOM-USDT', '5m', 'ATOM-USDT', '2021-09-27', '2021-10-28', '14', '-3.5', '-3.5', -33, '7', '-0.16', '-7.5', '-9.54', '1', '10', 19, -67, '1', '13', '-7.3']
