'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLoses','MarketChange'
'STMX-USDT','5m','STMX-USDT','2021-05-10','2021-10-26','77','23.17','-1.67',56,'51','17.3','4.02','33.77','5','3',160,-135,'39','38','-33.89'
'AAVE-USDT','5m','AAVE-USDT','2021-05-10','2021-10-26','73','22.24','-1.77',54,'55','15.76','4.47','30.45','8','4',159,-114,'40','33','-31.88'
'ZRX-USDT','5m','ZRX-USDT','2021-05-10','2021-10-26','71','16.87','-2.76',40,'52','7.43','3.33','14.41','5','5',151,-287,'37','34','-48.39'
'OGN-USDT','5m','OGN-USDT','2021-05-10','2021-10-26','81','21.92','-3.79',53,'48','3.91','3.58','14.01','5','6',158,-153,'39','42','-46.61'
'DEFI-USDT','5m','DEFI-USDT','2021-05-10','2021-10-26','76','13.61','-2.31',32,'50','4.21','2.88','13.63','5','6',148,-107,'38','38','-23.04'
'XRP-USDT','5m','XRP-USDT','2021-05-10','2021-10-26','62','13.8','-2.36',32,'44','3.66','3.24','13.55','5','6',149,-87,'27','35','-28.79'
'IOTA-USDT','5m','IOTA-USDT','2021-05-10','2021-10-26','74','16.56','-3.58',39,'53','1.99','3.15','10.88','7','6',154,-152,'39','35','-40.64'
'LIT-USDT','5m','LIT-USDT','2021-05-10','2021-10-26','83','18.04','-3.93',43,'48','2.37','2.59','10.88','7','6',154,-160,'40','43','-40.25'
'REEF-USDT','5m','REEF-USDT','2021-05-10','2021-10-26','70','13.31','-3.16',31,'40','2.65','2.63','9.74','3','7',146,-206,'28','42','-28.25'
'ETH-USDT','5m','ETH-USDT','2021-05-10','2021-10-26','61','11.35','-2.79',26,'52','2.68','2.69','9.31','6','4',143,-181,'32','29','7.55'
'ONE-USDT','5m','ONE-USDT','2021-05-10','2021-10-26','85','13.94','-3.66',32,'46','3.99','2.61','8.84','6','6',149,-137,'39','46','162.37'
'BNB-USDT','5m','BNB-USDT','2021-05-10','2021-10-26','60','10.02','-2.64',23,'45','2.42','2.59','8.62','5','6',143,-138,'27','33','-26.68'
'ENJ-USDT','5m','ENJ-USDT','2021-05-10','2021-10-26','66','17.2','-5.35',41,'50','1.57','3.16','7.59','7','5',151,-138,'33','33','-21.8'
'TRX-USDT','5m','TRX-USDT','2021-05-10','2021-10-26','65','7.89','-2.42',18,'42','1.78','2.02','7.31','5','6',143,-106,'27','38','-29.75'
'OMG-USDT','5m','OMG-USDT','2021-05-10','2021-10-26','62','9.43','-3.0',21,'45','2.62','1.98','7.13','5','4',143,-143,'28','34','24.23'
'FTM-USDT','5m','FTM-USDT','2021-05-10','2021-10-26','85','10.34','-3.37',24,'49','2.17','1.81','6.97','6','4',142,-212,'42','43','226.38'
'FIL-USDT','5m','FIL-USDT','2021-05-10','2021-10-26','52','6.58','-2.19',15,'40','1.29','1.72','6.7','3','5',139,-121,'21','31','-56.42'
'SOL-USDT','5m','SOL-USDT','2021-05-10','2021-10-26','66','13.68','-4.82',32,'47','1.15','2.77','6.58','9','7',150,-131,'31','35','372.79'
'XEM-USDT','5m','XEM-USDT','2021-05-10','2021-10-26','58','10.8','-3.77',25,'45','1.23','2.5','6.54','4','6',149,-107,'26','32','-54.19'
'MANA-USDT','5m','MANA-USDT','2021-05-10','2021-10-26','63','9.33','-3.57',21,'41','0.81','1.88','5.91','4','4',144,-121,'26','37','-45.98'
'KAVA-USDT','5m','KAVA-USDT','2021-05-10','2021-10-26','76','10.17','-4.23',23,'45','0.83','1.85','5.46','3','8',147,-144,'34','42','-5.8'
'ICX-USDT','5m','ICX-USDT','2021-05-10','2021-10-26','77','9.19','-4.08',21,'44','0.91','1.77','5.09','4','5',142,-169,'34','43','-20.11'
'KNC-USDT','5m','KNC-USDT','2021-05-10','2021-10-26','73','7.51','-3.33',17,'38','1.05','1.65','5.06','3','7',142,-182,'28','45','-51.07'
'YFI-USDT','5m','YFI-USDT','2021-05-10','2021-10-26','71','5.74','-2.65',13,'35','1.45','1.52','4.8','3','7',134,-87,'25','46','-34.82'
'HOT-USDT','5m','HOT-USDT','2021-05-10','2021-10-26','52','5.85','-3.0',13,'42','1.42','1.29','4.32','3','7',140,-133,'22','30','-33.28'
'SXP-USDT','5m','SXP-USDT','2021-05-10','2021-10-26','53','9.41','-5.04',21,'45','0.45','2.17','4.23','3','10',146,-165,'24','29','-55.35'
'BAT-USDT','5m','BAT-USDT','2021-05-10','2021-10-26','67','5.73','-3.14',13,'40','0.54','1.55','4.04','4','8',141,-104,'27','40','-50.18'
'BCH-USDT','5m','BCH-USDT','2021-05-10','2021-10-26','80','6.88','-4.01',15,'42','0.59','1.64','3.83','5','7',142,-128,'34','46','-56.62'
'1INCH-USDT','5m','1INCH-USDT','2021-05-10','2021-10-26','75','7.85','-5.04',18,'45','0.45','1.53','3.49','6','5',140,-159,'34','41','-42.84'
'RUNE-USDT','5m','RUNE-USDT','2021-05-10','2021-10-26','87','8.06','-5.35',18,'43','0.56','1.5','3.39','5','10',145,-168,'37','50','-22.68'
'CRV-USDT','5m','CRV-USDT','2021-05-10','2021-10-26','94','8.02','-5.4',18,'44','0.37','1.48','3.34','6','7',145,-148,'41','53','38.48'
'AXS-USDT','5m','AXS-USDT','2021-05-10','2021-10-26','75','6.95','-5.04',16,'39','0.3','1.28','3.08','3','9',146,-175,'29','46','1528.14'
'LINA-USDT','5m','LINA-USDT','2021-05-10','2021-10-26','77','10.12','-7.46',23,'43','0.42','1.71','3.08','4','10',143,-147,'33','44','-47.15'
'LTC-USDT','5m','LTC-USDT','2021-05-10','2021-10-26','70','6.19','-4.69',14,'40','0.34','1.45','2.94','3','6',141,-297,'28','42','-49.93'
'DODO-USDT','5m','DODO-USDT','2021-05-10','2021-10-26','71','7.74','-6.66',17,'44','0.21','1.68','2.61','5','13',147,-165,'31','40','-55.29'
'QTUM-USDT','5m','QTUM-USDT','2021-05-10','2021-10-26','80','5.21','-4.57',12,'46','0.4','1.12','2.52','4','5',137,-131,'37','43','-51.14'
'EOS-USDT','5m','EOS-USDT','2021-05-10','2021-10-26','81','5.73','-5.07',13,'44','0.32','1.1','2.51','6','7',142,-160,'36','45','-53.96'
'MATIC-USDT','5m','MATIC-USDT','2021-05-10','2021-10-26','69','5.92','-5.41',13,'45','0.45','1.14','2.43','4','4',136,-161,'31','38','73.24'
