Pair	 TF	 Dna	 Start Date	 End Date	 Total Trades	 Longs %	 Short %	 Total Net Profit	 Max.DD	 Annual Profit	 Winrate	 Serenity	 Sharpe	 Calmar	 Winning Strike	 Losing Strike	 Largest Winning	 Largest Losing	 Num. of Wins	 Num. of Losses	 Paid Fees	 Market Change
ETH-USDT	5m	'c3QlI['	2020-12-27	2021-02-10	7	57	43	6.45	-0.43	64.17	57	48.16	4.77	147.82	2	1	252	-45	4	3	8.46	177.04
ETH-USDT	5m	'c3QlI['	2021-08-16	2021-09-30	11	36	64	5.19	-0.77	49.37	73	15.83	4.23	63.98	6	2	241	-39	8	3	13.21	-14.18
ETH-USDT	5m	'c3QlI['	2021-07-27	2021-09-10	17	59	41	5.25	-1.01	50.05	53	6.92	4.24	49.72	3	2	241	-40	9	8	20.23	53.74
ETH-USDT	5m	'c3QlI['	2020-12-06	2021-01-20	7	71	29	3.55	-0.83	31.87	43	6.03	3.13	38.38	2	2	243	-44	3	4	8.37	128.47
ETH-USDT	5m	'c3QlI['	2021-07-08	2021-08-22	16	56	44	3.85	-0.77	34.96	50	4.89	4.15	45.61	3	2	240	-41	8	8	19.63	39.69
ETH-USDT	5m	'c3QlI['	2021-07-12	2021-08-26	18	56	44	4.02	-0.77	36.68	56	4.83	4.27	47.85	3	2	240	-41	10	8	22.05	51.0
ETH-USDT	5m	'c3QlI['	2021-03-18	2021-05-02	10	40	60	3.03	-0.72	26.77	30	3.86	3.96	37.39	1	3	238	-43	3	7	12.16	60.96
ETH-USDT	5m	'c3QlI['	2021-03-15	2021-04-29	12	50	50	2.94	-0.72	25.88	33	3.47	3.84	36.01	2	4	238	-43	4	8	14.49	47.86
ETH-USDT	5m	'c3QlI['	2021-05-29	2021-07-13	17	65	35	3.96	-1.09	36.14	65	2.76	3.83	33.24	4	2	113	-43	11	6	20.69	-15.61
ETH-USDT	5m	'c3QlI['	2021-05-23	2021-07-07	18	61	39	3.13	-1.08	27.66	61	2.71	2.92	25.62	4	2	113	-79	11	7	21.67	1.52
ETH-USDT	5m	'c3QlI['	2020-12-01	2021-01-15	8	75	25	4.21	-1.26	38.66	50	2.27	3.64	30.71	2	2	246	-43	4	4	9.52	100.28
ETH-USDT	5m	'c3QlI['	2020-11-30	2021-01-14	8	75	25	4.21	-1.26	38.66	50	2.27	3.64	30.71	2	2	246	-43	4	4	9.52	95.06
ETH-USDT	5m	'c3QlI['	2020-11-28	2021-01-12	8	75	25	4.21	-1.26	38.66	50	2.27	3.64	30.71	2	2	246	-43	4	4	9.52	108.98
ETH-USDT	5m	'c3QlI['	2021-01-20	2021-03-06	12	33	67	3.91	-1.67	35.57	42	2.2	2.94	21.36	3	4	245	-67	5	7	14.45	12.55
ETH-USDT	5m	'c3QlI['	2021-03-07	2021-04-21	12	33	67	1.85	-0.75	15.7	33	2.03	2.33	21.02	2	4	238	-56	4	8	14.46	40.73
ETH-USDT	5m	'c3QlI['	2020-10-29	2020-12-13	12	58	42	2.39	-1.27	20.59	58	1.56	2.9	16.2	5	3	241	-49	7	5	14.57	46.33
ETH-USDT	5m	'c3QlI['	2020-11-13	2020-12-28	10	80	20	3.21	-0.96	28.48	70	1.54	4.3	29.54	5	2	243	-29	7	3	12.35	48.13
