Pair	 TF	 Dna	 Start Date	 End Date	 Total Trades	 Longs %	 Short %	 Total Net Profit	 Max.DD	 Annual Profit	 Winrate	 Serenity	 Sharpe	 Calmar	 Winning Strike	 Losing Strike	 Largest Winning	 Largest Losing	 Num. of Wins	 Num. of Losses	 Paid Fees	 Market Change
ETH-USDT	5m	'(Q1T,O'	2021-06-20	2021-08-19	181	49	51	12.08	-1.2	97.86	29	18.21	7.73	81.78	3	9	73	-39	53	128	228.1	39.36
ETH-USDT	5m	'R@k3DY'	2021-06-20	2021-08-19	34	50	50	10.22	-0.86	78.99	53	23.15	7.39	91.68	4	3	112	-109	18	16	42.89	39.36
ETH-USDT	5m	'^3<H5i'	2021-06-20	2021-08-19	34	50	50	7.64	-0.95	55.38	53	12.56	7.29	58.07	2	3	81	-58	18	16	42.01	39.36
ETH-USDT	5m	'(O1T,O'	2021-06-20	2021-08-19	181	49	51	10.72	-1.26	83.96	30	14.97	7.23	66.38	3	7	71	-38	55	126	227.54	39.36
ETH-USDT	5m	'b2DH5i'	2021-06-20	2021-08-19	29	59	41	9.14	-1.32	68.75	55	6.78	7.05	51.94	6	4	104	-64	16	13	36.34	39.36
ETH-USDT	5m	'E?H./q'	2021-06-20	2021-08-19	37	51	49	5.8	-1.01	40.16	68	13.69	7.01	39.93	5	3	44	-53	25	12	45.47	39.36
ETH-USDT	5m	':L1T,O'	2021-06-20	2021-08-19	75	52	48	10.36	-1.97	80.35	45	6.4	6.9	40.84	3	7	71	-57	34	41	93.95	39.36
ETH-USDT	5m	'*L1T,O'	2021-06-20	2021-08-19	148	49	51	11.01	-1.34	86.86	36	12.51	6.79	64.73	4	7	71	-36	53	95	187.13	39.36
ETH-USDT	5m	'(L1TAO'	2021-06-20	2021-08-19	102	39	61	9.07	-1.04	68.09	35	17.22	6.42	65.18	3	7	71	-36	36	66	125.94	39.36
ETH-USDT	5m	'C3<H5b'	2021-06-20	2021-08-19	63	48	52	9.89	-1.57	75.8	52	8.24	6.41	48.39	5	6	85	-62	33	30	79.72	39.36
ETH-USDT	5m	'7;[R@S'	2021-06-20	2021-08-19	74	49	51	10.83	-1.66	85.0	47	7.73	6.38	51.13	6	5	211	-61	35	39	95.05	39.36
ETH-USDT	5m	'6L1T,O'	2021-06-20	2021-08-19	93	49	51	10.0	-1.63	76.91	41	9.89	6.3	47.09	5	7	70	-55	38	55	116.58	39.36
ETH-USDT	5m	'^2QH5i'	2021-06-20	2021-08-19	30	50	50	10.2	-1.51	78.77	57	7.82	6.28	52.17	5	2	142	-73	17	13	37.84	39.36
ETH-USDT	5m	'2DAeSP'	2021-06-20	2021-08-19	37	41	59	9.75	-2.15	74.44	46	4.75	6.09	34.7	4	3	167	-61	17	20	47.71	39.36
ETH-USDT	5m	'\\;TK)F'	2021-06-20	2021-08-19	50	54	46	10.83	-1.49	84.98	42	7.25	5.99	56.95	2	4	164	-98	21	29	64.11	39.36
ETH-USDT	5m	'b2VH5i'	2021-06-20	2021-08-19	29	59	41	9.43	-1.32	71.44	52	7.53	5.96	54.19	4	4	152	-77	15	14	36.51	39.36
ETH-USDT	5m	'SA^CwJ'	2021-06-20	2021-08-19	29	48	52	10.13	-1.4	78.18	45	13.3	5.89	56.03	2	3	156	-98	13	16	36.72	39.36
ETH-USDT	5m	'P>2j;Y'	2021-06-20	2021-08-19	48	50	50	8.41	-2.28	62.1	54	2.49	5.88	27.19	6	5	100	-64	26	22	60.21	39.36
ETH-USDT	5m	'a3<H5i'	2021-06-20	2021-08-19	30	53	47	6.14	-0.79	42.8	47	10.1	5.77	53.98	2	3	81	-58	14	16	37.19	39.36
