Pair	 TF	 Dna	 Start Date	 End Date	 Total Trades	 Longs %	 Short %	 Total Net Profit	 Max.DD	 Annual Profit	 Winrate	 Serenity	 Sharpe	 Calmar	 Winning Strike	 Losing Strike	 Largest Winning	 Largest Losing	 Num. of Wins	 Num. of Losses	 Paid Fees	 Market Change
ETH-USDT	5m	'(L1T,i'	2021-06-29	2021-08-28	123	46	54	10.27	-1.17	79.46	33	18.36	7.35	67.86	3	7	70	-30	41	82	153.47	57.0
ETH-USDT	5m	':2b85_'	2021-06-29	2021-08-28	80	49	51	7.03	-1.87	50.2	42	3.03	4.99	26.8	4	7	114	-56	34	46	98.56	57.0
ETH-USDT	5m	':2b85^'	2021-06-29	2021-08-28	82	49	51	6.57	-2.04	46.33	41	2.27	4.65	22.68	4	7	114	-56	34	48	100.94	57.0
ETH-USDT	5m	':2b95^'	2021-06-29	2021-08-28	82	49	51	6.41	-2.02	45.02	41	2.09	4.44	22.32	4	7	119	-56	34	48	101.28	57.0
ETH-USDT	5m	'73<H5i'	2021-06-29	2021-08-28	46	43	57	4.86	-1.27	32.87	41	2.78	4.39	25.89	5	6	80	-46	19	27	55.8	57.0
ETH-USDT	5m	':2P:5Z'	2021-06-29	2021-08-28	96	49	51	6.26	-1.83	43.82	39	4.73	4.15	23.98	5	8	92	-61	37	59	117.95	57.0
ETH-USDT	5m	':2b25Z'	2021-06-29	2021-08-28	96	49	51	6.17	-1.83	43.07	39	4.49	4.11	23.57	5	8	91	-55	37	59	117.92	57.0
ETH-USDT	5m	':2k65Z'	2021-06-29	2021-08-28	96	49	51	5.89	-1.66	40.85	39	2.94	3.99	24.63	5	8	118	-55	37	59	117.97	57.0
ETH-USDT	5m	':2k55Z'	2021-06-29	2021-08-28	96	49	51	5.89	-1.66	40.85	39	2.94	3.99	24.63	5	8	118	-55	37	59	117.97	57.0
ETH-USDT	5m	':2a95Z'	2021-06-29	2021-08-28	96	49	51	5.74	-1.67	39.67	39	2.72	3.91	23.76	5	8	117	-55	37	59	117.87	57.0
ETH-USDT	5m	'c3QlI['	2021-06-29	2021-08-28	22	59	41	4.68	-1.21	31.49	50	2.94	3.76	26.13	3	3	245	-41	11	11	27.15	57.0
ETH-USDT	5m	':2b85Z'	2021-06-29	2021-08-28	96	49	51	5.44	-1.7	37.26	39	2.48	3.71	21.89	5	8	113	-55	37	59	117.6	57.0
ETH-USDT	5m	':2U?5Z'	2021-06-29	2021-08-28	96	49	51	5.43	-1.67	37.25	39	2.51	3.7	22.25	5	8	115	-64	37	59	117.58	57.0
ETH-USDT	5m	':2V95Z'	2021-06-29	2021-08-28	96	49	51	5.29	-1.83	36.11	39	2.74	3.69	19.7	5	8	97	-65	37	59	117.23	57.0
ETH-USDT	5m	':2k45Z'	2021-06-29	2021-08-28	96	49	51	5.32	-1.72	36.39	39	2.37	3.65	21.19	5	8	112	-55	37	59	117.45	57.0
ETH-USDT	5m	':2T?5Z'	2021-06-29	2021-08-28	96	49	51	5.27	-1.7	35.97	39	2.35	3.61	21.14	5	8	113	-64	37	59	117.45	57.0
ETH-USDT	5m	':2b45Z'	2021-06-29	2021-08-28	96	49	51	5.11	-2.14	34.73	39	1.77	3.55	16.26	5	8	99	-55	37	59	117.23	57.0
ETH-USDT	5m	':2b95Z'	2021-06-29	2021-08-28	96	49	51	5.35	-1.66	36.6	39	2.42	3.54	22.08	5	8	118	-55	37	59	117.88	57.0
ETH-USDT	5m	':2`85Z'	2021-06-29	2021-08-28	96	49	51	5.09	-1.76	34.6	39	2.15	3.51	19.66	5	8	110	-55	37	59	117.38	57.0
ETH-USDT	5m	':2S?5Z'	2021-06-29	2021-08-28	96	49	51	5.07	-1.74	34.42	39	2.16	3.49	19.81	5	8	111	-63	37	59	117.38	57.0
ETH-USDT	5m	':2u15Z'	2021-06-29	2021-08-28	96	49	51	4.91	-1.81	33.25	39	1.96	3.41	18.42	5	8	108	-55	37	59	117.31	57.0
ETH-USDT	5m	':2c95Z'	2021-06-29	2021-08-28	96	49	51	5.13	-1.65	34.88	39	2.31	3.41	21.09	5	8	120	-55	37	59	117.66	57.0
ETH-USDT	5m	':2R?5Z'	2021-06-29	2021-08-28	96	49	51	4.85	-1.79	32.73	39	1.94	3.36	18.3	5	8	109	-62	37	59	117.31	57.0
