iteration,dna,fitness,training_log.win-rate,training_log.total,training_log.PNL,testing_log.win-rate,testing_log.total,testing_log.PNL,parameters.ott_len,parameters.ott_percent,parameters.stop_loss,parameters.risk_reward,parameters.chop_bandwidth
100,BoCvk,0.5393843499080208,55,81,102.46,45,22,15.63,62,207,168,79,296
100,CM=D^,0.5150894079059095,46,125,99.35,40,27,17.94,62,194,159,48,269
100,4Z[Sl,0.509637559140026,49,87,74.62,52,21,27.5,58,199,201,57,298
100,PWlt@,0.46787377006884046,42,165,127.36,45,31,22.46,65,198,225,78,209
100,IHhmd,0.4325656039978914,49,99,96.96,45,22,19.85,63,192,219,74,282
100,@c1Le,0.41473134519000227,48,108,82.31,52,21,20.12,61,202,143,53,284
100,FGU/e,0.40931131054802444,50,106,82.88,48,25,21.83,63,192,193,34,284
100,KKjYj,0.38768291645572106,50,85,92.04,45,22,19.13,64,193,222,61,294
100,1fT-h,0.3783631154255365,48,94,66.25,47,23,15.96,57,204,191,33,290
100,8ujSl,0.3222307123273065,51,86,76.99,50,18,21.82,59,209,222,57,298
100,LTgU\,0.3065841171908714,46,110,83.79,50,24,17.38,64,197,218,58,265
100,JB@Aa,0.297681161071641,45,116,66.52,44,27,19.25,64,190,163,46,275
100,Apktf,0.2932170032936231,48,94,76.46,45,20,11.78,61,207,223,78,286
100,"EC??,",0.2815917099102235,38,236,89.91,51,39,35.67,62,190,162,45,168
100,",vqTh",0.2740191315307478,48,96,64.36,45,22,19.3,56,210,232,58,290
100,Ja*hk,0.2700617965192972,46,86,64.54,55,20,23.54,64,202,133,71,296
100,rwKNA,0.2658568897974148,43,149,74.08,58,31,46.44,74,210,179,54,211
100,FJsrU,0.2647351934741188,44,129,103.85,48,27,20.57,63,193,234,77,251
100,G`@79,0.26411331642861197,41,198,65.52,48,37,27.19,63,201,163,39,194
100,m3)6h,0.24927626151142826,50,92,51.58,54,22,18.83,72,184,131,39,290
100,JYO(s,0.24817055931869653,54,73,49.77,55,20,16.82,64,199,184,30,312
100,UWV]K,0.2476441447337412,38,149,73.56,43,30,23.83,66,198,194,64,231
100,GTNZ^,0.2463890883540453,46,113,60.32,41,24,18.71,63,197,183,62,269
100,CCZ4i,0.2443230079546222,44,99,62.65,54,22,24.92,62,190,200,38,292
100,:k[qk,0.24236913021038045,50,86,64.28,50,20,21.84,60,205,201,76,296
100,OWvpZ,0.2372216133925216,46,115,63.79,47,23,14.11,65,198,239,76,261
100,V2.TA,0.23648250922030906,40,191,85.56,55,34,36.15,67,184,138,58,211
100,1uRG],0.2313024249752624,41,125,68.09,44,27,27.31,57,209,188,50,267
100,Maepo,0.22774963390952777,51,70,62.21,44,18,11.23,64,202,215,76,304
100,GFQ`S,0.21786934860274051,38,143,79.62,40,27,18.05,63,191,187,65,247
100,BoCvk,0.5393843499080208,55,81,102.46,45,22,15.63,62,207,168,79,296
100,CM=D^,0.5150894079059095,46,125,99.35,40,27,17.94,62,194,159,48,269
100,4Z[Sl,0.509637559140026,49,87,74.62,52,21,27.5,58,199,201,57,298
100,PWlt@,0.46787377006884046,42,165,127.36,45,31,22.46,65,198,225,78,209
100,IHhmd,0.4325656039978914,49,99,96.96,45,22,19.85,63,192,219,74,282
100,@c1Le,0.41473134519000227,48,108,82.31,52,21,20.12,61,202,143,53,284
100,FGU/e,0.40931131054802444,50,106,82.88,48,25,21.83,63,192,193,34,284
100,KKjYj,0.38768291645572106,50,85,92.04,45,22,19.13,64,193,222,61,294
100,1fT-h,0.3783631154255365,48,94,66.25,47,23,15.96,57,204,191,33,290
100,8ujSl,0.3222307123273065,51,86,76.99,50,18,21.82,59,209,222,57,298
