Pair	 TF	 Dna	 Start Date	 End Date	 Total Trades	 Longs %	 Short %	 Total Net Profit	 Max.DD	 Annual Profit	 Winrate	 Serenity	 Sharpe	 Calmar	 Winning Strike	 Losing Strike	 Largest Winning	 Largest Losing	 Num. of Wins	 Num. of Losses	 Paid Fees	 Market Change
ETH-USDT	5m	'c3QlI['	2020-12-24	2021-02-22	13	46	54	6.23	-1.67	43.56	46	6.31	3.77	26.02	2	4	252	-71	6	7	16.11	231.58
ETH-USDT	5m	'j3<I5i'	2020-12-24	2021-02-22	14	50	50	3.07	-0.91	19.86	57	2.5	2.95	21.86	4	3	82	-69	8	6	17.14	231.58
ETH-USDT	5m	'j4LV)a'	2020-12-24	2021-02-22	44	55	45	5.09	-2.25	34.6	39	2.19	2.52	15.4	5	7	166	-90	17	27	55.16	231.58
ETH-USDT	5m	':2u15Z'	2020-12-24	2021-02-22	117	47	53	4.9	-3.4	33.1	32	1.11	1.82	9.74	4	10	108	-118	38	79	142.87	231.58
ETH-USDT	5m	':2T?5Z'	2020-12-24	2021-02-22	117	47	53	4.43	-3.5	29.6	33	1.08	1.7	8.46	4	10	113	-119	39	78	142.39	231.58
ETH-USDT	5m	':2O?5Z'	2020-12-24	2021-02-22	117	47	53	4.14	-3.55	27.47	33	0.89	1.66	7.74	4	10	102	-119	39	78	142.42	231.58
ETH-USDT	5m	':2b85Z'	2020-12-24	2021-02-22	117	47	53	4.26	-3.29	28.38	32	1.02	1.64	8.62	4	10	113	-119	38	79	142.14	231.58
ETH-USDT	5m	':2\\85Z'	2020-12-24	2021-02-22	117	47	53	4.1	-3.38	27.15	33	0.87	1.63	8.03	4	10	103	-119	39	78	142.28	231.58
ETH-USDT	5m	':2R?5Z'	2020-12-24	2021-02-22	117	47	53	4.08	-3.52	27.01	33	0.9	1.6	7.67	4	10	108	-119	39	78	142.47	231.58
ETH-USDT	5m	':2b45Z'	2020-12-24	2021-02-22	117	47	53	3.72	-3.42	24.43	33	0.74	1.59	7.13	4	10	98	-119	39	78	142.3	231.58
ETH-USDT	5m	':2U?5Z'	2020-12-24	2021-02-22	117	47	53	4.15	-3.49	27.57	33	0.8	1.59	7.9	4	10	114	-119	39	78	142.23	231.58
ETH-USDT	5m	':2k35Z'	2020-12-24	2021-02-22	117	47	53	4.2	-3.63	27.93	32	0.89	1.57	7.7	4	10	106	-118	38	79	142.22	231.58
ETH-USDT	5m	':2S?5Z'	2020-12-24	2021-02-22	117	47	53	4.02	-3.51	26.6	33	0.94	1.57	7.58	4	10	110	-119	39	78	142.0	231.58
ETH-USDT	5m	':2V95Z'	2020-12-24	2021-02-22	117	47	53	3.32	-3.65	21.56	33	0.62	1.43	5.9	4	10	97	-119	39	78	141.8	231.58
ETH-USDT	5m	':2]95Z'	2020-12-24	2021-02-22	117	47	53	3.53	-3.33	23.09	33	0.79	1.4	6.94	4	10	109	-118	39	78	141.56	231.58
ETH-USDT	5m	':2`85Z'	2020-12-24	2021-02-22	117	47	53	3.51	-3.32	22.95	33	0.78	1.39	6.9	4	10	109	-118	39	78	141.57	231.58
ETH-USDT	5m	':2r15Z'	2020-12-24	2021-02-22	117	47	53	3.58	-3.74	23.46	32	0.7	1.36	6.27	4	10	104	-118	38	79	141.7	231.58
ETH-USDT	5m	':2P:5Z'	2020-12-24	2021-02-22	117	47	53	2.97	-3.03	19.14	33	0.67	1.31	6.31	4	10	89	-119	39	78	141.88	231.58
ETH-USDT	5m	':2b25Z'	2020-12-24	2021-02-22	117	47	53	2.36	-2.87	14.96	33	0.48	1.06	5.21	4	10	88	-119	39	78	141.5	231.58
ETH-USDT	5m	't3GlFA'	2020-12-24	2021-02-22	71	51	49	2.77	-4.86	17.74	39	0.49	1.0	3.65	3	5	199	-133	28	43	86.37	231.58
ETH-USDT	5m	'p2QH5i'	2020-12-24	2021-02-22	14	71	29	0.94	-2.4	5.77	43	0.12	0.7	2.4	3	5	132	-129	6	8	16.83	231.58
ETH-USDT	5m	'q2QH5i'	2020-12-24	2021-02-22	14	71	29	0.94	-2.4	5.77	43	0.12	0.7	2.4	3	5	132	-129	6	8	16.83	231.58
