iteration,dna,fitness,training_log.win-rate,training_log.total,training_log.PNL,testing_log.win-rate,testing_log.total,testing_log.PNL,parameters.ott_percent,parameters.stop_loss,parameters.risk_reward,parameters.chop_bandwidth
100,"D,sO",0.6653271390064869,50,99,139.12,39,23,18.57,1910,1775,775,2857
100,Kd[Z,0.5989407091074711,51,96,134.14,45,22,20.35,1919,2130,623,2929
100,KEwQ,0.5906434651745434,51,96,127.86,45,22,18.66,1919,1934,800,2870
100,YB8C,0.5819755911892653,48,114,121.44,45,24,21.14,1937,1915,401,2778
100,"H,jO",0.5729449876518905,50,98,120.01,39,23,20.39,1916,1775,718,2857
100,Hp`V,0.5690202186223035,50,95,129.41,39,23,19.63,1916,2206,654,2903
100,AkSX,0.5601961523077099,50,96,126.53,39,23,20.8,1907,2174,572,2916
100,K^ZC,0.5464291351913401,50,108,118.48,50,24,22.1,1919,2092,616,2778
100,A(wG,0.5443577418601255,50,105,112.25,41,24,20.72,1907,1750,800,2804
100,K>Wc,0.5424717822463655,51,86,119.34,47,21,24.28,1919,1889,597,2988
100,a1`R,0.5314755593395344,50,92,113.6,43,23,20.45,1947,1807,654,2876
100,G6jD,0.5260628991460446,49,107,109.33,44,25,19.97,1914,1839,718,2784
100,_4<.,0.522570161538913,45,129,107.18,42,26,22.14,1945,1826,427,2639
100,QG5C,0.5189690599082009,49,114,108.63,50,24,23.06,1927,1946,382,2778
100,YoX0,0.5162439472579993,46,121,113.07,45,24,19.78,1937,2199,604,2653
100,LVwU,0.5138686709153036,50,94,113.78,45,22,19.99,1921,2041,800,2896
100,OPTU,0.5097101015178134,47,98,111.16,45,22,22.97,1924,2003,578,2896
100,>HjV,0.5066110262444542,48,96,120.35,39,23,18.91,1903,1953,718,2903
100,"VSS,",0.5031479980492198,46,122,108.96,50,26,32.33,1933,2022,572,2626
100,JpW=,0.5025989859781677,49,111,116.85,44,25,18.2,1918,2206,597,2738
100,K?S4,0.49423570242576603,47,121,108.84,46,26,24.96,1919,1896,572,2679
100,aC_F,0.4928411638631093,51,101,105.26,43,23,21.82,1947,1921,648,2797
100,UOtK,0.47988175454682835,51,96,104.88,45,22,18.0,1932,1997,781,2830
100,TK9H,0.47898249550987143,47,111,100.98,54,24,29.96,1931,1972,408,2811
100,@@wM,0.476293021831129,51,96,112.3,39,23,17.08,1905,1902,800,2844
100,\3k6,0.4739619960494239,47,112,97.22,41,24,15.59,1941,1820,724,2692
100,"t,=[",0.473253125246831,52,86,103.59,43,23,14.15,1971,1775,433,2936
100,Zg/>,0.4731064957729749,47,116,105.86,40,25,16.54,1938,2149,344,2745
100,KW*F,0.4709621247936783,51,115,98.47,48,25,21.57,1919,2047,313,2797
100,fYdW,0.46866450818172534,52,84,107.04,43,23,18.45,1953,2060,680,2909
100,"D,sO",0.6653271390064869,50,99,139.12,39,23,18.57,1910,1775,775,2857
100,Kd[Z,0.5989407091074711,51,96,134.14,45,22,20.35,1919,2130,623,2929
100,KEwQ,0.5906434651745434,51,96,127.86,45,22,18.66,1919,1934,800,2870
100,YB8C,0.5819755911892653,48,114,121.44,45,24,21.14,1937,1915,401,2778
100,"H,jO",0.5729449876518905,50,98,120.01,39,23,20.39,1916,1775,718,2857
100,Hp`V,0.5690202186223035,50,95,129.41,39,23,19.63,1916,2206,654,2903
100,AkSX,0.5601961523077099,50,96,126.53,39,23,20.8,1907,2174,572,2916
100,K^ZC,0.5464291351913401,50,108,118.48,50,24,22.1,1919,2092,616,2778
100,A(wG,0.5443577418601255,50,105,112.25,41,24,20.72,1907,1750,800,2804
100,K>Wc,0.5424717822463655,51,86,119.34,47,21,24.28,1919,1889,597,2988
100,a1`R,0.5314755593395344,50,92,113.6,43,23,20.45,1947,1807,654,2876
100,G6jD,0.5260628991460446,49,107,109.33,44,25,19.97,1914,1839,718,2784
100,_4<.,0.522570161538913,45,129,107.18,42,26,22.14,1945,1826,427,2639
100,QG5C,0.5189690599082009,49,114,108.63,50,24,23.06,1927,1946,382,2778
100,YoX0,0.5162439472579993,46,121,113.07,45,24,19.78,1937,2199,604,2653
100,LVwU,0.5138686709153036,50,94,113.78,45,22,19.99,1921,2041,800,2896
100,OPTU,0.5097101015178134,47,98,111.16,45,22,22.97,1924,2003,578,2896
100,>HjV,0.5066110262444542,48,96,120.35,39,23,18.91,1903,1953,718,2903
100,"VSS,",0.5031479980492198,46,122,108.96,50,26,32.33,1933,2022,572,2626
100,JpW=,0.5025989859781677,49,111,116.85,44,25,18.2,1918,2206,597,2738
100,K?S4,0.49423570242576603,47,121,108.84,46,26,24.96,1919,1896,572,2679
100,aC_F,0.4928411638631093,51,101,105.26,43,23,21.82,1947,1921,648,2797
100,UOtK,0.47988175454682835,51,96,104.88,45,22,18.0,1932,1997,781,2830
100,TK9H,0.47898249550987143,47,111,100.98,54,24,29.96,1931,1972,408,2811
100,@@wM,0.476293021831129,51,96,112.3,39,23,17.08,1905,1902,800,2844
100,\3k6,0.4739619960494239,47,112,97.22,41,24,15.59,1941,1820,724,2692
100,"t,=[",0.473253125246831,52,86,103.59,43,23,14.15,1971,1775,433,2936
100,Zg/>,0.4731064957729749,47,116,105.86,40,25,16.54,1938,2149,344,2745
100,KW*F,0.4709621247936783,51,115,98.47,48,25,21.57,1919,2047,313,2797
100,fYdW,0.46866450818172534,52,84,107.04,43,23,18.45,1953,2060,680,2909
200,"D,sO",0.6653271390064869,50,99,139.12,39,23,18.57,1910,1775,775,2857
200,Kd[Z,0.5989407091074711,51,96,134.14,45,22,20.35,1919,2130,623,2929
200,KEwQ,0.5906434651745434,51,96,127.86,45,22,18.66,1919,1934,800,2870
200,YB8C,0.5819755911892653,48,114,121.44,45,24,21.14,1937,1915,401,2778
200,"H,jO",0.5729449876518905,50,98,120.01,39,23,20.39,1916,1775,718,2857
200,AkSX,0.5601961523077099,50,96,126.53,39,23,20.8,1907,2174,572,2916
200,K^ZC,0.5464291351913401,50,108,118.48,50,24,22.1,1919,2092,616,2778
200,A(wG,0.5443577418601255,50,105,112.25,41,24,20.72,1907,1750,800,2804
200,a1`R,0.5314755593395344,50,92,113.6,43,23,20.45,1947,1807,654,2876
200,G6jD,0.5260628991460446,49,107,109.33,44,25,19.97,1914,1839,718,2784
200,_4<.,0.522570161538913,45,129,107.18,42,26,22.14,1945,1826,427,2639
200,QG5C,0.5189690599082009,49,114,108.63,50,24,23.06,1927,1946,382,2778
200,YoX0,0.5162439472579993,46,121,113.07,45,24,19.78,1937,2199,604,2653
200,OPTU,0.5097101015178134,47,98,111.16,45,22,22.97,1924,2003,578,2896
200,>HjV,0.5066110262444542,48,96,120.35,39,23,18.91,1903,1953,718,2903
200,"VSS,",0.5031479980492198,46,122,108.96,50,26,32.33,1933,2022,572,2626
200,JpW=,0.5025989859781677,49,111,116.85,44,25,18.2,1918,2206,597,2738
200,K?S4,0.49423570242576603,47,121,108.84,46,26,24.96,1919,1896,572,2679
200,aC_F,0.4928411638631093,51,101,105.26,43,23,21.82,1947,1921,648,2797
200,"t,=[",0.473253125246831,52,86,103.59,43,23,14.15,1971,1775,433,2936
200,Zg/>,0.4731064957729749,47,116,105.86,40,25,16.54,1938,2149,344,2745
200,fYdW,0.46866450818172534,52,84,107.04,43,23,18.45,1953,2060,680,2909
200,EwKU,0.4678423683390602,47,100,105.73,39,23,21.88,1912,2250,522,2896
200,IUwe,0.46140421996626874,52,80,105.78,45,20,21.76,1917,2035,800,3002
200,GJf@,0.45920728732233684,48,109,97.09,44,25,20.34,1914,1965,692,2758
200,OEu`,0.4565087361442961,50,85,101.42,45,22,18.45,1924,1934,787,2969
200,Wpd\,0.4487494686841498,50,86,104.11,45,22,18.66,1934,2206,680,2942
200,bL_?,0.444148485156725,49,108,95.11,41,24,19.31,1948,1978,648,2751
200,"Z,8W",0.4416428102902897,49,100,92.02,45,24,19.4,1938,1775,401,2909
200,W\WD,0.4408992726045274,49,105,95.72,50,24,31.38,1934,2079,597,2784
300,"D,sO",0.6653271390064869,50,99,139.12,39,23,18.57,1910,1775,775,2857
300,Kd[Z,0.5989407091074711,51,96,134.14,45,22,20.35,1919,2130,623,2929
300,KEwQ,0.5906434651745434,51,96,127.86,45,22,18.66,1919,1934,800,2870
300,YB8C,0.5819755911892653,48,114,121.44,45,24,21.14,1937,1915,401,2778
300,"H,jO",0.5729449876518905,50,98,120.01,39,23,20.39,1916,1775,718,2857
300,A(wG,0.5443577418601255,50,105,112.25,41,24,20.72,1907,1750,800,2804
300,a1`R,0.5314755593395344,50,92,113.6,43,23,20.45,1947,1807,654,2876
300,G6jD,0.5260628991460446,49,107,109.33,44,25,19.97,1914,1839,718,2784
