Pair	 TF	 Dna	 Start Date	 End Date	 Total Trades	 Longs %	 Short %	 Total Net Profit	 Max.DD	 Annual Profit	 Winrate	 Serenity	 Sharpe	 Calmar	 Winning Strike	 Losing Strike	 Largest Winning	 Largest Losing	 Num. of Wins	 Num. of Losses	 Paid Fees	 Market Change
ETH-USDT	5m	'V5sC-'	2020-11-11	2021-01-20	62	48	52	53.95	-7.36	818.85	39	15.89	4.85	111.33	2	4	1153.92	-439.79	24	38	319.22	203.06
ETH-USDT	5m	'V5sC-'	2020-11-08	2021-01-17	63	49	51	46.34	-6.99	608.05	38	8.67	4.42	86.93	2	4	1117.81	-425.84	24	39	305.86	182.91
ETH-USDT	5m	'V5sC-'	2020-11-07	2021-01-16	63	48	52	44.27	-7.42	558.06	37	7.56	4.26	75.21	2	5	1111.09	-423.24	23	40	302.18	156.28
ETH-USDT	5m	'V5sC-'	2020-10-18	2020-12-27	52	50	50	45.29	-7.42	582.34	46	7.2	5.75	78.48	6	5	1021.38	-309.91	24	28	246.0	73.26
ETH-USDT	5m	'V5sC-'	2020-01-19	2020-03-29	68	50	50	47.68	-9.7	642.04	40	6.63	3.89	66.18	3	6	1125.45	-691.18	27	41	329.85	-24.85
ETH-USDT	5m	'V5sC-'	2020-10-11	2020-12-20	49	49	51	37.95	-7.42	422.72	49	6.02	5.02	56.97	6	5	1014.06	-307.79	24	25	223.49	77.63
ETH-USDT	5m	'V5sC-'	2020-01-16	2020-03-26	70	50	50	42.79	-9.7	524.18	39	5.69	3.54	54.03	3	6	1084.44	-665.97	27	43	320.77	-18.53
ETH-USDT	5m	'V5sC-'	2020-09-03	2020-11-12	50	48	52	28.59	-5.48	264.3	48	5.41	3.96	48.24	6	6	960.47	-255.25	24	26	230.92	5.46
ETH-USDT	5m	'V5sC-'	2020-12-23	2021-03-03	79	49	51	48.08	-9.37	652.44	38	5.39	3.66	69.64	3	6	1113.0	-560.84	30	49	406.26	132.69
ETH-USDT	5m	'V5sC-'	2020-01-23	2020-04-02	71	51	49	43.96	-9.7	550.9	39	4.95	3.63	56.78	3	6	1125.01	-690.92	28	43	348.86	-19.42
ETH-USDT	5m	'V5sC-'	2020-02-23	2020-05-03	72	53	47	50.53	-9.91	718.82	35	4.65	3.77	72.55	3	6	1113.63	-632.75	25	47	372.28	-18.37
ETH-USDT	5m	'V5sC-'	2020-12-20	2021-02-28	80	50	50	39.71	-9.37	457.94	35	4.29	3.2	48.88	2	6	1107.71	-558.53	28	52	403.18	121.69
ETH-USDT	5m	'V5sC-'	2020-02-26	2020-05-06	74	53	47	40.44	-9.91	473.19	32	3.65	3.21	47.76	3	6	1033.0	-586.92	24	50	358.64	-16.48
ETH-USDT	5m	'V5sC-'	2020-02-09	2020-04-19	76	53	47	42.88	-9.91	526.27	36	3.52	3.33	53.12	3	6	1043.44	-640.82	27	49	369.0	-16.14
ETH-USDT	5m	'V5sC-'	2020-02-06	2020-04-16	75	52	48	33.52	-9.91	341.91	35	2.63	2.79	34.51	3	6	1043.44	-640.82	26	49	363.25	-25.33
ETH-USDT	5m	'V5sC-'	2021-05-10	2021-07-19	86	48	52	36.88	-12.08	402.32	41	2.36	3.09	33.31	4	6	969.66	-955.31	35	51	412.32	-51.86
ETH-USDT	5m	'V5sC-'	2021-06-13	2021-08-22	70	49	51	26.08	-9.3	229.13	40	1.97	3.05	24.64	3	5	979.33	-411.08	28	42	341.58	35.91
ETH-USDT	5m	'V5sC-'	2021-06-03	2021-08-12	75	48	52	20.04	-9.26	155.72	39	1.95	2.32	16.83	3	6	914.79	-383.56	29	46	327.3	17.21
ETH-USDT	5m	'V5sC-'	2020-06-07	2020-08-16	41	51	49	16.71	-7.93	121.32	41	1.46	2.87	15.3	4	5	896.84	-284.0	17	24	178.38	78.77
ETH-USDT	5m	'V5sC-'	2020-06-03	2020-08-12	41	54	46	12.45	-7.77	82.78	37	1.23	2.2	10.65	4	6	882.55	-279.36	15	26	173.19	59.76
ETH-USDT	5m	'V5sC-'	2020-07-26	2020-10-04	62	48	52	22.49	-9.77	183.75	39	1.16	2.85	18.81	2	6	854.86	-248.8	24	38	269.06	13.3
ETH-USDT	5m	'V5sC-'	2020-06-13	2020-08-22	43	51	49	18.16	-7.93	135.83	42	1.16	3.07	17.14	4	5	904.77	-286.46	18	25	191.47	63.36
ETH-USDT	5m	'V5sC-'	2021-06-17	2021-08-26	71	49	51	19.37	-9.46	148.5	41	1.13	2.41	15.69	3	5	937.24	-393.57	29	42	334.26	36.15
ETH-USDT	5m	'V5sC-'	2021-08-20	2021-10-29	55	49	51	12.31	-7.94	81.67	38	1.09	1.8	10.28	6	8	756.48	-301.08	21	34	239.37	34.62
ETH-USDT	5m	'V5sC-'	2019-12-20	2020-02-28	55	53	47	16.49	-9.45	119.12	44	0.97	2.33	12.6	3	6	855.96	-286.19	24	31	231.17	77.44
ETH-USDT	5m	'V5sC-'	2021-03-17	2021-05-26	78	47	53	26.39	-15.3	233.4	36	0.92	2.33	15.26	4	6	936.13	-981.9	28	50	333.77	49.22
ETH-USDT	5m	'V5sC-'	2020-06-26	2020-09-04	49	51	49	20.18	-9.77	157.24	39	0.91	3.09	16.1	4	5	848.14	-268.54	19	30	209.94	64.34
ETH-USDT	5m	'V5sC-'	2021-03-24	2021-06-02	82	49	51	24.56	-15.29	209.24	35	0.88	2.11	13.68	4	6	954.0	-1000.89	29	53	366.59	58.04
ETH-USDT	5m	'V5sC-'	2020-06-16	2020-08-25	46	52	48	15.0	-8.64	105.14	37	0.83	2.54	12.18	4	5	892.07	-282.36	17	29	203.88	76.66
ETH-USDT	5m	'V5sC-'	2019-12-26	2020-03-05	60	53	47	13.67	-9.45	93.22	42	0.81	1.97	9.86	3	6	850.73	-284.44	25	35	253.3	79.49
ETH-USDT	5m	'V5sC-'	2021-03-22	2021-05-31	81	49	51	22.19	-15.3	180.2	36	0.79	1.96	11.78	4	6	928.0	-974.3	29	52	350.17	33.48
ETH-USDT	5m	'V5sC-'	2020-03-10	2020-05-19	77	53	47	18.74	-15.54	141.77	29	0.68	1.76	9.12	3	9	972.49	-552.48	22	55	364.32	5.37
ETH-USDT	5m	'V5sC-'	2021-03-30	2021-06-08	87	48	52	19.71	-15.29	152.18	34	0.64	1.77	9.95	4	6	934.5	-981.9	30	57	387.91	42.05
ETH-USDT	5m	'V5sC-'	2020-05-21	2020-07-30	36	56	44	15.88	-8.65	113.37	39	0.59	2.9	13.1	4	9	844.17	-263.36	14	22	152.4	51.67
ETH-USDT	5m	'V5sC-'	2021-07-10	2021-09-18	62	48	52	14.79	-14.48	103.21	39	0.46	1.98	7.13	6	8	803.95	-336.87	24	38	258.03	58.61
ETH-USDT	5m	'V5sC-'	2021-07-08	2021-09-16	63	49	51	12.52	-14.49	83.35	37	0.39	1.74	5.75	5	8	784.31	-329.36	23	40	255.72	56.5
ETH-USDT	5m	'V5sC-'	2021-07-26	2021-10-04	58	48	52	11.44	-14.16	74.49	40	0.38	1.61	5.26	6	8	697.84	-303.51	23	35	221.64	56.65
ETH-USDT	5m	'V5sC-'	2021-06-26	2021-09-04	68	50	50	8.07	-14.48	49.01	34	0.27	1.19	3.38	3	8	850.25	-356.88	23	45	295.87	117.07
ETH-USDT	5m	'V5sC-'	2020-04-24	2020-07-03	53	51	49	-2.73	-15.78	-13.28	26	-0.03	-0.23	-0.84	4	9	757.47	-274.35	14	39	203.67	22.44
ETH-USDT	5m	'V5sC-'	2021-03-01	2021-05-10	76	47	53	-2.22	-15.29	-10.89	33	-0.05	0.0	-0.71	2	6	792.39	-330.59	25	51	297.26	175.41
