Pair	 TF	 Dna	 Start Date	 End Date	 Total Trades	 Longs %	 Short %	 Total Net Profit	 Max.DD	 Annual Profit	 Winrate	 Serenity	 Sharpe	 Calmar	 Winning Strike	 Losing Strike	 Largest Winning	 Largest Losing	 Num. of Wins	 Num. of Losses	 Paid Fees	 Market Change
BNB-USDT	5m	'j(cN:'	2020-02-20	2020-06-01	84	49	51	54.83	-12.5	370.74	40	3.54	3.15	29.67	4	5	1358.87	-569.05	34	50	483.83	-23.27
BNB-USDT	5m	'EI0p]'	2020-02-20	2020-06-01	48	56	44	41.7	-13.93	243.9	38	1.4	3.09	17.51	3	11	998.51	-294.9	18	30	257.49	-23.27
BNB-USDT	5m	'j/cGX'	2020-02-20	2020-06-01	37	59	41	28.89	-8.64	145.82	46	1.61	2.94	16.88	4	8	813.59	-285.31	17	20	187.33	-23.27
BNB-USDT	5m	'R<tf-'	2020-02-20	2020-06-01	97	51	49	51.98	-12.18	340.79	35	2.82	2.82	27.98	4	7	1761.54	-512.79	34	63	534.83	-23.27
BNB-USDT	5m	'U4cr6'	2020-02-20	2020-06-01	97	48	52	51.52	-13.4	335.99	34	2.16	2.77	25.07	3	7	1796.9	-427.35	33	64	548.05	-23.27
BNB-USDT	5m	'e6uf6'	2020-02-20	2020-06-01	74	54	46	52.99	-12.34	351.22	36	2.7	2.73	28.47	3	6	1991.37	-867.96	27	47	438.86	-23.27
BNB-USDT	5m	'j0cs)'	2020-02-20	2020-06-01	81	56	44	49.79	-13.61	318.69	37	2.33	2.73	23.41	3	8	1873.5	-529.87	30	51	449.85	-23.27
BNB-USDT	5m	'e4uf6'	2020-02-20	2020-06-01	80	50	50	52.08	-14.18	341.81	40	2.27	2.66	24.1	4	7	1979.55	-716.41	32	48	460.62	-23.27
BNB-USDT	5m	'W=6G6'	2020-02-20	2020-06-01	76	53	47	25.17	-14.4	121.55	38	0.65	2.65	8.44	3	9	529.83	-337.27	29	47	355.96	-23.27
BNB-USDT	5m	'j/dGP'	2020-02-20	2020-06-01	43	60	40	25.89	-8.66	126.11	44	1.44	2.64	14.56	4	8	813.91	-278.73	19	24	211.49	-23.27
BNB-USDT	5m	'[<tf8'	2020-02-20	2020-06-01	76	53	47	46.37	-11.52	285.73	37	2.93	2.63	24.8	3	7	1829.77	-560.41	28	48	415.18	-23.27
BNB-USDT	5m	'U5pp6'	2020-02-20	2020-06-01	103	49	51	49.02	-17.24	311.07	31	1.46	2.59	18.04	5	9	1994.66	-473.11	32	71	599.91	-23.27
BNB-USDT	5m	'f5^m1'	2020-02-20	2020-06-01	76	53	47	46.22	-10.74	284.34	38	2.98	2.58	26.47	3	7	1706.9	-796.1	29	47	428.27	-23.27
BNB-USDT	5m	'U5sm6'	2020-02-20	2020-06-01	103	49	51	48.23	-17.27	303.42	31	1.43	2.57	17.57	5	9	1971.53	-470.61	32	71	597.45	-23.27
BNB-USDT	5m	'[?5sn'	2020-02-20	2020-06-01	28	46	54	23.51	-6.88	111.31	39	2.34	2.56	16.17	4	5	919.93	-313.81	11	17	136.82	-23.27
BNB-USDT	5m	'[?>fo'	2020-02-20	2020-06-01	28	46	54	23.44	-6.72	110.89	39	2.33	2.56	16.5	4	5	925.29	-313.01	11	17	136.78	-23.27
BNB-USDT	5m	'e9uf6'	2020-02-20	2020-06-01	67	55	45	48.44	-12.9	305.47	40	2.6	2.53	23.69	3	6	1898.07	-1108.6	27	40	378.24	-23.27
BNB-USDT	5m	'_;T^]'	2020-02-20	2020-06-01	40	57	43	29.5	-12.54	149.97	42	1.12	2.53	11.96	4	7	1116.91	-901.99	17	23	192.95	-23.27
BNB-USDT	5m	'j,cf)'	2020-02-20	2020-06-01	87	53	47	33.41	-13.95	177.74	38	1.21	2.52	12.75	5	6	1413.53	-586.5	33	54	451.87	-23.27
BNB-USDT	5m	'L\\fNo'	2020-02-20	2020-06-01	30	53	47	26.4	-12.61	129.41	40	0.98	2.52	10.26	5	7	1135.77	-406.94	12	18	154.29	-23.27
BNB-USDT	5m	'U=SoB'	2020-02-20	2020-06-01	71	54	46	34.6	-12.0	186.62	38	1.4	2.52	15.55	3	8	1339.21	-348.09	27	44	358.81	-23.27
BNB-USDT	5m	'M5pmR'	2020-02-20	2020-06-01	77	51	49	46.04	-16.99	282.66	34	1.17	2.52	16.64	3	11	2072.68	-496.16	26	51	455.75	-23.27
BNB-USDT	5m	'e(us6'	2020-02-20	2020-06-01	94	52	48	40.53	-14.83	233.91	34	1.56	2.5	15.77	4	7	2042.38	-961.09	32	62	505.48	-23.27
BNB-USDT	5m	'[<ofl'	2020-02-20	2020-06-01	33	55	45	27.18	-6.69	134.46	45	3.36	2.5	20.1	4	6	1478.11	-283.74	15	18	162.78	-23.27
BNB-USDT	5m	'c5pm6'	2020-02-20	2020-06-01	76	51	49	48.69	-15.16	307.84	42	1.88	2.5	20.3	4	10	2065.14	-854.16	32	44	434.48	-23.27
BNB-USDT	5m	'U=rGA'	2020-02-20	2020-06-01	72	53	47	30.46	-8.98	156.6	38	1.81	2.45	17.44	3	9	1071.45	-380.68	27	45	348.46	-23.27
BNB-USDT	5m	'V/Zs6'	2020-02-20	2020-06-01	99	46	54	35.08	-17.71	190.26	35	0.85	2.4	10.74	6	11	1533.96	-432.0	35	64	525.81	-23.27
BNB-USDT	5m	'T5pm6'	2020-02-20	2020-06-01	103	50	50	40.31	-16.86	232.05	31	1.13	2.38	13.77	4	12	1820.25	-412.72	32	71	561.67	-23.27
BNB-USDT	5m	'c5SmB'	2020-02-20	2020-06-01	64	50	50	39.83	-13.48	228.11	42	1.72	2.36	16.92	4	10	1431.85	-738.84	27	37	347.71	-23.27
BNB-USDT	5m	'w5pm6'	2020-02-20	2020-06-01	67	51	49	44.48	-17.75	268.4	37	1.06	2.34	15.12	2	5	1992.81	-812.6	25	42	376.47	-23.27
BNB-USDT	5m	'V5sm)'	2020-02-20	2020-06-01	114	48	52	41.91	-15.53	245.66	32	1.44	2.32	15.81	5	7	1911.93	-654.25	36	78	623.67	-23.27
BNB-USDT	5m	'+mfso'	2020-02-20	2020-06-01	49	39	61	38.96	-8.41	220.88	31	4.22	2.32	26.26	3	8	1793.71	-292.26	15	34	258.67	-23.27
BNB-USDT	5m	'[<kfO'	2020-02-20	2020-06-01	58	55	45	35.0	-11.44	189.61	38	1.55	2.3	16.58	3	9	1627.27	-388.49	22	36	296.44	-23.27
BNB-USDT	5m	'f1pLn'	2020-02-20	2020-06-01	23	61	39	17.38	-4.81	76.44	48	2.42	2.3	15.89	5	6	918.73	-250.42	11	12	104.43	-23.27
BNB-USDT	5m	'U5dm('	2020-02-20	2020-06-01	120	49	51	38.93	-17.14	220.66	31	1.13	2.29	12.87	5	9	1620.68	-434.95	37	83	637.96	-23.27
BNB-USDT	5m	'j6<s)'	2020-02-20	2020-06-01	79	52	48	39.21	-15.86	222.96	33	1.28	2.28	14.06	3	7	1196.83	-886.49	26	53	428.11	-23.27
BNB-USDT	5m	'U5^m6'	2020-02-20	2020-06-01	103	49	51	37.11	-17.05	206.02	31	1.02	2.28	12.08	5	9	1553.76	-435.3	32	71	560.86	-23.27
BNB-USDT	5m	'U=SGD'	2020-02-20	2020-06-01	70	53	47	23.91	-10.51	113.78	39	1.02	2.27	10.83	3	8	755.13	-318.05	27	43	324.34	-23.27
BNB-USDT	5m	'V5sm@'	2020-02-20	2020-06-01	90	44	56	40.5	-18.05	233.67	32	0.99	2.26	12.94	4	10	1971.79	-678.29	29	61	508.39	-23.27
BNB-USDT	5m	'[<tf`'	2020-02-20	2020-06-01	39	51	49	26.0	-9.21	126.85	41	1.44	2.25	13.78	4	8	1641.93	-388.21	16	23	193.5	-23.27
BNB-USDT	5m	'q\\Dfq'	2020-02-20	2020-06-01	16	38	62	22.78	-10.19	106.96	44	1.22	2.24	10.5	4	5	1012.18	-339.8	7	9	75.66	-23.27
BNB-USDT	5m	'V.Zs6'	2020-02-20	2020-06-01	106	50	50	31.95	-16.14	167.1	34	0.87	2.22	10.35	4	6	1453.16	-423.89	36	70	543.05	-23.27
BNB-USDT	5m	'[HfNo'	2020-02-20	2020-06-01	23	48	52	30.92	-7.78	159.82	48	2.97	2.22	20.54	3	4	1109.87	-982.38	11	12	118.11	-23.27
BNB-USDT	5m	'U5Sm;'	2020-02-20	2020-06-01	96	46	54	34.42	-16.43	185.23	31	0.97	2.21	11.27	5	9	1370.61	-426.75	30	66	514.84	-23.27
BNB-USDT	5m	'V5[m-'	2020-02-20	2020-06-01	111	49	51	35.31	-14.82	191.99	32	1.19	2.2	12.96	5	7	1500.71	-590.9	36	75	584.62	-23.27
BNB-USDT	5m	'f5^mG'	2020-02-20	2020-06-01	56	55	45	35.65	-10.91	194.61	41	2.23	2.18	17.84	3	6	1517.9	-728.62	23	33	294.63	-23.27
BNB-USDT	5m	'B?(Kq'	2020-02-20	2020-06-01	36	53	47	12.94	-4.25	53.93	36	1.56	2.17	12.7	3	4	355.71	-211.27	13	23	156.86	-23.27
BNB-USDT	5m	'f6cu)'	2020-02-20	2020-06-01	78	55	45	38.51	-14.36	217.24	33	1.5	2.14	15.13	3	7	1897.4	-790.6	26	52	436.86	-23.27
BNB-USDT	5m	'[>^mw'	2020-02-20	2020-06-01	22	55	45	15.93	-7.23	68.83	41	0.93	2.13	9.52	4	4	949.68	-296.38	9	13	101.46	-23.27
BNB-USDT	5m	'U5Qm6'	2020-02-20	2020-06-01	103	49	51	32.59	-17.1	171.75	31	0.85	2.13	10.04	5	9	1324.09	-421.92	32	71	545.96	-23.27
BNB-USDT	5m	'p5ds('	2020-02-20	2020-06-01	78	51	49	35.99	-15.91	197.23	36	1.06	2.08	12.39	3	9	1789.46	-981.64	28	50	420.81	-23.27
