Pair	 TF	 Dna	 Start Date	 End Date	 Total Trades	 Longs %	 Short %	 Total Net Profit	 Max.DD	 Annual Profit	 Winrate	 Serenity	 Sharpe	 Calmar	 Winning Strike	 Losing Strike	 Largest Winning	 Largest Losing	 Num. of Wins	 Num. of Losses	 Paid Fees	 Market Change
BTC-USDT	1m	'hY?9'	2021-03-14	2021-05-13	26	62	38	7.33	-1.54	52.68	65	5.68	4.42	34.13	4	2	199	-124	17	9	105.65	-18.98
BTC-USDT	1m	'hY?9'	2020-02-05	2020-04-05	55	56	44	12.63	-4.72	103.75	56	3.78	3.52	22.0	6	3	215	-289	31	24	232.31	-25.48
BTC-USDT	1m	'hY?9'	2020-02-02	2020-04-02	54	57	43	11.8	-4.72	94.94	56	3.42	3.32	20.13	6	3	213	-289	30	24	226.75	-29.27
BTC-USDT	1m	'hY?9'	2020-02-23	2020-04-23	54	56	44	12.16	-4.71	98.68	57	3.39	3.35	20.94	6	3	210	-282	31	23	225.06	-26.29
BTC-USDT	1m	'hY?9'	2020-01-18	2020-03-18	38	58	42	7.01	-2.15	49.99	47	2.41	2.26	23.24	6	3	211	-258	18	20	155.23	-40.37
BTC-USDT	1m	'hY?9'	2021-05-18	2021-07-17	55	64	36	10.52	-3.62	81.89	60	2.37	2.73	22.64	6	3	211	-306	33	22	230.37	-28.34
BTC-USDT	1m	'hY?9'	2021-05-03	2021-07-02	57	58	42	9.42	-3.57	71.38	58	2.27	2.4	19.97	6	3	211	-294	33	24	231.6	-40.87
BTC-USDT	1m	'hY?9'	2021-04-04	2021-06-03	47	55	45	5.98	-3.62	41.54	60	2.04	1.79	11.46	6	3	208	-306	28	19	194.17	-33.8
BTC-USDT	1m	'hY?9'	2021-04-21	2021-06-20	55	58	42	7.51	-3.62	54.25	56	1.84	2.08	14.97	6	3	208	-306	31	24	226.36	-37.14
BTC-USDT	1m	'hY?9'	2019-12-29	2020-02-27	19	84	16	2.18	-3.45	13.78	42	0.14	1.32	4.0	3	4	194	-127	8	11	76.06	20.26
BTC-USDT	1m	'hY?9'	2019-12-31	2020-02-29	19	84	16	2.18	-3.45	13.78	42	0.14	1.32	4.0	3	4	194	-127	8	11	76.06	20.6
BTC-USDT	1m	'hY?9'	2020-04-05	2020-06-04	28	57	43	1.33	-5.29	8.23	68	0.12	0.6	1.56	5	2	205	-331	19	9	115.76	40.52
BTC-USDT	1m	'hY?9'	2020-06-27	2020-08-26	7	86	14	1.29	-3.13	7.99	57	0.11	0.93	2.55	3	3	200	-201	4	3	28.58	23.6
BTC-USDT	1m	'hY?9'	2019-12-15	2020-02-13	17	94	6	1.12	-3.44	6.91	41	0.08	0.74	2.01	4	4	147	-128	7	10	68.96	46.56
BTC-USDT	1m	'hY?9'	2020-07-17	2020-09-15	11	73	27	1.08	-4.37	6.67	55	0.07	0.59	1.52	3	3	198	-201	6	5	44.25	16.76
BTC-USDT	1m	'hY?9'	2020-07-19	2020-09-17	11	73	27	1.08	-4.37	6.67	55	0.07	0.59	1.52	3	3	198	-201	6	5	44.25	19.37
BTC-USDT	1m	'hY?9'	2020-07-21	2020-09-19	11	73	27	1.08	-4.37	6.67	55	0.07	0.59	1.52	3	3	198	-201	6	5	44.25	19.29
BTC-USDT	1m	'hY?9'	2020-04-13	2020-06-12	27	59	41	1.13	-5.24	6.97	67	0.06	0.56	1.33	4	2	204	-325	18	9	110.62	35.37
BTC-USDT	1m	'hY?9'	2020-04-15	2020-06-14	26	62	38	0.39	-5.27	2.33	65	0.02	0.23	0.44	4	2	204	-325	17	9	106.14	38.15
BTC-USDT	1m	'hY?9'	2020-06-17	2020-08-16	7	86	14	-0.02	-3.13	-0.12	43	-0.0	0.03	-0.04	3	3	198	-199	3	4	28.13	24.49
BTC-USDT	1m	'hY?9'	2020-01-09	2020-03-09	18	78	22	-0.1	-3.35	-0.59	39	-0.01	-0.01	-0.18	3	3	190	-124	7	11	70.13	-0.07
BTC-USDT	1m	'hY?9'	2020-11-08	2021-01-07	39	67	33	-0.6	-7.69	-3.54	56	-0.02	-0.13	-0.46	4	3	188	-301	22	17	148.87	148.81
BTC-USDT	1m	'hY?9'	2021-06-19	2021-08-18	31	77	23	-0.62	-11.88	-3.68	61	-0.02	-0.09	-0.31	6	4	199	-453	19	12	123.27	25.05
BTC-USDT	1m	'hY?9'	2021-01-22	2021-03-23	56	68	32	-4.34	-11.93	-23.31	45	-0.05	-1.17	-1.95	4	5	200	-269	25	31	216.0	76.47
BTC-USDT	1m	'hY?9'	2021-02-10	2021-04-11	42	62	38	-5.67	-10.89	-29.47	43	-0.06	-2.05	-2.71	4	5	186	-256	18	24	152.26	28.36
BTC-USDT	1m	'hY?9'	2021-08-11	2021-10-10	25	72	28	-3.63	-8.83	-19.84	48	-0.07	-1.36	-2.25	3	4	192	-395	12	13	95.86	20.63
BTC-USDT	1m	'hY?9'	2021-01-01	2021-03-02	88	66	34	-10.22	-17.11	-47.55	51	-0.07	-2.3	-2.78	5	5	197	-416	45	43	334.57	71.06
BTC-USDT	1m	'hY?9'	2021-08-13	2021-10-12	26	73	27	-4.74	-8.83	-25.21	46	-0.08	-1.79	-2.86	3	4	192	-395	12	14	99.64	29.44
BTC-USDT	1m	'hY?9'	2020-04-28	2020-06-27	24	58	42	-2.75	-6.0	-15.36	58	-0.08	-1.17	-2.56	4	2	202	-323	14	10	96.86	18.09
BTC-USDT	1m	'hY?9'	2021-01-18	2021-03-19	60	68	32	-6.04	-11.77	-31.14	45	-0.08	-1.62	-2.64	4	5	192	-256	27	33	226.96	60.36
BTC-USDT	1m	'hY?9'	2020-06-16	2020-08-15	8	88	12	-0.99	-3.15	-5.77	38	-0.09	-0.63	-1.83	3	3	196	-199	3	5	31.88	24.82
BTC-USDT	1m	'hY?9'	2020-12-15	2021-02-13	79	68	32	-8.94	-13.84	-42.9	53	-0.1	-2.1	-3.1	5	4	194	-402	42	37	299.59	145.62
BTC-USDT	1m	'hY?9'	2019-12-05	2020-02-03	16	94	6	-1.24	-2.94	-7.22	38	-0.1	-0.68	-2.46	4	4	144	-158	6	10	63.25	30.06
BTC-USDT	1m	'hY?9'	2020-12-20	2021-02-18	81	68	32	-10.72	-13.97	-49.26	52	-0.1	-2.59	-3.53	5	4	190	-402	42	39	304.32	119.13
BTC-USDT	1m	'hY?9'	2020-09-01	2020-10-31	9	67	33	-3.99	-6.25	-21.64	33	-0.11	-2.34	-3.46	2	5	194	-232	3	6	35.61	16.12
BTC-USDT	1m	'hY?9'	2021-08-01	2021-09-30	25	72	28	-5.17	-8.93	-27.21	48	-0.12	-2.15	-3.05	4	4	192	-413	12	13	97.43	0.17
BTC-USDT	1m	'hY?9'	2020-10-14	2020-12-13	22	68	32	-6.77	-8.18	-34.24	50	-0.12	-3.16	-4.18	3	4	184	-296	11	11	84.05	64.53
BTC-USDT	1m	'hY?9'	2020-10-08	2020-12-07	24	71	29	-5.56	-8.2	-28.99	54	-0.12	-2.53	-3.54	3	4	188	-301	13	11	93.28	81.73
BTC-USDT	1m	'hY?9'	2020-05-14	2020-07-13	13	62	38	-4.45	-5.45	-23.83	46	-0.12	-2.43	-4.38	2	2	89	-225	6	7	50.41	-0.21
BTC-USDT	1m	'hY?9'	2020-11-28	2021-01-27	67	66	34	-8.13	-13.89	-39.78	54	-0.12	-2.37	-2.86	5	4	198	-402	36	31	261.31	89.39
BTC-USDT	1m	'hY?9'	2020-05-01	2020-06-30	19	58	42	-4.91	-6.01	-26.02	53	-0.13	-2.39	-4.33	3	2	196	-315	10	9	74.84	6.28
BTC-USDT	1m	'hY?9'	2020-08-28	2020-10-27	10	70	30	-3.45	-6.23	-18.92	40	-0.14	-1.93	-3.04	3	5	196	-232	4	6	39.79	14.99
BTC-USDT	1m	'hY?9'	2020-08-22	2020-10-21	8	62	38	-2.37	-4.38	-13.37	50	-0.15	-1.36	-3.05	3	2	194	-230	4	4	31.78	3.16
BTC-USDT	1m	'hY?9'	2020-05-11	2020-07-10	15	60	40	-4.48	-5.48	-23.99	53	-0.15	-2.15	-4.38	3	2	108	-315	8	7	58.55	5.32
