Pair	 TF	 Dna	 Start Date	 End Date	 Total Trades	 Longs %	 Short %	 Total Net Profit	 Max.DD	 Annual Profit	 Winrate	 Serenity	 Sharpe	 Calmar	 Winning Strike	 Losing Strike	 Largest Winning	 Largest Losing	 Num. of Wins	 Num. of Losses	 Paid Fees	 Market Change
BTC-USDT	1m	'tl_5'	2021-01-20	2021-03-21	2	100	0	3.49	0.0	22.77	100	nan	3.46	inf	2	0	177	0	2	0	8.07	63.03
BTC-USDT	1m	'uW8>'	2021-01-20	2021-03-21	97	54	46	13.08	-9.82	108.66	65	0.87	2.64	11.07	9	5	179	-474	63	34	423.88	63.03
BTC-USDT	1m	'Cl>Y'	2021-01-20	2021-03-21	121	59	41	13.59	-5.78	114.4	54	1.7	2.54	19.79	7	7	267	-333	65	56	520.75	63.03
BTC-USDT	1m	'pwLp'	2021-01-20	2021-03-21	26	88	12	5.38	-2.45	36.85	62	1.68	2.46	15.05	7	3	277	-198	16	10	103.78	63.03
BTC-USDT	1m	'GqmJ'	2021-01-20	2021-03-21	1	100	0	0.54	0.0	3.29	100	nan	2.43	inf	1	0	54	0	1	0	3.92	63.03
BTC-USDT	1m	'hoft'	2021-01-20	2021-03-21	1	100	0	0.65	0.0	3.97	100	nan	2.43	inf	1	0	65	0	1	0	3.92	63.03
BTC-USDT	1m	'Zl+8'	2021-01-20	2021-03-21	97	43	57	9.91	-7.29	75.99	55	0.72	2.19	10.42	5	5	531	-492	53	44	428.74	63.03
BTC-USDT	1m	'9A@I'	2021-01-20	2021-03-21	19	58	42	2.92	-1.13	18.77	58	1.48	1.91	16.66	4	2	194	-129	11	8	76.25	63.03
BTC-USDT	1m	'XY=4'	2021-01-20	2021-03-21	110	66	34	9.86	-6.7	75.51	47	0.79	1.81	11.28	7	6	398	-353	52	58	463.3	63.03
BTC-USDT	1m	'st7M'	2021-01-20	2021-03-21	51	49	51	7.31	-4.86	52.5	63	1.09	1.77	10.8	5	3	201	-344	32	19	210.89	63.03
BTC-USDT	1m	'gq.4'	2021-01-20	2021-03-21	72	47	53	7.79	-9.73	56.68	46	0.27	1.69	5.83	5	7	406	-244	33	39	312.7	63.03
BTC-USDT	1m	'Q\\1J'	2021-01-20	2021-03-21	136	49	51	8.23	-11.6	60.54	50	0.31	1.67	5.22	4	7	461	-441	68	68	596.21	63.03
BTC-USDT	1m	'^g.S'	2021-01-20	2021-03-21	87	46	54	7.43	-12.67	53.51	47	0.28	1.55	4.22	5	5	261	-861	41	46	368.22	63.03
BTC-USDT	1m	'ij,F'	2021-01-20	2021-03-21	76	42	58	6.04	-6.86	42.03	46	0.43	1.46	6.13	6	6	296	-476	35	41	316.85	63.03
BTC-USDT	1m	'[_7F'	2021-01-20	2021-03-21	102	56	44	7.09	-10.67	50.68	49	0.24	1.44	4.75	7	6	259	-443	50	52	438.86	63.03
