Pair	 TF	 Dna	 Start Date	 End Date	 Total Trades	 Longs %	 Short %	 Total Net Profit	 Max.DD	 Annual Profit	 Winrate	 Serenity	 Sharpe	 Calmar	 Winning Strike	 Losing Strike	 Largest Winning	 Largest Losing	 Num. of Wins	 Num. of Losses	 Paid Fees	 Market Change
ETH-USDT	1m	'VM?s'	2021-09-16	2021-11-05	12	50	50	3.4	-0.45	27.06	67	39.78	5.83	59.58	4	2	76.99	-31.15	8	4	48.35	25.51
ETH-USDT	1m	'i47F'	2021-09-16	2021-11-05	7	43	57	3.44	-0.19	27.39	86	26.97	5.6	147.56	4	1	95.46	-19.12	6	1	28.34	25.51
ETH-USDT	1m	'Z6:k'	2021-09-16	2021-11-05	7	43	57	3.36	-0.07	26.66	86	340.7	4.51	398.78	3	1	87.34	-1.0	6	1	28.43	25.51
ETH-USDT	1m	'ulK2'	2021-09-16	2021-11-05	5	60	40	4.2	-0.78	34.2	80	2.52	4.29	43.69	3	1	178.86	-80.36	4	1	20.52	25.51
ETH-USDT	1m	'tl_5'	2021-09-16	2021-11-05	5	60	40	4.2	-0.78	34.2	80	2.52	4.29	43.69	3	1	178.86	-80.36	4	1	20.52	25.51
ETH-USDT	1m	'Q@M^'	2021-09-16	2021-11-05	5	60	40	4.2	-0.78	34.2	80	2.52	4.29	43.69	3	1	178.86	-80.36	4	1	20.52	25.51
ETH-USDT	1m	'>8:Z'	2021-09-16	2021-11-05	17	35	65	4.0	-1.45	32.43	65	2.86	3.98	22.44	5	3	97.4	-91.72	11	6	69.31	25.51
ETH-USDT	1m	'v+7v'	2021-09-16	2021-11-05	3	33	67	0.75	0.0	5.47	100	nan	3.97	inf	3	0	46.17	0.0	3	0	11.98	25.51
ETH-USDT	1m	'`j)F'	2021-09-16	2021-11-05	58	47	53	12.07	-5.1	126.03	62	1.54	3.75	24.73	8	4	155.89	-277.78	36	22	237.35	25.51
ETH-USDT	1m	'veLM'	2021-09-16	2021-11-05	5	60	40	2.04	-0.61	15.57	80	2.47	3.69	25.45	3	1	79.31	-18.62	4	1	20.2	25.51
ETH-USDT	1m	'gT?4'	2021-09-16	2021-11-05	16	62	38	6.01	-1.77	51.84	69	2.82	3.6	29.33	4	2	191.12	-166.94	11	5	65.21	25.51
ETH-USDT	1m	'HRBB'	2021-09-16	2021-11-05	12	58	42	3.51	-1.84	27.97	67	2.64	3.42	15.24	6	2	145.45	-194.09	8	4	47.87	25.51
ETH-USDT	1m	'ej)F'	2021-09-16	2021-11-05	54	43	57	9.09	-4.66	86.36	63	2.98	3.22	18.52	13	3	149.26	-181.7	34	20	216.84	25.51
ETH-USDT	1m	'_Y+F'	2021-09-16	2021-11-05	87	48	52	9.3	-5.24	88.95	56	1.9	2.91	16.98	6	5	150.06	-320.56	49	38	358.3	25.51
ETH-USDT	1m	'Uw.p'	2021-09-16	2021-11-05	54	54	46	5.52	-2.61	46.94	54	2.25	2.79	18.02	3	3	143.08	-201.06	29	25	222.06	25.51
ETH-USDT	1m	'^g.S'	2021-09-16	2021-11-05	68	51	49	7.43	-2.92	67.01	57	2.19	2.73	22.98	5	5	117.74	-214.66	39	29	275.26	25.51
ETH-USDT	1m	'hY.t'	2021-09-16	2021-11-05	71	49	51	4.88	-3.66	40.6	70	1.62	2.64	11.08	13	2	68.89	-136.15	50	21	284.78	25.51
ETH-USDT	1m	'iY+_'	2021-09-16	2021-11-05	83	51	49	7.6	-5.44	68.93	51	1.34	2.61	12.67	6	8	120.85	-178.3	42	41	329.58	25.51
ETH-USDT	1m	'dH=e'	2021-09-16	2021-11-05	12	58	42	2.34	-1.57	17.97	75	0.61	2.58	11.44	5	1	123.54	-161.52	9	3	48.43	25.51
ETH-USDT	1m	'Xu0>'	2021-09-16	2021-11-05	61	61	39	5.57	-3.78	47.43	70	1.71	2.18	12.56	10	3	79.3	-224.44	43	18	246.12	25.51
ETH-USDT	1m	'ulH2'	2021-09-16	2021-11-05	19	68	32	6.58	-5.97	57.74	58	1.36	2.17	9.68	5	3	207.88	-316.58	11	8	76.23	25.51
ETH-USDT	1m	'hY.='	2021-09-16	2021-11-05	71	48	52	5.46	-6.15	46.33	66	0.57	2.17	7.54	12	3	158.2	-150.8	47	24	282.05	25.51
ETH-USDT	1m	'hY.l'	2021-09-16	2021-11-05	82	49	51	4.44	-4.47	36.42	59	0.49	2.12	8.15	9	4	73.97	-134.49	48	34	326.0	25.51
ETH-USDT	1m	'w28^'	2021-09-16	2021-11-05	4	50	50	1.01	-0.33	7.47	75	2.02	2.1	22.63	2	1	123.04	-33.43	3	1	16.02	25.51
ETH-USDT	1m	'gY:4'	2021-09-16	2021-11-05	90	70	30	6.82	-6.57	60.31	56	0.52	2.07	9.18	6	5	196.92	-191.99	50	40	365.31	25.51
ETH-USDT	1m	'X\\FJ'	2021-09-16	2021-11-05	8	62	38	2.34	-2.0	18.02	62	1.4	2.05	8.99	3	2	198.81	-102.17	5	3	31.91	25.51
ETH-USDT	1m	'Xu.@'	2021-09-16	2021-11-05	57	56	44	6.68	-5.66	58.84	47	0.67	1.97	10.39	6	5	184.47	-392.96	27	30	231.55	25.51
ETH-USDT	1m	'XX9c'	2021-09-16	2021-11-05	101	65	35	4.59	-3.01	37.91	50	0.94	1.96	12.6	5	4	137.93	-169.27	50	51	403.74	25.51
ETH-USDT	1m	's*.4'	2021-09-16	2021-11-05	34	38	62	2.91	-4.1	22.76	50	0.22	1.96	5.55	6	7	146.26	-99.11	17	17	137.5	25.51
ETH-USDT	1m	'XW(4'	2021-09-16	2021-11-05	100	46	54	5.3	-3.97	44.74	51	1.11	1.88	11.27	5	4	183.27	-232.07	51	49	395.66	25.51
ETH-USDT	1m	'_j+q'	2021-09-16	2021-11-05	58	43	57	2.87	-5.68	22.47	79	0.11	1.81	3.95	17	2	72.24	-270.15	46	12	224.72	25.51
ETH-USDT	1m	'XY(3'	2021-09-16	2021-11-05	90	40	60	6.02	-5.0	51.97	46	0.85	1.8	10.39	5	6	244.6	-356.04	41	49	356.66	25.51
ETH-USDT	1m	'_Y+Q'	2021-09-16	2021-11-05	87	49	51	6.11	-4.97	52.89	46	1.3	1.77	10.63	4	5	213.27	-271.8	40	47	355.17	25.51
ETH-USDT	1m	'ijHF'	2021-09-16	2021-11-05	16	69	31	2.71	-2.36	21.08	69	0.81	1.67	8.92	4	2	144.26	-194.05	11	5	64.17	25.51
ETH-USDT	1m	'1@]^'	2021-09-16	2021-11-05	16	69	31	2.71	-2.36	21.08	69	0.81	1.67	8.92	4	2	144.26	-194.05	11	5	64.17	25.51
ETH-USDT	1m	'a`EI'	2021-09-16	2021-11-05	16	56	44	2.06	-2.57	15.74	62	0.4	1.66	6.13	3	2	99.31	-207.36	10	6	63.34	25.51
ETH-USDT	1m	'XX.Q'	2021-09-16	2021-11-05	93	51	49	5.01	-9.28	41.86	44	0.14	1.63	4.51	4	8	213.55	-243.91	41	52	361.08	25.51
ETH-USDT	1m	'KME0'	2021-09-16	2021-11-05	5	60	40	1.93	-1.94	14.66	80	2.13	1.62	7.55	4	1	216.47	-194.09	4	1	19.84	25.51
ETH-USDT	1m	'XYEc'	2021-09-16	2021-11-05	8	62	38	1.69	-2.29	12.75	75	0.94	1.61	5.58	6	2	130.03	-198.35	6	2	31.93	25.51
ETH-USDT	1m	'9A@I'	2021-09-16	2021-11-05	11	45	55	1.3	-1.2	9.68	64	0.55	1.58	8.07	4	1	98.81	-122.37	7	4	44.24	25.51
ETH-USDT	1m	'Qh1F'	2021-09-16	2021-11-05	68	51	49	3.89	-5.4	31.37	54	0.22	1.52	5.81	9	5	139.08	-218.2	37	31	264.22	25.51
ETH-USDT	1m	'NA?O'	2021-09-16	2021-11-05	7	71	29	0.95	-1.31	6.98	86	1.1	1.42	5.34	5	1	67.79	-152.8	6	1	27.82	25.51
ETH-USDT	1m	'ujG('	2021-09-16	2021-11-05	18	67	33	5.72	-7.49	48.92	50	0.59	1.41	6.53	3	5	401.14	-311.37	9	9	71.53	25.51
ETH-USDT	1m	'XYG4'	2021-09-16	2021-11-05	6	50	50	1.61	-1.99	12.11	67	0.8	1.37	6.09	3	1	181.72	-198.92	4	2	23.98	25.51
ETH-USDT	1m	'eg..'	2021-09-16	2021-11-05	55	49	51	5.96	-8.04	51.28	40	0.39	1.37	6.38	6	7	338.51	-313.94	22	33	213.5	25.51
ETH-USDT	1m	'eg./'	2021-09-16	2021-11-05	55	49	51	4.56	-6.6	37.64	44	0.36	1.28	5.7	9	7	226.01	-263.69	24	31	213.97	25.51
ETH-USDT	1m	'*ZIB'	2021-09-16	2021-11-05	17	35	65	1.63	-2.5	12.25	53	0.51	1.27	4.9	4	3	144.57	-119.1	9	8	67.72	25.51
ETH-USDT	1m	'ds.5'	2021-09-16	2021-11-05	58	45	55	4.01	-4.97	32.54	59	0.72	1.26	6.54	4	3	88.99	-303.45	34	24	236.55	25.51
ETH-USDT	1m	'uW8>'	2021-09-16	2021-11-05	86	64	36	3.17	-5.72	25.0	70	0.22	1.24	4.37	7	3	78.84	-226.45	60	26	346.07	25.51
ETH-USDT	1m	',jO2'	2021-09-16	2021-11-05	13	54	46	2.08	-5.23	15.84	46	0.33	1.17	3.03	6	7	194.48	-136.42	6	7	50.98	25.51
ETH-USDT	1m	'pC:l'	2021-09-16	2021-11-05	13	54	46	1.39	-2.6	10.4	77	0.64	1.16	4.0	6	1	70.75	-261.79	10	3	51.86	25.51
ETH-USDT	1m	'k/9P'	2021-09-16	2021-11-05	3	33	67	0.4	-0.46	2.92	33	0.31	1.15	6.41	1	2	86.14	-32.58	1	2	11.97	25.51
ETH-USDT	1m	'fj)?'	2021-09-16	2021-11-05	54	43	57	4.2	-8.17	34.28	46	0.29	1.15	4.2	11	5	259.02	-292.59	25	29	214.57	25.51
ETH-USDT	1m	'dUWl'	2021-09-16	2021-11-05	54	43	57	4.2	-8.17	34.28	46	0.29	1.15	4.2	11	5	259.02	-292.59	25	29	214.57	25.51
ETH-USDT	1m	'hY.('	2021-09-16	2021-11-05	72	49	51	4.44	-8.5	36.44	39	0.22	1.14	4.29	3	8	405.43	-252.49	28	44	281.36	25.51
ETH-USDT	1m	'iY..'	2021-09-16	2021-11-05	72	49	51	3.97	-7.86	32.15	42	0.19	1.13	4.09	3	8	338.88	-223.65	30	42	281.0	25.51
ETH-USDT	1m	',cM,'	2021-09-16	2021-11-05	14	50	50	1.8	-3.57	13.6	57	0.51	1.12	3.81	2	2	210.93	-133.75	8	6	55.9	25.51
ETH-USDT	1m	'E1=o'	2021-09-16	2021-11-05	4	50	50	0.82	-1.36	6.0	75	0.33	1.11	4.42	3	1	113.2	-138.77	3	1	16.21	25.51
ETH-USDT	1m	'Rs.F'	2021-09-16	2021-11-05	64	58	42	3.06	-7.99	24.11	55	0.13	1.06	3.02	5	6	142.8	-330.56	35	29	244.69	25.51
ETH-USDT	1m	'o*.4'	2021-09-16	2021-11-05	33	36	64	1.47	-3.74	11.02	52	0.12	1.05	2.95	5	5	144.0	-183.82	17	16	131.63	25.51
ETH-USDT	1m	'hY?9'	2021-09-16	2021-11-05	31	74	26	1.9	-4.77	14.42	55	0.13	1.04	3.02	4	4	193.71	-298.44	17	14	121.45	25.51
ETH-USDT	1m	'PuN1'	2021-09-16	2021-11-05	13	77	23	1.7	-3.0	12.8	62	0.34	1.0	4.27	4	2	121.42	-167.19	8	5	51.59	25.51
ETH-USDT	1m	'+oP+'	2021-09-16	2021-11-05	16	62	38	1.55	-4.54	11.65	50	0.18	1.0	2.57	6	4	162.39	-138.9	8	8	62.79	25.51
ETH-USDT	1m	'p).F'	2021-09-16	2021-11-05	29	34	66	1.16	-3.86	8.64	55	0.06	1.0	2.24	5	5	112.54	-101.46	16	13	117.22	25.51
