iteration,dna,fitness,training_log.win-rate,training_log.total,training_log.PNL,testing_log.win-rate,testing_log.total,testing_log.PNL,parameters.ott_len,parameters.ott_percent,parameters.ott_bw,parameters.tps_qty_index
100,v+7v,1.9178894300304845,100,6,2.05,100,2,3.05,32,25,46,987
100,st7M,0.3379291347878128,67,43,17.72,55,29,5.52,30,395,46,468
100,ss=9,0.33698915656480516,63,49,27.46,55,29,3.77,30,390,61,215
100,wk8m,0.3341161013164155,69,71,10.77,75,36,10.96,32,349,48,873
100,GkB;,0.3209418859093462,55,81,17.16,50,53,3.5,14,349,73,241
100,vi1],0.3114449676593229,47,55,23.45,54,22,7.49,32,339,32,671
100,tl_5,0.3084500553490688,60,94,24.03,61,55,9.94,31,354,142,165
100,eDPu,0.2860745773908655,80,15,7.77,80,5,2.68,25,152,106,975
100,GqmJ,0.2804619542261131,49,63,17.22,57,42,26.97,14,380,176,430
100,rd/a,0.2733309196134496,53,63,19.35,52,23,6.26,30,314,27,722
100,Rk^O,0.26653028845316834,76,72,17.23,66,51,7.79,18,349,140,494
100,@FXc,0.26644232660662365,70,17,5.79,87,8,10.99,11,162,125,747
100,ha0j,0.25657681414438055,52,88,13.27,54,51,5.51,26,299,29,835
100,i`UK,0.2486518568946482,55,81,14.26,54,50,-9.7,27,294,118,443
100,Q@M^,0.24772078509224024,58,17,7.23,62,8,9.6,18,132,99,684
100,E1=o,0.24621474605565238,66,39,6.54,68,16,4.54,13,56,61,899
100,dUWl,0.2441381218062578,65,114,12.31,55,85,-16.91,25,238,123,861
100,1@]^,0.2375787393257166,62,16,5.2,75,8,12.46,5,132,137,684
100,^g.S,0.2366270985394855,50,80,20.07,57,42,13.53,23,329,24,544
100,veLM,0.23591792386723515,58,60,10.82,67,37,8.91,32,319,97,468
100,hoft,0.23192650497650552,77,62,9.41,75,37,7.31,26,369,159,962
100,HZg*,0.21403259730210009,33,24,9.03,58,12,23.83,14,263,162,25
100,U;Cg,0.21354927931891676,49,55,8.38,50,24,13.91,19,106,75,797
100,v?L:,0.21065290242268012,71,7,5.15,100,2,3.46,32,126,97,228
100,Z?N>,0.2059252176093693,81,11,4.32,83,6,7.1,21,126,101,278
