Pair	 TF	 Dna	 Start Date	 End Date	 Total Trades	 Longs %	 Short %	 Total Net Profit	 Max.DD	 Annual Profit	 Winrate	 Serenity	 Sharpe	 Calmar	 Winning Strike	 Losing Strike	 Largest Winning	 Largest Losing	 Num. of Wins	 Num. of Losses	 Paid Fees	 Market Change
MATIC-USDT	5m	'Rd_:/'	2021-09-01	2021-10-15	24	38	62	35.55	-2.89	1446.14	67	41.5	10.47	500.88	5	2	447	-302	16	8	232.2	-5.15
MATIC-USDT	5m	'EmE?('	2021-09-01	2021-10-15	23	48	52	31.4	-2.95	999.53	57	18.13	7.26	339.19	3	4	526	-213	13	10	207.47	-5.15
MATIC-USDT	5m	'NlK+2'	2021-09-01	2021-10-15	30	63	37	24.74	-4.43	581.32	50	11.61	5.27	131.29	3	4	435	-339	15	15	284.55	-5.15
MATIC-USDT	5m	'NeK+*'	2021-09-01	2021-10-15	23	61	39	28.54	-4.03	745.27	57	10.35	6.92	184.94	5	3	404	-189	13	10	204.52	-5.15
MATIC-USDT	5m	'EDFN+'	2021-09-01	2021-10-15	50	54	46	33.02	-5.64	1218.13	50	9.51	6.16	215.85	3	4	414	-307	25	25	480.23	-5.15
MATIC-USDT	5m	'X\\K/*'	2021-09-01	2021-10-15	20	45	55	16.07	-3.61	312.12	50	8.68	4.96	86.48	2	3	477	-207	10	10	169.15	-5.15
MATIC-USDT	5m	'teR+2'	2021-09-01	2021-10-15	19	53	47	21.45	-4.92	417.66	58	7.87	5.19	84.95	6	3	405	-328	11	8	173.15	-5.15
MATIC-USDT	5m	'NXwNA'	2021-09-01	2021-10-15	10	80	20	9.55	-3.39	166.8	60	6.45	4.18	49.19	3	2	332	-358	6	4	83.4	-5.15
MATIC-USDT	5m	'NeG+2'	2021-09-01	2021-10-15	36	58	42	23.03	-6.41	521.79	47	6.07	4.85	81.34	3	3	408	-264	17	19	320.34	-5.15
MATIC-USDT	5m	'geR+2'	2021-09-01	2021-10-15	26	42	58	13.94	-4.48	325.76	54	5.75	3.89	72.71	3	2	404	-320	14	12	232.38	-5.15
MATIC-USDT	5m	'ZeX/7'	2021-09-01	2021-10-15	34	53	47	28.38	-10.3	814.67	56	5.74	4.35	79.08	3	4	529	-364	19	15	326.68	-5.15
MATIC-USDT	5m	'peK+2'	2021-09-01	2021-10-15	31	48	52	23.99	-5.54	519.49	52	5.06	4.6	93.75	4	3	414	-324	16	15	280.24	-5.15
MATIC-USDT	5m	'ZYBN+'	2021-09-01	2021-10-15	28	50	50	15.96	-4.9	291.39	46	4.71	4.69	59.52	4	5	347	-227	13	15	237.15	-5.15
MATIC-USDT	5m	'NeK12'	2021-09-01	2021-10-15	39	54	46	25.13	-8.13	782.55	51	4.26	7.08	96.27	4	5	371	-275	20	19	343.53	-5.15
MATIC-USDT	5m	'QeK+2'	2021-09-01	2021-10-15	32	62	38	19.25	-5.24	367.67	47	4.2	4.5	70.21	3	3	415	-328	15	17	284.3	-5.15
MATIC-USDT	5m	'NeK+,'	2021-09-01	2021-10-15	28	54	46	23.51	-6.15	519.01	50	4.12	5.64	84.4	4	4	397	-263	14	14	242.91	-5.15
MATIC-USDT	5m	'dMsPP'	2021-09-01	2021-10-15	8	75	25	11.77	-4.03	151.74	75	4.02	4.38	37.7	5	2	367	-293	6	2	69.63	-5.15
MATIC-USDT	5m	'M<dY;'	2021-09-01	2021-10-15	8	88	12	10.55	-3.22	129.86	88	3.91	4.72	40.29	5	1	298	-359	7	1	68.75	-5.15
MATIC-USDT	5m	'NeK+2'	2021-09-01	2021-10-15	39	54	46	27.85	-8.77	777.78	49	3.76	6.12	88.68	4	5	414	-275	19	20	337.58	-5.15
MATIC-USDT	5m	'\\cf(7'	2021-09-01	2021-10-15	25	76	24	25.31	-6.74	596.69	48	3.74	4.57	88.48	3	4	668	-337	12	13	220.8	-5.15
MATIC-USDT	5m	'cLR,I'	2021-09-01	2021-10-15	59	54	46	30.71	-12.3	1087.11	49	3.74	4.2	88.39	4	4	654	-470	29	30	559.68	-5.15
MATIC-USDT	5m	'NeL+2'	2021-09-01	2021-10-15	33	48	52	26.36	-7.84	687.92	48	3.73	5.75	87.75	4	5	420	-233	16	17	289.47	-5.15
MATIC-USDT	5m	'hu[86'	2021-09-01	2021-10-15	27	56	44	16.55	-4.91	361.81	52	3.68	4.72	73.64	3	5	358	-289	14	13	232.28	-5.15
MATIC-USDT	5m	'NeK82'	2021-09-01	2021-10-15	39	54	46	24.52	-8.31	681.53	49	3.62	6.51	81.98	4	5	377	-271	19	20	337.56	-5.15
MATIC-USDT	5m	'NeKM2'	2021-09-01	2021-10-15	39	54	46	23.61	-8.38	639.65	49	3.59	6.2	76.36	4	5	416	-242	19	20	337.97	-5.15
MATIC-USDT	5m	'NeKB2'	2021-09-01	2021-10-15	39	54	46	19.25	-8.01	596.87	51	3.25	7.09	74.5	4	5	367	-268	20	19	341.93	-5.15
MATIC-USDT	5m	'NeK,2'	2021-09-01	2021-10-15	39	54	46	26.61	-10.32	783.26	49	3.12	5.39	75.91	4	5	591	-275	19	20	346.41	-5.15
MATIC-USDT	5m	'NeK:2'	2021-09-01	2021-10-15	38	53	47	19.95	-8.46	538.49	50	3.07	6.15	63.63	4	5	394	-264	19	19	329.88	-5.15
MATIC-USDT	5m	'NeKU2'	2021-09-01	2021-10-15	39	54	46	19.98	-8.87	557.85	51	2.96	5.71	62.88	4	5	476	-239	20	19	340.84	-5.15
MATIC-USDT	5m	'NeK*2'	2021-09-01	2021-10-15	38	53	47	24.12	-9.7	589.53	47	2.86	5.16	60.78	4	5	498	-267	18	20	327.83	-5.15
MATIC-USDT	5m	'NeK(2'	2021-09-01	2021-10-15	39	54	46	27.78	-11.09	776.39	44	2.85	4.86	69.98	4	8	661	-275	17	22	344.72	-5.15
MATIC-USDT	5m	'NeK/6'	2021-09-01	2021-10-15	45	56	44	21.44	-11.03	607.94	47	2.81	4.4	55.11	4	4	520	-342	21	24	414.08	-5.15
MATIC-USDT	5m	'NeK/2'	2021-09-01	2021-10-15	38	53	47	23.05	-9.54	672.67	50	2.72	5.75	70.52	4	5	512	-270	19	19	336.08	-5.15
MATIC-USDT	5m	'JY>N)'	2021-09-01	2021-10-15	36	50	50	23.25	-7.58	540.99	50	2.72	4.95	71.34	5	5	374	-247	18	18	321.93	-5.15
MATIC-USDT	5m	'NeK-2'	2021-09-01	2021-10-15	38	53	47	24.02	-9.38	643.95	47	2.68	5.69	68.62	4	5	482	-269	18	20	330.83	-5.15
MATIC-USDT	5m	'Ob9.:'	2021-09-01	2021-10-15	52	62	38	12.13	-5.84	210.76	44	2.5	2.66	36.11	3	4	414	-371	23	29	450.06	-5.15
MATIC-USDT	5m	'gYtNQ'	2021-09-01	2021-10-15	15	60	40	11.81	-5.8	158.35	60	2.36	3.38	27.31	3	2	342	-368	9	6	129.07	-5.15
MATIC-USDT	5m	'Neb+2'	2021-09-01	2021-10-15	29	45	55	15.2	-7.06	238.74	48	2.33	3.43	33.81	4	3	383	-284	14	15	242.06	-5.15
MATIC-USDT	5m	'gDgNQ'	2021-09-01	2021-10-15	13	62	38	18.13	-6.23	309.76	69	2.23	4.97	49.72	8	3	378	-395	9	4	119.64	-5.15
MATIC-USDT	5m	'gDdNQ'	2021-09-01	2021-10-15	16	56	44	12.54	-6.25	181.55	56	1.9	3.46	29.06	3	3	357	-373	9	7	141.41	-5.15
MATIC-USDT	5m	'(_`6B'	2021-09-01	2021-10-15	108	54	46	25.56	-11.93	625.22	46	1.85	3.37	52.39	5	5	543	-333	50	58	978.93	-5.15
MATIC-USDT	5m	'NeK+0'	2021-09-01	2021-10-15	34	56	44	21.55	-9.92	468.43	47	1.81	4.94	47.2	4	6	393	-261	16	18	287.54	-5.15
MATIC-USDT	5m	'u?H.M'	2021-09-01	2021-10-15	65	57	43	16.61	-12.88	465.66	48	1.79	3.24	36.16	4	4	444	-414	31	34	577.98	-5.15
MATIC-USDT	5m	'g?H5M'	2021-09-01	2021-10-15	65	55	45	18.4	-13.52	537.63	43	1.55	3.12	39.78	4	4	616	-436	28	37	614.33	-5.15
MATIC-USDT	5m	'mUJ(J'	2021-09-01	2021-10-15	52	52	48	25.87	-14.87	669.22	42	1.48	3.34	45.0	4	9	720	-455	22	30	496.99	-5.15
MATIC-USDT	5m	'qDFN3'	2021-09-01	2021-10-15	45	44	56	7.01	-7.23	138.83	49	1.02	2.35	19.2	4	3	347	-321	22	23	389.86	-5.15
MATIC-USDT	5m	'Prh5M'	2021-09-01	2021-10-15	45	53	47	12.54	-13.5	210.11	44	0.94	2.26	15.56	3	5	522	-417	20	25	378.56	-5.15
MATIC-USDT	5m	'Prh7M'	2021-09-01	2021-10-15	46	54	46	10.26	-12.5	161.83	48	0.94	2.1	12.95	3	5	385	-423	22	24	384.15	-5.15
MATIC-USDT	5m	'n?H5M'	2021-09-01	2021-10-15	62	55	45	11.6	-14.93	281.45	40	0.88	2.31	18.85	4	5	589	-452	25	37	574.21	-5.15
MATIC-USDT	5m	'VrH/M'	2021-09-01	2021-10-15	54	57	43	9.26	-12.58	200.55	43	0.78	2.23	15.95	3	6	507	-410	23	31	480.58	-5.15
MATIC-USDT	5m	'PqH5M'	2021-09-01	2021-10-15	56	59	41	13.68	-16.3	285.06	45	0.65	2.46	17.49	5	5	597	-415	25	31	519.57	-5.15
