'Pair','TF','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'MATIC-USDT','5m','2021-05-30','2021-06-14','6','15.15','-0.74',3050,'83','11.42','4124.23','3','1',386,-153,'5','1','-13.32'
'MATIC-USDT','5m','2021-05-28','2021-06-12','6','14.97','-0.74',2930,'83','11.32','3962.41','3','1',368,-153,'5','1','-38.13'
'MATIC-USDT','5m','2021-09-28','2021-10-13','10','11.68','-2.55',1487,'60','7.55','582.17','4','3',362,-170,'6','4','12.69'
'MATIC-USDT','5m','2021-06-21','2021-07-06','7','8.3','-2.04',599,'71','6.69','294.15','3','1',347,-225,'5','2','-21.47'
'MATIC-USDT','5m','2021-06-17','2021-07-02','5','7.58','-1.73',495,'80','6.98','285.34','3','1',347,-195,'4','1','-27.23'
'MATIC-USDT','5m','2021-09-13','2021-09-28','7','8.37','-2.55',640,'57','7.04','251.22','4','2',373,-183,'4','3','-18.51'
'MATIC-USDT','5m','2021-09-12','2021-09-27','7','8.37','-2.55',640,'57','7.04','251.22','4','2',373,-183,'4','3','-14.5'
'MATIC-USDT','5m','2021-07-10','2021-07-25','5','6.3','-1.48',344,'60','5.99','233.0','2','1',356,-151,'3','2','-9.49'
'MATIC-USDT','5m','2021-09-07','2021-09-22','7','8.43','-4.03',648,'57','7.08','160.78','4','3',364,-152,'4','3','-36.39'
'MATIC-USDT','5m','2021-08-28','2021-09-12','6','5.24','-2.51',264,'50','4.26','105.03','2','2',362,-174,'3','3','-13.54'
'MATIC-USDT','5m','2021-08-27','2021-09-11','6','5.24','-2.51',264,'50','4.26','105.03','2','2',362,-174,'3','3','-4.41'
'MATIC-USDT','5m','2021-09-18','2021-10-03','6','5.76','-3.8',315,'50','4.81','82.75','2','3',347,-170,'3','3','-9.56'
'MATIC-USDT','5m','2021-09-17','2021-10-02','6','5.62','-3.8',303,'50','4.76','79.62','2','3',357,-175,'3','3','-8.6'
'MATIC-USDT','5m','2021-06-30','2021-07-15','10','6.06','-7.04',328,'50','3.79','46.52','2','4',341,-215,'5','5','-20.76'
'MATIC-USDT','5m','2021-05-05','2021-05-20','2','1.72','-1.6',55,'50','2.3','34.09','1','1',346,-175,'1','1','130.51'
'MATIC-USDT','5m','2021-09-20','2021-10-05','5','2.31','-3.8',85,'40','2.3','22.4','2','3',333,-164,'2','3','-3.07'
'MATIC-USDT','5m','2021-05-18','2021-06-02','2','1.06','-1.6',32,'50','1.72','20.04','1','1',275,-169,'1','1','4.12'
'MATIC-USDT','5m','2021-06-22','2021-07-07','8','1.18','-5.23',36,'50','1.14','6.92','2','3',303,-218,'4','4','2.39'
'MATIC-USDT','5m','2021-09-23','2021-10-08','7','-0.44','-3.8',2,'29','0.2','0.56','2','3',333,-165,'2','5','3.96'
'MATIC-USDT','5m','2021-07-29','2021-08-13','8','-0.6','-3.53',-5,'25','-0.04','-1.3','1','3',336,-178,'2','6','30.06'
'MATIC-USDT','5m','2021-07-26','2021-08-10','8','-1.34','-4.9',-22,'25','-0.71','-4.47','1','3',331,-176,'2','6','20.24'
'MATIC-USDT','5m','2021-07-25','2021-08-09','9','-2.8','-6.29',-45,'22','-1.87','-7.23','1','4',327,-173,'2','7','14.14'
'MATIC-USDT','5m','2021-07-16','2021-07-31','6','-4.56','-6.29',-67,'17','-4.23','-10.64','1','4',342,-177,'1','5','21.26'
'MATIC-USDT','5m','2021-07-15','2021-07-30','6','-4.56','-6.29',-67,'17','-4.23','-10.64','1','4',342,-177,'1','5','10.75'
'MATIC-USDT','5m','2021-07-21','2021-08-05','8','-5.33','-6.29',-71,'25','-4.67','-11.32','1','4',270,-173,'2','6','53.26'
