iteration,dna,fitness,training_log.win-rate,training_log.total,training_log.PNL,testing_log.win-rate,testing_log.total,testing_log.PNL,parameters.ott_len,parameters.ott_percent,parameters.ott_bw,parameters.tps_qty_index,parameters.max_risk
90,_hGO(,0.9258026627664637,60,10,12.62,20,5,-3.11,36,312,107,62,20
90,ZWM3+,0.8937350473261478,70,17,24.51,30,13,-3.07,33,269,116,17,22
90,Jvl.0,0.8140932378289468,66,15,26.15,23,13,-9.99,24,347,163,9,25
90,Hg`)9,0.7920373979841647,56,32,27.79,31,32,0.89,23,309,145,2,31
90,4*bbP,0.7214200587725282,53,32,16.38,41,39,-12.9,12,155,148,92,45
90,wVUUL,0.7204031751009186,51,31,23.48,40,37,4.23,50,266,128,71,43
90,_\FE0,0.6652006839515014,61,18,15.99,34,23,-6.79,36,282,106,46,25
90,NIh\K,0.6365180371894612,64,17,14.27,36,25,-18.07,27,234,157,82,42
90,ulC8J,0.6151370610152688,55,27,22.54,26,34,-26.31,49,322,101,25,42
90,MoK)P,0.6134974995296024,50,38,27.76,36,47,-11.92,26,330,113,2,45
90,VZ?7V,0.6040599332740689,57,38,22.26,32,49,-12.97,31,277,95,24,49
90,"SiS.,",0.5633151122684881,50,18,13.95,18,11,-7.23,29,315,125,9,23
90,n^=+K,0.5308231966460268,51,31,19.5,32,37,-14.4,45,287,92,5,42
90,NkKs[,0.5307451912420682,60,38,6.13,48,47,-18.6,27,320,113,119,52
90,HTXk+,0.529188477638684,60,23,9.78,33,21,-7.39,23,261,133,106,22
90,thJv8,0.4991048189995931,63,19,5.7,35,17,-5.44,48,312,112,123,30
90,0OW*D,0.48875004684729456,44,59,23.23,35,78,-24.31,10,249,131,3,38
90,2>g0Y,0.4862835539438587,58,36,18.06,43,60,-30.58,11,206,156,13,51
90,1R[:>,0.48267830437132003,55,56,18.91,41,70,-18.32,10,256,137,28,34
90,m-8)i,0.47757362698518385,46,47,26.14,33,53,-25.72,44,163,84,2,61
90,E[XN3,0.46935756485251,50,34,15.0,44,34,5.32,22,279,133,60,27
90,`wh:t,0.4692332653308456,62,29,19.04,44,36,-17.04,37,350,157,28,68
90,ZU:ZB,0.4595954393870886,55,34,10.61,41,43,-9.15,33,264,87,79,36
90,LbMRw,0.4593627828317744,61,36,18.33,46,47,-12.13,26,297,116,66,70
90,YoVE0,0.45669070226918523,57,19,13.67,30,10,-4.64,33,330,130,46,25
90,Xhc?p,0.45397523917328203,52,34,20.65,41,43,-17.87,32,312,150,36,66
90,VRH)d,0.449821393019177,52,36,21.27,30,49,-12.4,31,256,109,2,58
90,"1Ei,r",0.4442430064342122,57,40,19.12,39,66,-29.77,10,223,159,6,67
90,deX6-,0.4092926204901738,47,17,14.31,33,6,-2.22,39,304,133,22,23
90,V[<us,0.40842435011210626,59,37,7.16,41,51,-16.55,31,279,90,122,67
90,_hGO(,0.9258026627664637,60,10,12.62,20,5,-3.11,36,312,107,62,20
90,ZWM3+,0.8937350473261478,70,17,24.51,30,13,-3.07,33,269,116,17,22
90,Jvl.0,0.8140932378289468,66,15,26.15,23,13,-9.99,24,347,163,9,25
90,Hg`)9,0.7920373979841647,56,32,27.79,31,32,0.89,23,309,145,2,31
90,4*bbP,0.7214200587725282,53,32,16.38,41,39,-12.9,12,155,148,92,45
90,wVUUL,0.7204031751009186,51,31,23.48,40,37,4.23,50,266,128,71,43
90,_\FE0,0.6652006839515014,61,18,15.99,34,23,-6.79,36,282,106,46,25
90,NIh\K,0.6365180371894612,64,17,14.27,36,25,-18.07,27,234,157,82,42
90,ulC8J,0.6151370610152688,55,27,22.54,26,34,-26.31,49,322,101,25,42
90,MoK)P,0.6134974995296024,50,38,27.76,36,47,-11.92,26,330,113,2,45
90,VZ?7V,0.6040599332740689,57,38,22.26,32,49,-12.97,31,277,95,24,49
90,"SiS.,",0.5633151122684881,50,18,13.95,18,11,-7.23,29,315,125,9,23
90,n^=+K,0.5308231966460268,51,31,19.5,32,37,-14.4,45,287,92,5,42
90,NkKs[,0.5307451912420682,60,38,6.13,48,47,-18.6,27,320,113,119,52
90,HTXk+,0.529188477638684,60,23,9.78,33,21,-7.39,23,261,133,106,22
90,thJv8,0.4991048189995931,63,19,5.7,35,17,-5.44,48,312,112,123,30
90,0OW*D,0.48875004684729456,44,59,23.23,35,78,-24.31,10,249,131,3,38
90,2>g0Y,0.4862835539438587,58,36,18.06,43,60,-30.58,11,206,156,13,51
90,1R[:>,0.48267830437132003,55,56,18.91,41,70,-18.32,10,256,137,28,34
90,m-8)i,0.47757362698518385,46,47,26.14,33,53,-25.72,44,163,84,2,61
90,E[XN3,0.46935756485251,50,34,15.0,44,34,5.32,22,279,133,60,27
