['Pair', 'TF', 'Start Date', 'End Date', 'Total Trades', 'Total Net Profit', 'Max.DD', 'Annual Profit', 'Winrate', 'Sharpe', 'Calmar', 'Winning Strike', 'Losing Strike', 'Largest Winning', 'Largest Losing', 'Num. of Wins', 'Num. of Losses', 'Market Change']
['AAVE-USDT', '5m', '2021-03-06', '2021-03-26', '12', '-9.76', '-14.9', -84, '33', '-2.99', '-5.61', '2', '6', 474, -463, '4', '8', '-11.64']
['AAVE-USDT', '5m', '2021-05-17', '2021-06-06', '17', '-4.74', '-12.35', -43, '41', '-0.36', '-3.51', '2', '4', 505, -502, '7', '10', '-32.47']
['AAVE-USDT', '5m', '2021-01-21', '2021-02-10', '15', '4.08', '-13.54', 193, '40', '1.58', '14.26', '2', '4', 571, -537, '6', '9', '146.51']
['AAVE-USDT', '5m', '2021-07-08', '2021-07-28', '13', '1.72', '-13.69', 37, '38', '0.76', '2.67', '2', '5', 537, -391, '5', '8', '-4.31']
['AAVE-USDT', '5m', '2021-03-05', '2021-03-25', '13', '-11.2', '-16.25', -88, '31', '-3.51', '-5.4', '2', '7', 467, -456, '4', '9', '-17.72']
['AAVE-USDT', '5m', '2021-07-07', '2021-07-27', '12', '5.53', '-13.69', 167, '42', '1.73', '12.2', '2', '5', 537, -379, '5', '7', '-4.21']
['AAVE-USDT', '5m', '2021-08-06', '2021-08-26', '4', '1.9', '-2.53', 41, '25', '1.63', '16.17', '1', '2', 533, -205, '1', '3', '3.13']
['AAVE-USDT', '5m', '2021-05-23', '2021-06-12', '15', '9.28', '-8.71', 536, '53', '3.41', '61.58', '4', '3', 572, -475, '8', '7', '-13.77']
['AAVE-USDT', '5m', '2021-01-18', '2021-02-07', '16', '-15.51', '-15.99', -93, '25', '-3.17', '-5.82', '2', '5', 517, -486, '4', '12', '152.08']
['AAVE-USDT', '5m', '2021-08-14', '2021-09-03', '3', '3.36', '-1.99', 83, '33', '2.85', '41.54', '1', '2', 546, -118, '1', '2', '-6.46']
['AAVE-USDT', '5m', '2021-01-29', '2021-02-18', '14', '7.82', '-13.54', 386, '50', '2.33', '28.48', '3', '3', 569, -515, '7', '7', '51.64']
['AAVE-USDT', '5m', '2021-02-01', '2021-02-21', '16', '6.0', '-13.54', 204, '50', '1.63', '15.04', '5', '4', 590, -589, '8', '8', '46.89']
['AAVE-USDT', '5m', '2021-09-24', '2021-10-14', '4', '8.81', '0.0', 367, '100', '8.09', 'inf', '4', '0', 562, 0, '4', '0', '-3.72']
['AAVE-USDT', '5m', '2021-09-07', '2021-09-27', '9', '19.82', '-5.18', 2613, '67', '5.91', '504.47', '3', '2', 610, -434, '6', '3', '-28.41']
['AAVE-USDT', '5m', '2021-05-22', '2021-06-11', '15', '0.7', '-9.72', 50, '47', '0.94', '5.17', '4', '3', 543, -515, '7', '8', '-17.05']
['AAVE-USDT', '5m', '2021-01-20', '2021-02-09', '17', '-0.44', '-13.54', 30, '35', '0.69', '2.24', '2', '4', 546, -514, '6', '11', '165.27']
['AAVE-USDT', '5m', '2021-01-11', '2021-01-31', '17', '-3.94', '-15.8', -34, '41', '-0.27', '-2.13', '2', '5', 546, -532, '7', '10', '147.64']
['AAVE-USDT', '5m', '2021-02-19', '2021-03-11', '18', '-19.37', '-24.09', -98, '22', '-4.93', '-4.07', '3', '9', 550, -540, '4', '14', '-8.43']
['AAVE-USDT', '5m', '2021-08-09', '2021-08-29', '4', '2.86', '-1.99', 67, '25', '2.42', '33.71', '1', '2', 544, -117, '1', '3', '1.74']
['AAVE-USDT', '5m', '2021-08-25', '2021-09-14', '6', '-4.7', '-5.14', -58, '17', '-2.43', '-11.37', '1', '3', 520, -414, '1', '5', '-12.51']
['AAVE-USDT', '5m', '2021-08-04', '2021-08-24', '3', '2.8', '-2.53', 66, '33', '2.58', '25.91', '1', '2', 533, -205, '1', '2', '32.34']
['AAVE-USDT', '5m', '2021-03-04', '2021-03-24', '12', '-15.82', '-16.25', -95, '25', '-6.07', '-5.87', '2', '7', 467, -456, '3', '9', '-16.46']
