Pair	 TF	 Dna	 Start Date	 End Date	 Total Trades	 Longs %	 Short %	 Total Net Profit	 Max.DD	 Annual Profit	 Winrate	 Serenity	 Sharpe	 Calmar	 Winning Strike	 Losing Strike	 Largest Winning	 Largest Losing	 Num. of Wins	 Num. of Losses	 Paid Fees	 Market Change
AAVE-USDT	5m	'l;Nf]'	2021-09-15	2021-10-01	6	33	67	9.16	-1.12	637.74	100	24.29	8.79	571.94	6	0	350	0	6	0	49.7	-28.18
AAVE-USDT	5m	'oIa(v'	2021-09-15	2021-10-01	4	25	75	9.62	-1.37	712.44	100	20.85	5.97	519.2	4	0	582	0	4	0	33.27	-28.18
AAVE-USDT	5m	'`Maf\\'	2021-09-15	2021-10-01	7	43	57	9.61	-1.67	711.01	86	16.05	8.48	424.7	5	1	343	-60	6	1	58.01	-28.18
AAVE-USDT	5m	'/1aLB'	2021-09-15	2021-10-01	2	50	50	5.66	0.0	250.83	100	nan	5.39	inf	2	0	482	0	2	0	16.2	-28.18
AAVE-USDT	5m	'RSn=\\'	2021-09-15	2021-10-01	4	50	50	9.65	-1.19	718.42	100	19.71	8.75	602.52	4	0	393	0	4	0	32.94	-28.18
AAVE-USDT	5m	'`Naf`'	2021-09-15	2021-10-01	7	43	57	9.61	-1.67	711.01	86	16.05	8.48	424.7	5	1	343	-60	6	1	58.01	-28.18
AAVE-USDT	5m	't?^bi'	2021-09-15	2021-10-01	2	50	50	3.25	-0.83	107.24	50	14.94	5.01	128.83	1	1	408	-83	1	1	16.11	-28.18
AAVE-USDT	5m	'NBamY'	2021-09-15	2021-10-01	5	60	40	5.95	-1.28	273.69	80	14.49	6.9	214.43	3	1	280	-170	4	1	40.93	-28.18
AAVE-USDT	5m	'LU/0*'	2021-09-15	2021-10-01	2	50	50	3.05	-1.12	98.31	50	11.44	3.24	87.64	1	1	417	-112	1	1	15.68	-28.18
AAVE-USDT	5m	'tBXff'	2021-09-15	2021-10-01	4	50	50	5.15	-1.09	214.67	100	10.3	6.25	197.16	4	0	345	0	4	0	32.68	-28.18
AAVE-USDT	5m	'V]aNO'	2021-09-15	2021-10-01	10	40	60	14.65	-4.46	2375.44	70	6.6	6.48	532.58	4	2	408	-255	7	3	86.59	-28.18
AAVE-USDT	5m	'WlamH'	2021-09-15	2021-10-01	17	53	47	6.04	-4.19	1404.84	53	6.21	7.16	335.0	4	3	311	-358	9	8	146.24	-28.18
AAVE-USDT	5m	'L^vpZ'	2021-09-15	2021-10-01	5	60	40	4.93	-1.09	238.26	80	6.17	5.98	219.0	4	1	335	-258	4	1	41.18	-28.18
AAVE-USDT	5m	'*mTNe'	2021-09-15	2021-10-01	37	46	54	19.56	-6.56	6218.94	41	5.84	5.65	947.76	3	4	484	-306	15	22	333.11	-28.18
AAVE-USDT	5m	'VmvNO'	2021-09-15	2021-10-01	2	100	0	3.84	-1.24	136.16	100	5.6	5.39	109.49	2	0	330	0	2	0	16.18	-28.18
AAVE-USDT	5m	'_op)Z'	2021-09-15	2021-10-01	10	40	60	11.43	-5.22	1091.96	60	5.41	4.67	209.31	3	2	533	-354	6	4	84.66	-28.18
AAVE-USDT	5m	'/JamB'	2021-09-15	2021-10-01	8	50	50	3.98	-1.7	155.47	62	4.88	4.24	91.52	3	2	272	-174	5	3	64.67	-28.18
AAVE-USDT	5m	'/Fa@B'	2021-09-15	2021-10-01	7	43	57	3.95	-1.7	143.1	57	4.81	3.67	84.26	2	2	402	-198	4	3	56.8	-28.18
AAVE-USDT	5m	'-QUKm'	2021-09-15	2021-10-01	34	44	56	12.52	-4.34	1754.13	56	4.72	5.47	404.08	5	3	326	-294	19	15	292.11	-28.18
AAVE-USDT	5m	'3dk]n'	2021-09-15	2021-10-01	24	50	50	8.63	-2.86	665.71	54	4.34	4.72	232.93	2	3	370	-398	13	11	201.7	-28.18
AAVE-USDT	5m	'5NZ:p'	2021-09-15	2021-10-01	26	46	54	11.85	-5.51	1266.77	50	3.86	5.12	229.85	4	4	438	-272	13	13	218.04	-28.18
AAVE-USDT	5m	'Etwqv'	2021-09-15	2021-10-01	15	47	53	6.88	-4.06	510.14	67	3.47	4.64	125.76	4	2	286	-391	10	5	124.45	-28.18
AAVE-USDT	5m	'^lamO'	2021-09-15	2021-10-01	18	56	44	4.81	-4.02	852.76	50	3.44	5.11	211.9	5	4	299	-213	9	9	154.59	-28.18
AAVE-USDT	5m	'Ylamv'	2021-09-15	2021-10-01	18	50	50	5.21	-4.43	791.82	56	3.13	4.99	178.74	5	3	300	-504	10	8	155.68	-28.18
AAVE-USDT	5m	'.ca@p'	2021-09-15	2021-10-01	32	50	50	11.64	-5.93	1261.9	53	3.1	4.36	212.8	4	4	465	-371	17	15	277.27	-28.18
AAVE-USDT	5m	'-MTfe'	2021-09-15	2021-10-01	35	46	54	6.39	-4.57	345.79	40	2.69	3.38	75.71	2	4	354	-290	14	21	284.54	-28.18
AAVE-USDT	5m	'S>YGW'	2021-09-15	2021-10-01	7	57	43	4.5	-3.29	172.73	71	2.33	3.89	52.42	4	2	355	-321	5	2	57.96	-28.18
AAVE-USDT	5m	'aIa(v'	2021-09-15	2021-10-01	6	50	50	7.72	-3.45	445.05	50	2.32	4.04	129.15	2	1	592	-345	3	3	48.75	-28.18
AAVE-USDT	5m	'/ia@f'	2021-09-15	2021-10-01	31	55	45	8.66	-5.64	632.13	42	2.21	3.78	112.07	3	4	449	-338	13	18	264.61	-28.18
AAVE-USDT	5m	'/ia@b'	2021-09-15	2021-10-01	31	55	45	8.66	-5.64	632.13	42	2.21	3.78	112.07	3	4	449	-338	13	18	264.61	-28.18
AAVE-USDT	5m	'4MOhs'	2021-09-15	2021-10-01	34	44	56	6.31	-5.4	395.87	44	2.17	3.32	73.35	3	5	406	-285	15	19	282.68	-28.18
AAVE-USDT	5m	'4FO2s'	2021-09-15	2021-10-01	32	44	56	7.87	-5.75	465.84	44	2.14	3.52	81.04	2	4	428	-380	14	18	267.87	-28.18
AAVE-USDT	5m	'Wlaiv'	2021-09-15	2021-10-01	17	53	47	2.29	-4.48	360.19	47	2.01	3.24	80.37	2	3	349	-341	8	9	140.66	-28.18
AAVE-USDT	5m	'Nka@J'	2021-09-15	2021-10-01	19	58	42	2.23	-5.09	248.1	47	1.9	2.81	48.72	3	3	430	-380	9	10	156.25	-28.18
AAVE-USDT	5m	'4MOfc'	2021-09-15	2021-10-01	34	44	56	5.59	-6.25	309.56	41	1.77	3.09	49.5	2	5	363	-286	14	20	282.25	-28.18
AAVE-USDT	5m	'4MOf^'	2021-09-15	2021-10-01	34	44	56	5.59	-6.25	309.56	41	1.77	3.09	49.5	2	5	363	-286	14	20	282.25	-28.18
AAVE-USDT	5m	'4MOfs'	2021-09-15	2021-10-01	34	44	56	5.59	-6.25	309.56	41	1.77	3.09	49.5	2	5	363	-286	14	20	282.25	-28.18
AAVE-USDT	5m	'4MOfm'	2021-09-15	2021-10-01	34	44	56	5.59	-6.25	309.56	41	1.77	3.09	49.5	2	5	363	-286	14	20	282.25	-28.18
AAVE-USDT	5m	'4MOfl'	2021-09-15	2021-10-01	34	44	56	5.59	-6.25	309.56	41	1.77	3.09	49.5	2	5	363	-286	14	20	282.25	-28.18
AAVE-USDT	5m	'4MOfw'	2021-09-15	2021-10-01	34	44	56	5.59	-6.25	309.56	41	1.77	3.09	49.5	2	5	363	-286	14	20	282.25	-28.18
AAVE-USDT	5m	'NkaAY'	2021-09-15	2021-10-01	19	53	47	5.54	-5.92	530.47	53	1.7	3.37	89.65	2	3	452	-390	10	9	160.08	-28.18
AAVE-USDT	5m	'VmeNO'	2021-09-15	2021-10-01	18	56	44	5.22	-8.79	707.23	44	1.7	3.27	80.43	4	4	452	-395	8	10	157.3	-28.18
AAVE-USDT	5m	'NjaNY'	2021-09-15	2021-10-01	21	48	52	6.41	-10.23	912.67	48	1.48	3.47	89.17	5	5	466	-401	10	11	184.75	-28.18
AAVE-USDT	5m	'?5B)_'	2021-09-15	2021-10-01	29	41	59	7.7	-8.81	501.19	41	1.48	2.93	56.87	3	5	550	-313	12	17	240.03	-28.18
AAVE-USDT	5m	'4MOfO'	2021-09-15	2021-10-01	30	40	60	4.87	-6.25	350.17	43	1.45	3.35	56.0	2	6	364	-289	13	17	251.03	-28.18
AAVE-USDT	5m	'QkO@B'	2021-09-15	2021-10-01	15	40	60	4.65	-5.5	364.76	53	1.44	3.33	66.31	3	2	422	-259	8	7	123.95	-28.18
