'Pair','TF','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'AAVE-USDT','5m','2021-05-25','2021-06-14','20','43.79','-7.81',89229,'65','9.43','11429.08','3','2',752,-578,'13','7','-17.72'
'AAVE-USDT','5m','2021-05-17','2021-06-06','26','35.5','-11.25',45251,'58','7.5','4023.49','3','4',700,-573,'15','11','-32.47'
'AAVE-USDT','5m','2021-05-26','2021-06-15','18','25.79','-7.81',8050,'61','7.06','1031.17','3','2',652,-502,'11','7','-14.45'
'AAVE-USDT','5m','2021-05-16','2021-06-05','23','24.31','-11.25',8988,'52','6.01','799.23','3','4',652,-534,'12','11','-28.27'
'AAVE-USDT','5m','2021-02-10','2021-03-02','19','20.03','-4.99',3467,'47','4.95','694.91','2','2',660,-577,'9','10','-21.89'
'AAVE-USDT','5m','2021-09-02','2021-09-22','9','20.07','-5.59',2716,'67','4.77','485.9','2','2',618,-475,'6','3','-34.39'
'AAVE-USDT','5m','2021-04-14','2021-05-04','16','16.58','-4.17',1603,'56','5.58','384.43','3','2',614,-558,'9','7','29.36'
'AAVE-USDT','5m','2021-04-14','2021-05-04','16','16.58','-4.17',1603,'56','5.58','384.43','3','2',614,-558,'9','7','29.36'
'AAVE-USDT','5m','2021-04-08','2021-04-28','13','16.37','-4.17',1547,'62','6.05','370.87','3','2',611,-558,'8','5','25.96'
'AAVE-USDT','5m','2021-04-10','2021-04-30','15','14.72','-4.17',1170,'53','5.27','280.4','3','2',614,-558,'8','7','21.98'
'AAVE-USDT','5m','2021-09-24','2021-10-14','6','8.74','-1.44',362,'50','6.01','251.95','1','1',571,-281,'3','3','-3.72'
'AAVE-USDT','5m','2021-04-11','2021-05-01','15','13.93','-4.17',1020,'53','5.0','244.6','3','2',614,-558,'8','7','20.37'
'AAVE-USDT','5m','2021-05-11','2021-05-31','27','14.36','-11.25',2430,'44','3.98','216.09','3','6',618,-522,'12','15','-25.38'
'AAVE-USDT','5m','2021-09-09','2021-09-29','8','14.06','-4.67',1004,'62','4.26','215.08','2','1',591,-431,'5','3','-20.98'
'AAVE-USDT','5m','2021-08-31','2021-09-20','8','13.52','-5.59',911,'62','3.58','162.99','2','2',607,-475,'5','3','-4.7'
'AAVE-USDT','5m','2021-02-13','2021-03-05','17','4.49','-4.99',738,'35','3.8','147.85','2','3',609,-519,'6','11','-29.72'
