Pair	 TF	 Dna	 Start Date	 End Date	 Total Trades	 Longs %	 Short %	 Total Net Profit	 Max.DD	 Annual Profit	 Winrate	 Serenity	 Sharpe	 Calmar	 Winning Strike	 Losing Strike	 Largest Winning	 Largest Losing	 Num. of Wins	 Num. of Losses	 Paid Fees	 Market Change
AAVE-USDT	5m	'[Ig(b'	2021-09-07	2021-10-07	10	70	30	28.37	-2.91	1988.18	70	31.61	6.41	682.79	3	2	657	-422	7	3	91.65	-23.91
AAVE-USDT	5m	'[Ig(b'	2021-09-05	2021-10-05	9	67	33	26.92	-2.91	1718.62	67	30.04	6.12	590.22	3	2	657	-422	6	3	81.44	-24.46
AAVE-USDT	5m	'[Ig(b'	2021-08-29	2021-09-28	8	62	38	20.35	-2.91	852.41	62	21.98	4.95	292.74	3	2	615	-422	5	3	71.56	-25.78
AAVE-USDT	5m	'[Ig(b'	2021-08-31	2021-09-30	8	62	38	20.35	-2.91	852.41	62	21.98	4.95	292.74	3	2	615	-422	5	3	71.56	-25.78
AAVE-USDT	5m	'[Ig(b'	2021-08-28	2021-09-27	8	62	38	19.57	-2.91	779.54	62	21.16	4.78	267.72	3	2	615	-422	5	3	71.53	-21.37
AAVE-USDT	5m	'[Ig(b'	2021-06-01	2021-07-01	19	68	32	21.8	-4.3	1048.29	68	10.83	5.47	243.92	4	2	633	-484	13	6	160.69	-34.05
AAVE-USDT	5m	'[Ig(b'	2021-05-16	2021-06-15	21	71	29	24.34	-4.41	1560.37	62	10.25	5.93	353.43	4	3	649	-412	13	8	184.76	-38.79
AAVE-USDT	5m	'[Ig(b'	2021-05-18	2021-06-17	18	67	33	23.15	-4.41	1353.03	67	9.53	6.08	306.46	4	3	642	-408	12	6	159.6	-49.63
AAVE-USDT	5m	'[Ig(b'	2021-05-31	2021-06-30	19	68	32	17.16	-4.3	616.87	68	7.97	4.76	143.53	4	2	609	-491	13	6	161.43	-26.08
AAVE-USDT	5m	'[Ig(b'	2021-05-09	2021-06-08	16	81	19	18.53	-5.17	835.27	56	6.69	4.92	161.71	4	3	606	-422	9	7	138.84	-28.35
AAVE-USDT	5m	'[Ig(b'	2021-05-23	2021-06-22	18	67	33	16.27	-4.41	618.06	61	6.3	4.62	140.03	4	3	609	-446	11	7	153.16	-35.76
AAVE-USDT	5m	'[Ig(b'	2021-03-18	2021-04-17	3	67	33	6.84	-3.94	123.74	67	4.67	3.05	31.42	1	1	553	-415	2	1	24.35	14.84
AAVE-USDT	5m	'[Ig(b'	2021-03-19	2021-04-18	3	67	33	6.84	-3.94	123.74	67	4.67	3.05	31.42	1	1	553	-415	2	1	24.35	17.13
AAVE-USDT	5m	'[Ig(b'	2021-03-17	2021-04-16	3	67	33	6.84	-3.94	123.74	67	4.67	3.05	31.42	1	1	553	-415	2	1	24.35	25.51
AAVE-USDT	5m	'[Ig(b'	2021-04-30	2021-05-30	15	80	20	13.81	-5.16	482.54	47	3.42	3.78	93.43	2	3	600	-419	7	8	126.2	-32.26
AAVE-USDT	5m	'[Ig(b'	2021-07-13	2021-08-12	13	46	54	16.6	-7.11	548.06	54	2.6	4.81	77.08	5	3	650	-473	7	6	118.54	36.06
