Pair	 TF	 Dna	 Start Date	 End Date	 Total Trades	 Longs %	 Short %	 Total Net Profit	 Max.DD	 Annual Profit	 Winrate	 Serenity	 Sharpe	 Calmar	 Winning Strike	 Losing Strike	 Largest Winning	 Largest Losing	 Num. of Wins	 Num. of Losses	 Paid Fees	 Market Change
AAVE-USDT	5m	'NCa@Y'	2021-06-25	2021-07-09	14	71	29	12.12	-2.47	2152.99	64	14.16	7.56	873.2	6	2	355	-335	9	5	119.0	37.55
AAVE-USDT	5m	'NCa@Y'	2021-08-11	2021-08-25	7	57	43	4.83	-1.28	242.11	57	7.79	6.21	189.01	2	2	205	-58	4	3	56.42	-1.64
AAVE-USDT	5m	'NCa@Y'	2021-09-14	2021-09-28	6	67	33	9.69	-1.86	1013.98	67	7.39	8.77	545.0	2	1	347	-141	4	2	50.08	-17.43
AAVE-USDT	5m	'NCa@Y'	2021-06-10	2021-06-24	11	55	45	4.53	-2.92	217.49	64	3.95	3.07	74.53	6	2	336	-314	7	4	89.15	-38.68
AAVE-USDT	5m	'NCa@Y'	2021-06-14	2021-06-28	14	50	50	1.06	-6.98	54.49	50	0.19	1.31	7.8	6	4	335	-405	7	7	113.86	-36.09
AAVE-USDT	5m	'NCa@Y'	2021-06-08	2021-06-22	11	55	45	-7.94	-12.28	-85.9	36	-0.13	-3.98	-6.99	3	5	293	-403	4	7	80.67	-36.86
AAVE-USDT	5m	'NCa@Y'	2021-07-31	2021-08-14	7	57	43	-6.53	-6.53	-82.82	43	-0.17	-10.29	-12.68	2	2	149	-405	3	4	53.35	33.55
AAVE-USDT	5m	'NCa@Y'	2021-08-27	2021-09-10	1	100	0	-0.16	-0.16	-4.11	0	-0.2	-4.93	-25.55	0	1	0	-16	0	1	7.99	-5.26
AAVE-USDT	5m	'NCa@Y'	2021-07-22	2021-08-05	4	50	50	-1.43	-2.77	-31.28	25	-0.26	-1.37	-11.31	1	2	320	-280	1	3	32.06	31.07
AAVE-USDT	5m	'NCa@Y'	2021-08-31	2021-09-14	2	100	0	-1.52	-1.52	-32.92	0	-0.7	-6.19	-21.66	0	2	0	-119	0	2	15.83	-7.27
