iteration,dna,fitness,training_log.win-rate,training_log.total,training_log.PNL,testing_log.win-rate,testing_log.total,testing_log.PNL,parameters.ott_len,parameters.ott_percent,parameters.ott_bw,parameters.tps_qty_index,parameters.max_risk
90,jYib\,0.7745110627591455,57,7,15.26,39,23,-2.01,43,224,157,92,46
90,t?^bi,0.6496845156538195,66,6,10.24,33,9,2.12,48,158,139,92,55
90,",1N*<",0.6104840649555262,50,38,22.75,48,49,14.73,12,123,113,3,24
90,L^vpZ,0.5824128062204008,57,14,12.82,53,26,4.6,28,237,178,114,45
90,RSn=\,0.5098340984323436,63,11,15.99,58,24,13.16,31,209,165,33,46
90,k4RRa,0.4800981550895183,80,10,16.56,38,18,-9.88,44,130,119,66,50
90,kI^KW,0.45921353501475815,75,8,11.11,47,17,-10.05,44,184,139,55,43
90,UHgcU,0.45163773201019053,55,9,12.73,35,14,-2.29,33,181,154,93,41
90,ePHi8,0.43834643073891544,42,42,10.58,41,46,-0.92,41,201,103,103,21
90,o[sHg,0.4253443323419961,88,9,14.66,35,14,-11.9,46,229,173,51,54
90,LU/0*,0.36530209826028004,42,7,8.17,44,9,7.14,28,214,62,13,11
90,Qsq9J,0.36303708145028624,60,25,15.84,63,30,18.35,31,290,170,27,34
90,_op)Z,0.3593620492455114,51,31,18.82,46,39,2.47,38,280,168,2,45
90,^Z?7D,0.34711933046732196,51,47,18.73,41,58,3.64,37,227,88,24,29
90,bd9r@,0.3444957594016574,50,46,12.69,41,53,-1.38,39,252,78,117,27
90,K>RbY,0.3240586152629949,52,44,12.91,58,51,20.47,28,156,119,92,44
90,uwRqA,0.32041527620565685,46,32,5.55,37,29,-10.21,49,300,119,116,27
90,S>YGW,0.3120409728911119,65,20,13.22,55,36,11.21,32,156,131,49,43
90,McB+5,0.297543231365303,47,19,8.86,44,29,17.83,29,249,93,5,19
90,*[\\H,0.29201085395619153,52,85,16.32,48,98,-1.95,11,229,136,82,32
90,-QUKm,0.28608811091421027,55,96,16.12,54,105,11.38,13,204,124,55,58
90,a0LqP,0.2848259361898128,75,12,9.61,43,16,-0.56,39,120,109,116,38
90,jjSP7,0.28479944258722123,50,16,12.46,27,22,-9.58,43,267,121,63,20
90,aDHWO,0.27976713062169656,48,54,16.12,53,69,9.36,39,171,103,74,37
90,.[N=3,0.2746325342293138,47,51,11.31,47,51,21.36,13,229,113,33,18
90,"g`,0;",0.271781099322553,39,41,14.99,46,39,25.59,42,242,57,13,23
90,aCMs^,0.2628258191200446,58,48,11.21,58,58,14.81,39,168,111,119,48
90,"PS,nG",0.262125380945601,43,76,9.01,41,91,1.51,30,209,57,111,32
90,N`s\Q,0.26176927335890127,58,12,9.41,66,24,17.06,29,242,173,82,39
90,tBXff,0.2575189763787198,66,15,11.16,52,25,3.51,48,166,129,98,53
90,jYib\,0.7745110627591455,57,7,15.26,39,23,-2.01,43,224,157,92,46
90,t?^bi,0.6496845156538195,66,6,10.24,33,9,2.12,48,158,139,92,55
90,",1N*<",0.6104840649555262,50,38,22.75,48,49,14.73,12,123,113,3,24
90,L^vpZ,0.5824128062204008,57,14,12.82,53,26,4.6,28,237,178,114,45
90,RSn=\,0.5098340984323436,63,11,15.99,58,24,13.16,31,209,165,33,46
90,k4RRa,0.4800981550895183,80,10,16.56,38,18,-9.88,44,130,119,66,50
90,kI^KW,0.45921353501475815,75,8,11.11,47,17,-10.05,44,184,139,55,43
90,UHgcU,0.45163773201019053,55,9,12.73,35,14,-2.29,33,181,154,93,41
90,ePHi8,0.43834643073891544,42,42,10.58,41,46,-0.92,41,201,103,103,21
90,o[sHg,0.4253443323419961,88,9,14.66,35,14,-11.9,46,229,173,51,54
90,LU/0*,0.36530209826028004,42,7,8.17,44,9,7.14,28,214,62,13,11
90,Qsq9J,0.36303708145028624,60,25,15.84,63,30,18.35,31,290,170,27,34
90,_op)Z,0.3593620492455114,51,31,18.82,46,39,2.47,38,280,168,2,45
90,^Z?7D,0.34711933046732196,51,47,18.73,41,58,3.64,37,227,88,24,29
90,bd9r@,0.3444957594016574,50,46,12.69,41,53,-1.38,39,252,78,117,27
90,K>RbY,0.3240586152629949,52,44,12.91,58,51,20.47,28,156,119,92,44
90,uwRqA,0.32041527620565685,46,32,5.55,37,29,-10.21,49,300,119,116,27
90,S>YGW,0.3120409728911119,65,20,13.22,55,36,11.21,32,156,131,49,43
90,McB+5,0.297543231365303,47,19,8.86,44,29,17.83,29,249,93,5,19
90,*[\\H,0.29201085395619153,52,85,16.32,48,98,-1.95,11,229,136,82,32
90,-QUKm,0.28608811091421027,55,96,16.12,54,105,11.38,13,204,124,55,58
90,a0LqP,0.2848259361898128,75,12,9.61,43,16,-0.56,39,120,109,116,38
90,jjSP7,0.28479944258722123,50,16,12.46,27,22,-9.58,43,267,121,63,20
90,aDHWO,0.27976713062169656,48,54,16.12,53,69,9.36,39,171,103,74,37
90,.[N=3,0.2746325342293138,47,51,11.31,47,51,21.36,13,229,113,33,18
90,"g`,0;",0.271781099322553,39,41,14.99,46,39,25.59,42,242,57,13,23
90,aCMs^,0.2628258191200446,58,48,11.21,58,58,14.81,39,168,111,119,48
90,"PS,nG",0.262125380945601,43,76,9.01,41,91,1.51,30,209,57,111,32
90,N`s\Q,0.26176927335890127,58,12,9.41,66,24,17.06,29,242,173,82,39
90,tBXff,0.2575189763787198,66,15,11.16,52,25,3.51,48,166,129,98,53
180,jYib\,0.7745110627591455,57,7,15.26,39,23,-2.01,43,224,157,92,46
