'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'1000SHIB-USDT','5m','\\sta','2021-09-11','2021-10-11','13','6.69','-2.23',318,'69','10.92','5.9','142.78','6','2',282,-322,'9','4','272.73'
'1000SHIB-USDT','5m','wVW*?','2021-09-11','2021-10-11','16','14.68','-4.71',440,'62','4.57','4.0','93.39','3','2',550,-322,'10','6','272.73'
'1000SHIB-USDT','5m','vNqn','2021-09-11','2021-10-11','10','6.46','-4.26',127,'60','1.96','1.95','29.81','5','2',400,-476,'6','4','272.73'
'1000SHIB-USDT','5m','q9da','2021-09-11','2021-10-11','11','1.07','-3.08',58,'55','1.19','1.78','18.86','3','2',282,-346,'6','5','272.73'
'1000SHIB-USDT','5m','VsWv','2021-09-11','2021-10-11','25','-1.94','-5.85',78,'60','0.9','1.57','13.27','5','2',368,-610,'15','10','272.73'
'1000SHIB-USDT','5m','WVsWv','2021-09-11','2021-10-11','25','-1.94','-5.85',78,'60','0.9','1.57','13.27','5','2',368,-610,'15','10','272.73'
'1000SHIB-USDT','5m','XRV.a','2021-09-11','2021-10-11','50','-6.76','-17.71',112,'44','0.25','1.17','6.32','6','4',547,-647,'22','28','272.73'
'1000SHIB-USDT','5m','@cW*?','2021-09-11','2021-10-11','37','-1.47','-11.12',68,'41','0.31','1.07','6.11','4','6',512,-321,'15','22','272.73'
'1000SHIB-USDT','5m','@_W*?','2021-09-11','2021-10-11','29','-0.15','-10.57',59,'41','0.34','1.03','5.62','3','5',482,-317,'12','17','272.73'
'1000SHIB-USDT','5m','eVkWv','2021-09-11','2021-10-11','31','-5.25','-20.0',84,'55','0.42','1.17','4.19','5','5',459,-615,'17','14','272.73'
'1000SHIB-USDT','5m','E^cA','2021-09-11','2021-10-11','13','0.0','-6.02',20,'54','0.24','0.72','3.39','3','2',381,-266,'7','6','272.73'
'1000SHIB-USDT','5m','LewDb','2021-09-11','2021-10-11','18','-5.58','-9.86',28,'56','0.29','0.73','2.87','6','4',375,-555,'10','8','272.73'
'1000SHIB-USDT','5m','tbik','2021-09-11','2021-10-11','41','-11.59','-11.31',2,'44','0.01','0.35','0.21','6','5',352,-576,'18','23','272.73'
'1000SHIB-USDT','5m','ui*5<','2021-09-11','2021-10-11','31','-4.48','-15.3',-27,'26','-0.07','-0.36','-1.76','2','6',501,-272,'8','23','272.73'
'1000SHIB-USDT','5m','@^W*?','2021-09-11','2021-10-11','27','-4.26','-10.16',-23,'41','-0.16','-0.2','-2.23','3','5',478,-298,'11','16','272.73'
'1000SHIB-USDT','5m','3OW5n','2021-09-11','2021-10-11','62','-42.29','-39.47',-100,'32','-0.53','-4.63','-2.52','4','13',527,-443,'20','42','272.73'
'1000SHIB-USDT','5m','3OW?n','2021-09-11','2021-10-11','61','-42.8','-37.9',-99,'38','-0.52','-4.55','-2.62','4','8',468,-450,'23','38','272.73'
'1000SHIB-USDT','5m','hPPHs','2021-09-11','2021-10-11','56','-45.82','-36.06',-100,'36','-0.47','-5.55','-2.76','3','6',294,-517,'20','36','272.73'
'1000SHIB-USDT','5m','ePPHt','2021-09-11','2021-10-11','56','-45.82','-36.06',-100,'36','-0.47','-5.55','-2.76','3','6',294,-517,'20','36','272.73'
'1000SHIB-USDT','5m',':VWWv','2021-09-11','2021-10-11','67','-47.6','-35.72',-99,'36','-0.43','-3.52','-2.77','3','12',373,-459,'24','43','272.73'
'1000SHIB-USDT','5m','7VWWv','2021-09-11','2021-10-11','67','-47.6','-35.72',-99,'36','-0.43','-3.52','-2.77','3','12',373,-459,'24','43','272.73'
'1000SHIB-USDT','5m','-VWLv','2021-09-11','2021-10-11','67','-39.21','-35.42',-99,'34','-0.48','-3.06','-2.79','3','6',504,-479,'23','44','272.73'
'1000SHIB-USDT','5m','g^VGt','2021-09-11','2021-10-11','59','-44.75','-35.43',-99,'39','-0.43','-6.0','-2.81','3','7',354,-483,'23','36','272.73'
'1000SHIB-USDT','5m','-SUNv','2021-09-11','2021-10-11','64','-38.42','-33.84',-97,'38','-0.5','-2.54','-2.87','3','6',428,-502,'24','40','272.73'
'1000SHIB-USDT','5m','-VW.v','2021-09-11','2021-10-11','67','-38.48','-33.75',-98,'36','-0.46','-2.5','-2.9','3','6',469,-537,'24','43','272.73'
'1000SHIB-USDT','5m',':YY:_','2021-09-11','2021-10-11','55','-42.63','-34.02',-99,'33','-0.52','-4.1','-2.91','4','9',407,-438,'18','37','272.73'
'1000SHIB-USDT','5m','eRNDv','2021-09-11','2021-10-11','65','-44.15','-34.17',-99,'34','-0.59','-5.59','-2.91','2','6',335,-548,'22','43','272.73'
