'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'ADA-USDT','5m','@XW*?','2021-09-11','2021-10-11','26','5.04','-7.55',96,'42','0.73','1.51','12.69','3','4',529,-329,'11','15','-8.35'
'ADA-USDT','5m','g^VGt','2021-09-11','2021-10-11','37','-0.25','-6.78',70,'46','0.55','1.58','10.33','3','3',368,-517,'17','20','-8.35'
'ADA-USDT','5m','XRV.a','2021-09-11','2021-10-11','33','3.97','-10.25',86,'52','0.38','1.63','8.38','5','3',465,-414,'17','16','-8.35'
'ADA-USDT','5m','ePPHa','2021-09-11','2021-10-11','37','-0.1','-7.33',56,'49','0.36','1.3','7.59','5','3',313,-392,'18','19','-8.35'
'ADA-USDT','5m','ePPH','2021-09-11','2021-10-11','37','-0.1','-7.33',56,'49','0.36','1.3','7.59','5','3',313,-392,'18','19','-8.35'
'ADA-USDT','5m','@TW*?','2021-09-11','2021-10-11','21','2.31','-9.12',38,'43','0.2','0.98','4.16','3','4',498,-308,'9','12','-8.35'
'ADA-USDT','5m','tbik','2021-09-11','2021-10-11','25','-0.28','-10.68',44,'56','0.18','1.09','4.12','6','4',359,-427,'14','11','-8.35'
'ADA-USDT','5m','3fWHn','2021-09-11','2021-10-11','41','-5.83','-6.78',26,'46','0.22','0.75','3.81','3','4',321,-542,'19','22','-8.35'
'ADA-USDT','5m','@VW4?','2021-09-11','2021-10-11','26','-2.4','-6.79',6,'38','0.06','0.34','0.9','3','4',374,-322,'10','16','-8.35'
'ADA-USDT','5m','@VX*?','2021-09-11','2021-10-11','22','-0.26','-8.64',1,'41','0.01','0.23','0.13','5','5',529,-330,'9','13','-8.35'
'ADA-USDT','5m','hPPHs','2021-09-11','2021-10-11','38','-4.71','-7.33',1,'47','0.01','0.21','0.09','5','3',313,-617,'18','20','-8.35'
'ADA-USDT','5m','ePPHt','2021-09-11','2021-10-11','38','-4.71','-7.33',1,'47','0.01','0.21','0.09','5','3',313,-617,'18','20','-8.35'
'ADA-USDT','5m','ePRWv','2021-09-11','2021-10-11','37','-2.8','-8.24',0,'46','0.0','0.19','0.01','3','3',374,-346,'17','20','-8.35'
'ADA-USDT','5m','@VW*F','2021-09-11','2021-10-11','30','-0.85','-9.35',-1,'40','-0.01','0.2','-0.14','3','4',531,-369,'12','18','-8.35'
'ADA-USDT','5m','fVPWv','2021-09-11','2021-10-11','39','-3.1','-8.0',-4,'44','-0.03','0.08','-0.45','3','3',379,-346,'17','22','-8.35'
'ADA-USDT','5m','eVPWc','2021-09-11','2021-10-11','39','-3.1','-8.0',-4,'44','-0.03','0.08','-0.45','3','3',379,-346,'17','22','-8.35'
'ADA-USDT','5m','gVPWv','2021-09-11','2021-10-11','39','-3.1','-8.0',-4,'44','-0.03','0.08','-0.45','3','3',379,-346,'17','22','-8.35'
'ADA-USDT','5m',':YY:_','2021-09-11','2021-10-11','36','-4.41','-7.02',-4,'42','-0.05','0.09','-0.63','3','4',428,-362,'15','21','-8.35'
'ADA-USDT','5m','3eWXn','2021-09-11','2021-10-11','41','-6.51','-6.81',-7,'41','-0.07','0.03','-0.96','3','4',388,-486,'17','24','-8.35'
'ADA-USDT','5m','ePPW\\','2021-09-11','2021-10-11','38','-2.78','-7.64',-8,'45','-0.08','-0.01','-1.04','3','3',369,-389,'17','21','-8.35'
'ADA-USDT','5m','O=ITi','2021-09-11','2021-10-11','43','-11.41','-9.32',-11,'40','-0.08','-0.09','-1.22','3','5',330,-416,'17','26','-8.35'
'ADA-USDT','5m','@VW.?','2021-09-11','2021-10-11','26','-2.22','-7.05',-13,'38','-0.13','-0.1','-1.86','3','4',462,-320,'10','16','-8.35'
'ADA-USDT','5m','WrVZ;','2021-09-11','2021-10-11','28','-4.05','-5.84',-12,'39','-0.13','-0.12','-2.01','3','3',314,-258,'11','17','-8.35'
'ADA-USDT','5m','@VWF?','2021-09-11','2021-10-11','26','-3.12','-5.93',-13,'46','-0.16','-0.17','-2.21','3','4',387,-316,'12','14','-8.35'
'ADA-USDT','5m','ftUQf','2021-09-11','2021-10-11','38','-5.62','-12.51',-29,'42','-0.13','-0.6','-2.29','2','4',422,-495,'16','22','-8.35'
'ADA-USDT','5m','-dW6n','2021-09-11','2021-10-11','41','-5.31','-9.03',-21,'39','-0.17','-0.26','-2.35','3','4',519,-549,'16','25','-8.35'
'ADA-USDT','5m','YOR9c','2021-09-11','2021-10-11','38','-4.96','-12.04',-32,'42','-0.17','-0.55','-2.64','3','4',461,-378,'16','22','-8.35'
'ADA-USDT','5m','IVWWv','2021-09-11','2021-10-11','36','-5.13','-9.27',-24,'50','-0.14','-0.41','-2.64','3','3',386,-650,'18','18','-8.35'
