'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'AKRO-USDT','5m','@XW*?','2021-09-11','2021-10-11','37','20.9','-8.65',943,'43','2.56','3.53','109.05','3','4',592,-362,'16','21','3.13'
'AKRO-USDT','5m','=ptVt','2021-09-11','2021-10-11','31','18.04','-7.32',669,'55','2.4','3.89','91.37','7','5',472,-544,'17','14','3.13'
'AKRO-USDT','5m','eVkWv','2021-09-11','2021-10-11','30','17.0','-7.46',624,'57','2.07','3.83','83.7','4','3',430,-551,'17','13','3.13'
'AKRO-USDT','5m','ePjWv','2021-09-11','2021-10-11','26','15.26','-7.38',577,'62','2.1','3.68','78.15','8','3',429,-538,'16','10','3.13'
'AKRO-USDT','5m','@VW4?','2021-09-11','2021-10-11','39','16.67','-9.29',686,'51','1.77','3.48','73.89','6','4',406,-347,'20','19','3.13'
'AKRO-USDT','5m','@VW)?','2021-09-11','2021-10-11','41','15.24','-9.3',497,'49','1.33','2.82','53.44','4','4',596,-345,'20','21','3.13'
'AKRO-USDT','5m','eVswv','2021-09-11','2021-10-11','19','5.38','-3.84',191,'58','2.87','3.46','49.63','6','2',254,-409,'11','8','3.13'
'AKRO-USDT','5m','@VW.?','2021-09-11','2021-10-11','41','11.73','-9.29',321,'49','1.04','2.49','34.62','4','4',489,-333,'20','21','3.13'
'AKRO-USDT','5m','?dpMr','2021-09-11','2021-10-11','31','9.64','-6.91',233,'48','1.29','2.39','33.68','4','5',472,-521,'15','16','3.13'
'AKRO-USDT','5m','vNqn','2021-09-11','2021-10-11','14','3.97','-4.38',105,'57','1.41','2.09','23.89','3','2',397,-425,'8','6','3.13'
'AKRO-USDT','5m','3OWXE','2021-09-11','2021-10-11','43','9.03','-11.74',267,'51','0.67','2.27','22.78','5','4',434,-398,'22','21','3.13'
'AKRO-USDT','5m','3OWXC','2021-09-11','2021-10-11','43','8.3','-11.74',238,'51','0.63','2.15','20.28','5','4',431,-395,'22','21','3.13'
'AKRO-USDT','5m','@VWF?','2021-09-11','2021-10-11','41','7.02','-9.29',180,'51','0.72','1.98','19.36','4','4',401,-323,'21','20','3.13'
'AKRO-USDT','5m','YOR9c','2021-09-11','2021-10-11','52','9.24','-12.79',235,'48','1.0','1.86','18.39','5','6',481,-387,'25','27','3.13'
'AKRO-USDT','5m','XRV.a','2021-09-11','2021-10-11','49','8.27','-11.26',197,'49','0.82','1.81','17.46','3','4',468,-467,'24','25','3.13'
'AKRO-USDT','5m','-VWLv','2021-09-11','2021-10-11','53','7.65','-11.65',198,'45','0.7','1.68','17.0','3','5',521,-451,'24','29','3.13'
'AKRO-USDT','5m','q9da','2021-09-11','2021-10-11','16','2.98','-4.93',76,'62','0.63','1.59','15.34','4','2',291,-495,'10','6','3.13'
'AKRO-USDT','5m','HPqWv','2021-09-11','2021-10-11','24','3.75','-7.58',87,'50','0.52','1.43','11.54','3','3',387,-495,'12','12','3.13'
'AKRO-USDT','5m','ftUQf','2021-09-11','2021-10-11','48','3.54','-10.33',110,'42','0.46','1.48','10.61','3','5',441,-376,'20','28','3.13'
'AKRO-USDT','5m','eEsWv','2021-09-11','2021-10-11','18','2.5','-6.57',65,'56','0.5','1.34','9.86','6','2',385,-417,'10','8','3.13'
'AKRO-USDT','5m','MVsWv','2021-09-11','2021-10-11','24','2.91','-7.37',71,'54','0.33','1.26','9.67','4','3',389,-524,'13','11','3.13'
'AKRO-USDT','5m','hPmHf','2021-09-11','2021-10-11','20','2.68','-7.99',72,'55','0.42','1.51','9.05','4','3',333,-496,'11','9','3.13'
'AKRO-USDT','5m','QYRcn','2021-09-11','2021-10-11','51','4.33','-13.33',120,'45','0.47','1.43','8.97','4','6',416,-442,'23','28','3.13'
'AKRO-USDT','5m','7Fpob','2021-09-11','2021-10-11','23','3.12','-7.24',65,'57','0.37','1.29','8.93','5','3',352,-468,'13','10','3.13'
'AKRO-USDT','5m','IVWWv','2021-09-11','2021-10-11','53','3.94','-10.72',96,'49','0.52','1.27','8.91','4','4',375,-444,'26','27','3.13'
'AKRO-USDT','5m','-VUWv','2021-09-11','2021-10-11','54','3.05','-10.85',90,'44','0.47','1.2','8.26','3','5',369,-425,'24','30','3.13'
'AKRO-USDT','5m','_W6,U','2021-09-11','2021-10-11','52','4.39','-12.67',100,'38','0.32','1.34','7.9','4','6',596,-382,'20','32','3.13'
