'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'ALGO-USDT','5m','eVkWv','2021-09-11','2021-10-11','35','28.47','-7.23',2689,'60','4.28','7.43','371.77','6','3',455,-577,'21','14','-12.73'
'ALGO-USDT','5m','XRV.a','2021-09-11','2021-10-11','51','31.38','-11.33',4206,'55','2.99','5.2','371.15','6','4',633,-603,'28','23','-12.73'
'ALGO-USDT','5m','-VW*9','2021-09-11','2021-10-11','24','21.0','-7.92',1138,'42','4.98','5.34','143.7','3','5',594,-307,'10','14','-12.73'
'ALGO-USDT','5m','LewDb','2021-09-11','2021-10-11','26','15.63','-6.9',585,'65','2.27','4.59','84.84','4','2',405,-505,'17','9','-12.73'
'ALGO-USDT','5m','hPmHf','2021-09-11','2021-10-11','24','14.53','-7.24',558,'67','2.4','5.43','77.12','6','2',360,-503,'16','8','-12.73'
'ALGO-USDT','5m','ui*5<','2021-09-11','2021-10-11','32','18.16','-10.23',728,'41','1.78','4.24','71.16','3','6',630,-297,'13','19','-12.73'
'ALGO-USDT','5m','YOR9c','2021-09-11','2021-10-11','56','13.22','-11.31',695,'52','1.52','3.18','61.49','5','4',542,-482,'29','27','-12.73'
'ALGO-USDT','5m','ePjWv','2021-09-11','2021-10-11','37','9.99','-11.07',504,'57','0.93','3.86','45.55','6','3',420,-608,'21','16','-12.73'
'ALGO-USDT','5m','vNqn','2021-09-11','2021-10-11','16','6.68','-5.38',173,'56','1.42','3.32','32.14','3','2',411,-472,'9','7','-12.73'
'ALGO-USDT','5m','MVsWv','2021-09-11','2021-10-11','33','7.64','-6.58',199,'61','1.12','2.26','30.22','7','2',407,-657,'20','13','-12.73'
'ALGO-USDT','5m','?VW.v','2021-09-11','2021-10-11','60','7.08','-18.87',462,'47','0.45','2.71','24.49','4','4',572,-598,'28','32','-12.73'
'ALGO-USDT','5m','-VW;v','2021-09-11','2021-10-11','60','9.88','-23.73',520,'52','0.33','2.65','21.92','6','6',588,-604,'31','29','-12.73'
'ALGO-USDT','5m','-VW.v','2021-09-11','2021-10-11','63','8.83','-23.51',510,'49','0.35','2.53','21.67','6','6',611,-594,'31','32','-12.73'
'ALGO-USDT','5m','-SUNv','2021-09-11','2021-10-11','63','6.42','-21.95',474,'46','0.36','2.56','21.59','6','6',533,-593,'29','34','-12.73'
'ALGO-USDT','5m','o4,@X','2021-09-11','2021-10-11','55','7.51','-12.98',261,'44','0.78','2.4','20.11','3','7',426,-365,'24','31','-12.73'
'ALGO-USDT','5m','-VWMv','2021-09-11','2021-10-11','63','6.64','-22.21',422,'46','0.34','2.42','19.0','5','6',570,-590,'29','34','-12.73'
'ALGO-USDT','5m','BVV.a','2021-09-11','2021-10-11','60','8.12','-23.63',440,'45','0.31','2.54','18.64','4','5',606,-642,'27','33','-12.73'
'ALGO-USDT','5m','<VV.a','2021-09-11','2021-10-11','60','8.12','-23.63',440,'45','0.31','2.54','18.64','4','5',606,-642,'27','33','-12.73'
'ALGO-USDT','5m','IVWWv','2021-09-11','2021-10-11','59','1.55','-20.23',361,'47','0.47','2.48','17.84','4','4',472,-563,'28','31','-12.73'
'ALGO-USDT','5m','-VW?v','2021-09-11','2021-10-11','62','6.54','-22.63',335,'50','0.29','2.15','14.78','6','5',615,-584,'31','31','-12.73'
'ALGO-USDT','5m','?dpMr','2021-09-11','2021-10-11','45','3.31','-11.48',165,'51','0.51','1.65','14.38','5','3',466,-641,'23','22','-12.73'
'ALGO-USDT','5m','-VWLv','2021-09-11','2021-10-11','63','6.65','-22.66',319,'44','0.29','2.09','14.09','5','6',641,-581,'28','35','-12.73'
'ALGO-USDT','5m','WrVZ;','2021-09-11','2021-10-11','43','1.0','-11.47',156,'37','0.47','2.31','13.63','3','5',365,-313,'16','27','-12.73'
'ALGO-USDT','5m','q9da','2021-09-11','2021-10-11','23','1.94','-7.14',88,'65','0.46','2.24','12.33','5','2',301,-493,'15','8','-12.73'
'ALGO-USDT','5m','O=ITi','2021-09-11','2021-10-11','61','1.0','-19.59',230,'51','0.25','2.12','11.71','4','5',395,-525,'31','30','-12.73'
'ALGO-USDT','5m','3OW5n','2021-09-11','2021-10-11','61','4.38','-20.24',225,'44','0.3','1.89','11.12','5','5',656,-591,'27','34','-12.73'
'ALGO-USDT','5m','-VUWv','2021-09-11','2021-10-11','65','-0.91','-21.8',196,'49','0.2','1.8','9.01','4','6',466,-594,'32','33','-12.73'
'ALGO-USDT','5m','?VuWv','2021-09-11','2021-10-11','36','-1.63','-8.32',73,'50','0.37','1.15','8.79','3','3',388,-605,'18','18','-12.73'
'ALGO-USDT','5m','-VW=v','2021-09-11','2021-10-11','62','1.69','-23.61',192,'50','0.18','1.75','8.14','6','6',488,-591,'31','31','-12.73'
'ALGO-USDT','5m','eVswv','2021-09-11','2021-10-11','24','-4.3','-4.63',36,'62','0.47','1.05','7.83','4','2',241,-649,'15','9','-12.73'
'ALGO-USDT','5m',':VWWv','2021-09-11','2021-10-11','63','-2.51','-18.17',129,'48','0.21','1.53','7.12','6','5',436,-578,'30','33','-12.73'
'ALGO-USDT','5m','7VWWv','2021-09-11','2021-10-11','63','-2.51','-18.17',129,'48','0.21','1.53','7.12','6','5',436,-578,'30','33','-12.73'
'ALGO-USDT','5m','?VW2v','2021-09-11','2021-10-11','58','-2.11','-18.94',127,'48','0.19','1.49','6.69','4','4',485,-581,'28','30','-12.73'
'ALGO-USDT','5m','-VW*=','2021-09-11','2021-10-11','32','0.75','-8.6',53,'31','0.27','1.1','6.14','2','5',512,-278,'10','22','-12.73'
'ALGO-USDT','5m','eSNWd','2021-09-11','2021-10-11','61','-2.6','-18.44',103,'46','0.14','1.34','5.59','4','6',443,-537,'28','33','-12.73'
'ALGO-USDT','5m','g^VGt','2021-09-11','2021-10-11','62','-3.05','-18.34',102,'50','0.18','1.37','5.56','4','5',431,-494,'31','31','-12.73'
'ALGO-USDT','5m','`RNWv','2021-09-11','2021-10-11','64','-3.56','-14.35',74,'45','0.2','1.16','5.19','4','5',417,-529,'29','35','-12.73'
'ALGO-USDT','5m','cRNWv','2021-09-11','2021-10-11','64','-3.56','-14.35',74,'45','0.2','1.16','5.19','4','5',417,-529,'29','35','-12.73'
'ALGO-USDT','5m','\\RNWv','2021-09-11','2021-10-11','64','-3.56','-14.35',74,'45','0.2','1.16','5.19','4','5',417,-529,'29','35','-12.73'
'ALGO-USDT','5m','RNWv','2021-09-11','2021-10-11','64','-3.56','-14.35',74,'45','0.2','1.16','5.19','4','5',417,-529,'29','35','-12.73'
'ALGO-USDT','5m','aRNWv','2021-09-11','2021-10-11','64','-3.56','-14.35',74,'45','0.2','1.16','5.19','4','5',417,-529,'29','35','-12.73'
'ALGO-USDT','5m','^RNWv','2021-09-11','2021-10-11','64','-3.56','-14.35',74,'45','0.2','1.16','5.19','4','5',417,-529,'29','35','-12.73'
'ALGO-USDT','5m','_RNWv','2021-09-11','2021-10-11','64','-3.56','-14.35',74,'45','0.2','1.16','5.19','4','5',417,-529,'29','35','-12.73'
'ALGO-USDT','5m','-VWWa','2021-09-11','2021-10-11','61','-3.23','-21.88',111,'49','0.13','1.36','5.07','6','6',454,-479,'30','31','-12.73'
'ALGO-USDT','5m','7Fpob','2021-09-11','2021-10-11','31','-1.57','-7.49',36,'52','0.19','0.95','4.79','6','3',362,-539,'16','15','-12.73'
'ALGO-USDT','5m','3OW?n','2021-09-11','2021-10-11','62','-1.87','-23.0',108,'48','0.12','1.35','4.69','6','5',582,-596,'30','32','-12.73'
'ALGO-USDT','5m','-VWWu','2021-09-11','2021-10-11','61','-4.24','-21.88',91,'49','0.11','1.24','4.18','6','6',450,-594,'30','31','-12.73'
'ALGO-USDT','5m',',VWWv','2021-09-11','2021-10-11','61','-4.24','-21.88',91,'49','0.11','1.24','4.18','6','6',450,-594,'30','31','-12.73'
'ALGO-USDT','5m','-VWWl','2021-09-11','2021-10-11','61','-4.24','-21.88',91,'49','0.11','1.24','4.18','6','6',450,-594,'30','31','-12.73'
'ALGO-USDT','5m','-VWWs','2021-09-11','2021-10-11','61','-4.24','-21.88',91,'49','0.11','1.24','4.18','6','6',450,-594,'30','31','-12.73'
'ALGO-USDT','5m','tbik','2021-09-11','2021-10-11','43','1.25','-14.47',58,'56','0.17','1.05','3.98','6','4',363,-551,'24','19','-12.73'
'ALGO-USDT','5m','-VW<v','2021-09-11','2021-10-11','58','-3.47','-21.4',77,'50','0.11','1.13','3.58','6','6',443,-597,'29','29','-12.73'
'ALGO-USDT','5m','eRNWk','2021-09-11','2021-10-11','63','-5.33','-18.61',58,'46','0.1','0.96','3.12','4','6',435,-527,'29','34','-12.73'
'ALGO-USDT','5m','HPqWv','2021-09-11','2021-10-11','38','-3.9','-9.42',28,'53','0.12','0.69','2.92','3','4',380,-626,'20','18','-12.73'
'ALGO-USDT','5m','eRNDv','2021-09-11','2021-10-11','58','-5.3','-18.09',47,'50','0.08','0.89','2.6','4','4',393,-530,'29','29','-12.73'
'ALGO-USDT','5m','eRQWv','2021-09-11','2021-10-11','63','-4.59','-19.24',41,'44','0.07','0.81','2.13','5','6',434,-524,'28','35','-12.73'
'ALGO-USDT','5m','3OWXE','2021-09-11','2021-10-11','35','-0.97','-19.73',41,'46','0.07','0.86','2.07','6','6',439,-362,'16','19','-12.73'
'ALGO-USDT','5m','eRNWZ','2021-09-11','2021-10-11','61','-6.56','-21.34',37,'46','0.05','0.78','1.75','4','6',445,-551,'28','33','-12.73'
'ALGO-USDT','5m','_W6,U','2021-09-11','2021-10-11','55','0.02','-20.23',35,'36','0.07','0.75','1.72','3','6',606,-378,'20','35','-12.73'
'ALGO-USDT','5m','3OWXC','2021-09-11','2021-10-11','35','-3.62','-19.88',32,'43','0.06','0.76','1.63','5','6',438,-361,'15','20','-12.73'
'ALGO-USDT','5m','E^cA','2021-09-11','2021-10-11','19','1.21','-12.77',19,'53','0.07','0.59','1.51','4','4',433,-345,'10','9','-12.73'
'ALGO-USDT','5m','CMNWv','2021-09-11','2021-10-11','67','-9.37','-18.85',20,'46','0.04','0.58','1.06','4','5',416,-598,'31','36','-12.73'
'ALGO-USDT','5m','-VWW^','2021-09-11','2021-10-11','59','-9.77','-25.49',-11,'47','-0.02','0.25','-0.45','6','7',443,-551,'28','31','-12.73'
