'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'ALPHA-USDT','5m','WrVZ;','2021-09-11','2021-10-11','35','8.09','-8.26',226,'43','1.22','2.6','27.42','3','4',346,-289,'15','20','-12.8'
'ALPHA-USDT','5m','@cW*?','2021-09-11','2021-10-11','44','9.47','-8.78',211,'41','1.07','1.93','24.04','4','6',553,-329,'18','26','-12.8'
'ALPHA-USDT','5m','@VW*A','2021-09-11','2021-10-11','36','8.65','-8.21',178,'47','1.15','2.0','21.72','4','3',547,-336,'17','19','-12.8'
'ALPHA-USDT','5m','-VW*=','2021-09-11','2021-10-11','37','6.0','-8.94',104,'43','0.5','1.57','11.6','3','5',489,-266,'16','21','-12.8'
'ALPHA-USDT','5m','@_W*?','2021-09-11','2021-10-11','42','5.85','-12.53',111,'40','0.4','1.46','8.83','4','7',566,-320,'17','25','-12.8'
'ALPHA-USDT','5m','@VW*F','2021-09-11','2021-10-11','44','5.3','-10.45',90,'45','0.41','1.35','8.66','3','4',543,-340,'20','24','-12.8'
'ALPHA-USDT','5m','@VX*?','2021-09-11','2021-10-11','33','4.32','-10.45',70,'42','0.35','1.17','6.73','3','3',530,-323,'14','19','-12.8'
'ALPHA-USDT','5m','3OWXE','2021-09-11','2021-10-11','46','0.97','-8.4',50,'50','0.36','1.09','5.99','4','4',394,-361,'23','23','-12.8'
'ALPHA-USDT','5m','@^W*?','2021-09-11','2021-10-11','41','2.86','-8.31',48,'41','0.27','0.93','5.75','4','5',519,-297,'17','24','-12.8'
'ALPHA-USDT','5m','3OWXC','2021-09-11','2021-10-11','44','1.68','-8.4',43,'50','0.31','0.99','5.11','4','4',393,-359,'22','22','-12.8'
'ALPHA-USDT','5m','@XW*?','2021-09-11','2021-10-11','35','1.89','-7.93',31,'46','0.26','0.75','3.9','3','3',520,-317,'16','19','-12.8'
'ALPHA-USDT','5m','=bVNC','2021-09-11','2021-10-11','48','1.73','-9.06',34,'38','0.22','0.75','3.76','4','6',410,-322,'18','30','-12.8'
'ALPHA-USDT','5m','@TW*?','2021-09-11','2021-10-11','37','3.09','-12.46',46,'43','0.2','0.9','3.69','3','3',545,-319,'16','21','-12.8'
'ALPHA-USDT','5m','g^VGt','2021-09-11','2021-10-11','52','-1.86','-11.3',29,'48','0.14','0.73','2.59','3','4',381,-383,'25','27','-12.8'
'ALPHA-USDT','5m','@VW4?','2021-09-11','2021-10-11','38','0.64','-9.75',11,'47','0.07','0.44','1.09','3','3',378,-336,'18','20','-12.8'
'ALPHA-USDT','5m','@VW.?','2021-09-11','2021-10-11','38','0.69','-11.32',11,'47','0.06','0.45','1.0','3','3',480,-336,'18','20','-12.8'
'ALPHA-USDT','5m','FVW*?','2021-09-11','2021-10-11','39','-1.19','-12.28',11,'46','0.05','0.45','0.92','3','4',538,-319,'18','21','-12.8'
'ALPHA-USDT','5m','?^WWv','2021-09-11','2021-10-11','54','-1.17','-12.76',1,'46','0.0','0.29','0.07','3','5',392,-458,'25','29','-12.8'
'ALPHA-USDT','5m','@VW)?','2021-09-11','2021-10-11','38','-0.19','-12.38',0,'45','0.0','0.27','0.0','3','3',564,-333,'17','21','-12.8'
'ALPHA-USDT','5m','ftUQf','2021-09-11','2021-10-11','49','-2.63','-10.93',-3,'45','-0.02','0.23','-0.27','5','4',427,-359,'22','27','-12.8'
