'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'ANKR-USDT','5m','=bVNC','2021-09-11','2021-10-11','38','12.22','-7.09',496,'47','2.97','3.55','69.89','4','3',462,-355,'18','20','-5.16'
'ANKR-USDT','5m','wVW*?','2021-09-11','2021-10-11','30','7.18','-5.1',266,'37','2.9','2.59','52.13','2','5',526,-316,'11','19','-5.16'
'ANKR-USDT','5m','WrVZ;','2021-09-11','2021-10-11','31','7.01','-5.42',198,'52','1.85','2.99','36.51','4','2',343,-265,'16','15','-5.16'
'ANKR-USDT','5m','ePPH','2021-09-11','2021-10-11','41','5.78','-6.69',117,'56','0.72','1.72','17.53','5','2',324,-371,'23','18','-5.16'
'ANKR-USDT','5m','eRNWZ','2021-09-11','2021-10-11','43','6.07','-11.24',133,'53','0.68','1.66','11.86','4','4',401,-367,'23','20','-5.16'
'ANKR-USDT','5m','?^WWv','2021-09-11','2021-10-11','42','0.82','-9.63',83,'50','0.48','1.32','8.57','4','4',394,-362,'21','21','-5.16'
'ANKR-USDT','5m','ePPW\\','2021-09-11','2021-10-11','43','4.1','-9.39',80,'51','0.43','1.24','8.51','5','3',386,-362,'22','21','-5.16'
'ANKR-USDT','5m','@VW4?','2021-09-11','2021-10-11','36','3.06','-6.28',51,'47','0.53','1.08','8.1','4','3',346,-305,'17','19','-5.16'
'ANKR-USDT','5m',':YY:_','2021-09-11','2021-10-11','40','-0.02','-9.33',52,'45','0.28','1.02','5.59','3','3',415,-367,'18','22','-5.16'
'ANKR-USDT','5m','@VWF?','2021-09-11','2021-10-11','36','1.11','-6.76',37,'53','0.31','0.89','5.48','6','3',374,-305,'19','17','-5.16'
'ANKR-USDT','5m','eSNWd','2021-09-11','2021-10-11','43','2.7','-13.89',58,'53','0.26','1.0','4.18','4','4',400,-567,'23','20','-5.16'
'ANKR-USDT','5m','eVPWc','2021-09-11','2021-10-11','43','2.2','-13.11',46,'53','0.23','0.9','3.55','4','4',399,-561,'23','20','-5.16'
'ANKR-USDT','5m','YOR9c','2021-09-11','2021-10-11','40','1.54','-10.4',34,'52','0.19','0.76','3.24','4','3',468,-488,'21','19','-5.16'
'ANKR-USDT','5m','@^W*?','2021-09-11','2021-10-11','36','2.06','-11.1',34,'42','0.14','0.83','3.05','2','3',499,-306,'15','21','-5.16'
'ANKR-USDT','5m','@_W*?','2021-09-11','2021-10-11','40','1.13','-9.06',20,'40','0.11','0.61','2.21','2','3',495,-304,'16','24','-5.16'
'ANKR-USDT','5m','eRNDv','2021-09-11','2021-10-11','42','1.2','-14.62',30,'52','0.13','0.72','2.06','4','4',366,-563,'22','20','-5.16'
'ANKR-USDT','5m','hPPHs','2021-09-11','2021-10-11','42','0.36','-11.13',15,'55','0.08','0.52','1.35','5','3',324,-564,'23','19','-5.16'
'ANKR-USDT','5m','ePPHt','2021-09-11','2021-10-11','42','0.36','-11.13',15,'55','0.08','0.52','1.35','5','3',324,-564,'23','19','-5.16'
