'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'ATA-USDT','5m','MVsWv','2021-09-11','2021-10-11','28','24.24','-10.49',1574,'54','2.27','5.32','149.96','4','5',426,-586,'15','13','-6.92'
'ATA-USDT','5m','=ptVt','2021-09-11','2021-10-11','39','15.68','-7.99',774,'51','2.09','3.94','96.82','3','3',479,-555,'20','19','-6.92'
'ATA-USDT','5m','3OWXC','2021-09-11','2021-10-11','35','8.19','-6.45',303,'46','2.11','3.44','46.88','4','5',432,-372,'16','19','-6.92'
'ATA-USDT','5m','O=ITi','2021-09-11','2021-10-11','61','6.74','-15.62',604,'48','0.77','3.72','38.66','3','11',408,-482,'29','32','-6.92'
'ATA-USDT','5m','vNqn','2021-09-11','2021-10-11','16','6.68','-3.94',136,'50','1.66','3.13','34.58','2','3',395,-437,'8','8','-6.92'
'ATA-USDT','5m','HPqWv','2021-09-11','2021-10-11','28','14.29','-13.71',446,'54','0.61','3.26','32.55','3','3',388,-611,'15','13','-6.92'
'ATA-USDT','5m','VsWv','2021-09-11','2021-10-11','28','10.25','-10.14',299,'50','0.79','2.67','29.46','3','6',406,-595,'14','14','-6.92'
'ATA-USDT','5m','WVsWv','2021-09-11','2021-10-11','28','10.25','-10.14',299,'50','0.79','2.67','29.46','3','6',406,-595,'14','14','-6.92'
'ATA-USDT','5m','tbik','2021-09-11','2021-10-11','42','1.45','-10.17',232,'48','0.85','2.36','22.83','3','6',375,-591,'20','22','-6.92'
'ATA-USDT','5m','\\sta','2021-09-11','2021-10-11','23','2.34','-6.01',120,'65','0.94','2.17','19.92','4','2',279,-507,'15','8','-6.92'
'ATA-USDT','5m','@TW*?','2021-09-11','2021-10-11','30','9.02','-11.33',207,'37','0.69','2.28','18.3','2','8',592,-337,'11','19','-6.92'
'ATA-USDT','5m','ePjWv','2021-09-11','2021-10-11','31','9.17','-11.98',213,'45','0.39','2.48','17.82','3','6',388,-643,'14','17','-6.92'
'ATA-USDT','5m','BVV.a','2021-09-11','2021-10-11','59','7.73','-15.82',281,'44','0.62','2.5','17.77','3','8',548,-482,'26','33','-6.92'
'ATA-USDT','5m','<VV.a','2021-09-11','2021-10-11','59','7.73','-15.82',281,'44','0.62','2.5','17.77','3','8',548,-482,'26','33','-6.92'
'ATA-USDT','5m','eVkWv','2021-09-11','2021-10-11','34','7.59','-12.57',216,'53','0.35','2.08','17.23','4','4',394,-647,'18','16','-6.92'
'ATA-USDT','5m','-VWWl','2021-09-11','2021-10-11','59','2.76','-13.6',193,'41','0.54','2.3','14.18','3','8',427,-465,'24','35','-6.92'
'ATA-USDT','5m','wVW*?','2021-09-11','2021-10-11','26','8.47','-16.03',203,'38','0.57','2.28','12.7','3','9',625,-379,'10','16','-6.92'
'ATA-USDT','5m','hPmHf','2021-09-11','2021-10-11','22','6.47','-10.74',136,'64','0.39','2.12','12.69','4','3',322,-549,'14','8','-6.92'
'ATA-USDT','5m','@VX*?','2021-09-11','2021-10-11','31','6.85','-11.35',141,'35','0.55','1.8','12.39','2','8',580,-291,'11','20','-6.92'
'ATA-USDT','5m','q9da','2021-09-11','2021-10-11','19','3.91','-5.37',63,'68','0.54','1.64','11.69','3','1',279,-493,'13','6','-6.92'
'ATA-USDT','5m','eEsWv','2021-09-11','2021-10-11','18','7.79','-12.8',149,'56','0.32','1.81','11.65','5','5',413,-655,'10','8','-6.92'
'ATA-USDT','5m','?dpMr','2021-09-11','2021-10-11','41','4.2','-11.6',111,'44','0.36','1.41','9.55','3','8',476,-597,'18','23','-6.92'
'ATA-USDT','5m','3OWXE','2021-09-11','2021-10-11','39','2.08','-12.36',116,'44','0.3','1.98','9.36','4','6',440,-378,'17','22','-6.92'
'ATA-USDT','5m','E^cA','2021-09-11','2021-10-11','25','1.94','-7.87',61,'52','0.5','1.24','7.74','4','3',412,-326,'13','12','-6.92'
'ATA-USDT','5m','?VuWv','2021-09-11','2021-10-11','29','5.14','-13.59',88,'48','0.25','1.37','6.45','3','3',377,-567,'14','15','-6.92'
'ATA-USDT','5m','IVWWv','2021-09-11','2021-10-11','62','-5.65','-16.06',88,'39','0.25','1.42','5.51','3','10',427,-472,'24','38','-6.92'
'ATA-USDT','5m',':YY:_','2021-09-11','2021-10-11','59','-0.14','-12.3',67,'44','0.3','1.25','5.46','3','7',467,-469,'26','33','-6.92'
'ATA-USDT','5m','@VW*A','2021-09-11','2021-10-11','34','3.77','-13.29',67,'38','0.17','1.13','5.01','3','6',556,-373,'13','21','-6.92'
'ATA-USDT','5m','-VW*=','2021-09-11','2021-10-11','31','3.95','-14.86',74,'35','0.17','1.29','4.98','3','8',576,-311,'11','20','-6.92'
'ATA-USDT','5m','ftUQf','2021-09-11','2021-10-11','48','-0.11','-18.38',90,'44','0.22','1.4','4.9','3','10',508,-503,'21','27','-6.92'
'ATA-USDT','5m','?VW.v','2021-09-11','2021-10-11','60','0.67','-14.92',72,'42','0.27','1.15','4.83','3','8',513,-622,'25','35','-6.92'
'ATA-USDT','5m','-VWWa','2021-09-11','2021-10-11','60','-4.88','-13.6',43,'40','0.16','0.97','3.18','3','8',409,-465,'24','36','-6.92'
'ATA-USDT','5m','-VWW^','2021-09-11','2021-10-11','60','-4.88','-13.6',43,'40','0.16','0.97','3.18','3','8',409,-465,'24','36','-6.92'
'ATA-USDT','5m','ePPHt','2021-09-11','2021-10-11','61','-10.64','-14.88',46,'48','0.16','0.94','3.08','3','4',347,-462,'29','32','-6.92'
'ATA-USDT','5m','7Fpob','2021-09-11','2021-10-11','21','0.9','-8.96',25,'57','0.07','0.75','2.83','3','3',359,-522,'12','9','-6.92'
'ATA-USDT','5m','@VWF?','2021-09-11','2021-10-11','33','-1.22','-14.41',28,'42','0.05','0.75','1.93','3','5',415,-312,'14','19','-6.92'
'ATA-USDT','5m','-VW<v','2021-09-11','2021-10-11','53','-2.98','-16.73',30,'47','0.1','0.73','1.81','4','9',406,-623,'25','28','-6.92'
'ATA-USDT','5m','hPPHs','2021-09-11','2021-10-11','61','-12.08','-14.88',23,'48','0.08','0.63','1.54','3','4',347,-462,'29','32','-6.92'
'ATA-USDT','5m','ePPHa','2021-09-11','2021-10-11','61','-11.2','-14.9',18,'48','0.07','0.56','1.22','3','4',351,-468,'29','32','-6.92'
'ATA-USDT','5m','@VW.?','2021-09-11','2021-10-11','33','0.72','-16.43',19,'36','0.04','0.57','1.14','3','8',495,-317,'12','21','-6.92'
'ATA-USDT','5m','?VW2v','2021-09-11','2021-10-11','60','-2.45','-14.92',15,'48','0.07','0.52','1.02','4','8',450,-613,'29','31','-6.92'
'ATA-USDT','5m','@VW)?','2021-09-11','2021-10-11','31','0.24','-18.89',10,'35','0.02','0.43','0.53','3','7',593,-323,'11','20','-6.92'
'ATA-USDT','5m','CMNWv','2021-09-11','2021-10-11','66','-5.66','-17.62',3,'42','0.01','0.34','0.2','3','11',417,-587,'28','38','-6.92'
'ATA-USDT','5m','ePPWb','2021-09-11','2021-10-11','61','-8.37','-16.2',3,'36','0.01','0.31','0.16','2','11',415,-464,'22','39','-6.92'
'ATA-USDT','5m','WrVZ;','2021-09-11','2021-10-11','32','-1.34','-10.1',-1,'41','-0.0','0.17','-0.08','4','5',331,-268,'13','19','-6.92'
'ATA-USDT','5m','3OW?n','2021-09-11','2021-10-11','58','-4.06','-12.02',-4,'43','-0.02','0.14','-0.35','3','7',504,-633,'25','33','-6.92'
'ATA-USDT','5m','-VW=v','2021-09-11','2021-10-11','61','-6.1','-16.73',-12,'46','-0.04','-0.0','-0.75','4','9',415,-618,'28','33','-6.92'
'ATA-USDT','5m','eVPWc','2021-09-11','2021-10-11','62','-13.09','-17.82',-16,'39','-0.05','0.02','-0.89','3','12',411,-423,'24','38','-6.92'
'ATA-USDT','5m','3OW5n','2021-09-11','2021-10-11','58','-3.36','-12.5',-11,'40','-0.06','0.01','-0.9','3','7',577,-637,'23','35','-6.92'
'ATA-USDT','5m','-VWWu','2021-09-11','2021-10-11','62','-7.41','-15.55',-16,'39','-0.06','-0.09','-1.02','3','9',397,-615,'24','38','-6.92'
'ATA-USDT','5m',',VWWv','2021-09-11','2021-10-11','62','-7.41','-15.55',-16,'39','-0.06','-0.09','-1.02','3','9',397,-615,'24','38','-6.92'
'ATA-USDT','5m','-VWWs','2021-09-11','2021-10-11','62','-7.41','-15.55',-16,'39','-0.06','-0.09','-1.02','3','9',397,-615,'24','38','-6.92'
'ATA-USDT','5m','fVPWv','2021-09-11','2021-10-11','63','-14.75','-19.11',-23,'38','-0.07','-0.12','-1.2','3','13',415,-423,'24','39','-6.92'
'ATA-USDT','5m','gVPWv','2021-09-11','2021-10-11','63','-14.75','-19.11',-23,'38','-0.07','-0.12','-1.2','3','13',415,-423,'24','39','-6.92'
'ATA-USDT','5m','-VWMv','2021-09-11','2021-10-11','62','-6.83','-16.24',-23,'37','-0.09','-0.25','-1.44','3','9',469,-617,'23','39','-6.92'
'ATA-USDT','5m','XRV.a','2021-09-11','2021-10-11','56','-6.91','-15.47',-23,'38','-0.11','-0.11','-1.49','3','10',489,-425,'21','35','-6.92'
'ATA-USDT','5m','eSNWd','2021-09-11','2021-10-11','63','-14.8','-15.21',-28,'35','-0.12','-0.28','-1.83','2','12',394,-454,'22','41','-6.92'
'ATA-USDT','5m','@_W*?','2021-09-11','2021-10-11','49','-4.55','-19.25',-35,'31','-0.1','-0.38','-1.84','2','10',559,-353,'15','34','-6.92'
'ATA-USDT','5m','ePRWv','2021-09-11','2021-10-11','59','-9.92','-16.24',-30,'39','-0.11','-0.31','-1.84','3','9',387,-559,'23','36','-6.92'
'ATA-USDT','5m','-VWLv','2021-09-11','2021-10-11','61','-6.29','-16.24',-32,'38','-0.13','-0.45','-1.95','3','9',535,-620,'23','38','-6.92'
'ATA-USDT','5m','FVW*?','2021-09-11','2021-10-11','39','-5.95','-22.13',-44,'33','-0.07','-0.75','-1.99','3','10',573,-368,'13','26','-6.92'
'ATA-USDT','5m','@XW*?','2021-09-11','2021-10-11','38','-8.84','-29.73',-65,'32','-0.08','-1.2','-2.18','5','11',612,-381,'12','26','-6.92'
'ATA-USDT','5m','@VW4?','2021-09-11','2021-10-11','33','-4.35','-16.53',-37,'39','-0.09','-0.71','-2.22','3','8',383,-303,'13','20','-6.92'
'ATA-USDT','5m','?^WWv','2021-09-11','2021-10-11','66','-10.31','-19.44',-46,'42','-0.17','-0.64','-2.37','3','11',409,-470,'28','38','-6.92'
'ATA-USDT','5m','eRNDv','2021-09-11','2021-10-11','64','-19.2','-16.26',-39,'39','-0.16','-0.57','-2.39','2','12',354,-443,'25','39','-6.92'
'ATA-USDT','5m','-VW.v','2021-09-11','2021-10-11','60','-8.46','-17.41',-44,'38','-0.17','-0.77','-2.52','3','9',477,-619,'23','37','-6.92'
'ATA-USDT','5m','@VW*F','2021-09-11','2021-10-11','42','-6.57','-19.67',-50,'36','-0.11','-0.77','-2.54','3','8',551,-394,'15','27','-6.92'
'ATA-USDT','5m','-SUNv','2021-09-11','2021-10-11','63','-10.62','-17.32',-47,'35','-0.18','-0.95','-2.71','2','10',435,-464,'22','41','-6.92'
'ATA-USDT','5m','g^VGt','2021-09-11','2021-10-11','61','-18.8','-18.4',-54,'44','-0.21','-0.96','-2.96','3','5',385,-596,'27','34','-6.92'
'ATA-USDT','5m','@^W*?','2021-09-11','2021-10-11','49','-11.18','-24.22',-73,'29','-0.15','-1.72','-3.01','2','11',558,-348,'14','35','-6.92'
'ATA-USDT','5m','=bVNC','2021-09-11','2021-10-11','56','-11.28','-23.11',-70,'32','-0.22','-1.55','-3.01','3','13',444,-354,'18','38','-6.92'
'ATA-USDT','5m','-VW;v','2021-09-11','2021-10-11','53','-7.59','-16.73',-52,'45','-0.23','-1.09','-3.11','4','9',449,-616,'24','29','-6.92'
'ATA-USDT','5m','-VW*9','2021-09-11','2021-10-11','25','-16.41','-28.05',-87,'20','-0.08','-4.4','-3.12','2','17',549,-268,'5','20','-6.92'
'ATA-USDT','5m','ePPH','2021-09-11','2021-10-11','61','-18.16','-16.67',-52,'46','-0.21','-1.13','-3.12','3','4',333,-444,'28','33','-6.92'
'ATA-USDT','5m','eRQWv','2021-09-11','2021-10-11','62','-18.63','-17.77',-56,'34','-0.22','-1.08','-3.13','2','13',391,-439,'21','41','-6.92'
'ATA-USDT','5m',':VWWv','2021-09-11','2021-10-11','64','-11.11','-15.38',-48,'42','-0.22','-1.01','-3.14','3','6',381,-595,'27','37','-6.92'
'ATA-USDT','5m','7VWWv','2021-09-11','2021-10-11','64','-11.11','-15.38',-48,'42','-0.22','-1.01','-3.14','3','6',381,-595,'27','37','-6.92'
'ATA-USDT','5m','eRNWk','2021-09-11','2021-10-11','64','-17.84','-16.59',-52,'34','-0.21','-0.98','-3.14','2','13',378,-435,'22','42','-6.92'
'ATA-USDT','5m','ePPW\\','2021-09-11','2021-10-11','61','-15.45','-17.53',-59,'34','-0.24','-1.43','-3.35','2','11',392,-438,'21','40','-6.92'
'ATA-USDT','5m','eRNWZ','2021-09-11','2021-10-11','61','-16.87','-15.26',-51,'34','-0.24','-1.08','-3.36','2','12',373,-429,'21','40','-6.92'
'ATA-USDT','5m','@cW*?','2021-09-11','2021-10-11','53','-11.64','-20.98',-73,'30','-0.29','-1.65','-3.48','3','11',532,-319,'16','37','-6.92'
'ATA-USDT','5m','ui*5<','2021-09-11','2021-10-11','36','-6.55','-13.62',-50,'31','-0.2','-0.92','-3.69','2','9',519,-275,'11','25','-6.92'
'ATA-USDT','5m','o4,@X','2021-09-11','2021-10-11','58','-13.63','-18.7',-75,'36','-0.22','-1.51','-4.0','3','12',402,-391,'21','37','-6.92'
'ATA-USDT','5m','eVswv','2021-09-11','2021-10-11','26','-9.78','-12.29',-49,'54','-0.09','-1.25','-4.02','3','2',237,-590,'14','12','-6.92'
'ATA-USDT','5m','_W6,U','2021-09-11','2021-10-11','54','-16.68','-20.53',-84,'31','-0.34','-2.23','-4.11','2','12',530,-442,'17','37','-6.92'
'ATA-USDT','5m','3fWHn','2021-09-11','2021-10-11','67','-16.32','-16.48',-69,'46','-0.27','-1.81','-4.17','4','8',309,-599,'31','36','-6.92'
'ATA-USDT','5m','-dW6n','2021-09-11','2021-10-11','69','-15.47','-18.91',-79,'38','-0.27','-2.32','-4.19','4','11',505,-608,'26','43','-6.92'
'ATA-USDT','5m','-VW?v','2021-09-11','2021-10-11','58','-13.46','-16.91',-72,'43','-0.35','-2.25','-4.27','3','6',482,-623,'25','33','-6.92'
'ATA-USDT','5m','YOR9c','2021-09-11','2021-10-11','58','-16.1','-16.08',-70,'41','-0.25','-1.67','-4.38','3','10',459,-425,'24','34','-6.92'
'ATA-USDT','5m','QYRcn','2021-09-11','2021-10-11','64','-24.78','-19.76',-90,'34','-0.38','-3.96','-4.55','2','12',391,-479,'22','42','-6.92'
'ATA-USDT','5m','`RNWv','2021-09-11','2021-10-11','66','-24.92','-17.07',-81,'36','-0.33','-2.45','-4.76','2','12',372,-571,'24','42','-6.92'
'ATA-USDT','5m','cRNWv','2021-09-11','2021-10-11','66','-24.92','-17.07',-81,'36','-0.33','-2.45','-4.76','2','12',372,-571,'24','42','-6.92'
'ATA-USDT','5m','\\RNWv','2021-09-11','2021-10-11','66','-24.92','-17.07',-81,'36','-0.33','-2.45','-4.76','2','12',372,-571,'24','42','-6.92'
'ATA-USDT','5m','RNWv','2021-09-11','2021-10-11','66','-24.92','-17.07',-81,'36','-0.33','-2.45','-4.76','2','12',372,-571,'24','42','-6.92'
'ATA-USDT','5m','aRNWv','2021-09-11','2021-10-11','66','-24.92','-17.07',-81,'36','-0.33','-2.45','-4.76','2','12',372,-571,'24','42','-6.92'
'ATA-USDT','5m','^RNWv','2021-09-11','2021-10-11','66','-24.92','-17.07',-81,'36','-0.33','-2.45','-4.76','2','12',372,-571,'24','42','-6.92'
'ATA-USDT','5m','_RNWv','2021-09-11','2021-10-11','66','-24.92','-17.07',-81,'36','-0.33','-2.45','-4.76','2','12',372,-571,'24','42','-6.92'
'ATA-USDT','5m','-VUWv','2021-09-11','2021-10-11','68','-17.27','-16.18',-79,'35','-0.41','-2.5','-4.89','3','10',372,-600,'24','44','-6.92'
'ATA-USDT','5m','3eWXn','2021-09-11','2021-10-11','70','-19.9','-17.01',-84,'41','-0.32','-3.3','-4.96','4','11',378,-596,'29','41','-6.92'
'ATA-USDT','5m','LewDb','2021-09-11','2021-10-11','24','-12.6','-13.09',-73,'46','-0.16','-3.02','-5.57','3','3',312,-519,'11','13','-6.92'
