'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'AUDIO-USDT','5m','WrVZ;','2021-09-11','2021-10-11','36','7.07','-6.31',452,'44','2.18','4.7','71.58','2','6',356,-319,'16','20','-10.59'
'AUDIO-USDT','5m','3OWXE','2021-09-11','2021-10-11','44','-3.89','-8.91',42,'43','0.19','0.92','4.66','3','6',383,-317,'19','25','-10.59'
'AUDIO-USDT','5m','3OWXC','2021-09-11','2021-10-11','42','-6.86','-12.89',11,'38','0.03','0.45','0.88','3','7',393,-317,'16','26','-10.59'
'AUDIO-USDT','5m','@VW4?','2021-09-11','2021-10-11','35','-8.43','-11.68',0,'37','0.0','0.25','0.0','3','4',354,-300,'13','22','-10.59'
'AUDIO-USDT','5m','@TW*?','2021-09-11','2021-10-11','32','-2.31','-11.04',-16,'44','-0.09','-0.07','-1.46','3','4',484,-275,'14','18','-10.59'
'AUDIO-USDT','5m','ui*5<','2021-09-11','2021-10-11','43','-6.98','-11.35',-25,'33','-0.12','-0.22','-2.2','3','7',502,-282,'14','29','-10.59'
'AUDIO-USDT','5m','_W6,U','2021-09-11','2021-10-11','59','-11.18','-22.53',-62,'37','-0.08','-0.89','-2.75','3','6',576,-411,'22','37','-10.59'
'AUDIO-USDT','5m','eRNDv','2021-09-11','2021-10-11','64','-16.94','-18.39',-51,'42','-0.09','-0.82','-2.79','4','5',351,-473,'27','37','-10.59'
'AUDIO-USDT','5m','hPPHs','2021-09-11','2021-10-11','61','-19.15','-16.46',-46,'44','-0.11','-0.71','-2.8','4','5',308,-472,'27','34','-10.59'
'AUDIO-USDT','5m','ePPHt','2021-09-11','2021-10-11','61','-19.15','-16.46',-46,'44','-0.11','-0.71','-2.8','4','5',308,-472,'27','34','-10.59'
'AUDIO-USDT','5m','@cW*?','2021-09-11','2021-10-11','44','-24.96','-33.05',-94,'27','-0.09','-4.09','-2.85','5','12',522,-293,'12','32','-10.59'
'AUDIO-USDT','5m','=bVNC','2021-09-11','2021-10-11','49','-28.95','-32.9',-96,'27','-0.09','-4.67','-2.9','2','12',396,-330,'13','36','-10.59'
'AUDIO-USDT','5m','ePPHa','2021-09-11','2021-10-11','61','-20.85','-16.46',-49,'44','-0.11','-0.81','-2.95','4','5',307,-473,'27','34','-10.59'
'AUDIO-USDT','5m','?dpMr','2021-09-11','2021-10-11','42','-34.42','-32.99',-99,'33','-0.13','-6.01','-3.0','2','11',395,-482,'14','28','-10.59'
'AUDIO-USDT','5m','-VW*=','2021-09-11','2021-10-11','39','-33.23','-31.92',-99,'23','-0.12','-7.15','-3.09','2','9',367,-239,'9','30','-10.59'
'AUDIO-USDT','5m','vNqn','2021-09-11','2021-10-11','15','-4.42','-7.44',-23,'47','-0.12','-0.47','-3.13','2','2',367,-397,'7','8','-10.59'
'AUDIO-USDT','5m','o4,@X','2021-09-11','2021-10-11','67','-24.01','-28.74',-91,'33','-0.15','-3.19','-3.18','4','11',423,-427,'22','45','-10.59'
'AUDIO-USDT','5m','wVW*?','2021-09-11','2021-10-11','30','-9.77','-20.72',-66,'33','-0.12','-1.66','-3.2','3','9',466,-297,'10','20','-10.59'
'AUDIO-USDT','5m',':YY:_','2021-09-11','2021-10-11','57','-31.65','-30.54',-98,'37','-0.16','-4.6','-3.21','3','6',404,-492,'21','36','-10.59'
'AUDIO-USDT','5m','XRV.a','2021-09-11','2021-10-11','58','-29.98','-29.96',-98,'38','-0.18','-4.41','-3.27','3','7',423,-471,'22','36','-10.59'
'AUDIO-USDT','5m','-VWLv','2021-09-11','2021-10-11','62','-30.13','-29.05',-97,'37','-0.16','-4.78','-3.35','3','7',463,-522,'23','39','-10.59'
'AUDIO-USDT','5m','?VuWv','2021-09-11','2021-10-11','36','-29.44','-28.95',-98,'42','-0.14','-6.59','-3.39','3','4',341,-592,'15','21','-10.59'
'AUDIO-USDT','5m','-VW*9','2021-09-11','2021-10-11','33','-28.7','-28.68',-97,'24','-0.11','-6.62','-3.4','2','8',251,-239,'8','25','-10.59'
'AUDIO-USDT','5m','ePjWv','2021-09-11','2021-10-11','34','-27.99','-28.59',-98,'41','-0.16','-5.94','-3.42','2','4',341,-588,'14','20','-10.59'
'AUDIO-USDT','5m','eVkWv','2021-09-11','2021-10-11','35','-29.0','-28.23',-97,'40','-0.16','-5.88','-3.45','3','5',354,-616,'14','21','-10.59'
'AUDIO-USDT','5m','-dW6n','2021-09-11','2021-10-11','65','-27.05','-27.74',-96,'37','-0.19','-3.51','-3.46','3','7',481,-482,'24','41','-10.59'
'AUDIO-USDT','5m','ftUQf','2021-09-11','2021-10-11','58','-12.01','-14.6',-51,'45','-0.18','-0.81','-3.47','4','5',410,-422,'26','32','-10.59'
'AUDIO-USDT','5m','?VW2v','2021-09-11','2021-10-11','60','-25.45','-27.07',-94,'43','-0.19','-2.93','-3.48','6','6',426,-500,'26','34','-10.59'
'AUDIO-USDT','5m','3OW5n','2021-09-11','2021-10-11','59','-28.19','-27.67',-97,'41','-0.18','-3.85','-3.49','3','6',504,-464,'24','35','-10.59'
'AUDIO-USDT','5m','=ptVt','2021-09-11','2021-10-11','40','-21.59','-26.74',-93,'48','-0.16','-3.07','-3.49','4','4',350,-467,'19','21','-10.59'
'AUDIO-USDT','5m','?VW.v','2021-09-11','2021-10-11','60','-26.13','-27.37',-96,'38','-0.22','-3.44','-3.51','3','7',443,-493,'23','37','-10.59'
'AUDIO-USDT','5m','@_W*?','2021-09-11','2021-10-11','37','-12.97','-19.15',-69,'32','-0.12','-1.74','-3.6','3','7',497,-277,'12','25','-10.59'
'AUDIO-USDT','5m','-VWMv','2021-09-11','2021-10-11','62','-26.33','-26.43',-95,'37','-0.19','-3.67','-3.6','3','7',408,-530,'23','39','-10.59'
'AUDIO-USDT','5m','MVsWv','2021-09-11','2021-10-11','32','-25.4','-26.61',-97,'44','-0.15','-5.32','-3.63','2','3',328,-552,'14','18','-10.59'
'AUDIO-USDT','5m','@^W*?','2021-09-11','2021-10-11','37','-13.57','-19.55',-71,'32','-0.12','-1.87','-3.64','3','7',497,-275,'12','25','-10.59'
'AUDIO-USDT','5m','-VW=v','2021-09-11','2021-10-11','62','-20.5','-18.92',-69,'45','-0.15','-1.32','-3.64','6','6',372,-580,'28','34','-10.59'
'AUDIO-USDT','5m','BVV.a','2021-09-11','2021-10-11','60','-25.44','-26.3',-96,'38','-0.26','-2.9','-3.64','3','6',430,-474,'23','37','-10.59'
'AUDIO-USDT','5m','<VV.a','2021-09-11','2021-10-11','60','-25.44','-26.3',-96,'38','-0.26','-2.9','-3.64','3','6',430,-474,'23','37','-10.59'
'AUDIO-USDT','5m','FVW*?','2021-09-11','2021-10-11','35','-22.43','-25.98',-95,'31','-0.13','-4.67','-3.65','2','6',373,-262,'11','24','-10.59'
'AUDIO-USDT','5m','tbik','2021-09-11','2021-10-11','41','-22.48','-25.16',-93,'46','-0.12','-3.77','-3.68','3','4',288,-505,'19','22','-10.59'
'AUDIO-USDT','5m','3fWHn','2021-09-11','2021-10-11','63','-26.55','-22.34',-82,'41','-0.13','-2.08','-3.68','4','6',313,-493,'26','37','-10.59'
'AUDIO-USDT','5m','-VW.v','2021-09-11','2021-10-11','62','-24.13','-25.28',-93,'39','-0.21','-3.07','-3.69','3','7',427,-537,'24','38','-10.59'
'AUDIO-USDT','5m','@VW*F','2021-09-11','2021-10-11','45','-22.36','-24.89',-92,'33','-0.17','-3.38','-3.71','3','5',486,-331,'15','30','-10.59'
'AUDIO-USDT','5m',':VWWv','2021-09-11','2021-10-11','60','-26.49','-25.03',-94,'38','-0.2','-3.09','-3.76','4','7',356,-501,'23','37','-10.59'
'AUDIO-USDT','5m','7VWWv','2021-09-11','2021-10-11','60','-26.49','-25.03',-94,'38','-0.2','-3.09','-3.76','4','7',356,-501,'23','37','-10.59'
'AUDIO-USDT','5m','3OW?n','2021-09-11','2021-10-11','60','-27.29','-25.06',-95,'42','-0.19','-3.4','-3.78','5','6',446,-469,'25','35','-10.59'
'AUDIO-USDT','5m','3eWXn','2021-09-11','2021-10-11','65','-25.86','-24.17',-92,'40','-0.17','-3.09','-3.8','4','6',376,-488,'26','39','-10.59'
'AUDIO-USDT','5m','7Fpob','2021-09-11','2021-10-11','31','-26.85','-25.24',-96,'35','-0.17','-5.1','-3.82','4','10',326,-487,'11','20','-10.59'
'AUDIO-USDT','5m','-VW?v','2021-09-11','2021-10-11','62','-27.98','-24.84',-95,'39','-0.18','-3.94','-3.82','3','7',443,-537,'24','38','-10.59'
'AUDIO-USDT','5m','CMNWv','2021-09-11','2021-10-11','64','-24.64','-24.0',-92,'41','-0.17','-2.64','-3.82','6','6',363,-494,'26','38','-10.59'
'AUDIO-USDT','5m','-VWWa','2021-09-11','2021-10-11','60','-18.0','-19.91',-77,'40','-0.18','-1.69','-3.85','3','6',361,-499,'24','36','-10.59'
'AUDIO-USDT','5m','-VWW^','2021-09-11','2021-10-11','60','-18.0','-19.91',-77,'40','-0.18','-1.69','-3.85','3','6',361,-499,'24','36','-10.59'
'AUDIO-USDT','5m','-VW<v','2021-09-11','2021-10-11','61','-20.03','-19.79',-77,'44','-0.19','-1.64','-3.88','5','6',353,-565,'27','34','-10.59'
'AUDIO-USDT','5m','@XW*?','2021-09-11','2021-10-11','38','-24.16','-24.11',-94,'32','-0.2','-4.65','-3.92','2','5',414,-255,'12','26','-10.59'
'AUDIO-USDT','5m','?^WWv','2021-09-11','2021-10-11','58','-25.82','-23.96',-94,'38','-0.21','-3.11','-3.94','3','5',352,-490,'22','36','-10.59'
'AUDIO-USDT','5m','@VX*?','2021-09-11','2021-10-11','34','-11.38','-18.21',-73,'38','-0.15','-2.13','-3.99','3','4',483,-273,'13','21','-10.59'
'AUDIO-USDT','5m','`RNWv','2021-09-11','2021-10-11','64','-26.99','-23.62',-94,'38','-0.2','-3.32','-4.0','4','5',350,-495,'24','40','-10.59'
'AUDIO-USDT','5m','cRNWv','2021-09-11','2021-10-11','64','-26.99','-23.62',-94,'38','-0.2','-3.32','-4.0','4','5',350,-495,'24','40','-10.59'
'AUDIO-USDT','5m','\\RNWv','2021-09-11','2021-10-11','64','-26.99','-23.62',-94,'38','-0.2','-3.32','-4.0','4','5',350,-495,'24','40','-10.59'
'AUDIO-USDT','5m','RNWv','2021-09-11','2021-10-11','64','-26.99','-23.62',-94,'38','-0.2','-3.32','-4.0','4','5',350,-495,'24','40','-10.59'
'AUDIO-USDT','5m','aRNWv','2021-09-11','2021-10-11','64','-26.99','-23.62',-94,'38','-0.2','-3.32','-4.0','4','5',350,-495,'24','40','-10.59'
'AUDIO-USDT','5m','^RNWv','2021-09-11','2021-10-11','64','-26.99','-23.62',-94,'38','-0.2','-3.32','-4.0','4','5',350,-495,'24','40','-10.59'
'AUDIO-USDT','5m','_RNWv','2021-09-11','2021-10-11','64','-26.99','-23.62',-94,'38','-0.2','-3.32','-4.0','4','5',350,-495,'24','40','-10.59'
'AUDIO-USDT','5m','eRNWZ','2021-09-11','2021-10-11','65','-25.87','-22.7',-92,'37','-0.15','-3.33','-4.03','4','5',353,-466,'24','41','-10.59'
'AUDIO-USDT','5m','ePPW\\','2021-09-11','2021-10-11','64','-27.85','-23.24',-94,'36','-0.19','-3.77','-4.05','3','5',350,-469,'23','41','-10.59'
'AUDIO-USDT','5m','g^VGt','2021-09-11','2021-10-11','60','-22.35','-19.64',-80,'43','-0.14','-2.57','-4.07','4','4',350,-505,'26','34','-10.59'
'AUDIO-USDT','5m','VsWv','2021-09-11','2021-10-11','31','-22.1','-23.12',-94,'45','-0.17','-4.51','-4.07','2','3',343,-592,'14','17','-10.59'
'AUDIO-USDT','5m','WVsWv','2021-09-11','2021-10-11','31','-22.1','-23.12',-94,'45','-0.17','-4.51','-4.07','2','3',343,-592,'14','17','-10.59'
'AUDIO-USDT','5m','ePRWv','2021-09-11','2021-10-11','60','-21.5','-21.13',-86,'38','-0.16','-2.75','-4.08','3','4',340,-452,'23','37','-10.59'
'AUDIO-USDT','5m','O=ITi','2021-09-11','2021-10-11','66','-24.82','-21.96',-90,'44','-0.19','-2.78','-4.08','5','6',314,-498,'29','37','-10.59'
'AUDIO-USDT','5m','eRNWk','2021-09-11','2021-10-11','65','-26.25','-22.75',-93,'37','-0.17','-3.45','-4.08','4','5',350,-462,'24','41','-10.59'
'AUDIO-USDT','5m','ePPH','2021-09-11','2021-10-11','63','-25.56','-17.76',-73,'41','-0.14','-1.88','-4.1','3','5',307,-473,'26','37','-10.59'
'AUDIO-USDT','5m','-VWWu','2021-09-11','2021-10-11','62','-23.48','-21.81',-90,'39','-0.22','-2.73','-4.11','3','7',351,-546,'24','38','-10.59'
'AUDIO-USDT','5m',',VWWv','2021-09-11','2021-10-11','62','-23.48','-21.81',-90,'39','-0.22','-2.73','-4.11','3','7',351,-546,'24','38','-10.59'
'AUDIO-USDT','5m','-VWWs','2021-09-11','2021-10-11','62','-23.48','-21.81',-90,'39','-0.22','-2.73','-4.11','3','7',351,-546,'24','38','-10.59'
'AUDIO-USDT','5m','eSNWd','2021-09-11','2021-10-11','65','-25.09','-21.62',-90,'37','-0.16','-3.07','-4.14','4','5',357,-468,'24','41','-10.59'
'AUDIO-USDT','5m','YOR9c','2021-09-11','2021-10-11','58','-24.48','-22.53',-94,'41','-0.27','-3.07','-4.15','3','5',423,-469,'24','34','-10.59'
'AUDIO-USDT','5m','-VWWl','2021-09-11','2021-10-11','61','-22.8','-21.17',-89,'39','-0.22','-2.61','-4.18','3','6',351,-546,'24','37','-10.59'
'AUDIO-USDT','5m','-SUNv','2021-09-11','2021-10-11','62','-22.78','-21.73',-91,'39','-0.23','-2.7','-4.2','3','6',381,-536,'24','38','-10.59'
'AUDIO-USDT','5m','IVWWv','2021-09-11','2021-10-11','58','-23.53','-21.45',-90,'41','-0.19','-3.0','-4.21','3','5',352,-496,'24','34','-10.59'
'AUDIO-USDT','5m','HPqWv','2021-09-11','2021-10-11','32','-20.76','-21.91',-93,'47','-0.2','-4.05','-4.24','3','3',338,-586,'15','17','-10.59'
'AUDIO-USDT','5m','-VUWv','2021-09-11','2021-10-11','63','-23.88','-20.97',-91,'38','-0.23','-2.91','-4.33','3','6',353,-533,'24','39','-10.59'
'AUDIO-USDT','5m','QYRcn','2021-09-11','2021-10-11','60','-25.39','-21.2',-92,'43','-0.2','-3.27','-4.33','4','5',370,-489,'26','34','-10.59'
'AUDIO-USDT','5m','ePPWb','2021-09-11','2021-10-11','62','-25.65','-21.13',-92,'37','-0.19','-3.31','-4.34','3','5',350,-469,'23','39','-10.59'
'AUDIO-USDT','5m','-VW;v','2021-09-11','2021-10-11','59','-17.77','-16.84',-74,'47','-0.2','-1.57','-4.37','6','4',410,-560,'28','31','-10.59'
'AUDIO-USDT','5m','eRQWv','2021-09-11','2021-10-11','63','-24.42','-20.46',-91,'38','-0.2','-3.33','-4.44','3','5',348,-461,'24','39','-10.59'
'AUDIO-USDT','5m','@VWF?','2021-09-11','2021-10-11','35','-11.61','-10.63',-48,'40','-0.18','-1.17','-4.47','3','4',353,-276,'14','21','-10.59'
'AUDIO-USDT','5m','@VW*A','2021-09-11','2021-10-11','36','-12.45','-15.74',-70,'36','-0.19','-1.87','-4.48','3','4',487,-271,'13','23','-10.59'
'AUDIO-USDT','5m','eVPWc','2021-09-11','2021-10-11','64','-23.27','-19.22',-86,'38','-0.17','-2.86','-4.49','4','5',356,-465,'24','40','-10.59'
'AUDIO-USDT','5m','E^cA','2021-09-11','2021-10-11','22','-9.48','-12.01',-55,'41','-0.16','-1.82','-4.54','2','4',358,-307,'9','13','-10.59'
'AUDIO-USDT','5m','eVswv','2021-09-11','2021-10-11','28','-21.5','-19.83',-92,'57','-0.15','-5.22','-4.63','3','3',212,-599,'16','12','-10.59'
'AUDIO-USDT','5m','@VW)?','2021-09-11','2021-10-11','35','-17.99','-18.67',-87,'34','-0.18','-3.55','-4.66','3','4',435,-252,'12','23','-10.59'
'AUDIO-USDT','5m','fVPWv','2021-09-11','2021-10-11','65','-20.53','-16.3',-81,'38','-0.21','-2.46','-4.98','4','5',365,-460,'25','40','-10.59'
'AUDIO-USDT','5m','gVPWv','2021-09-11','2021-10-11','65','-20.53','-16.3',-81,'38','-0.21','-2.46','-4.98','4','5',365,-460,'25','40','-10.59'
'AUDIO-USDT','5m','q9da','2021-09-11','2021-10-11','23','-14.53','-13.35',-68,'52','-0.16','-2.63','-5.12','2','4',246,-451,'12','11','-10.59'
'AUDIO-USDT','5m','@VW.?','2021-09-11','2021-10-11','35','-13.13','-12.88',-67,'37','-0.26','-1.81','-5.24','3','4',397,-269,'13','22','-10.59'
'AUDIO-USDT','5m','eEsWv','2021-09-11','2021-10-11','22','-9.65','-12.54',-66,'45','-0.19','-2.06','-5.29','2','4',358,-609,'10','12','-10.59'
'AUDIO-USDT','5m','\\sta','2021-09-11','2021-10-11','25','-12.43','-11.79',-63,'56','-0.22','-2.28','-5.33','3','2',255,-444,'14','11','-10.59'
'AUDIO-USDT','5m','LewDb','2021-09-11','2021-10-11','26','-14.54','-13.8',-76,'50','-0.28','-2.34','-5.5','3','4',331,-495,'13','13','-10.59'
'AUDIO-USDT','5m','hPmHf','2021-09-11','2021-10-11','27','-17.97','-14.66',-81,'48','-0.28','-2.26','-5.51','3','3',290,-488,'13','14','-10.59'
