'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'BAL-USDT','5m','@VW*F','2021-09-11','2021-10-11','33','21.33','-11.03',1229,'48','1.64','4.82','111.38','6','4',641,-413,'16','17','-15.45'
'BAL-USDT','5m','@^W*?','2021-09-11','2021-10-11','34','19.37','-10.41',1022,'41','2.07','4.19','98.19','6','4',633,-403,'14','20','-15.45'
'BAL-USDT','5m','FVW*?','2021-09-11','2021-10-11','26','19.49','-13.37',1036,'46','1.08','5.12','77.49','5','5',639,-371,'12','14','-15.45'
'BAL-USDT','5m','@cW*?','2021-09-11','2021-10-11','36','16.71','-12.51',777,'42','1.18','3.78','62.13','5','5',649,-385,'15','21','-15.45'
'BAL-USDT','5m','=bVNC','2021-09-11','2021-10-11','37','14.69','-12.09',725,'46','1.11','4.11','59.92','6','5',515,-384,'17','20','-15.45'
'BAL-USDT','5m','MVsWv','2021-09-11','2021-10-11','17','13.49','-7.37',408,'53','1.83','3.5','55.32','4','4',430,-507,'9','8','-15.45'
'BAL-USDT','5m','vNqn','2021-09-11','2021-10-11','11','6.86','-3.51',161,'45','2.5','3.18','45.88','3','3',396,-433,'5','6','-15.45'
'BAL-USDT','5m','@_W*?','2021-09-11','2021-10-11','35','12.9','-10.42',472,'40','1.41','3.16','45.32','5','4',593,-381,'14','21','-15.45'
'BAL-USDT','5m','@VW*A','2021-09-11','2021-10-11','31','13.01','-11.03',457,'45','1.05','3.47','41.39','5','4',587,-377,'14','17','-15.45'
'BAL-USDT','5m','tbik','2021-09-11','2021-10-11','24','9.01','-7.86',279,'50','1.12','3.24','35.44','3','4',382,-455,'12','12','-15.45'
'BAL-USDT','5m','@VW.?','2021-09-11','2021-10-11','31','10.41','-10.72',342,'45','0.89','3.06','31.9','5','4',525,-374,'14','17','-15.45'
'BAL-USDT','5m','?VuWv','2021-09-11','2021-10-11','18','9.93','-8.0',245,'50','1.24','2.97','30.64','3','3',420,-534,'9','9','-15.45'
'BAL-USDT','5m','-VW*=','2021-09-11','2021-10-11','33','12.52','-10.84',326,'39','0.82','2.81','30.02','3','4',582,-327,'13','20','-15.45'
'BAL-USDT','5m','=ptVt','2021-09-11','2021-10-11','25','8.83','-8.73',257,'44','1.58','2.96','29.4','3','5',458,-414,'11','14','-15.45'
'BAL-USDT','5m','@VX*?','2021-09-11','2021-10-11','29','11.88','-13.85',399,'45','0.69','3.14','28.81','4','5',606,-390,'13','16','-15.45'
'BAL-USDT','5m','@TW*?','2021-09-11','2021-10-11','26','10.82','-13.85',346,'46','0.54','3.52','24.97','4','5',615,-354,'12','14','-15.45'
'BAL-USDT','5m','@VW)?','2021-09-11','2021-10-11','30','9.79','-11.28',274,'40','0.75','2.62','24.32','5','4',624,-382,'12','18','-15.45'
'BAL-USDT','5m','@XW*?','2021-09-11','2021-10-11','30','8.97','-11.3',266,'43','0.64','2.8','23.56','5','4',582,-374,'13','17','-15.45'
'BAL-USDT','5m','HPqWv','2021-09-11','2021-10-11','18','7.86','-8.3',174,'44','0.79','2.46','20.93','3','5',417,-520,'8','10','-15.45'
'BAL-USDT','5m',':VWWv','2021-09-11','2021-10-11','41','4.76','-9.72',191,'44','0.74','2.1','19.66','3','6',420,-410,'18','23','-15.45'
'BAL-USDT','5m','7VWWv','2021-09-11','2021-10-11','41','4.76','-9.72',191,'44','0.74','2.1','19.66','3','6',420,-410,'18','23','-15.45'
'BAL-USDT','5m','BVV.a','2021-09-11','2021-10-11','40','7.81','-12.63',245,'45','0.62','2.25','19.39','3','6',536,-452,'18','22','-15.45'
'BAL-USDT','5m','<VV.a','2021-09-11','2021-10-11','40','7.81','-12.63',245,'45','0.62','2.25','19.39','3','6',536,-452,'18','22','-15.45'
'BAL-USDT','5m','-VW;v','2021-09-11','2021-10-11','41','7.1','-12.98',236,'46','0.57','2.28','18.14','4','6',503,-465,'19','22','-15.45'
'BAL-USDT','5m','@VWF?','2021-09-11','2021-10-11','30','6.95','-10.37',187,'47','0.59','2.6','18.05','5','4',425,-356,'14','16','-15.45'
'BAL-USDT','5m','QYRcn','2021-09-11','2021-10-11','39','6.83','-15.15',266,'38','0.44','2.46','17.54','4','6',464,-503,'15','24','-15.45'
'BAL-USDT','5m','LewDb','2021-09-11','2021-10-11','16','8.87','-10.55',181,'62','0.56','2.56','17.17','6','4',393,-494,'10','6','-15.45'
'BAL-USDT','5m','ePjWv','2021-09-11','2021-10-11','17','8.41','-10.52',179,'53','0.57','2.41','17.04','6','4',427,-510,'9','8','-15.45'
'BAL-USDT','5m','IVWWv','2021-09-11','2021-10-11','39','4.49','-12.74',207,'44','0.49','2.31','16.27','4','6',439,-432,'17','22','-15.45'
'BAL-USDT','5m','WrVZ;','2021-09-11','2021-10-11','31','4.17','-12.33',199,'42','0.56','2.61','16.11','3','7',373,-292,'13','18','-15.45'
'BAL-USDT','5m','7Fpob','2021-09-11','2021-10-11','15','4.07','-8.92',114,'47','0.39','2.11','12.77','3','6',386,-406,'7','8','-15.45'
'BAL-USDT','5m','eRNWZ','2021-09-11','2021-10-11','41','1.49','-11.69',131,'41','0.41','1.91','11.22','4','5',408,-516,'17','24','-15.45'
'BAL-USDT','5m','@VW4?','2021-09-11','2021-10-11','31','3.52','-9.79',108,'45','0.45','1.74','10.98','5','4',397,-355,'14','17','-15.45'
'BAL-USDT','5m','eVkWv','2021-09-11','2021-10-11','21','5.96','-10.75',116,'48','0.41','1.73','10.82','3','4',416,-504,'10','11','-15.45'
'BAL-USDT','5m','-VWLv','2021-09-11','2021-10-11','42','4.86','-12.67',135,'40','0.4','1.68','10.69','3','6',554,-457,'17','25','-15.45'
'BAL-USDT','5m','-VW?v','2021-09-11','2021-10-11','42','4.87','-12.94',136,'40','0.39','1.71','10.51','3','6',534,-460,'17','25','-15.45'
'BAL-USDT','5m','-VW.v','2021-09-11','2021-10-11','42','4.19','-13.81',142,'38','0.38','1.68','10.3','3','6',518,-456,'16','26','-15.45'
'BAL-USDT','5m','-VWMv','2021-09-11','2021-10-11','42','3.29','-12.67',120,'40','0.36','1.59','9.49','3','6',486,-449,'17','25','-15.45'
