'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'BAND-USDT','5m','E^cA','2021-09-11','2021-10-11','20','8.64','-3.21',229,'55','3.75','3.71','71.26','6','3',407,-296,'11','9','-8.23'
'BAND-USDT','5m','WrVZ;','2021-09-11','2021-10-11','33','3.24','-10.45',166,'39','0.58','2.43','15.87','2','7',357,-277,'13','20','-8.23'
'BAND-USDT','5m','wVW*?','2021-09-11','2021-10-11','28','0.54','-10.58',44,'36','0.23','0.95','4.2','2','7',532,-328,'10','18','-8.23'
'BAND-USDT','5m','=bVNC','2021-09-11','2021-10-11','45','-0.54','-12.45',16,'38','0.07','0.53','1.31','3','4',434,-348,'17','28','-8.23'
'BAND-USDT','5m','@VW)?','2021-09-11','2021-10-11','36','-1.43','-13.53',-10,'39','-0.04','0.06','-0.72','3','6',548,-321,'14','22','-8.23'
'BAND-USDT','5m','@^W*?','2021-09-11','2021-10-11','39','-2.15','-17.59',-20,'36','-0.06','-0.08','-1.16','2','7',555,-348,'14','25','-8.23'
'BAND-USDT','5m','FVW*?','2021-09-11','2021-10-11','35','-3.06','-17.16',-26,'34','-0.08','-0.26','-1.51','3','8',529,-351,'12','23','-8.23'
'BAND-USDT','5m','@VW.?','2021-09-11','2021-10-11','36','-2.62','-12.96',-20,'39','-0.08','-0.19','-1.52','3','6',457,-316,'14','22','-8.23'
'BAND-USDT','5m','@_W*?','2021-09-11','2021-10-11','40','-4.26','-18.44',-36,'35','-0.1','-0.4','-1.97','2','7',543,-347,'14','26','-8.23'
'BAND-USDT','5m','@VW*A','2021-09-11','2021-10-11','37','-3.5','-13.96',-30,'38','-0.13','-0.43','-2.17','3','6',514,-320,'14','23','-8.23'
'BAND-USDT','5m','7Fpob','2021-09-11','2021-10-11','24','-2.91','-7.24',-17,'42','-0.1','-0.26','-2.3','3','6',346,-444,'10','14','-8.23'
'BAND-USDT','5m','@VWF?','2021-09-11','2021-10-11','36','-4.85','-12.35',-31,'47','-0.14','-0.62','-2.5','5','6',383,-312,'17','19','-8.23'
'BAND-USDT','5m','@VW4?','2021-09-11','2021-10-11','36','-4.95','-11.54',-32,'39','-0.14','-0.61','-2.79','3','6',357,-312,'14','22','-8.23'
'BAND-USDT','5m','@cW*?','2021-09-11','2021-10-11','41','-6.31','-17.02',-48,'32','-0.16','-0.86','-2.84','3','5',527,-330,'13','28','-8.23'
'BAND-USDT','5m','_W6,U','2021-09-11','2021-10-11','57','-33.17','-33.44',-99,'28','-0.2','-5.93','-2.96','2','7',498,-350,'16','41','-8.23'
'BAND-USDT','5m','ui*5<','2021-09-11','2021-10-11','39','-6.49','-15.35',-46,'33','-0.18','-0.88','-2.98','2','5',531,-302,'13','26','-8.23'
'BAND-USDT','5m','?dpMr','2021-09-11','2021-10-11','30','-6.84','-16.74',-52,'43','-0.19','-1.16','-3.08','4','8',446,-472,'13','17','-8.23'
'BAND-USDT','5m','eVkWv','2021-09-11','2021-10-11','27','-7.83','-18.4',-59,'44','-0.17','-1.56','-3.19','3','8',385,-492,'12','15','-8.23'
'BAND-USDT','5m','-VW*9','2021-09-11','2021-10-11','34','-7.48','-18.42',-60,'38','-0.16','-1.45','-3.25','4','6',513,-265,'13','21','-8.23'
'BAND-USDT','5m','3OW5n','2021-09-11','2021-10-11','53','-30.78','-29.68',-99,'38','-0.25','-5.67','-3.32','4','6',490,-390,'20','33','-8.23'
