'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'BAT-USDT','5m','ePPWb','2021-09-11','2021-10-11','32','24.41','-3.95',1408,'56','14.66','6.26','356.29','4','3',442,-286,'18','14','-5.87'
'BAT-USDT','5m','ePPW\\','2021-09-11','2021-10-11','32','24.41','-3.95',1408,'56','14.66','6.26','356.29','4','3',442,-286,'18','14','-5.87'
'BAT-USDT','5m','eRNWk','2021-09-11','2021-10-11','35','19.19','-4.97',885,'51','8.18','5.02','178.15','4','4',439,-283,'18','17','-5.87'
'BAT-USDT','5m','eRNWZ','2021-09-11','2021-10-11','35','19.19','-4.97',885,'51','8.18','5.02','178.15','4','4',439,-283,'18','17','-5.87'
'BAT-USDT','5m','ePPHa','2021-09-11','2021-10-11','29','17.43','-4.22',614,'66','8.4','4.72','145.69','6','2',339,-273,'19','10','-5.87'
'BAT-USDT','5m','ePPH','2021-09-11','2021-10-11','29','17.43','-4.22',614,'66','8.4','4.72','145.69','6','2',339,-273,'19','10','-5.87'
'BAT-USDT','5m','WrVZ;','2021-09-11','2021-10-11','28','12.47','-3.23',456,'54','7.33','5.61','141.14','3','3',362,-251,'15','13','-5.87'
'BAT-USDT','5m','eSNWd','2021-09-11','2021-10-11','35','16.42','-5.01',682,'49','6.9','4.64','136.15','4','4',431,-277,'17','18','-5.87'
'BAT-USDT','5m','QYRcn','2021-09-11','2021-10-11','34','16.74','-5.84',665,'50','5.92','4.56','114.01','4','3',455,-339,'17','17','-5.87'
'BAT-USDT','5m','eVPWc','2021-09-11','2021-10-11','35','15.62','-5.63',612,'49','5.35','4.41','108.65','4','4',430,-263,'17','18','-5.87'
'BAT-USDT','5m','`RNWv','2021-09-11','2021-10-11','35','16.0','-6.42',611,'51','5.12','4.31','95.19','4','4',432,-520,'18','17','-5.87'
'BAT-USDT','5m','cRNWv','2021-09-11','2021-10-11','35','16.0','-6.42',611,'51','5.12','4.31','95.19','4','4',432,-520,'18','17','-5.87'
'BAT-USDT','5m','\\RNWv','2021-09-11','2021-10-11','35','16.0','-6.42',611,'51','5.12','4.31','95.19','4','4',432,-520,'18','17','-5.87'
'BAT-USDT','5m','RNWv','2021-09-11','2021-10-11','35','16.0','-6.42',611,'51','5.12','4.31','95.19','4','4',432,-520,'18','17','-5.87'
'BAT-USDT','5m','aRNWv','2021-09-11','2021-10-11','35','16.0','-6.42',611,'51','5.12','4.31','95.19','4','4',432,-520,'18','17','-5.87'
'BAT-USDT','5m','^RNWv','2021-09-11','2021-10-11','35','16.0','-6.42',611,'51','5.12','4.31','95.19','4','4',432,-520,'18','17','-5.87'
