'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'BEL-USDT','5m','E^cA','2021-09-11','2021-10-11','18','19.14','-3.45',944,'67','13.86','6.73','273.55','5','2',469,-352,'12','6','-3.31'
'BEL-USDT','5m','_W6,U','2021-09-11','2021-10-11','63','15.74','-18.13',673,'41','0.64','2.78','37.15','4','11',690,-486,'26','37','-3.31'
'BEL-USDT','5m','FVW*?','2021-09-11','2021-10-11','33','10.61','-7.95',288,'39','1.42','3.01','36.19','3','6',525,-312,'13','20','-3.31'
'BEL-USDT','5m','vNqn','2021-09-11','2021-10-11','13','4.58','-3.68',109,'54','1.94','2.83','29.74','2','2',380,-366,'7','6','-3.31'
'BEL-USDT','5m','HPqWv','2021-09-11','2021-10-11','26','6.97','-7.05',174,'54','0.67','2.4','24.65','4','3',391,-573,'14','12','-3.31'
'BEL-USDT','5m','7Fpob','2021-09-11','2021-10-11','21','3.88','-6.33',124,'48','0.79','2.87','19.63','3','4',339,-498,'10','11','-3.31'
'BEL-USDT','5m','ui*5<','2021-09-11','2021-10-11','37','6.93','-9.24',164,'38','0.53','2.18','17.74','3','6',576,-255,'14','23','-3.31'
'BEL-USDT','5m','q9da','2021-09-11','2021-10-11','18','5.0','-8.42',122,'67','0.61','2.75','14.54','4','2',276,-464,'12','6','-3.31'
'BEL-USDT','5m','o4,@X','2021-09-11','2021-10-11','64','2.38','-9.97',120,'45','0.42','1.69','12.03','5','8',432,-457,'29','35','-3.31'
'BEL-USDT','5m','?dpMr','2021-09-11','2021-10-11','36','4.49','-11.14',98,'53','0.38','1.39','8.8','5','4',453,-529,'19','17','-3.31'
'BEL-USDT','5m','3OWXC','2021-09-11','2021-10-11','44','1.03','-9.55',84,'43','0.34','1.48','8.76','3','6',393,-345,'19','25','-3.31'
'BEL-USDT','5m','=bVNC','2021-09-11','2021-10-11','48','2.91','-13.26',102,'40','0.25','1.52','7.71','2','9',432,-348,'19','29','-3.31'
'BEL-USDT','5m','@XW*?','2021-09-11','2021-10-11','36','3.6','-9.12',70,'39','0.34','1.29','7.64','3','6',507,-319,'14','22','-3.31'
'BEL-USDT','5m','MVsWv','2021-09-11','2021-10-11','28','4.03','-13.13',94,'54','0.39','1.39','7.16','5','3',381,-523,'15','13','-3.31'
'BEL-USDT','5m','LewDb','2021-09-11','2021-10-11','26','2.29','-10.67',61,'62','0.21','1.13','5.73','5','3',368,-565,'16','10','-3.31'
'BEL-USDT','5m','@_W*?','2021-09-11','2021-10-11','47','2.18','-13.5',59,'34','0.16','1.01','4.36','2','9',547,-305,'16','31','-3.31'
