'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'BLZ-USDT','5m','eVkWv','2021-09-11','2021-10-11','27','13.94','-4.56',903,'56','7.27','4.52','197.92','4','5',438,-520,'15','12','0.2'
'BLZ-USDT','5m','ePjWv','2021-09-11','2021-10-11','25','12.65','-6.74',379,'56','2.51','3.37','56.2','5','5',403,-485,'14','11','0.2'
'BLZ-USDT','5m','hPmHf','2021-09-11','2021-10-11','20','9.09','-7.11',236,'65','1.17','2.72','33.13','5','2',340,-527,'13','7','0.2'
'BLZ-USDT','5m','eVswv','2021-09-11','2021-10-11','21','4.72','-4.51',149,'67','1.67','2.67','33.07','7','2',249,-454,'14','7','0.2'
'BLZ-USDT','5m','\\sta','2021-09-11','2021-10-11','18','7.69','-6.44',169,'83','2.71','3.0','26.27','13','2',269,-437,'15','3','0.2'
'BLZ-USDT','5m','vNqn','2021-09-11','2021-10-11','13','3.91','-6.32',78,'62','0.65','1.69','12.34','4','2',373,-445,'8','5','0.2'
'BLZ-USDT','5m','?VuWv','2021-09-11','2021-10-11','25','-1.32','-11.32',1,'48','0.0','0.27','0.07','3','4',380,-513,'12','13','0.2'
'BLZ-USDT','5m','o4,@X','2021-09-11','2021-10-11','63','-6.18','-20.86',-3,'40','-0.0','0.28','-0.13','4','8',491,-429,'25','38','0.2'
'BLZ-USDT','5m','q9da','2021-09-11','2021-10-11','17','-1.22','-10.98',-14,'65','-0.05','-0.21','-1.27','4','3',280,-481,'11','6','0.2'
'BLZ-USDT','5m','=ptVt','2021-09-11','2021-10-11','35','-2.88','-11.01',-24,'46','-0.17','-0.24','-2.19','3','4',419,-568,'16','19','0.2'
'BLZ-USDT','5m','ePPWb','2021-09-11','2021-10-11','57','-11.66','-22.16',-50,'40','-0.12','-0.5','-2.24','4','6',430,-441,'23','34','0.2'
'BLZ-USDT','5m','ePPW\\','2021-09-11','2021-10-11','57','-11.66','-22.16',-50,'40','-0.12','-0.5','-2.24','4','6',430,-441,'23','34','0.2'
'BLZ-USDT','5m','-dW6n','2021-09-11','2021-10-11','70','-41.05','-43.62',-100,'30','-0.22','-6.05','-2.29','4','10',503,-485,'21','49','0.2'
'BLZ-USDT','5m','CMNWv','2021-09-11','2021-10-11','68','-36.99','-38.23',-99,'34','-0.24','-5.68','-2.59','4','10',387,-414,'23','45','0.2'
'BLZ-USDT','5m',':YY:_','2021-09-11','2021-10-11','62','-29.31','-36.82',-96,'40','-0.16','-3.26','-2.61','3','5',489,-446,'25','37','0.2'
'BLZ-USDT','5m','3OW5n','2021-09-11','2021-10-11','59','-32.11','-37.89',-99,'37','-0.18','-4.7','-2.61','3','8',558,-482,'22','37','0.2'
'BLZ-USDT','5m','ePRWv','2021-09-11','2021-10-11','56','-11.32','-18.34',-49,'41','-0.15','-0.5','-2.66','4','6',411,-434,'23','33','0.2'
