'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'BNB-USDT','5m','@cW*?','2021-09-11','2021-10-11','27','18.33','-5.53',684,'52','5.24','4.76','123.71','3','3',526,-255,'14','13','0.58'
'BNB-USDT','5m','CMNWv','2021-09-11','2021-10-11','33','17.46','-5.5',655,'58','4.62','4.7','119.23','6','3',404,-339,'19','14','0.58'
'BNB-USDT','5m','WrVZ;','2021-09-11','2021-10-11','25','15.8','-5.56',516,'60','4.66','4.7','92.82','5','3',339,-233,'15','10','0.58'
'BNB-USDT','5m','@^W*?','2021-09-11','2021-10-11','29','15.75','-5.81',504,'48','3.48','4.0','86.71','3','3',526,-244,'14','15','0.58'
'BNB-USDT','5m',':VWWv','2021-09-11','2021-10-11','31','14.48','-5.43',436,'55','3.89','4.2','80.16','3','3',391,-308,'17','14','0.58'
'BNB-USDT','5m','7VWWv','2021-09-11','2021-10-11','31','14.48','-5.43',436,'55','3.89','4.2','80.16','3','3',391,-308,'17','14','0.58'
'BNB-USDT','5m','@XW*?','2021-09-11','2021-10-11','27','12.92','-5.69',434,'48','3.67','3.8','76.24','3','4',503,-250,'13','14','0.58'
'BNB-USDT','5m','@_W*?','2021-09-11','2021-10-11','28','14.71','-5.82',442,'46','3.31','4.01','75.98','3','3',506,-239,'13','15','0.58'
'BNB-USDT','5m','fVPWv','2021-09-11','2021-10-11','32','15.79','-6.85',516,'53','3.23','3.87','75.37','3','3',413,-438,'17','15','0.58'
'BNB-USDT','5m','gVPWv','2021-09-11','2021-10-11','32','15.79','-6.85',516,'53','3.23','3.87','75.37','3','3',413,-438,'17','15','0.58'
'BNB-USDT','5m','-VUWv','2021-09-11','2021-10-11','34','13.26','-5.32',374,'47','3.5','3.68','70.32','3','3',384,-246,'16','18','0.58'
'BNB-USDT','5m','-SUNv','2021-09-11','2021-10-11','33','13.53','-5.64',384,'52','3.28','3.61','68.11','5','3',416,-249,'17','16','0.58'
'BNB-USDT','5m','`RNWv','2021-09-11','2021-10-11','32','14.05','-7.23',412,'53','2.25','3.71','56.93','3','3',394,-428,'17','15','0.58'
'BNB-USDT','5m','cRNWv','2021-09-11','2021-10-11','32','14.05','-7.23',412,'53','2.25','3.71','56.93','3','3',394,-428,'17','15','0.58'
'BNB-USDT','5m','\\RNWv','2021-09-11','2021-10-11','32','14.05','-7.23',412,'53','2.25','3.71','56.93','3','3',394,-428,'17','15','0.58'
'BNB-USDT','5m','RNWv','2021-09-11','2021-10-11','32','14.05','-7.23',412,'53','2.25','3.71','56.93','3','3',394,-428,'17','15','0.58'
'BNB-USDT','5m','aRNWv','2021-09-11','2021-10-11','32','14.05','-7.23',412,'53','2.25','3.71','56.93','3','3',394,-428,'17','15','0.58'
