'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'BTCDOM-USDT','5m','CMNWv','2021-09-11','2021-10-11','15','4.85','-4.55',78,'53','0.58','2.93','17.13','3','3',353,-168,'8','7','21.1'
'BTCDOM-USDT','5m','QYRcn','2021-09-11','2021-10-11','16','4.28','-4.29',67,'44','0.6','2.4','15.52','3','4',370,-197,'7','9','21.1'
'BTCDOM-USDT','5m','o4,@X','2021-09-11','2021-10-11','24','4.07','-4.21',63,'42','0.94','1.98','14.93','3','4',403,-173,'10','14','21.1'
'BTCDOM-USDT','5m','E^cA','2021-09-11','2021-10-11','8','2.91','-3.05',42,'38','0.45','2.08','13.69','1','2',385,-229,'3','5','21.1'
'BTCDOM-USDT','5m','fVPWv','2021-09-11','2021-10-11','16','3.4','-4.12',50,'50','0.38','2.04','12.21','3','3',349,-167,'8','8','21.1'
'BTCDOM-USDT','5m','gVPWv','2021-09-11','2021-10-11','16','3.4','-4.12',50,'50','0.38','2.04','12.21','3','3',349,-167,'8','8','21.1'
'BTCDOM-USDT','5m','eVPWc','2021-09-11','2021-10-11','16','3.4','-4.12',50,'50','0.38','2.04','12.21','3','3',349,-167,'8','8','21.1'
'BTCDOM-USDT','5m','`RNWv','2021-09-11','2021-10-11','16','3.21','-4.16',47,'50','0.37','1.96','11.27','3','3',348,-189,'8','8','21.1'
'BTCDOM-USDT','5m','cRNWv','2021-09-11','2021-10-11','16','3.21','-4.16',47,'50','0.37','1.96','11.27','3','3',348,-189,'8','8','21.1'
'BTCDOM-USDT','5m','\\RNWv','2021-09-11','2021-10-11','16','3.21','-4.16',47,'50','0.37','1.96','11.27','3','3',348,-189,'8','8','21.1'
'BTCDOM-USDT','5m','RNWv','2021-09-11','2021-10-11','16','3.21','-4.16',47,'50','0.37','1.96','11.27','3','3',348,-189,'8','8','21.1'
'BTCDOM-USDT','5m','aRNWv','2021-09-11','2021-10-11','16','3.21','-4.16',47,'50','0.37','1.96','11.27','3','3',348,-189,'8','8','21.1'
'BTCDOM-USDT','5m','^RNWv','2021-09-11','2021-10-11','16','3.21','-4.16',47,'50','0.37','1.96','11.27','3','3',348,-189,'8','8','21.1'
'BTCDOM-USDT','5m','_RNWv','2021-09-11','2021-10-11','16','3.21','-4.16',47,'50','0.37','1.96','11.27','3','3',348,-189,'8','8','21.1'
'BTCDOM-USDT','5m','-VUWv','2021-09-11','2021-10-11','14','3.33','-5.53',49,'43','0.24','2.11','8.83','3','3',349,-199,'6','8','21.1'
'BTCDOM-USDT','5m','eSNWd','2021-09-11','2021-10-11','16','2.68','-4.57',38,'50','0.24','1.61','8.31','3','3',346,-189,'8','8','21.1'
'BTCDOM-USDT','5m','eRNWk','2021-09-11','2021-10-11','16','2.66','-4.59',38,'50','0.24','1.6','8.19','3','3',346,-189,'8','8','21.1'
'BTCDOM-USDT','5m','eRNWZ','2021-09-11','2021-10-11','16','2.66','-4.59',38,'50','0.24','1.6','8.19','3','3',346,-189,'8','8','21.1'
'BTCDOM-USDT','5m','@cW*?','2021-09-11','2021-10-11','14','3.39','-6.36',50,'36','0.21','1.82','7.87','3','6',473,-195,'5','9','21.1'
'BTCDOM-USDT','5m','=bVNC','2021-09-11','2021-10-11','14','3.01','-5.81',43,'36','0.2','1.82','7.47','3','6',379,-196,'5','9','21.1'
'BTCDOM-USDT','5m','-dW6n','2021-09-11','2021-10-11','14','2.72','-5.64',39,'36','0.19','1.7','6.84','2','4',477,-196,'5','9','21.1'
'BTCDOM-USDT','5m','_W6,U','2021-09-11','2021-10-11','21','2.73','-6.26',39,'33','0.26','1.38','6.22','2','6',512,-161,'7','14','21.1'
'BTCDOM-USDT','5m','FVW*?','2021-09-11','2021-10-11','14','2.65','-6.21',37,'36','0.15','1.52','6.03','3','6',472,-200,'5','9','21.1'
'BTCDOM-USDT','5m','eRNDv','2021-09-11','2021-10-11','16','2.09','-4.93',29,'50','0.16','1.29','5.81','3','3',316,-189,'8','8','21.1'
'BTCDOM-USDT','5m','3eWXn','2021-09-11','2021-10-11','14','2.16','-5.18',30,'36','0.16','1.54','5.73','2','4',363,-196,'5','9','21.1'
'BTCDOM-USDT','5m','YOR9c','2021-09-11','2021-10-11','15','2.35','-5.88',33,'40','0.16','1.34','5.57','3','3',418,-190,'6','9','21.1'
'BTCDOM-USDT','5m','IVWWv','2021-09-11','2021-10-11','14','2.14','-5.35',29,'36','0.14','1.51','5.5','2','3',351,-201,'5','9','21.1'
'BTCDOM-USDT','5m','ePPWb','2021-09-11','2021-10-11','15','1.92','-5.29',26,'40','0.14','1.22','4.93','3','3',344,-188,'6','9','21.1'
'BTCDOM-USDT','5m','ePPW\\','2021-09-11','2021-10-11','15','1.92','-5.29',26,'40','0.14','1.22','4.93','3','3',344,-188,'6','9','21.1'
'BTCDOM-USDT','5m','-VW*9','2021-09-11','2021-10-11','14','2.25','-6.4',31,'36','0.13','1.27','4.85','3','6',469,-196,'5','9','21.1'
'BTCDOM-USDT','5m','-VW*=','2021-09-11','2021-10-11','14','2.25','-6.4',31,'36','0.13','1.27','4.85','3','6',469,-196,'5','9','21.1'
'BTCDOM-USDT','5m','eRQWv','2021-09-11','2021-10-11','15','1.85','-5.31',25,'40','0.14','1.18','4.69','3','3',344,-189,'6','9','21.1'
'BTCDOM-USDT','5m','@TW*?','2021-09-11','2021-10-11','14','2.05','-6.29',28,'36','0.12','1.19','4.46','3','6',468,-196,'5','9','21.1'
'BTCDOM-USDT','5m','@^W*?','2021-09-11','2021-10-11','14','2.19','-6.92',30,'36','0.1','1.27','4.35','3','6',470,-196,'5','9','21.1'
