'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'BTS-USDT','5m','?dpMr','2021-09-11','2021-10-11','26','16.23','-7.3',532,'50','1.88','3.67','72.91','5','4',512,-386,'13','13','-4.67'
'BTS-USDT','5m','hPmHf','2021-09-11','2021-10-11','20','9.44','-6.61',394,'60','1.85','4.19','59.59','5','3',362,-459,'12','8','-4.67'
'BTS-USDT','5m','q9da','2021-09-11','2021-10-11','17','10.79','-5.61',331,'71','1.41','5.38','59.03','6','1',303,-425,'12','5','-4.67'
'BTS-USDT','5m','@VX*?','2021-09-11','2021-10-11','34','14.85','-9.44',467,'41','2.9','3.35','49.42','3','6',579,-367,'14','20','-4.67'
'BTS-USDT','5m','@TW*?','2021-09-11','2021-10-11','37','12.84','-9.51',355,'43','2.28','2.82','37.31','3','6',568,-361,'16','21','-4.67'
'BTS-USDT','5m','@VW)?','2021-09-11','2021-10-11','41','11.25','-10.4',285,'41','1.32','2.34','27.41','3','6',595,-364,'17','24','-4.67'
'BTS-USDT','5m','eVkWv','2021-09-11','2021-10-11','20','6.27','-7.8',181,'50','0.73','2.44','23.19','3','3',413,-440,'10','10','-4.67'
'BTS-USDT','5m','eVswv','2021-09-11','2021-10-11','14','0.55','-3.97',80,'57','0.79','3.14','20.24','3','2',239,-384,'8','6','-4.67'
'BTS-USDT','5m','vNqn','2021-09-11','2021-10-11','10','4.72','-5.77',115,'50','0.64','3.45','19.84','3','3',388,-355,'5','5','-4.67'
'BTS-USDT','5m','@VW4?','2021-09-11','2021-10-11','41','6.79','-9.21',169,'46','1.11','2.04','18.38','4','5',390,-352,'19','22','-4.67'
'BTS-USDT','5m','ePjWv','2021-09-11','2021-10-11','20','5.32','-8.36',152,'50','0.6','2.25','18.2','3','3',409,-431,'10','10','-4.67'
'BTS-USDT','5m','@VW.?','2021-09-11','2021-10-11','40','6.98','-10.42',147,'42','0.86','1.8','14.07','4','6',488,-353,'17','23','-4.67'
