'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'BTT-USDT','5m','3fWHn','2021-09-11','2021-10-11','36','30.59','-4.33',3059,'67','18.01','8.27','705.9','6','2',373,-375,'24','12','-1.19'
'BTT-USDT','5m','hPPHs','2021-09-11','2021-10-11','33','29.19','-4.16',2167,'67','12.74','7.8','520.32','6','2',367,-387,'22','11','-1.19'
'BTT-USDT','5m','ePPHt','2021-09-11','2021-10-11','33','29.19','-4.16',2167,'67','12.74','7.8','520.32','6','2',367,-387,'22','11','-1.19'
'BTT-USDT','5m','ftUQf','2021-09-11','2021-10-11','36','27.71','-6.55',2073,'64','9.1','7.09','316.7','5','3',502,-363,'23','13','-1.19'
'BTT-USDT','5m','3eWXn','2021-09-11','2021-10-11','36','25.12','-5.5',1645,'61','7.15','6.31','298.85','4','3',440,-372,'22','14','-1.19'
'BTT-USDT','5m','-dW6n','2021-09-11','2021-10-11','36','24.98','-6.27',1538,'58','4.86','5.36','245.34','4','3',574,-372,'21','15','-1.19'
'BTT-USDT','5m','QYRcn','2021-09-11','2021-10-11','36','22.19','-6.2',1157,'61','5.69','5.71','186.72','6','2',440,-319,'22','14','-1.19'
'BTT-USDT','5m','eRNWk','2021-09-11','2021-10-11','38','21.49','-5.59',1012,'58','4.59','5.1','181.07','5','2',430,-534,'22','16','-1.19'
'BTT-USDT','5m','ePPWb','2021-09-11','2021-10-11','37','20.11','-4.85',847,'59','6.13','5.26','174.59','5','2',423,-533,'22','15','-1.19'
'BTT-USDT','5m','eRNDv','2021-09-11','2021-10-11','38','20.48','-5.22',908,'58','5.54','5.08','174.07','5','2',393,-530,'22','16','-1.19'
'BTT-USDT','5m','`RNWv','2021-09-11','2021-10-11','37','20.54','-5.45',912,'59','6.04','5.0','167.35','6','2',426,-526,'22','15','-1.19'
'BTT-USDT','5m','cRNWv','2021-09-11','2021-10-11','37','20.54','-5.45',912,'59','6.04','5.0','167.35','6','2',426,-526,'22','15','-1.19'
'BTT-USDT','5m','\\RNWv','2021-09-11','2021-10-11','37','20.54','-5.45',912,'59','6.04','5.0','167.35','6','2',426,-526,'22','15','-1.19'
'BTT-USDT','5m','RNWv','2021-09-11','2021-10-11','37','20.54','-5.45',912,'59','6.04','5.0','167.35','6','2',426,-526,'22','15','-1.19'
'BTT-USDT','5m','aRNWv','2021-09-11','2021-10-11','37','20.54','-5.45',912,'59','6.04','5.0','167.35','6','2',426,-526,'22','15','-1.19'
'BTT-USDT','5m','^RNWv','2021-09-11','2021-10-11','37','20.54','-5.45',912,'59','6.04','5.0','167.35','6','2',426,-526,'22','15','-1.19'
'BTT-USDT','5m','_RNWv','2021-09-11','2021-10-11','37','20.54','-5.45',912,'59','6.04','5.0','167.35','6','2',426,-526,'22','15','-1.19'
'BTT-USDT','5m','?^WWv','2021-09-11','2021-10-11','37','21.67','-6.56',1098,'65','4.85','5.19','167.33','5','2',417,-363,'24','13','-1.19'
'BTT-USDT','5m','fVPWv','2021-09-11','2021-10-11','38','19.63','-6.44',823,'58','3.22','4.67','127.81','5','2',424,-529,'22','16','-1.19'
'BTT-USDT','5m','gVPWv','2021-09-11','2021-10-11','38','19.63','-6.44',823,'58','3.22','4.67','127.81','5','2',424,-529,'22','16','-1.19'
'BTT-USDT','5m','eVPWc','2021-09-11','2021-10-11','38','19.63','-6.44',823,'58','3.22','4.67','127.81','5','2',424,-529,'22','16','-1.19'
'BTT-USDT','5m','eRQWv','2021-09-11','2021-10-11','38','16.15','-4.42',551,'58','5.95','4.46','124.76','5','2',418,-519,'22','16','-1.19'
'BTT-USDT','5m','eSNWd','2021-09-11','2021-10-11','39','18.61','-6.55',739,'56','2.94','4.44','112.81','5','2',420,-522,'22','17','-1.19'
'BTT-USDT','5m','ePRWv','2021-09-11','2021-10-11','37','14.94','-4.13',462,'57','6.03','4.5','111.85','5','3',405,-511,'21','16','-1.19'
'BTT-USDT','5m','eRNWZ','2021-09-11','2021-10-11','38','18.7','-7.75',738,'55','2.15','4.29','95.22','5','4',420,-522,'21','17','-1.19'
'BTT-USDT','5m','XRV.a','2021-09-11','2021-10-11','35','14.73','-4.74',436,'57','5.13','3.71','91.96','5','2',500,-515,'20','15','-1.19'
'BTT-USDT','5m','ePPW\\','2021-09-11','2021-10-11','37','16.79','-7.39',582,'57','2.32','4.16','78.73','5','4',412,-519,'21','16','-1.19'
'BTT-USDT','5m','ePPHa','2021-09-11','2021-10-11','35','17.56','-8.0',621,'60','1.93','4.48','77.63','5','4',334,-371,'21','14','-1.19'
