'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'C98-USDT','5m','@VW4?','2021-09-11','2021-10-11','34','18.96','-5.87',1080,'56','8.35','4.65','184.0','4','3',415,-327,'19','15','-12.07'
'C98-USDT','5m','@^W*?','2021-09-11','2021-10-11','40','20.46','-8.09',1383,'40','3.15','4.33','170.86','2','5',608,-361,'16','24','-12.07'
'C98-USDT','5m','@VW.?','2021-09-11','2021-10-11','34','20.46','-7.2',1017,'47','4.65','4.07','141.38','4','5',523,-330,'16','18','-12.07'
'C98-USDT','5m','@VW)?','2021-09-11','2021-10-11','34','21.47','-8.2',1073,'44','4.08','3.9','130.95','3','5',623,-334,'15','19','-12.07'
'C98-USDT','5m','@VWF?','2021-09-11','2021-10-11','34','14.28','-5.87',606,'56','4.55','3.72','103.33','4','3',429,-324,'19','15','-12.07'
'C98-USDT','5m','@XW*?','2021-09-11','2021-10-11','37','18.88','-8.33',859,'43','3.22','3.36','103.12','3','5',593,-375,'16','21','-12.07'
'C98-USDT','5m','@_W*?','2021-09-11','2021-10-11','37','15.8','-8.1',832,'38','2.4','3.78','102.72','2','5',585,-347,'14','23','-12.07'
'C98-USDT','5m','@cW*?','2021-09-11','2021-10-11','40','20.3','-10.36',1059,'40','2.18','4.45','102.22','3','6',599,-324,'16','24','-12.07'
'C98-USDT','5m','ui*5<','2021-09-11','2021-10-11','30','14.16','-6.7',514,'40','3.52','3.76','76.77','2','4',565,-296,'12','18','-12.07'
'C98-USDT','5m','@VX*?','2021-09-11','2021-10-11','32','15.06','-8.67',528,'44','2.45','3.4','60.97','3','5',560,-308,'14','18','-12.07'
'C98-USDT','5m','-VW*9','2021-09-11','2021-10-11','23','11.57','-7.14',336,'43','1.74','3.4','47.09','2','5',574,-314,'10','13','-12.07'
'C98-USDT','5m','@VW*A','2021-09-11','2021-10-11','39','11.04','-10.01',398,'38','1.57','2.6','39.76','3','6',552,-338,'15','24','-12.07'
