'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'CHZ-USDT','5m','@^W*?','2021-09-11','2021-10-11','35','22.17','-7.82',1113,'49','3.75','3.88','142.23','4','3',562,-337,'17','18','-6.7'
'CHZ-USDT','5m','FVW*?','2021-09-11','2021-10-11','33','22.01','-9.22',1067,'55','2.78','4.41','115.75','4','4',562,-316,'18','15','-6.7'
'CHZ-USDT','5m','@_W*?','2021-09-11','2021-10-11','35','16.28','-7.35',599,'46','2.79','3.3','81.47','3','3',554,-333,'16','19','-6.7'
'CHZ-USDT','5m','@cW*?','2021-09-11','2021-10-11','34','15.07','-7.01',492,'47','2.53','2.98','70.16','3','3',554,-356,'16','18','-6.7'
'CHZ-USDT','5m','-VW*9','2021-09-11','2021-10-11','28','13.85','-7.25',389,'50','2.63','3.04','53.62','3','3',542,-306,'14','14','-6.7'
'CHZ-USDT','5m','=bVNC','2021-09-11','2021-10-11','36','13.07','-8.56',437,'44','2.27','2.95','51.09','4','4',434,-358,'16','20','-6.7'
'CHZ-USDT','5m','wVW*?','2021-09-11','2021-10-11','19','12.41','-6.68',332,'47','3.2','3.41','49.74','3','3',525,-313,'9','10','-6.7'
'CHZ-USDT','5m','@XW*?','2021-09-11','2021-10-11','36','7.93','-13.42',170,'47','0.35','1.89','12.63','4','4',540,-321,'17','19','-6.7'
'CHZ-USDT','5m','E^cA','2021-09-11','2021-10-11','15','4.35','-5.69',68,'47','0.98','1.5','11.93','3','2',385,-320,'7','8','-6.7'
'CHZ-USDT','5m','eSNWd','2021-09-11','2021-10-11','42','4.46','-12.16',134,'50','0.47','1.46','10.98','8','5',414,-443,'21','21','-6.7'
'CHZ-USDT','5m','ui*5<','2021-09-11','2021-10-11','41','3.8','-9.27',92,'39','0.44','1.31','9.92','4','7',536,-273,'16','25','-6.7'
'CHZ-USDT','5m','eVPWc','2021-09-11','2021-10-11','42','3.67','-12.84',114,'50','0.39','1.33','8.85','8','5',414,-438,'21','21','-6.7'
