'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'COMP-USDT','5m','YOR9c','2021-09-11','2021-10-11','40','14.02','-7.92',447,'52','2.1','3.08','56.4','4','3',460,-310,'21','19','-22.57'
'COMP-USDT','5m','@cW*?','2021-09-11','2021-10-11','37','14.32','-10.07',434,'43','1.75','3.12','43.11','4','6',509,-307,'16','21','-22.57'
'COMP-USDT','5m','3fWHn','2021-09-11','2021-10-11','46','11.85','-10.33',378,'52','0.91','3.11','36.62','4','3',314,-305,'24','22','-22.57'
'COMP-USDT','5m','vNqn','2021-09-11','2021-10-11','11','8.94','-5.63',183,'64','1.25','3.54','32.54','6','3',405,-419,'7','4','-22.57'
'COMP-USDT','5m','eRQWv','2021-09-11','2021-10-11','44','5.19','-7.55',178,'45','1.31','2.0','23.63','3','3',387,-319,'20','24','-22.57'
'COMP-USDT','5m','-dW6n','2021-09-11','2021-10-11','45','10.05','-10.56',246,'49','0.86','2.2','23.3','4','3',500,-306,'22','23','-22.57'
'COMP-USDT','5m','3eWXn','2021-09-11','2021-10-11','47','8.56','-10.67',233,'47','0.7','2.39','21.84','4','3',371,-307,'22','25','-22.57'
'COMP-USDT','5m','@^W*?','2021-09-11','2021-10-11','40','7.48','-8.59',147,'42','0.63','1.9','17.17','4','7',487,-292,'17','23','-22.57'
'COMP-USDT','5m','@_W*?','2021-09-11','2021-10-11','40','7.37','-8.68',145,'42','0.61','1.88','16.67','4','7',486,-291,'17','23','-22.57'
'COMP-USDT','5m','-VUWv','2021-09-11','2021-10-11','47','5.32','-7.9',120,'49','0.8','1.52','15.18','3','3',369,-368,'23','24','-22.57'
'COMP-USDT','5m','O=ITi','2021-09-11','2021-10-11','43','8.29','-12.19',184,'51','0.41','2.15','15.07','6','4',307,-340,'22','21','-22.57'
'COMP-USDT','5m','-SUNv','2021-09-11','2021-10-11','45','5.94','-8.14',121,'49','0.87','1.51','14.87','3','4',411,-369,'22','23','-22.57'
'COMP-USDT','5m','XRV.a','2021-09-11','2021-10-11','40','7.54','-10.01',147,'48','0.6','1.69','14.74','4','4',447,-395,'19','21','-22.57'
'COMP-USDT','5m','-VW*9','2021-09-11','2021-10-11','25','4.8','-9.1',127,'40','0.61','1.92','14.01','2','6',546,-255,'10','15','-22.57'
'COMP-USDT','5m','CMNWv','2021-09-11','2021-10-11','48','7.28','-11.94',162,'50','0.56','1.78','13.6','5','4',362,-322,'24','24','-22.57'
'COMP-USDT','5m','ePPWb','2021-09-11','2021-10-11','44','2.58','-8.59',97,'43','0.73','1.41','11.34','2','3',374,-315,'19','25','-22.57'
'COMP-USDT','5m','ePPW\\','2021-09-11','2021-10-11','44','2.58','-8.59',97,'43','0.73','1.41','11.34','2','3',374,-315,'19','25','-22.57'
'COMP-USDT','5m',':YY:_','2021-09-11','2021-10-11','40','5.69','-9.56',98,'55','0.39','1.45','10.27','4','3',422,-369,'22','18','-22.57'
'COMP-USDT','5m','-VW;v','2021-09-11','2021-10-11','44','4.65','-8.11',82,'52','0.52','1.24','10.08','3','3',439,-362,'23','21','-22.57'
'COMP-USDT','5m','eVPWc','2021-09-11','2021-10-11','46','2.82','-13.29',116,'41','0.33','1.64','8.76','3','3',357,-330,'19','27','-22.57'
'COMP-USDT','5m','BVV.a','2021-09-11','2021-10-11','44','4.92','-10.4',85,'50','0.45','1.25','8.15','3','3',449,-384,'22','22','-22.57'
'COMP-USDT','5m','<VV.a','2021-09-11','2021-10-11','44','4.92','-10.4',85,'50','0.45','1.25','8.15','3','3',449,-384,'22','22','-22.57'
'COMP-USDT','5m','eSNWd','2021-09-11','2021-10-11','46','2.99','-14.03',111,'43','0.29','1.59','7.93','3','3',354,-326,'20','26','-22.57'
'COMP-USDT','5m','wVW*?','2021-09-11','2021-10-11','26','3.81','-8.39',63,'46','0.48','1.22','7.51','2','5',501,-279,'12','14','-22.57'
'COMP-USDT','5m','-VW.v','2021-09-11','2021-10-11','45','3.43','-8.19',55,'51','0.45','0.96','6.76','3','3',466,-363,'23','22','-22.57'
'COMP-USDT','5m','3OW?n','2021-09-11','2021-10-11','44','2.49','-6.75',44,'52','0.49','0.89','6.47','3','3',475,-349,'23','21','-22.57'
'COMP-USDT','5m','3OW5n','2021-09-11','2021-10-11','43','2.74','-7.1',45,'51','0.41','0.91','6.32','3','3',543,-353,'22','21','-22.57'
'COMP-USDT','5m','fVPWv','2021-09-11','2021-10-11','47','1.14','-13.29',78,'40','0.25','1.29','5.88','3','3',351,-325,'19','28','-22.57'
'COMP-USDT','5m','gVPWv','2021-09-11','2021-10-11','47','1.14','-13.29',78,'40','0.25','1.29','5.88','3','3',351,-325,'19','28','-22.57'
'COMP-USDT','5m','?VW.v','2021-09-11','2021-10-11','44','3.82','-11.01',62,'50','0.3','1.04','5.59','3','3',444,-380,'22','22','-22.57'
