'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'CTK-USDT','5m','LewDb','2021-09-11','2021-10-11','27','43.11','-2.08',7757,'85','100.86','12.67','3722.76','7','1',421,-607,'23','4','-15.85'
'CTK-USDT','5m','@VX*?','2021-09-11','2021-10-11','39','32.36','-6.71',3685,'49','5.81','5.7','549.58','3','4',653,-342,'19','20','-15.85'
'CTK-USDT','5m','FVW*?','2021-09-11','2021-10-11','38','29.7','-5.59',2771,'50','4.91','5.31','495.56','4','4',639,-388,'19','19','-15.85'
'CTK-USDT','5m','3OWXC','2021-09-11','2021-10-11','45','30.47','-8.28',3133,'62','3.85','6.22','378.25','9','4',491,-400,'28','17','-15.85'
'CTK-USDT','5m','3OW5n','2021-09-11','2021-10-11','55','31.87','-13.33',3563,'55','3.82','4.99','267.18','6','5',666,-543,'30','25','-15.85'
'CTK-USDT','5m','@TW*?','2021-09-11','2021-10-11','39','24.36','-6.44',1695,'46','5.09','5.06','263.19','2','4',613,-335,'18','21','-15.85'
'CTK-USDT','5m','?VuWv','2021-09-11','2021-10-11','29','27.34','-7.48',1944,'66','3.99','6.06','259.93','7','5',450,-467,'19','10','-15.85'
'CTK-USDT','5m','3OW?n','2021-09-11','2021-10-11','55','29.94','-13.27',3387,'58','3.59','5.22','255.15','9','5',587,-545,'32','23','-15.85'
'CTK-USDT','5m','\\sta','2021-09-11','2021-10-11','21','19.73','-3.51',893,'86','11.35','9.29','254.15','12','1',289,-538,'18','3','-15.85'
'CTK-USDT','5m','3OWXE','2021-09-11','2021-10-11','46','26.02','-8.28',2030,'61','3.09','5.44','245.15','9','4',474,-434,'28','18','-15.85'
'CTK-USDT','5m','=bVNC','2021-09-11','2021-10-11','48','23.95','-7.98',1952,'48','3.77','4.68','244.72','3','3',489,-370,'23','25','-15.85'
'CTK-USDT','5m','@VW.?','2021-09-11','2021-10-11','40','22.3','-6.47',1435,'48','5.05','4.29','221.81','2','4',550,-351,'19','21','-15.85'
'CTK-USDT','5m','hPmHf','2021-09-11','2021-10-11','26','22.72','-5.03',1113,'81','6.56','7.37','221.39','8','1',352,-558,'21','5','-15.85'
'CTK-USDT','5m','-VW*9','2021-09-11','2021-10-11','32','25.34','-8.03',1484,'50','5.32','5.12','184.9','3','6',574,-301,'16','16','-15.85'
