'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'CVC-USDT','5m','@_W*?','2021-09-11','2021-10-11','32','41.01','-4.55',8855,'56','17.3','7.21','1946.07','4','2',652,-363,'18','14','-5.09'
'CVC-USDT','5m','hPmHf','2021-09-11','2021-10-11','17','29.76','-1.73',3047,'82','96.14','9.94','1762.36','6','1',368,-484,'14','3','-5.09'
'CVC-USDT','5m','@^W*?','2021-09-11','2021-10-11','32','39.02','-4.55',7491,'56','16.15','6.9','1646.3','4','2',643,-357,'18','14','-5.09'
'CVC-USDT','5m','@VW*F','2021-09-11','2021-10-11','32','42.01','-6.12',9350,'56','11.12','7.3','1527.39','3','2',656,-414,'18','14','-5.09'
'CVC-USDT','5m','@VW)?','2021-09-11','2021-10-11','29','41.9','-6.12',9080,'55','9.3','7.13','1483.22','4','3',723,-383,'16','13','-5.09'
'CVC-USDT','5m','FVW*?','2021-09-11','2021-10-11','28','30.88','-4.96',5288,'57','13.18','6.57','1065.22','7','3',651,-376,'16','12','-5.09'
'CVC-USDT','5m','eVkWv','2021-09-11','2021-10-11','28','34.71','-4.58',4072,'71','20.6','7.34','889.83','7','2',441,-497,'20','8','-5.09'
'CVC-USDT','5m','@VW.?','2021-09-11','2021-10-11','30','33.13','-5.9',4833,'57','8.38','7.41','818.69','4','2',575,-360,'17','13','-5.09'
'CVC-USDT','5m','HPqWv','2021-09-11','2021-10-11','22','31.1','-5.68',4314,'64','9.44','7.49','759.09','5','3',446,-466,'14','8','-5.09'
'CVC-USDT','5m','MVsWv','2021-09-11','2021-10-11','20','26.29','-5.83',4095,'60','8.79','8.0','702.34','5','3',446,-461,'12','8','-5.09'
'CVC-USDT','5m','wVW*?','2021-09-11','2021-10-11','23','36.3','-6.75',4432,'61','8.27','6.95','656.24','4','3',602,-353,'14','9','-5.09'
'CVC-USDT','5m','-VW*=','2021-09-11','2021-10-11','29','26.75','-4.44',2742,'52','10.32','5.54','617.9','4','3',610,-335,'15','14','-5.09'
'CVC-USDT','5m','@VW*A','2021-09-11','2021-10-11','30','31.42','-6.12',3730,'50','7.18','6.28','609.33','2','3',631,-355,'15','15','-5.09'
'CVC-USDT','5m','@XW*?','2021-09-11','2021-10-11','32','29.46','-6.15',3698,'53','6.79','5.94','601.53','5','2',629,-355,'17','15','-5.09'
'CVC-USDT','5m','@TW*?','2021-09-11','2021-10-11','26','25.21','-4.33',2481,'50','11.4','6.12','573.6','3','3',611,-329,'13','13','-5.09'
'CVC-USDT','5m','@VWF?','2021-09-11','2021-10-11','30','23.71','-4.4',2364,'53','10.02','7.23','537.58','4','3',460,-342,'16','14','-5.09'
'CVC-USDT','5m','eEsWv','2021-09-11','2021-10-11','18','30.38','-4.76',2473,'72','9.32','7.0','519.59','6','3',428,-464,'13','5','-5.09'
'CVC-USDT','5m','VsWv','2021-09-11','2021-10-11','22','32.13','-5.92',2974,'68','6.98','6.93','502.85','9','3',431,-459,'15','7','-5.09'
