'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'DASH-USDT','5m','IVWWv','2021-09-11','2021-10-11','36','10.51','-9.94',491,'53','1.78','3.39','49.45','7','3',412,-380,'19','17','-5.62'
'DASH-USDT','5m','E^cA','2021-09-11','2021-10-11','18','5.07','-6.4',127,'61','1.04','2.35','19.87','5','2',392,-279,'11','7','-5.62'
'DASH-USDT','5m','-VW<v','2021-09-11','2021-10-11','42','5.05','-11.22',194,'50','0.67','2.06','17.3','8','4',406,-363,'21','21','-5.62'
'DASH-USDT','5m','XRV.a','2021-09-11','2021-10-11','32','6.94','-10.92',149,'50','0.76','1.83','13.63','6','4',463,-329,'16','16','-5.62'
'DASH-USDT','5m','-VWWa','2021-09-11','2021-10-11','40','5.84','-8.93',113,'52','0.55','1.62','12.7','8','4',387,-346,'21','19','-5.62'
'DASH-USDT','5m','-VWW^','2021-09-11','2021-10-11','40','5.84','-8.93',113,'52','0.55','1.62','12.7','8','4',387,-346,'21','19','-5.62'
'DASH-USDT','5m','-VWWu','2021-09-11','2021-10-11','42','1.38','-11.34',100,'50','0.39','1.47','8.82','8','4',396,-353,'21','21','-5.62'
'DASH-USDT','5m',',VWWv','2021-09-11','2021-10-11','42','1.38','-11.34',100,'50','0.39','1.47','8.82','8','4',396,-353,'21','21','-5.62'
'DASH-USDT','5m','-VWWs','2021-09-11','2021-10-11','42','1.38','-11.34',100,'50','0.39','1.47','8.82','8','4',396,-353,'21','21','-5.62'
'DASH-USDT','5m','-VW=v','2021-09-11','2021-10-11','42','2.42','-11.25',98,'52','0.4','1.42','8.76','8','4',404,-351,'22','20','-5.62'
'DASH-USDT','5m','-SUNv','2021-09-11','2021-10-11','43','1.72','-11.86',104,'47','0.42','1.44','8.73','4','4',430,-340,'20','23','-5.62'
'DASH-USDT','5m','ePRWv','2021-09-11','2021-10-11','38','0.28','-9.45',82,'50','0.5','1.33','8.65','4','3',381,-354,'19','19','-5.62'
'DASH-USDT','5m','-VW.v','2021-09-11','2021-10-11','42','1.9','-12.02',90,'50','0.35','1.33','7.47','8','4',480,-351,'21','21','-5.62'
'DASH-USDT','5m','?VW2v','2021-09-11','2021-10-11','39','0.58','-10.65',61,'51','0.29','1.07','5.72','8','3',418,-323,'20','19','-5.62'
'DASH-USDT','5m','-VUWv','2021-09-11','2021-10-11','43','-0.41','-12.81',63,'49','0.27','1.1','4.95','8','4',400,-344,'21','22','-5.62'
'DASH-USDT','5m','-VWWl','2021-09-11','2021-10-11','41','3.02','-11.34',54,'51','0.24','1.03','4.75','8','4',387,-346,'21','20','-5.62'
