'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'DEFI-USDT','5m','@^W*?','2021-09-11','2021-10-11','37','25.59','-10.01',1623,'49','2.07','4.57','162.04','7','4',627,-335,'18','19','-5.29'
'DEFI-USDT','5m','-dW6n','2021-09-11','2021-10-11','41','20.61','-6.75',929,'56','2.86','4.18','137.59','5','4',575,-611,'23','18','-5.29'
'DEFI-USDT','5m','@_W*?','2021-09-11','2021-10-11','36','22.62','-10.17',1182,'50','1.62','4.14','116.22','7','4',613,-328,'18','18','-5.29'
'DEFI-USDT','5m','3eWXn','2021-09-11','2021-10-11','42','13.61','-6.08',447,'52','1.87','3.69','73.56','5','4',413,-602,'22','20','-5.29'
'DEFI-USDT','5m','q9da','2021-09-11','2021-10-11','15','12.15','-5.03',304,'80','1.27','5.58','60.31','8','1',298,-467,'12','3','-5.29'
'DEFI-USDT','5m','3fWHn','2021-09-11','2021-10-11','42','11.67','-7.21',372,'55','1.66','3.3','51.5','5','4',340,-595,'23','19','-5.29'
'DEFI-USDT','5m','@cW*?','2021-09-11','2021-10-11','38','15.92','-12.19',555,'42','0.89','3.44','45.54','5','5',594,-325,'16','22','-5.29'
'DEFI-USDT','5m','YOR9c','2021-09-11','2021-10-11','38','9.24','-7.98',301,'47','1.17','2.71','37.7','4','4',492,-459,'18','20','-5.29'
'DEFI-USDT','5m','3OW?n','2021-09-11','2021-10-11','39','7.19','-6.64',216,'51','1.21','2.5','32.53','3','4',505,-411,'20','19','-5.29'
'DEFI-USDT','5m',':YY:_','2021-09-11','2021-10-11','38','10.68','-9.32',247,'50','0.86','2.55','26.52','5','4',464,-423,'19','19','-5.29'
'DEFI-USDT','5m','?^WWv','2021-09-11','2021-10-11','42','8.38','-7.58',200,'50','0.87','2.32','26.37','4','4',396,-559,'21','21','-5.29'
'DEFI-USDT','5m','CMNWv','2021-09-11','2021-10-11','44','8.84','-8.1',208,'50','0.81','2.62','25.73','4','5',396,-389,'22','22','-5.29'
'DEFI-USDT','5m','O=ITi','2021-09-11','2021-10-11','44','8.85','-7.66',192,'52','1.27','2.57','25.09','4','4',329,-418,'23','21','-5.29'
'DEFI-USDT','5m','VsWv','2021-09-11','2021-10-11','16','7.74','-6.51',154,'62','0.63','2.48','23.61','4','2',370,-516,'10','6','-5.29'
'DEFI-USDT','5m','WVsWv','2021-09-11','2021-10-11','16','7.74','-6.51',154,'62','0.63','2.48','23.61','4','2',370,-516,'10','6','-5.29'
'DEFI-USDT','5m','@TW*?','2021-09-11','2021-10-11','34','11.01','-11.42',258,'41','0.62','2.5','22.63','3','6',567,-353,'14','20','-5.29'
'DEFI-USDT','5m','@VW.?','2021-09-11','2021-10-11','36','10.68','-11.11',249,'47','0.53','2.36','22.42','4','5',511,-336,'17','19','-5.29'
'DEFI-USDT','5m','@VW)?','2021-09-11','2021-10-11','36','10.55','-11.31',244,'44','0.56','2.19','21.56','3','5',599,-336,'16','20','-5.29'
'DEFI-USDT','5m','@VX*?','2021-09-11','2021-10-11','36','10.1','-11.29',226,'42','0.56','2.2','20.05','2','5',564,-335,'15','21','-5.29'
'DEFI-USDT','5m','3OWXC','2021-09-11','2021-10-11','30','5.76','-7.85',157,'57','0.75','2.41','19.97','4','4',400,-356,'17','13','-5.29'
'DEFI-USDT','5m','tbik','2021-09-11','2021-10-11','29','3.38','-6.69',133,'52','1.03','1.84','19.87','3','3',348,-552,'15','14','-5.29'
'DEFI-USDT','5m','3OWXE','2021-09-11','2021-10-11','31','4.27','-7.85',151,'55','0.73','2.36','19.25','4','4',400,-356,'17','14','-5.29'
'DEFI-USDT','5m','?dpMr','2021-09-11','2021-10-11','27','7.69','-10.09',181,'48','0.6','2.09','17.9','3','4',455,-505,'13','14','-5.29'
'DEFI-USDT','5m','E^cA','2021-09-11','2021-10-11','21','5.68','-6.07',104,'48','1.27','1.94','17.13','2','4',420,-315,'10','11','-5.29'
'DEFI-USDT','5m','eVswv','2021-09-11','2021-10-11','16','0.14','-5.96',97,'69','0.33','2.81','16.3','4','2',246,-519,'11','5','-5.29'
