'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'DENT-USDT','5m','g^VGt','2021-09-11','2021-10-11','47','26.99','-7.56',3762,'60','6.51','5.73','497.54','8','5',466,-574,'28','19','11.84'
'DENT-USDT','5m','eVkWv','2021-09-11','2021-10-11','27','30.25','-8.65',2781,'67','4.78','5.75','321.62','6','3',501,-609,'18','9','11.84'
'DENT-USDT','5m','BVV.a','2021-09-11','2021-10-11','51','32.4','-12.92',3431,'49','4.24','5.27','265.68','7','6',624,-589,'25','26','11.84'
'DENT-USDT','5m','<VV.a','2021-09-11','2021-10-11','51','32.4','-12.92',3431,'49','4.24','5.27','265.68','7','6',624,-589,'25','26','11.84'
'DENT-USDT','5m','`RNWv','2021-09-11','2021-10-11','54','27.57','-10.6',2517,'50','2.96','4.81','237.57','7','5',454,-625,'27','27','11.84'
'DENT-USDT','5m','cRNWv','2021-09-11','2021-10-11','54','27.57','-10.6',2517,'50','2.96','4.81','237.57','7','5',454,-625,'27','27','11.84'
'DENT-USDT','5m','\\RNWv','2021-09-11','2021-10-11','54','27.57','-10.6',2517,'50','2.96','4.81','237.57','7','5',454,-625,'27','27','11.84'
'DENT-USDT','5m','RNWv','2021-09-11','2021-10-11','54','27.57','-10.6',2517,'50','2.96','4.81','237.57','7','5',454,-625,'27','27','11.84'
'DENT-USDT','5m','aRNWv','2021-09-11','2021-10-11','54','27.57','-10.6',2517,'50','2.96','4.81','237.57','7','5',454,-625,'27','27','11.84'
'DENT-USDT','5m','^RNWv','2021-09-11','2021-10-11','54','27.57','-10.6',2517,'50','2.96','4.81','237.57','7','5',454,-625,'27','27','11.84'
'DENT-USDT','5m','_RNWv','2021-09-11','2021-10-11','54','27.57','-10.6',2517,'50','2.96','4.81','237.57','7','5',454,-625,'27','27','11.84'
'DENT-USDT','5m','ePRWv','2021-09-11','2021-10-11','53','27.55','-11.13',2308,'49','5.11','4.79','207.37','7','6',479,-666,'26','27','11.84'
'DENT-USDT','5m','QYRcn','2021-09-11','2021-10-11','49','24.55','-10.61',2088,'51','3.8','4.88','196.78','7','6',501,-553,'25','24','11.84'
'DENT-USDT','5m','-VW.v','2021-09-11','2021-10-11','54','29.95','-13.7',2695,'48','3.09','4.95','196.67','6','6',624,-581,'26','28','11.84'
'DENT-USDT','5m','-VUWv','2021-09-11','2021-10-11','55','25.32','-11.3',2001,'51','3.58','4.44','177.03','9','6',489,-552,'28','27','11.84'
'DENT-USDT','5m','eRNWZ','2021-09-11','2021-10-11','51','23.33','-10.13',1658,'51','2.82','4.47','163.67','8','6',451,-525,'26','25','11.84'
'DENT-USDT','5m','7Fpob','2021-09-11','2021-10-11','20','19.45','-4.95',769,'65','3.72','4.63','155.39','5','3',412,-543,'13','7','11.84'
'DENT-USDT','5m','eRQWv','2021-09-11','2021-10-11','52','22.14','-10.29',1477,'50','2.75','4.21','143.53','6','6',446,-620,'26','26','11.84'
'DENT-USDT','5m',':YY:_','2021-09-11','2021-10-11','48','23.4','-11.0',1553,'52','3.29','4.54','141.13','7','6',532,-462,'25','23','11.84'
'DENT-USDT','5m','fVPWv','2021-09-11','2021-10-11','54','20.61','-10.21',1399,'50','2.55','4.36','137.04','6','6',447,-577,'27','27','11.84'
'DENT-USDT','5m','gVPWv','2021-09-11','2021-10-11','54','20.61','-10.21',1399,'50','2.55','4.36','137.04','6','6',447,-577,'27','27','11.84'
'DENT-USDT','5m','eVPWc','2021-09-11','2021-10-11','53','20.66','-10.21',1394,'51','2.58','4.23','136.58','8','6',447,-525,'27','26','11.84'
'DENT-USDT','5m','wVW*?','2021-09-11','2021-10-11','25','17.29','-5.95',788,'40','5.23','4.34','132.37','4','4',603,-343,'10','15','11.84'
'DENT-USDT','5m','-VW;v','2021-09-11','2021-10-11','52','23.09','-12.82',1567,'58','2.57','4.61','122.23','6','5',562,-548,'30','22','11.84'
'DENT-USDT','5m','?VW.v','2021-09-11','2021-10-11','52','23.96','-13.15',1489,'46','2.51','4.38','113.21','4','7',590,-659,'24','28','11.84'
'DENT-USDT','5m','eRNWk','2021-09-11','2021-10-11','52','19.27','-10.13',1138,'48','2.3','4.01','112.35','6','6',438,-510,'25','27','11.84'
'DENT-USDT','5m','ePPW\\','2021-09-11','2021-10-11','50','19.08','-10.15',1131,'50','2.67','3.84','111.42','8','6',437,-585,'25','25','11.84'
'DENT-USDT','5m','3OW5n','2021-09-11','2021-10-11','50','22.29','-10.75',1193,'50','2.12','3.55','110.94','8','6',662,-459,'25','25','11.84'
'DENT-USDT','5m','3fWHn','2021-09-11','2021-10-11','51','15.43','-10.49',1139,'57','2.44','4.14','108.57','9','5',363,-434,'29','22','11.84'
'DENT-USDT','5m','ftUQf','2021-09-11','2021-10-11','42','16.09','-8.73',936,'50','3.7','3.66','107.25','6','4',489,-539,'21','21','11.84'
'DENT-USDT','5m','hPmHf','2021-09-11','2021-10-11','21','15.88','-6.92',694,'67','3.59','4.17','100.23','6','3',377,-517,'14','7','11.84'
'DENT-USDT','5m','3OW?n','2021-09-11','2021-10-11','51','20.25','-10.32',1011,'53','1.81','3.52','97.98','10','6',574,-452,'27','24','11.84'
'DENT-USDT','5m','?VW2v','2021-09-11','2021-10-11','52','21.27','-13.15',1285,'56','2.29','4.22','97.72','9','6',528,-646,'29','23','11.84'
'DENT-USDT','5m','eSNWd','2021-09-11','2021-10-11','54','19.41','-11.66',1138,'48','2.15','3.89','97.57','8','7',446,-520,'26','28','11.84'
'DENT-USDT','5m',':VWWv','2021-09-11','2021-10-11','52','19.49','-11.17',1069,'50','1.62','3.82','95.69','6','6',453,-452,'26','26','11.84'
'DENT-USDT','5m','7VWWv','2021-09-11','2021-10-11','52','19.49','-11.17',1069,'50','1.62','3.82','95.69','6','6',453,-452,'26','26','11.84'
'DENT-USDT','5m','hPPHs','2021-09-11','2021-10-11','49','16.51','-9.38',849,'57','1.96','3.83','90.6','8','5',349,-582,'28','21','11.84'
'DENT-USDT','5m','ePPHt','2021-09-11','2021-10-11','49','16.51','-9.38',849,'57','1.96','3.83','90.6','8','5',349,-582,'28','21','11.84'
'DENT-USDT','5m','vNqn','2021-09-11','2021-10-11','10','11.66','-4.4',387,'60','3.51','4.11','88.08','3','2',427,-391,'6','4','11.84'
'DENT-USDT','5m','eRNDv','2021-09-11','2021-10-11','50','16.11','-10.07',858,'54','1.57','3.77','85.25','7','5',390,-592,'27','23','11.84'
'DENT-USDT','5m','\\sta','2021-09-11','2021-10-11','22','12.87','-5.68',471,'73','3.74','4.54','82.83','6','2',300,-618,'16','6','11.84'
'DENT-USDT','5m','-VW<v','2021-09-11','2021-10-11','55','18.87','-12.08',986,'56','2.12','3.74','81.64','6','5',464,-524,'31','24','11.84'
'DENT-USDT','5m','WrVZ;','2021-09-11','2021-10-11','32','10.56','-5.85',398,'44','3.42','4.01','67.91','4','3',356,-306,'14','18','11.84'
'DENT-USDT','5m','CMNWv','2021-09-11','2021-10-11','58','17.36','-11.94',748,'50','1.67','3.28','62.63','9','5',465,-589,'29','29','11.84'
'DENT-USDT','5m','3OWXC','2021-09-11','2021-10-11','28','13.07','-9.01',563,'50','1.37','3.75','62.48','6','5',441,-342,'14','14','11.84'
'DENT-USDT','5m','ePjWv','2021-09-11','2021-10-11','27','17.34','-11.75',729,'52','1.34','3.63','62.1','5','6',479,-592,'14','13','11.84'
'DENT-USDT','5m','ePPHa','2021-09-11','2021-10-11','46','10.56','-9.38',523,'54','1.74','3.16','55.83','8','5',338,-542,'25','21','11.84'
'DENT-USDT','5m','ePPH','2021-09-11','2021-10-11','46','10.56','-9.38',523,'54','1.74','3.16','55.83','8','5',338,-542,'25','21','11.84'
'DENT-USDT','5m','@VW*A','2021-09-11','2021-10-11','32','15.79','-10.75',570,'41','1.28','3.78','52.98','4','5',605,-390,'13','19','11.84'
'DENT-USDT','5m','o4,@X','2021-09-11','2021-10-11','57','17.04','-13.07',690,'46','1.3','3.45','52.77','5','6',456,-454,'26','31','11.84'
'DENT-USDT','5m','FVW*?','2021-09-11','2021-10-11','28','13.33','-7.81',412,'43','2.36','3.91','52.68','3','5',572,-327,'12','16','11.84'
'DENT-USDT','5m','-VW?v','2021-09-11','2021-10-11','56','16.11','-12.97',681,'48','1.52','3.12','52.49','6','6',579,-517,'27','29','11.84'
'DENT-USDT','5m','@^W*?','2021-09-11','2021-10-11','39','18.3','-14.85',737,'41','1.15','3.24','49.62','6','7',625,-399,'16','23','11.84'
'DENT-USDT','5m','-VWLv','2021-09-11','2021-10-11','56','16.62','-13.95',674,'48','1.52','3.04','48.29','6','6',613,-525,'27','29','11.84'
'DENT-USDT','5m','?dpMr','2021-09-11','2021-10-11','33','15.79','-10.69',507,'58','1.4','3.2','47.45','5','2',501,-581,'19','14','11.84'
'DENT-USDT','5m','-VW=v','2021-09-11','2021-10-11','56','13.55','-12.1',571,'55','1.28','3.07','47.18','6','5',457,-502,'31','25','11.84'
'DENT-USDT','5m','-VWMv','2021-09-11','2021-10-11','56','15.72','-13.22',603,'48','1.4','3.03','45.6','6','6',531,-517,'27','29','11.84'
'DENT-USDT','5m','O=ITi','2021-09-11','2021-10-11','55','14.3','-12.15',540,'55','1.04','2.97','44.46','8','6',369,-522,'30','25','11.84'
'DENT-USDT','5m','ePPWb','2021-09-11','2021-10-11','52','12.77','-12.43',546,'48','1.24','2.88','43.94','8','6',414,-555,'25','27','11.84'
