'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'DGB-USDT','5m','vNqn','2021-09-11','2021-10-11','9','8.7','-1.27',176,'67','11.31','5.7','137.97','2','2',388,-231,'6','3','-15.49'
'DGB-USDT','5m','eVswv','2021-09-11','2021-10-11','16','7.14','-4.89',208,'75','1.78','3.94','42.55','5','2',259,-558,'12','4','-15.49'
'DGB-USDT','5m','7Fpob','2021-09-11','2021-10-11','14','6.61','-4.54',178,'64','1.66','3.72','39.26','4','2',373,-401,'9','5','-15.49'
'DGB-USDT','5m','eEsWv','2021-09-11','2021-10-11','12','8.18','-5.93',199,'58','1.15','3.02','33.6','3','3',389,-660,'7','5','-15.49'
'DGB-USDT','5m','?VuWv','2021-09-11','2021-10-11','16','6.15','-6.36',151,'50','0.87','2.68','23.66','2','3',386,-351,'8','8','-15.49'
'DGB-USDT','5m','\\sta','2021-09-11','2021-10-11','15','2.66','-6.95',62,'67','0.43','1.4','8.92','5','2',274,-533,'10','5','-15.49'
'DGB-USDT','5m','LewDb','2021-09-11','2021-10-11','17','1.74','-5.08',45,'59','0.47','1.07','8.8','4','2',340,-495,'10','7','-15.49'
'DGB-USDT','5m','q9da','2021-09-11','2021-10-11','15','-1.41','-5.79',43,'53','0.39','1.33','7.44','3','3',289,-342,'8','7','-15.49'
'DGB-USDT','5m','ePPWb','2021-09-11','2021-10-11','48','5.3','-21.73',128,'44','0.23','1.54','5.9','7','13',466,-425,'21','27','-15.49'
'DGB-USDT','5m','eRQWv','2021-09-11','2021-10-11','48','5.23','-21.8',123,'44','0.23','1.48','5.64','4','13',466,-425,'21','27','-15.49'
'DGB-USDT','5m','hPPHs','2021-09-11','2021-10-11','47','2.74','-20.37',72,'51','0.16','1.18','3.52','9','12',379,-487,'24','23','-15.49'
'DGB-USDT','5m','ePPHt','2021-09-11','2021-10-11','47','2.74','-20.37',72,'51','0.16','1.18','3.52','9','12',379,-487,'24','23','-15.49'
'DGB-USDT','5m','ePPHa','2021-09-11','2021-10-11','47','2.74','-20.37',72,'51','0.16','1.18','3.52','9','12',379,-487,'24','23','-15.49'
'DGB-USDT','5m','VsWv','2021-09-11','2021-10-11','17','0.82','-6.59',23,'53','0.14','0.67','3.49','3','3',376,-501,'9','8','-15.49'
'DGB-USDT','5m','WVsWv','2021-09-11','2021-10-11','17','0.82','-6.59',23,'53','0.14','0.67','3.49','3','3',376,-501,'9','8','-15.49'
'DGB-USDT','5m','eRNDv','2021-09-11','2021-10-11','48','2.74','-20.93',61,'42','0.14','1.05','2.9','3','12',415,-485,'20','28','-15.49'
'DGB-USDT','5m','XRV.a','2021-09-11','2021-10-11','42','2.67','-16.03',44,'40','0.15','0.86','2.77','3','9',516,-409,'17','25','-15.49'
'DGB-USDT','5m','?VW.v','2021-09-11','2021-10-11','47','2.87','-19.4',50,'40','0.14','0.89','2.56','3','11',533,-428,'19','28','-15.49'
'DGB-USDT','5m','`RNWv','2021-09-11','2021-10-11','51','1.76','-20.49',50,'41','0.13','0.92','2.43','7','13',444,-382,'21','30','-15.49'
'DGB-USDT','5m','cRNWv','2021-09-11','2021-10-11','51','1.76','-20.49',50,'41','0.13','0.92','2.43','7','13',444,-382,'21','30','-15.49'
'DGB-USDT','5m','\\RNWv','2021-09-11','2021-10-11','51','1.76','-20.49',50,'41','0.13','0.92','2.43','7','13',444,-382,'21','30','-15.49'
'DGB-USDT','5m','RNWv','2021-09-11','2021-10-11','51','1.76','-20.49',50,'41','0.13','0.92','2.43','7','13',444,-382,'21','30','-15.49'
'DGB-USDT','5m','aRNWv','2021-09-11','2021-10-11','51','1.76','-20.49',50,'41','0.13','0.92','2.43','7','13',444,-382,'21','30','-15.49'
'DGB-USDT','5m','^RNWv','2021-09-11','2021-10-11','51','1.76','-20.49',50,'41','0.13','0.92','2.43','7','13',444,-382,'21','30','-15.49'
'DGB-USDT','5m','_RNWv','2021-09-11','2021-10-11','51','1.76','-20.49',50,'41','0.13','0.92','2.43','7','13',444,-382,'21','30','-15.49'
'DGB-USDT','5m','HPqWv','2021-09-11','2021-10-11','20','0.19','-8.1',19,'45','0.13','0.6','2.39','2','3',381,-376,'9','11','-15.49'
'DGB-USDT','5m','IVWWv','2021-09-11','2021-10-11','46','0.89','-15.98',35,'46','0.12','0.77','2.22','8','10',420,-403,'21','25','-15.49'
'DGB-USDT','5m','ePPW\\','2021-09-11','2021-10-11','47','1.6','-21.73',48,'43','0.11','0.9','2.22','7','13',450,-410,'20','27','-15.49'
'DGB-USDT','5m','fVPWv','2021-09-11','2021-10-11','49','0.87','-21.65',44,'43','0.1','0.85','2.01','6','13',442,-409,'21','28','-15.49'
'DGB-USDT','5m','gVPWv','2021-09-11','2021-10-11','49','0.87','-21.65',44,'43','0.1','0.85','2.01','6','13',442,-409,'21','28','-15.49'
'DGB-USDT','5m','eVPWc','2021-09-11','2021-10-11','49','0.87','-21.65',44,'43','0.1','0.85','2.01','6','13',442,-409,'21','28','-15.49'
'DGB-USDT','5m','eSNWd','2021-09-11','2021-10-11','50','1.17','-21.65',39,'40','0.09','0.82','1.82','3','13',448,-408,'20','30','-15.49'
'DGB-USDT','5m','eRNWk','2021-09-11','2021-10-11','50','1.06','-21.67',38,'40','0.09','0.8','1.73','3','13',447,-407,'20','30','-15.49'
